40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.63142	0.130831	0.0529282	-0.76249	-1.55836	0.995215	10.7397	-0.0366423	0.200114	-0.00747889	0.17627	0.282227	-0.943848	0.523119	-0.395178	-0.349859	-0.669163	8.92791	0.380094	4.20903	-0.00237848	0.0716291	0.00618169	-0.733887	0.274414	-0.308838	0.593474	0.19183	0.283643	-0.728379	-5.82392	-1.72143	8.68861	-0.0819717	0.14504	-0.00548184	0.391602	0.46875	-0.734375	-0.442058	0.4529	0.245619	-0.73426	-4.79501	-7.45007	4.60672	-0.0206813	0.00797652	-0.16772	0.265869	0.652344	-0.799561	0.756459	0.189827	0.249465	-0.574023	-5.94885	-0.39962	7.88941	0.00159033	0.156378	-0.0464023	0.652344	0.372803	-0.642578	0.882335	0.407702	0.162753	-0.169631	-4.1268	8.30233	7.1859	0.031542	0.0229869	0.0657026	0.542969	-0.822266	-0.0336914	0.507394	-0.515398	-0.430722	-0.53981	9.70414	-0.441373	1.13311	0.0399932	-0.10449	0.000464537	-0.891357	0.450928	-0.0544434	0.396118	-0.548957	-0.430473	-0.597017	9.82297	0.838196	0.242587	0.0349637	0.041206	-0.0146973	-1.02026	0.336914	0.0961914	0.285335	-0.624638	-0.370404	-0.625469	9.71837	1.22093	-0.501488	0.00566248	0.0366344	-0.011922	-1.00342	0.23999	0.287354	0.41689	-0.633961	-0.381116	-0.528249	9.72682	-1.35007	-0.964063	0.0660734	0.0499641	0.0119916	-0.871338	0.526611	0.240234	0.51753	-0.514912	-0.530142	-0.431252	9.75768	-0.92133	-0.763754	0.0607254	0.00409801	-0.0238228	-1.00513	0.529541	0.0322266	
1	0.631223	0.134052	0.0589202	-0.761654	-1.42274	1.02757	10.515	-0.128054	0.306624	-0.013236	0.18457	0.292969	-0.939453	0.52353	-0.394434	-0.348269	-0.67011	9.19588	0.310826	4.28707	-0.0441263	0.0845851	-0.0255804	-0.731445	0.267822	-0.311035	0.592105	0.193658	0.287024	-0.727685	-6.21725	-1.69551	8.52802	-0.0796915	0.160331	-0.056545	0.391602	0.470947	-0.723145	-0.442058	0.4529	0.245619	-0.73426	-4.79501	-7.45007	4.60672	-0.0206813	0.00797652	-0.16772	0.265869	0.652344	-0.799561	0.755852	0.191287	0.250647	-0.573824	-5.93057	-0.245692	7.90618	0.0399166	0.162556	-0.0206434	0.656494	0.377197	-0.637939	0.882788	0.408034	0.162271	-0.166919	-4.21704	8.28094	6.94499	-0.00954936	0.0315555	0.114246	0.530029	-0.824463	-0.0336914	0.504813	-0.5186	-0.431815	-0.538287	9.90868	-0.531905	1.00426	-0.0468582	-0.137981	-0.00924104	-0.88501	0.453125	-0.0524902	0.396532	-0.548396	-0.430562	-0.597194	9.83316	0.950475	0.248248	0.0178829	0.0394325	-0.0241546	-1.02026	0.338867	0.10083	0.285482	-0.624409	-0.370249	-0.625722	9.70481	1.16435	-0.543805	0.000813043	0.0394266	-0.0135475	-1.00781	0.237793	0.285156	0.418069	-0.633364	-0.380032	-0.528814	9.65313	-1.33742	-0.999998	-0.0226526	0.08399	0.0384483	-0.878174	0.528809	0.238037	0.517345	-0.514594	-0.530485	-0.431432	9.90101	-0.794485	-0.986708	-0.0249217	0.00732451	-0.0233554	-1.00708	0.525146	0.0322266	
2	0.63055	0.138961	0.0662127	-0.760732	-2.16082	0.752455	11.1017	-0.07368	0.351169	-0.0429018	0.202148	0.293213	-0.932861	0.523305	-0.393556	-0.346766	-0.671579	9.0628	0.367909	4.37458	-0.0556732	0.0975884	-0.0371673	-0.734131	0.276367	-0.318359	0.590707	0.194936	0.290158	-0.727236	-6.12983	-1.54935	8.46842	-0.110245	0.148461	-0.0461471	0.395752	0.477295	-0.720947	-0.442058	0.4529	0.245619	-0.73426	-4.79501	-7.45007	4.60672	-0.0206813	0.00797652	-0.16772	0.265869	0.652344	-0.799561	0.754995	0.193422	0.254012	-0.572755	-5.72808	-0.317666	7.84797	-0.0220936	0.170867	-0.00967483	0.660889	0.375	-0.633301	0.882881	0.408515	0.161768	-0.165737	-4.10471	8.0457	6.93858	0.0363711	0.014208	0.0977805	0.531982	-0.818115	-0.0317383	0.503536	-0.519863	-0.432489	-0.537725	10.1477	-0.602037	0.595593	0.0337123	-0.00435366	-0.0265994	-0.884766	0.446777	-0.0478516	0.396651	-0.548025	-0.430531	-0.597478	9.76844	0.825031	0.290259	0.00912043	0.0221743	-0.0162912	-1.02246	0.33667	0.10083	0.286148	-0.623713	-0.370336	-0.626061	9.80313	1.16784	-0.554196	0.0352001	0.0436634	-0.0152192	-1.00562	0.237793	0.280762	0.4189	-0.632899	-0.379079	-0.529396	9.78953	-1.35751	-0.931625	0.0248706	0.0716511	0.0282479	-0.871338	0.528809	0.235596	0.517423	-0.513873	-0.531134	-0.431398	9.85285	-0.902099	-0.721868	0.0566372	0.00224935	-0.0326457	-1.00488	0.525146	0.0297852	
3	0.630627	0.142926	0.0710117	-0.759499	-2.67834	0.496258	11.0939	-0.0298106	0.215386	0.0244817	0.215332	0.295654	-0.932861	0.523347	-0.392961	-0.345684	-0.672452	9.06937	0.428912	4.23332	-0.0401996	0.0645224	-0.0269853	-0.733887	0.27417	-0.318115	0.589709	0.196196	0.29128	-0.727259	-6.02839	-1.94929	8.30369	0.0559503	0.0923312	-0.00982862	0.4021	0.477295	-0.716553	-0.442058	0.4529	0.245619	-0.73426	-4.79501	-7.45007	4.60672	-0.0206813	0.00797652	-0.16772	0.265869	0.652344	-0.799561	0.75401	0.194658	0.256513	-0.572519	-5.54541	-0.121468	7.85986	-0.0231224	0.11227	-0.0549976	0.66333	0.370605	-0.631104	0.882551	0.409968	0.160083	-0.16554	-3.99225	8.0673	6.97438	0.0771177	-0.0613505	0.0126348	0.525879	-0.824463	-0.0314941	0.501217	-0.52211	-0.432112	-0.538017	10.0671	-0.392646	0.914935	-0.142249	-0.089412	-0.0163093	-0.891357	0.446533	-0.0415039	0.397284	-0.547672	-0.431186	-0.596908	10.0317	1.02924	0.488862	0.049843	0.0202373	-0.0141678	-1.01782	0.328125	0.101074	0.287548	-0.622721	-0.371363	-0.625799	9.78379	1.10465	-0.265027	0.0618813	0.0265482	-0.0182223	-1.01001	0.235352	0.280762	0.423636	-0.630464	-0.379558	-0.528188	9.84229	-1.36229	-0.332246	0.236816	0.104329	0.091493	-0.871582	0.533203	0.224121	0.517632	-0.512882	-0.532825	-0.430241	9.76131	-0.709221	-0.760974	0.0936887	-0.0437773	-0.0311313	-1.00708	0.525146	0.0366211	
4	0.631414	0.14592	0.0720351	-0.758178	-2.70077	0.672678	10.9748	0.0454901	0.0991684	0.0591029	0.220215	0.289062	-0.937012	0.522507	-0.393192	-0.345193	-0.673222	8.96496	0.511326	4.27092	-0.0559692	0.0036434	-0.0546031	-0.733887	0.271973	-0.313477	0.590154	0.197229	0.291458	-0.726548	-6.04739	-1.84177	8.18277	0.0212596	0.05081	0.0322399	0.397949	0.477295	-0.711914	-0.442058	0.4529	0.245619	-0.73426	-4.79501	-7.45007	4.60672	-0.0206813	0.00797652	-0.16772	0.265869	0.652344	-0.799561	0.752421	0.196239	0.256827	-0.573928	-5.87022	-0.177095	7.78366	0.107856	0.0372149	-0.0873117	0.658691	0.372803	-0.633301	0.882401	0.410571	0.157406	-0.1674	-3.94802	8.15158	6.96801	0.0601163	-0.11704	-0.0237177	0.525635	-0.820312	-0.0317383	0.49947	-0.523481	-0.431733	-0.538614	9.83262	-0.348586	0.614218	-0.0491018	-0.0264566	-0.0433582	-0.891357	0.44873	-0.0332031	0.397616	-0.547319	-0.429963	-0.597892	9.92398	0.939073	0.610228	-0.0610309	0.0775042	0.00200139	-1.02026	0.334473	0.105469	0.287137	-0.622966	-0.371022	-0.625946	9.84693	1.31704	-0.337428	-0.0579919	-0.00339206	-0.0123533	-1.00342	0.23999	0.280518	0.426005	-0.629779	-0.378146	-0.528114	9.55111	-1.21395	-0.744261	0.00858943	0.07733	0.0638414	-0.869385	0.5354	0.217285	0.518704	-0.510883	-0.536008	-0.427364	9.79611	-0.541171	-1.07932	0.203234	-0.0606592	-0.0320754	-1.01147	0.522949	0.0275879	
5	0.632074	0.147264	0.070195	-0.757541	-2.45657	0.623331	10.7984	0.100416	-0.0158912	0.0269119	0.222412	0.289062	-0.932861	0.521079	-0.393114	-0.345811	-0.674057	8.91129	0.570691	4.30576	-0.0162584	-0.00340555	-0.0962193	-0.73584	0.27002	-0.313232	0.590901	0.198933	0.289997	-0.72606	-6.12272	-1.65926	8.26995	0.0839837	0.0268227	0.0603176	0.406494	0.4729	-0.71875	-0.442058	0.4529	0.245619	-0.73426	-4.79501	-7.45007	4.60672	-0.0206813	0.00797652	-0.16772	0.265869	0.652344	-0.799561	0.751052	0.198001	0.2554	-0.575749	-6.03813	-0.351783	7.70326	0.139039	-0.00405759	-0.0556244	0.658936	0.370605	-0.635742	0.882837	0.41005	0.154109	-0.169434	-4.02641	8.3752	7.00706	0.00305005	-0.141967	-0.0240221	0.527832	-0.824463	-0.0358887	0.498083	-0.523668	-0.431989	-0.539509	9.88929	-0.368768	1.02558	-0.0138154	0.00622915	-0.0696136	-0.88916	0.450928	-0.0373535	0.396795	-0.547562	-0.428577	-0.599209	10.018	0.852489	0.376328	-0.0556798	0.0421876	-0.0309161	-1.02246	0.334717	0.0986328	0.286572	-0.623238	-0.370983	-0.625957	9.90591	1.13807	-0.36236	0.0045597	-0.00978616	-0.0264396	-1.0127	0.23999	0.280518	0.427819	-0.628684	-0.377991	-0.528062	9.52212	-1.28474	-0.932655	0.0878473	0.0527276	0.0240536	-0.869629	0.537598	0.217285	0.520049	-0.509177	-0.53814	-0.42508	9.79819	-0.236147	-1.25167	0.112137	-0.00973634	-0.00558211	-1.00928	0.520752	0.0300293	
6	0.631564	0.148462	0.067608	-0.757968	-2.04456	0.886322	10.5504	0.113013	-0.00997216	-0.0296983	0.227051	0.282715	-0.939209	0.51965	-0.392204	-0.346804	-0.675179	9.03228	0.485753	4.42493	0.00263005	0.0249206	-0.112903	-0.729248	0.265625	-0.315674	0.591668	0.201485	0.287501	-0.725724	-6.1701	-1.67542	8.3718	0.133783	0.0228712	0.0741969	0.404541	0.464111	-0.713867	-0.442058	0.4529	0.245619	-0.73426	-4.79501	-7.45007	4.60672	-0.0206813	0.00797652	-0.16772	0.265869	0.652344	-0.799561	0.751072	0.199694	0.253134	-0.576139	-6.0653	-0.0969338	7.80155	0.0878792	-0.0218585	0.0289782	0.661377	0.364014	-0.635742	0.883986	0.407937	0.151683	-0.170729	-4.04136	8.38939	7.0472	-0.0651614	-0.114956	-0.0201724	0.531982	-0.820312	-0.0424805	0.496627	-0.523602	-0.432707	-0.54034	9.91793	-0.403894	0.967892	-0.0239396	-0.00504707	-0.0779889	-0.893311	0.444336	-0.0288086	0.39729	-0.546402	-0.428125	-0.600262	9.7435	0.694618	0.338399	0.00251358	0.0866304	-0.0269893	-1.02466	0.336914	0.0986328	0.286256	-0.623524	-0.371213	-0.625681	9.7576	1.18184	-0.510268	0.00341539	-0.0145288	-0.0215022	-1.00342	0.23999	0.282959	0.427877	-0.62851	-0.378353	-0.527964	9.65391	-1.21384	-1.02016	0.00590033	-0.00217258	-0.0202423	-0.874023	0.537598	0.215088	0.520339	-0.508988	-0.538109	-0.424991	9.92801	-0.83439	-1.09823	0.0377537	0.0271087	-0.00428068	-1.00708	0.522949	0.0275879	
7	0.63109	0.149644	0.0666877	-0.758211	-1.94538	0.921567	10.4167	0.121613	0.0328114	-0.0344002	0.227051	0.282715	-0.939209	0.519016	-0.391477	-0.34716	-0.675905	8.87718	0.557717	4.50571	-0.00434	0.0435435	-0.115251	-0.731201	0.26123	-0.31543	0.59208	0.203617	0.285985	-0.725393	-6.28577	-1.64054	8.46203	0.173074	0.0686018	0.104234	0.408936	0.459717	-0.7229	-0.446033	0.455267	0.255349	-0.727038	-4.49737	-7.67646	4.67358	-0.113491	0.112285	-0.0400701	0.253418	0.67627	-0.782471	0.751866	0.202247	0.250642	-0.575302	-5.96039	-0.0566676	7.78654	0.136847	-0.00747101	0.0913486	0.661377	0.361816	-0.637939	0.885288	0.405632	0.149685	-0.171236	-3.99285	8.19643	7.27329	-0.0656456	-0.0953541	0.0023396	0.530029	-0.824707	-0.0529785	0.494532	-0.524231	-0.433638	-0.540904	9.83023	-0.347263	1.02385	-0.0420423	-0.0445374	-0.077106	-0.890869	0.437988	-0.0307617	0.397071	-0.546233	-0.427687	-0.600873	9.85365	0.994235	0.380666	-0.0374433	0.0254484	-0.0192099	-1.02222	0.33252	0.0939941	0.285858	-0.623751	-0.371211	-0.625637	9.85117	1.195	-0.596564	-0.0135106	-0.00145898	-0.0186091	-1.01025	0.237793	0.285156	0.427931	-0.628341	-0.378785	-0.527811	9.82506	-1.31037	-0.884687	0.0313277	-0.000991946	-0.0159282	-0.871826	0.537598	0.208252	0.520959	-0.508477	-0.537986	-0.424999	9.75797	-0.636907	-0.897587	-0.0212947	0.0260058	-0.00169581	-1.01147	0.518555	0.0322266	
8	0.630286	0.157669	0.0655042	-0.757357	-2.25109	1.00924	10.647	0.183989	0.20419	0.0280601	0.232178	0.269775	-0.945557	0.51655	-0.389949	-0.34757	-0.678462	9.07186	0.342495	4.664	-0.0284821	0.0402023	-0.114129	-0.733154	0.256836	-0.315186	0.593407	0.209952	0.284417	-0.723115	-6.35621	-1.26337	8.52502	0.0745853	0.134233	0.109556	0.41748	0.455322	-0.718262	-0.446501	0.457671	0.256803	-0.724725	-4.45839	-7.55163	4.44686	-0.100571	0.0938519	-0.0594992	0.253418	0.678467	-0.782471	0.752611	0.205746	0.248789	-0.573889	-6.04576	0.144863	7.82323	0.145755	0.0504027	0.0784518	0.664062	0.35083	-0.637939	0.886165	0.404721	0.147049	-0.17114	-3.77518	8.27171	7.49867	-0.0148997	-0.10416	0.0469664	0.525635	-0.824707	-0.0551758	0.491581	-0.525942	-0.433338	-0.542172	10.0263	-0.492277	0.709265	-0.138288	-0.0467931	-0.0653576	-0.897217	0.435791	-0.0222168	0.396335	-0.546755	-0.427173	-0.601249	9.77539	1.08242	0.313395	-0.033884	0.0091516	-0.0194186	-1.02222	0.330322	0.0964355	0.285375	-0.623939	-0.370703	-0.625971	9.75411	1.23605	-0.565879	-0.0189994	0.0137324	-0.0164567	-1.00317	0.237793	0.285156	0.42825	-0.628251	-0.377605	-0.528505	9.71413	-1.48228	-0.818262	-0.0415106	0.0418	0.0161854	-0.869629	0.539795	0.214844	0.520777	-0.508508	-0.537769	-0.42546	9.89745	-0.697878	-0.969468	-0.00952688	0.0173493	-0.0128252	-1.00732	0.529541	0.0253906	
9	0.630176	0.161015	0.0650694	-0.756782	-2.55198	1.18814	10.7624	0.193124	0.198064	0.0358982	0.236816	0.26123	-0.936768	0.516171	-0.388946	-0.347952	-0.67913	9.03901	0.316231	4.51233	0.0198074	0.0630679	-0.106363	-0.737793	0.259033	-0.31543	0.59378	0.211109	0.28457	-0.722411	-6.40286	-1.48178	8.32804	0.0221894	0.0979185	0.0704756	0.424072	0.450684	-0.718018	-0.446501	0.457671	0.256803	-0.724725	-4.45839	-7.55163	4.44686	-0.100571	0.0938519	-0.0594992	0.253418	0.678467	-0.782471	0.752648	0.207441	0.24852	-0.573347	-6.01523	0.292717	7.76404	0.103618	0.0789151	0.0560176	0.661865	0.35083	-0.637939	0.886626	0.40446	0.145356	-0.170814	-3.63474	8.10662	7.56911	-0.00113845	-0.11358	0.067569	0.523438	-0.82251	-0.0551758	0.49027	-0.526546	-0.432842	-0.543169	9.965	-0.614165	0.653209	-0.118071	0.00156713	-0.0682396	-0.89502	0.433594	-0.0200195	0.395573	-0.547204	-0.426558	-0.601779	9.84521	0.942447	0.366114	-0.0918843	0.0121351	-0.0253332	-1.02002	0.33252	0.0961914	0.285025	-0.624048	-0.370245	-0.626294	9.71359	1.12038	-0.541136	-0.0488932	0.0180353	-0.014811	-1.00098	0.23999	0.285156	0.428174	-0.628331	-0.377154	-0.528794	9.77689	-1.37777	-0.843644	-0.0344035	0.0373337	0.0148184	-0.869629	0.537598	0.215088	0.520292	-0.508947	-0.537326	-0.426086	9.90362	-0.662771	-0.902634	-0.0787106	0.0145582	-0.0103716	-1.00928	0.525146	0.0322266	
