Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.539874	0.401135	0.406482	0.618384	9.54704	0.710393	3.57079	0.0177877	-0.00753235	0.023124	-0.84082	0.351807	-0.304932	1527680066808	-92	100
Throax	00b411e8	-0.598404	0.339619	0.332968	0.644751	8.44264	0.284637	5.48951	-0.00206152	0.0158112	-0.00586843	-0.649902	0.291016	-0.448486	1527680066810	-78	97
RUpArm	00b411d9	-0.654698	-0.111512	0.0840914	0.742876	0.0800234	3.28874	10.3025	0.00581163	0.00802789	0.00888571	-0.0715332	0.0126953	-1.0271	1527680066808	-81	95
RFoArm	00b41148	-0.724218	0.0448987	-0.16711	0.667507	-1.72781	-2.78084	9.32925	-0.00365029	-0.0182761	0.0277809	0.222412	0.77002	-0.748779	1527680066829	-78	97
LUpArm	00b411db	-0.762622	0.0770379	-0.0473613	0.640491	0.244268	-1.65334	9.65827	-0.00564569	0.00774185	-0.006717	0.0605469	0.545898	-0.819092	1527680066830	-84	100
LFoArm	00b41204	-0.671966	-0.167033	-0.0501797	0.719752	-1.17076	-1.13155	13.3313	-0.0134177	0.00738952	-0.0320825	0.212646	0.537842	-0.891113	1527680066808	-78	97
Waist	00b411f7	-0.577525	0.408494	0.403732	0.580171	9.53383	-0.0347095	3.38708	0.000787009	0.0148449	-0.0105739	-0.857178	0.4021	-0.317139	1527680066826	-85	95
Rthigh	00b411f4	-0.463888	0.565267	0.434128	0.526131	9.82518	-0.680118	-0.108926	0.0267072	0.0659078	-0.0139617	-0.95752	0.485107	0.0793457	1527680064605	-102	100
Rshank	00b4111b	-0.594808	0.357449	0.631436	0.346009	9.85092	0.330322	-0.447571	0.00697822	0.00765267	-0.0182908	-1.00757	0.344727	0.0805664	1527680066830	-98	100
Lthigh	00b411c8	-0.448321	0.518385	0.524818	0.504827	9.74065	0.6583	-0.822624	0.0039062	0.0100367	0.00256959	-0.984131	0.338867	0.107666	1527680066807	-86	79
Lshank	00b411ee	-0.52508	0.469554	0.561536	0.434151	9.87578	-0.0531135	-0.725595	0.00458435	0.00311728	-0.00471055	-1.04785	0.474121	0.0808105	1527680066830	-81	100
