40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
48948	0.263337	-0.134869	-0.642269	-0.707075	5.38212	8.50921	1.40652	-0.0464434	-0.11111	0.0218434	-0.75293	-0.556396	-0.180664	0.659833	-0.051592	-0.470086	-0.583933	6.85329	4.84474	5.55994	0.00732609	-0.0467923	-0.0314988	-0.609131	-0.205078	-0.616943	0.838639	0.412464	0.109482	-0.338484	-4.75768	6.37172	6.54604	0.0699185	-0.0552739	0.064236	0.663086	-0.395264	-0.62793	0.375304	0.710241	0.256978	-0.537277	-8.95599	2.40593	-1.30966	-0.107851	-0.0647911	-0.0229794	0.993164	0.119873	-0.122803	0.699763	0.581027	0.0963359	-0.404301	-5.90985	7.17133	2.98951	0.0107634	-0.0122196	-0.0884707	0.816406	-0.433105	-0.406494	0.986161	0.0840732	0.130606	0.0579641	-3.35441	2.45581	12.854	0.0700365	0.0371016	-0.00326608	0.679199	-0.212646	-0.704346	0.420849	-0.415961	-0.412794	-0.692433	9.34503	2.2463	3.16856	-0.000157776	-0.00507538	-0.0360554	-0.965332	0.176025	-0.201172	0.452791	-0.58791	-0.451854	-0.495147	9.72662	-0.825095	-0.975181	-0.288307	0.0419451	-0.0377046	-0.967041	0.458496	0.15918	0.462211	-0.527496	-0.511272	-0.496698	9.89489	0.20297	-0.780302	0.080051	0.0582004	-0.0205775	-1.01221	0.342285	0.0915527	0.515163	-0.541155	-0.493656	-0.445041	9.75151	-1.1697	-0.712635	0.359725	0.0152104	0.023014	-0.904785	0.517334	0.0512695	0.521395	-0.572332	-0.496004	-0.393145	9.58611	-2.05307	-1.44898	0.197419	0.0367165	-0.000784729	-0.947021	0.649414	0.119141	
48949	0.263356	-0.135442	-0.642096	-0.707116	5.24071	8.1546	1.36984	-0.0237912	-0.0273334	0.0315284	-0.75293	-0.554199	-0.182861	0.659415	-0.0507317	-0.470636	-0.584038	6.80386	5.08688	5.37917	0.0654753	-0.00415778	-0.0596643	-0.613281	-0.207031	-0.612305	0.839054	0.412221	0.108616	-0.338029	-4.59126	6.70256	6.72604	-0.0105516	-0.0533004	0.0682307	0.66748	-0.404053	-0.625488	0.374804	0.71078	0.256604	-0.537092	-8.86906	2.43349	-1.65618	0.0568543	0.0327794	0.0164341	0.984131	0.119873	-0.125	0.698325	0.58241	0.096219	-0.404825	-5.6832	6.9952	2.79698	0.152073	0.0249221	-0.0597438	0.816406	-0.433105	-0.399658	0.986242	0.0819769	0.131291	0.0580525	-3.40997	2.81868	12.4408	-0.163677	0.0634939	-0.0199024	0.683594	-0.214844	-0.708496	0.420366	-0.415349	-0.413425	-0.692718	9.33762	2.27889	3.14132	0.0301311	0.0061554	-0.077612	-0.965576	0.178223	-0.201172	0.453237	-0.587489	-0.451839	-0.495251	9.6572	-1.13714	-0.878081	0.0318702	0.0382485	-0.000621331	-0.964844	0.458496	0.149902	0.462625	-0.526887	-0.511187	-0.497047	9.8312	0.469524	-0.511434	0.0223746	0.0590242	-0.0177568	-1.01465	0.344482	0.0915527	0.517347	-0.538751	-0.49513	-0.443785	10.0626	-0.578153	-0.455847	0.295698	0.0567151	-0.0292452	-0.90918	0.517334	0.0466309	0.523019	-0.570849	-0.496882	-0.392034	9.92734	-1.33425	-1.41132	0.207918	0.0235937	-0.00166057	-0.944824	0.649414	0.109863	
48950	0.262694	-0.135026	-0.642406	-0.707159	5.01221	7.99733	1.35725	0.0186666	-0.0190219	-0.0628883	-0.752686	-0.562988	-0.18042	0.65875	-0.0502618	-0.471312	-0.584284	6.98581	5.24164	5.48692	0.0441323	-0.0370386	-0.0645028	-0.606934	-0.204834	-0.609863	0.839578	0.411804	0.107738	-0.337519	-4.80716	6.30872	6.80094	-0.0328562	-0.0666958	0.0719959	0.661133	-0.397461	-0.62793	0.374531	0.711248	0.256043	-0.53693	-9.23479	3.04	-1.86254	0.0498103	0.0205003	0.0332143	0.990723	0.12207	-0.122803	0.697049	0.584382	0.0957467	-0.404292	-5.74107	7.43422	2.47521	0.178851	0.0676986	0.0263938	0.821045	-0.437744	-0.392822	0.986566	0.0763933	0.131947	0.0586622	-3.31641	2.29269	11.9508	-0.450181	0.078401	-0.0202071	0.678467	-0.195312	-0.708984	0.419308	-0.415389	-0.413525	-0.693274	9.44129	2.34592	2.9228	-0.0494001	-0.0231102	-0.0800917	-0.963135	0.173828	-0.203125	0.455797	-0.585561	-0.453683	-0.493496	9.7804	-0.511515	-0.624614	0.322138	0.0101932	0.00753537	-0.964844	0.460693	0.149902	0.462549	-0.526799	-0.510653	-0.49776	9.79565	0.579764	-0.545687	-0.049723	0.0518871	-0.010506	-1.01196	0.339844	0.100586	0.517991	-0.537487	-0.495457	-0.444202	9.71928	-0.231718	-0.327199	0.0853575	0.074675	-0.0171728	-0.913574	0.515137	0.0397949	0.523323	-0.570697	-0.496651	-0.392142	9.63605	-1.28685	-1.52963	0.00848399	0.0309708	0.00992271	-0.946777	0.647217	0.110107	
48951	0.261821	-0.133511	-0.643196	-0.707052	5.24105	8.47005	1.2501	0.0729367	0.0227239	-0.133422	-0.748047	-0.567139	-0.18042	0.65845	-0.0505075	-0.471693	-0.584293	7.05235	5.02479	5.46254	0.00244517	-0.042399	-0.00601816	-0.615479	-0.207031	-0.612305	0.838659	0.413922	0.105689	-0.337861	-4.57198	6.38734	6.93929	0.229769	-0.0857208	0.0378403	0.658936	-0.401855	-0.627686	0.377153	0.710703	0.256246	-0.535719	-9.50444	3.19682	-2.09517	-0.199014	-0.00511341	0.125209	0.993164	0.117676	-0.125	0.697402	0.584825	0.095021	-0.403213	-6.31256	7.79259	2.54654	0.0179715	0.0117731	0.109674	0.818848	-0.439697	-0.397217	0.986735	0.0730123	0.132358	0.0592002	-3.45166	2.1504	11.9244	-0.267299	0.0490535	0.00819097	0.678711	-0.199707	-0.708984	0.418911	-0.415485	-0.41364	-0.693389	9.45039	2.48251	2.52183	-0.0145173	-0.0212616	-0.0275661	-0.967529	0.173828	-0.196777	0.457748	-0.583793	-0.455329	-0.492269	9.90245	0.111657	-0.492287	0.26341	0.0180674	-0.0189177	-0.967041	0.458496	0.147461	0.462733	-0.526368	-0.510668	-0.498028	9.86675	0.263781	-0.630912	0.0180014	0.0479999	-0.0191693	-1.0144	0.342041	0.0961914	0.517398	-0.536978	-0.494895	-0.44613	9.30261	-0.832883	-0.486105	-0.0878813	0.0031579	-0.0128828	-0.907227	0.523926	0.0488281	0.523228	-0.570836	-0.496186	-0.392655	9.41699	-2.18683	-1.61513	-0.0446185	0.0350547	0.0052565	-0.947021	0.651611	0.107666	
48952	0.261901	-0.13195	-0.643663	-0.706891	5.25878	8.60473	1.24174	0.0685523	0.079905	-0.0767236	-0.748047	-0.56958	-0.173828	0.65842	-0.0502064	-0.471958	-0.584138	6.72465	4.91782	5.13849	0.0323159	-0.000123174	-0.00502648	-0.617432	-0.211426	-0.607422	0.83812	0.414856	0.10471	-0.338358	-4.46336	7.22747	7.26184	0.112049	-0.0521011	-0.00818958	0.656738	-0.401611	-0.627686	0.379876	0.710562	0.255592	-0.534293	-9.49912	3.04119	-1.98438	-0.1614	-0.00425519	0.187436	0.991211	0.113281	-0.125	0.698354	0.584208	0.0944825	-0.402587	-5.78052	7.3081	2.4266	-0.072024	-0.0341539	0.085638	0.819092	-0.442139	-0.39502	0.987014	0.0699114	0.131601	0.0599805	-3.39885	2.66599	11.7764	-0.262277	-0.0457011	0.029265	0.680664	-0.190918	-0.707031	0.41914	-0.415173	-0.41466	-0.692828	9.31887	2.39986	2.91335	0.0918121	-0.0204551	-0.0106068	-0.967773	0.180176	-0.199219	0.458241	-0.583055	-0.455454	-0.492567	9.90581	0.161114	-0.497841	0.0434326	0.0501865	-0.017676	-0.964844	0.456299	0.147705	0.463201	-0.52565	-0.511028	-0.497983	9.90104	0.516788	-0.432645	0.0657096	0.0399954	-0.0224543	-1.00977	0.342285	0.0961914	0.515056	-0.538187	-0.494263	-0.44808	9.76534	-1.43085	-0.785183	-0.13172	-0.0223156	-0.033629	-0.911377	0.515137	0.0490723	0.52406	-0.570044	-0.496431	-0.392387	9.52413	-2.00258	-1.54491	0.0900523	0.0368726	-0.00340513	-0.949219	0.649414	0.112305	
48953	0.262379	-0.130383	-0.644129	-0.70658	4.69407	8.36442	1.43654	0.0749709	0.105847	-0.0514187	-0.748047	-0.567139	-0.18042	0.657897	-0.0501703	-0.472949	-0.58393	6.8709	4.88157	5.32924	0.0505042	-0.0678457	-0.0174223	-0.61084	-0.21582	-0.609619	0.839396	0.412278	0.105727	-0.338028	-4.59431	6.68929	6.94728	-0.244017	0.00427419	-0.00341451	0.663086	-0.399658	-0.630127	0.380736	0.71129	0.254113	-0.533416	-8.99242	3.30468	-1.66933	0.0163977	0.0109188	0.152494	0.991211	0.111084	-0.120361	0.698189	0.584846	0.094012	-0.402056	-5.43361	7.55342	2.48029	0.0441682	0.00860798	0.0503122	0.8125	-0.446289	-0.401855	0.987268	0.0687635	0.130447	0.0596484	-2.8357	2.43641	12.187	-0.0999155	-0.0946978	-0.0327087	0.676514	-0.195312	-0.711182	0.419348	-0.414812	-0.416298	-0.691935	9.23949	2.29699	2.95488	0.136824	-0.0533035	-0.0236604	-0.969727	0.173828	-0.194824	0.45802	-0.582722	-0.455029	-0.493561	9.71447	-0.224116	-0.59361	-0.0499118	0.0601425	-0.0227871	-0.971191	0.456299	0.143066	0.462978	-0.525556	-0.510755	-0.498569	9.79516	0.55377	-0.479022	-0.0365595	0.0357973	-0.0187942	-1.01685	0.342041	0.0915527	0.514837	-0.538051	-0.494098	-0.448677	9.88594	-1.52361	-0.627898	0.0125105	0.0231087	-0.0195745	-0.913574	0.517334	0.0444336	0.524364	-0.569773	-0.496243	-0.392612	9.67944	-1.48133	-1.3767	0.0112881	0.0414321	-7.02457e-06	-0.949463	0.653809	0.112061	
48954	0.261584	-0.128925	-0.645034	-0.706316	4.74951	8.53827	1.51073	0.0859751	0.0196891	-0.118422	-0.743408	-0.571533	-0.182617	0.657959	-0.050184	-0.472971	-0.583841	7.22259	5.15795	5.39002	-0.000433264	0.0049578	0.00921853	-0.617432	-0.213623	-0.607178	0.840299	0.410863	0.105835	-0.337474	-4.61046	5.59755	6.498	-0.132689	-0.0159667	0.0391235	0.658936	-0.397461	-0.62793	0.382028	0.711463	0.253307	-0.532645	-8.91921	3.40772	-1.75293	-0.0505898	-0.013953	0.113749	0.989258	0.108887	-0.12915	0.698835	0.584656	0.0931242	-0.401416	-5.90611	7.62418	2.64329	-0.0272372	-0.0336936	0.0887664	0.819092	-0.444092	-0.399658	0.987403	0.0692877	0.129493	0.0588773	-2.85567	2.40324	12.8053	0.028099	-0.0839484	-0.0573833	0.678711	-0.20166	-0.713135	0.419561	-0.414758	-0.417335	-0.691213	9.54554	2.41747	2.77975	0.0878741	-0.0381371	0.00281081	-0.967285	0.171631	-0.198975	0.457794	-0.582412	-0.454738	-0.494403	9.71033	-0.307852	-0.581958	-0.0417179	0.0399894	-0.0180167	-0.962402	0.454102	0.143066	0.462433	-0.52565	-0.510284	-0.499458	9.81233	0.317923	-0.594378	-0.0787634	0.0277064	-0.0239322	-1.0144	0.339844	0.0961914	0.515674	-0.537426	-0.493615	-0.448996	9.65436	-1.09069	-0.492963	0.0540772	0.0552507	-0.0111167	-0.908936	0.508545	0.0422363	0.523931	-0.570123	-0.495683	-0.393389	9.52619	-1.93855	-1.473	-0.0811956	0.0327408	0.00184789	-0.949463	0.653809	0.114502	
48955	0.26096	-0.127257	-0.645605	-0.706328	5.05572	9.11647	1.50617	0.0625271	0.0458782	-0.116441	-0.743408	-0.571533	-0.18457	0.658093	-0.0505715	-0.472534	-0.58401	6.88212	4.89142	5.32648	-0.0535709	0.0190317	0.0149101	-0.615479	-0.204834	-0.609863	0.839891	0.412156	0.104285	-0.337396	-4.79425	6.00026	6.66086	0.146071	-0.0598312	0.0528622	0.656738	-0.399658	-0.627686	0.383408	0.711036	0.252848	-0.532442	-9.04947	3.24465	-1.65297	-0.0783132	-0.0613897	0.0553905	0.989258	0.104492	-0.124756	0.699295	0.584104	0.0917965	-0.401724	-5.90859	7.5776	2.76818	-0.0233687	-0.120192	0.0470448	0.810303	-0.444092	-0.404053	0.987558	0.0693646	0.128393	0.0585976	-3.14858	2.39475	13.069	-0.0220884	-0.0852499	-0.0290116	0.682617	-0.190918	-0.719971	0.41992	-0.414642	-0.417906	-0.69072	9.39958	2.38795	2.76864	0.0593099	-0.00725129	0.015438	-0.967285	0.171631	-0.196777	0.457542	-0.582238	-0.454107	-0.49542	9.8659	-0.33688	-0.598532	-0.0665217	0.0530404	0.000208325	-0.971436	0.458496	0.145264	0.461992	-0.525639	-0.510003	-0.500164	9.87768	0.269416	-0.592601	-0.0535854	0.0250011	-0.024449	-1.01196	0.339844	0.0983887	0.515761	-0.537279	-0.492706	-0.45007	9.68677	-0.773858	-0.408961	-0.00710893	0.0383544	-0.0280658	-0.915771	0.512939	0.0397949	0.524546	-0.569479	-0.495899	-0.39323	9.61138	-1.96228	-1.46412	0.0702525	0.0313773	0.000286378	-0.947021	0.651611	0.109863	
48956	0.260786	-0.126771	-0.645323	-0.706737	5.0472	9.02485	1.56854	-0.0248654	0.0220264	-0.0241814	-0.743164	-0.57373	-0.18042	0.657891	-0.050705	-0.472595	-0.584176	6.87359	4.72769	5.25871	-0.01932	-0.00615084	-0.0124381	-0.617676	-0.209229	-0.612061	0.840279	0.412006	0.103373	-0.336894	-4.7433	6.5454	6.85549	0.00622068	-0.0490436	0.0731587	0.654785	-0.406006	-0.629883	0.384596	0.710408	0.252807	-0.532443	-9.10283	3.06874	-1.41946	-0.0866507	-0.070665	0.00804717	0.989258	0.106689	-0.131348	0.699362	0.583655	0.0912803	-0.402378	-5.47285	7.50873	2.94083	-0.0230453	-0.0809898	-0.0245254	0.8125	-0.446289	-0.406494	0.987681	0.0696984	0.127611	0.0578322	-3.06219	2.00225	13.2102	0.012448	-0.0617074	-0.0563623	0.674072	-0.193115	-0.715576	0.420497	-0.414231	-0.419314	-0.689761	9.32078	2.1365	2.83023	0.137088	-0.0218732	0.00643052	-0.969727	0.176025	-0.201172	0.456924	-0.582161	-0.453446	-0.496685	9.82794	-0.327475	-0.60829	-0.0961349	0.0468511	-0.0135741	-0.967041	0.460693	0.145264	0.461452	-0.525699	-0.509664	-0.500945	9.83552	0.584811	-0.512733	-0.0647985	0.0239894	-0.0259308	-1.01221	0.344482	0.0961914	0.515511	-0.537314	-0.491723	-0.451388	9.78972	-0.930403	-0.423347	-0.00438511	0.00188015	-0.0170425	-0.906738	0.510742	0.0490723	0.524777	-0.56924	-0.495766	-0.393434	9.66916	-1.46974	-1.40201	0.0105616	0.0353737	0.00592969	-0.942871	0.656006	0.107666	
48957	0.260798	-0.126529	-0.644913	-0.707151	4.82706	8.70229	1.53938	-0.0367918	0.0231299	0.00466882	-0.73877	-0.573486	-0.186768	0.657508	-0.0510022	-0.472908	-0.584329	7.10929	4.92081	5.49775	-0.016763	-0.0312363	-0.0170143	-0.617432	-0.211426	-0.607422	0.840857	0.411515	0.102639	-0.336274	-4.61583	6.39552	6.76344	-0.0289274	-0.0436713	0.0762969	0.654785	-0.403809	-0.632324	0.386171	0.709843	0.252979	-0.531974	-9.19703	3.06845	-1.65261	-0.125262	-0.0398432	0.0235293	0.993652	0.106689	-0.131348	0.698962	0.583803	0.0907706	-0.402973	-5.60123	7.37065	3.06139	0.0311675	-0.0539314	-0.0373719	0.810303	-0.444092	-0.404053	0.987663	0.0713004	0.127445	0.0565353	-3.12488	1.78613	13.1361	0.120174	-0.0156053	-0.09229	0.678467	-0.195312	-0.717773	0.421038	-0.413826	-0.421076	-0.6886	9.44983	2.16196	2.93936	0.161609	-0.0439325	-0.00540786	-0.973877	0.171631	-0.19458	0.456624	-0.581589	-0.453372	-0.497696	9.66594	-0.241166	-0.62615	-0.0300917	0.0426085	-0.0333592	-0.969238	0.458496	0.149902	0.46091	-0.525751	-0.509349	-0.501708	9.74647	0.474719	-0.560776	-0.0630425	0.0175452	-0.0230078	-1.01221	0.342285	0.0915527	0.514729	-0.537766	-0.490579	-0.452984	9.80896	-1.08905	-0.53208	0.0202308	-0.00457157	-0.0144829	-0.908936	0.512939	0.0397949	0.524695	-0.569151	-0.495632	-0.393841	9.74077	-1.89552	-1.38529	-0.0166976	0.0273667	0.00257691	-0.949463	0.653809	0.105225	
