40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
5282	0.689292	-0.610911	-0.103658	-0.375392	5.71829	-7.2625	2.20946	0.0245296	0.0209705	-0.0183581	-0.186768	0.994873	-0.0593262	0.599658	-0.514354	-0.103953	-0.604188	7.5635	-4.97334	4.55368	0.00580258	0.00968384	-0.0448285	-0.461426	0.712158	-0.145996	0.507321	0.0617331	0.492458	-0.704486	-5.97316	-6.42113	5.1678	0.0450084	0.00270582	0.0172579	0.291992	0.8396	-0.241943	0.0854962	0.154434	0.313416	-0.933065	-3.42604	-5.57519	7.55825	0.0777622	0.0842612	0.0161199	-0.0131836	0.667969	-0.848389	0.356624	0.0616231	0.412378	-0.836042	-3.82397	-6.21205	6.27217	-0.0255174	0.0250285	0.014111	0.078125	0.867432	-0.526855	0.742691	-0.0360431	0.660275	-0.105581	-9.09793	-1.80464	1.17197	-0.0101657	0.00756218	-0.0043027	0.7771	0.199219	0.563965	0.620398	-0.527101	-0.322206	-0.48317	9.19818	-3.46587	2.3939	-0.0311319	0.00568484	-0.0149871	-0.689941	0.709961	-0.177734	0.423263	-0.544643	-0.483168	-0.539222	9.62951	0.57908	-0.574778	-0.00240675	0.0560731	0.00770219	-1.01221	0.351807	0.126221	0.401557	-0.50572	-0.541499	-0.53831	9.63381	1.7362	-0.964086	-0.0303185	-0.0107304	0.029988	-1.05078	0.206787	0.133789	0.400211	-0.589476	-0.478729	-0.512999	9.54852	0.182623	-1.48097	-0.0315167	0.00631943	0.041204	-0.947998	0.387451	0.231934														
5283	0.689373	-0.610767	-0.103954	-0.375395	5.83271	-7.54102	2.19521	0.0207755	-0.011246	-0.0134195	-0.186768	0.992676	-0.0549316	0.599592	-0.51393	-0.104438	-0.604531	7.41414	-4.75709	4.44491	0.0382292	0.0107137	-0.0431062	-0.461426	0.709961	-0.145996	0.507792	0.061836	0.492115	-0.704376	-6.09357	-6.50767	5.26412	0.0168945	-0.0261854	0.0367728	0.298584	0.833008	-0.241943	0.0852832	0.155797	0.312145	-0.933284	-3.7797	-5.41832	7.46701	0.1123	0.0957477	0.0324998	-0.00854492	0.665771	-0.85498	0.356528	0.0621746	0.412691	-0.835888	-3.56595	-6.26994	6.24903	-0.00987585	0.0497775	0.0146253	0.0800781	0.869629	-0.529297	0.74252	-0.0362348	0.660449	-0.105634	-9.01656	-1.75857	1.16821	-0.0105541	0.017874	-0.0142142	0.779297	0.197021	0.566162	0.620569	-0.526497	-0.322359	-0.483508	9.0823	-3.64539	2.15409	0.0343202	0.0344053	-0.0321631	-0.685791	0.712158	-0.17334	0.42372	-0.544314	-0.483129	-0.539231	9.72299	0.740024	-0.574019	0.028999	0.0336191	0.00838759	-1.01221	0.351807	0.128662	0.401411	-0.506179	-0.541005	-0.538485	9.61548	1.66408	-0.959376	-0.0495474	-0.00316876	0.0279735	-1.05298	0.206787	0.131348	0.400111	-0.589943	-0.478177	-0.513055	9.62206	0.328344	-1.4642	-0.0444659	-0.00270317	0.0379871	-0.943604	0.389893	0.234375	0.433506	-0.589028	-0.436016	-0.524413	9.8727	-0.530701	-0.733794	-0.100664	0.0144188	0.0187552	-1.00879	0.509766	0.18042	
5284	0.689465	-0.610582	-0.10411	-0.375485	6.10813	-7.51232	2.27951	0.023852	0.00324003	-0.00948683	-0.193604	0.994873	-0.0593262	0.599429	-0.513898	-0.104471	-0.604714	7.45555	-4.70871	4.49507	-0.00511353	0.00621054	-0.0182276	-0.461426	0.709961	-0.145996	0.508561	0.0621314	0.492135	-0.703782	-6.01938	-6.49728	5.28573	-0.0132413	-0.0120373	0.0752174	0.300537	0.835205	-0.246582	0.0857718	0.156636	0.312452	-0.932996	-3.82127	-5.2267	7.37305	-0.0340477	0.0559191	0.0554485	-0.0126953	0.661377	-0.848389	0.356336	0.0630041	0.412472	-0.836016	-3.77137	-6.23698	6.18447	0.0427977	0.0552524	0.0123342	0.0822754	0.871826	-0.526855	0.742535	-0.0360348	0.660366	-0.106115	-8.98719	-1.97047	1.067	0.0401147	-0.00236439	-0.0210945	0.7771	0.199219	0.570557	0.620672	-0.526149	-0.322995	-0.48333	9.05706	-3.5352	2.16145	0.0548861	-0.0189902	-0.0226826	-0.691895	0.707764	-0.175537	0.423775	-0.544144	-0.482795	-0.539658	9.72029	0.745187	-0.459705	-0.0211072	0.0438933	-0.00342071	-1.01465	0.356201	0.123779	0.401601	-0.506188	-0.540953	-0.538387	9.60588	1.51706	-0.997706	0.00866641	0.00161277	0.013709	-1.05518	0.204346	0.135986	0.399813	-0.59039	-0.477588	-0.513321	9.71114	0.399049	-1.38344	-0.0615957	0.00422083	0.02425	-0.950439	0.391846	0.227295	0.433019	-0.589591	-0.435111	-0.524934	9.91485	-0.697595	-0.651421	-0.0985822	0.0153337	0.0237609	-1.01099	0.507568	0.182861	
5285	0.689604	-0.610452	-0.103642	-0.37557	5.98112	-7.43416	2.26906	0.00260424	0.0359641	0.0231497	-0.191162	0.992676	-0.0571289	0.599343	-0.51383	-0.104424	-0.604866	7.57207	-4.8252	4.54483	-0.00408701	0.011075	-0.0095729	-0.452393	0.703613	-0.143311	0.509417	0.062243	0.492533	-0.702873	-6.08248	-6.45238	5.17143	-0.0572476	-0.00704083	0.0870337	0.302734	0.833008	-0.246338	0.0865294	0.157401	0.312833	-0.93267	-3.7949	-5.31253	7.27214	-0.0453513	0.0438094	0.0721697	-0.00170898	0.663574	-0.848389	0.355953	0.0633079	0.412445	-0.836169	-3.92138	-6.08217	6.24268	0.0211249	0.0300344	-0.0213506	0.0866699	0.871826	-0.536133	0.742824	-0.035027	0.659891	-0.107381	-8.93378	-1.75413	1.19005	0.132737	-0.0314988	-0.0216237	0.781494	0.199219	0.566162	0.62057	-0.526141	-0.3228	-0.483599	9.26731	-3.53704	2.34653	-0.0149069	0.0226855	-0.00898925	-0.69458	0.716553	-0.177734	0.423953	-0.543976	-0.48252	-0.539934	9.80618	0.621556	-0.37502	-0.00957833	0.0335114	0.00418174	-1.01025	0.358398	0.130859	0.40185	-0.506147	-0.541076	-0.538115	9.68575	1.69779	-0.856451	0.0288028	-0.000179069	0.0120722	-1.04834	0.204346	0.140381	0.399607	-0.590702	-0.477067	-0.513607	9.70857	0.305323	-1.47374	-0.0551711	0.00176726	0.01874	-0.949951	0.383057	0.236572	0.432801	-0.589909	-0.434607	-0.525173	9.85938	-0.676501	-0.618397	-0.0507065	0.00781484	0.0176661	-1.01782	0.511963	0.187256	
5286	0.689704	-0.610493	-0.102955	-0.375507	5.86375	-7.65724	2.29202	-0.0127422	0.0357972	0.0434191	-0.187012	0.999268	-0.0615234	0.599168	-0.513777	-0.10467	-0.605041	7.54331	-4.86874	4.64478	0.00508348	-0.0033745	-0.0262287	-0.461182	0.703613	-0.143311	0.510239	0.0622187	0.492543	-0.702272	-6.24628	-6.42374	5.18751	-0.028913	-0.0307296	0.0692374	0.302734	0.834961	-0.237305	0.0871952	0.158215	0.312658	-0.932529	-3.88659	-5.22315	7.30006	0.00379091	0.0414564	0.0705933	-0.00634766	0.665771	-0.841797	0.355372	0.0628426	0.412866	-0.836244	-3.69806	-6.27085	6.27695	-0.0365956	-0.000428748	-0.0586291	0.0866699	0.869629	-0.529297	0.743238	-0.0338279	0.659273	-0.108682	-9.0337	-1.61836	1.12653	0.149273	-0.0443944	-0.0156759	0.774902	0.201172	0.561768	0.620693	-0.525729	-0.322714	-0.483946	9.26893	-3.51602	2.08426	0.0158806	0.0410942	-0.0197766	-0.692383	0.714355	-0.177734	0.424168	-0.5437	-0.48247	-0.540088	9.77446	0.664042	-0.468308	0.0134538	0.0340887	-0.00263957	-1.01221	0.354004	0.126221	0.401767	-0.506323	-0.540931	-0.538158	9.62556	1.63453	-0.865337	-0.0154655	0.00276119	0.00806808	-1.05298	0.206787	0.135986	0.399604	-0.590894	-0.476727	-0.513704	9.7398	0.128314	-1.41205	-0.0219051	0.010957	0.0222633	-0.945801	0.387451	0.234375	0.432639	-0.590136	-0.434306	-0.525301	9.89765	-0.770292	-0.672139	-0.0326067	0.000865033	0.0103162	-1.00879	0.511963	0.187256	
5287	0.689974	-0.61042	-0.102446	-0.375271	5.81775	-7.74042	2.31755	0.0033159	0.0209878	0.0449453	-0.187012	0.999268	-0.0571289	0.599024	-0.51388	-0.104685	-0.605094	7.51892	-4.52853	4.53364	-0.0118676	-0.0053787	-0.00766895	-0.457031	0.709961	-0.148438	0.51107	0.0620983	0.492589	-0.701646	-6.18947	-6.42564	5.25481	-0.032125	-0.0381239	0.0621261	0.304932	0.832764	-0.239502	0.0877934	0.158801	0.312684	-0.932364	-4.09652	-4.99317	7.37109	-0.00721989	0.0245848	0.0545042	0.00268555	0.665771	-0.850586	0.354805	0.0626469	0.412542	-0.836659	-3.7278	-6.37931	6.28835	0.0360734	-0.00652268	-0.0556688	0.0800781	0.869629	-0.529297	0.74366	-0.0334174	0.658698	-0.109405	-9.10809	-1.70894	1.25974	0.070447	-0.0512704	-0.0228776	0.776611	0.207764	0.563721	0.620608	-0.525623	-0.322865	-0.48407	9.09545	-3.35518	2.10214	0.00786198	0.00537623	-0.0191712	-0.685547	0.707764	-0.17334	0.4244	-0.543393	-0.482468	-0.540216	9.71251	0.703968	-0.465135	0.0169974	0.0291051	-0.00427342	-1.01001	0.354004	0.130859	0.401784	-0.506404	-0.540915	-0.538086	9.60433	1.61878	-0.932223	0.00103513	-0.0045177	0.00576899	-1.0437	0.208984	0.133789	0.399846	-0.590907	-0.476465	-0.513744	9.59787	0.0268199	-1.33892	-0.000365729	0.019154	0.0228083	-0.943604	0.387695	0.231934	0.432703	-0.590225	-0.434191	-0.525244	9.80333	-0.778629	-0.723947	-0.00308843	-0.00102227	0.0111556	-1.01343	0.51416	0.185059	
5288	0.690322	-0.610312	-0.102016	-0.374923	5.87876	-7.60629	2.35337	0.0172129	0.0135006	0.0493253	-0.188965	0.990479	-0.0593262	0.598571	-0.51425	-0.104138	-0.605323	7.49428	-4.69031	4.66835	-0.0680951	0.0133422	-0.00249563	-0.459473	0.712158	-0.143799	0.51172	0.0622473	0.492913	-0.700931	-5.8837	-6.15793	5.28277	-0.040886	-0.00378449	0.0649435	0.304932	0.832764	-0.237305	0.088825	0.15962	0.313197	-0.931954	-3.85379	-5.14705	7.24306	-0.062339	0.0333014	0.0833806	-0.00415039	0.665771	-0.841797	0.354336	0.0626246	0.412048	-0.837103	-3.91236	-6.22575	6.29058	0.0516581	-0.00143378	-0.0409277	0.0783691	0.863037	-0.529297	0.744151	-0.0326503	0.65797	-0.110672	-9.16231	-1.75521	1.38618	0.118676	-0.0592729	-0.0332677	0.781006	0.207764	0.561768	0.620146	-0.526226	-0.322568	-0.484205	9.14192	-3.24881	2.25456	-0.0584913	-0.00485294	0.00380167	-0.692139	0.712158	-0.171387	0.424465	-0.543226	-0.482279	-0.540502	9.82688	0.670103	-0.427982	-0.00686676	0.0345775	-0.00141957	-1.01245	0.358398	0.123779	0.40175	-0.506477	-0.540832	-0.538125	9.65671	1.54752	-0.89472	-0.00882848	-0.00146708	0.00135616	-1.05103	0.213623	0.133545	0.400208	-0.590883	-0.476279	-0.513662	9.56034	0.0797965	-1.52388	0.0134572	0.014104	0.0249234	-0.946045	0.391846	0.23877	0.43283	-0.59025	-0.434117	-0.525172	9.81222	-0.708694	-0.789596	0.00411841	0.00171783	0.00808798	-1.01538	0.507568	0.189697	
5289	0.690513	-0.610433	-0.101357	-0.374555	5.84299	-7.5133	2.33591	-0.0105993	0.0164144	0.058105	-0.18457	0.992676	-0.0571289	0.598249	-0.514329	-0.103997	-0.605598	7.48019	-4.96172	4.48089	-0.0317397	0.00943013	-0.0154423	-0.461426	0.707764	-0.145996	0.511938	0.0619844	0.493557	-0.700342	-6.02919	-6.44949	5.10962	-0.0708046	0.00457858	0.0171308	0.304932	0.832764	-0.239502	0.0898297	0.160471	0.313494	-0.931612	-3.90271	-4.82399	6.93878	-0.0419023	0.0305093	0.0810294	0.000244141	0.670166	-0.841797	0.353518	0.0623082	0.411941	-0.837524	-3.76609	-6.31728	6.27357	0.0164941	0.00147137	-0.0750692	0.0827637	0.86084	-0.533691	0.744472	-0.0318953	0.657462	-0.11175	-9.07824	-1.85215	1.46486	0.106833	-0.0358133	-0.0268407	0.783203	0.203369	0.55542	0.619849	-0.526572	-0.322134	-0.484498	9.13068	-3.48675	2.14877	-0.0468458	0.0255158	0.00373753	-0.685547	0.709961	-0.175537	0.424509	-0.54303	-0.481907	-0.540996	9.70396	0.614765	-0.5178	-0.02534	0.041596	-0.00287077	-1.01245	0.356201	0.128418	0.401949	-0.506306	-0.541086	-0.537882	9.65429	1.52398	-0.997075	0.0349477	-0.00539094	-0.00584635	-1.05542	0.211182	0.137939	0.400461	-0.590906	-0.476206	-0.513505	9.60392	0.182567	-1.57896	0.0167786	0.00727032	0.0191708	-0.945801	0.387451	0.231934	0.432936	-0.5903	-0.433992	-0.525132	9.85486	-0.690028	-0.754482	-0.000996972	0.004001	0.00761404	-1.01318	0.505371	0.189697	
5290	0.690509	-0.610776	-0.100803	-0.37415	5.73925	-7.75871	2.29729	-0.0286816	0.000239388	0.050805	-0.182617	0.99707	-0.0593262	0.59831	-0.51409	-0.104172	-0.60571	7.48678	-4.69885	4.49272	0.0167432	0.00641172	-0.00572907	-0.457275	0.712158	-0.145996	0.512223	0.061969	0.493484	-0.700187	-6.31356	-6.34803	5.22064	-0.0049473	-0.0148311	0.0190102	0.300781	0.830811	-0.234863	0.0903835	0.160466	0.313874	-0.931432	-4.19161	-4.57857	7.10612	-0.0442075	-0.0289262	0.0181749	-0.00219727	0.672363	-0.846191	0.352763	0.062161	0.41186	-0.837894	-3.73563	-6.31013	6.31964	0.0180012	0.0121203	-0.0630687	0.0759277	0.865234	-0.533936	0.744618	-0.0313668	0.657226	-0.11231	-9.17207	-1.76314	1.35035	0.0662438	-0.0101592	-0.0130809	0.780762	0.212158	0.561523	0.619905	-0.526451	-0.322163	-0.484538	9.18022	-3.53465	2.18583	0.0119196	0.0169409	-0.00379521	-0.689941	0.712158	-0.171387	0.424667	-0.542818	-0.482055	-0.540952	9.68331	0.720818	-0.552538	0.0256211	0.0110456	-0.00185301	-1.01465	0.358398	0.123779	0.402071	-0.506174	-0.541227	-0.537773	9.68292	1.80249	-0.975798	0.0204387	0.00334721	-0.00909601	-1.05322	0.213379	0.144775	0.400602	-0.59098	-0.476063	-0.513444	9.62778	0.313573	-1.48969	0.000976514	0.0038724	0.0168484	-0.947998	0.387451	0.231934	0.433151	-0.59028	-0.433956	-0.525007	9.82594	-0.726757	-0.718827	0.0131459	0.00389906	0.00685119	-1.01562	0.509766	0.182861	
5291	0.69063	-0.610842	-0.100504	-0.3739	5.90411	-7.81995	2.3366	-0.00281104	0.00197444	0.0268068	-0.182617	0.999268	-0.0571289	0.598039	-0.514362	-0.103862	-0.6058	7.51788	-4.63479	4.67347	-0.0459224	0.00143478	0.00569151	-0.457031	0.710205	-0.141357	0.512826	0.0617346	0.494151	-0.699295	-6.06535	-6.24746	5.31623	-0.086517	-0.00731161	0.0519258	0.309326	0.837158	-0.230469	0.0907062	0.160029	0.315239	-0.931014	-4.04075	-5.05308	7.40803	-0.13239	-0.0517111	-0.029286	-0.00415039	0.667969	-0.837402	0.352397	0.0620978	0.412063	-0.837952	-3.7677	-6.2385	6.23065	-0.010657	0.016102	-0.0242907	0.0822754	0.869629	-0.524658	0.744633	-0.0311923	0.657186	-0.112499	-9.07246	-1.78883	1.43612	0.0191387	0.00335396	-0.0049173	0.781006	0.209961	0.563721	0.619945	-0.526518	-0.322062	-0.484482	9.13124	-3.37458	2.2818	0.0039155	0.0175547	0.0101136	-0.687744	0.712158	-0.177734	0.424693	-0.542689	-0.48211	-0.541012	9.85812	0.792144	-0.548307	0.00720547	0.00612228	-0.00323749	-1.01245	0.356201	0.126221	0.40191	-0.506271	-0.541022	-0.538009	9.71947	1.48982	-0.985122	-0.026585	0.0132665	-0.00707259	-1.05322	0.213379	0.140137	0.400698	-0.591031	-0.475828	-0.513528	9.60192	0.358756	-1.42169	-0.00950941	0.0129242	0.0159638	-0.945801	0.389648	0.23877	0.433514	-0.590176	-0.434035	-0.524758	9.83384	-0.65823	-0.714392	0.0319337	0.00259842	0.00651725	-1.00684	0.516357	0.189453	
