40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
23547	0.574238	-0.343547	-0.3778	-0.639916	9.04896	0.925668	4.95292	0.0217539	-0.0230667	-0.0255917	-0.844238	0.343994	-0.445068	0.435334	-0.554694	-0.500341	-0.502451	9.79031	0.206471	-1.13957	0.00437331	0.0373047	-0.0895374	-0.862061	0.2854	0.131592	0.718931	-0.052628	-0.0721579	-0.689319	1.92253	0.256491	10.6989	-0.0163093	-0.0408356	0.00817166	-0.1604	0.296143	-1.01147	0.770783	-0.139463	0.147865	-0.603804	-0.571903	-3.79239	8.90358	0.206354	-0.0445184	-0.00458908	0.179443	0.831299	-0.763184	0.73134	-0.000934021	-0.124189	-0.67061	1.73795	1.58819	9.23641	0.108981	0.0393259	-0.0446739	-0.142334	0.223145	-1.01074	0.780091	0.0215456	-0.0206197	-0.624955	0.0670009	0.804656	13.0891	0.157797	0.00872496	-0.0299429	0.10791	0.403076	-1.02856	0.318907	-0.651563	-0.600659	-0.336116	7.55655	-0.107386	-5.24496	0.0373266	0.0468058	-0.0376634	-0.784424	0.391357	0.570801	0.829656	-0.114453	0.0233213	-0.545919	0.941864	-2.37596	10.6964	-0.0571515	0.0565477	-0.0236621	0.115967	0.630127	-0.861572	0.248211	-0.571188	-0.754202	-0.208121	5.60836	0.27717	-7.23367	-0.00499779	0.0286354	0.021184	-0.730957	0.334473	0.769043	0.658532	0.0377209	-0.0991441	-0.745039	0.758953	2.03208	9.98874	0.116527	0.0173496	0.0364079	-0.122559	0.239746	-1.04907	0.119713	-0.65631	-0.695468	-0.266927	4.89827	2.02567	-7.86131	0.0848296	-0.0103825	-0.0598487	-0.600586	0.28418	0.947754	
23548	0.574099	-0.34333	-0.378157	-0.639947	9.37274	1.1299	4.76783	0.0234866	-0.0086425	-0.0249357	-0.846436	0.346191	-0.447266	0.434656	-0.555137	-0.500325	-0.502566	9.95002	0.0246571	-0.972012	-0.0507268	-0.0392818	-0.012865	-0.864502	0.289795	0.131348	0.718925	-0.0520662	-0.0738727	-0.689188	2.02547	0.33541	10.9929	0.127608	-0.0682323	-0.0032611	-0.162598	0.289795	-1.01587	0.771209	-0.138326	0.145887	-0.604003	-0.632975	-2.97798	9.42696	0.172776	-0.0697794	-0.000284633	0.177002	0.833496	-0.769775	0.731173	-0.000135077	-0.124974	-0.670647	1.69208	2.13456	9.62547	0.0885053	-0.00474407	-0.0190796	-0.139648	0.212158	-1.00391	0.779708	0.0218979	-0.0208034	-0.625415	0.0179336	0.874573	13.4021	0.0310733	0.00472712	-0.0481467	0.112061	0.405273	-1.02856	0.319311	-0.651223	-0.601806	-0.334333	7.82698	-0.249327	-5.90344	0.146272	-0.0936451	-0.0197233	-0.782471	0.395752	0.574951	0.82952	-0.115457	0.0245213	-0.545862	0.524766	-3.11168	10.4016	-0.120369	0.0355484	0.0069646	0.113525	0.634277	-0.859375	0.247894	-0.570743	-0.754321	-0.209285	5.71673	-0.221642	-7.3007	-0.0739213	0.0391251	-0.0606892	-0.730957	0.329834	0.77124	0.658501	0.0383052	-0.100174	-0.744899	1.19673	2.29855	10.2138	0.0933459	-0.0192295	0.00398498	-0.118164	0.237549	-1.05151	0.119317	-0.656164	-0.695658	-0.266968	5.08471	2.29705	-8.10497	-0.0176697	-0.0185944	-0.0270474	-0.600586	0.281982	0.947754	
23549	0.574469	-0.343213	-0.37748	-0.640078	9.4314	1.17636	4.6286	-0.023498	0.0506611	0.0276468	-0.844482	0.352783	-0.45166	0.434689	-0.555104	-0.500044	-0.502853	9.83284	0.248157	-0.944434	-0.0210949	0.0225096	0.0018629	-0.862305	0.291992	0.131348	0.718836	-0.0527276	-0.073919	-0.689225	2.13528	0.929961	11.0004	-0.0365826	-0.0399902	-0.00341729	-0.168945	0.291992	-1.01587	0.771038	-0.14136	0.14674	-0.603311	-0.779898	-3.07108	9.68706	-0.238812	-0.099567	0.00856263	0.174561	0.837646	-0.763184	0.731037	-0.00201897	-0.123614	-0.671044	1.50477	2.18603	9.88162	-0.188685	-0.0262575	-0.0121759	-0.140137	0.220947	-1.01538	0.779363	0.0210549	-0.0202155	-0.625892	-0.234507	0.600104	13.6162	-0.0819407	-0.0073946	-0.0467858	0.109863	0.407471	-1.02441	0.318771	-0.651621	-0.602667	-0.332517	8.14084	0.133424	-5.60703	0.0735002	-0.148827	0.00515396	-0.77832	0.397949	0.572754	0.829995	-0.114647	0.0240701	-0.54533	0.924547	-3.27581	10.6844	0.079331	0.00288779	0.0562607	0.120117	0.632324	-0.871094	0.248909	-0.56936	-0.75516	-0.208821	5.57911	-0.700467	-7.73166	0.115848	0.0467903	-0.0956276	-0.733154	0.330078	0.764648	0.658314	0.0385307	-0.100303	-0.745035	1.3067	2.11545	10.7155	0.0193367	-0.00177654	-0.0213044	-0.118164	0.241943	-1.05151	0.117731	-0.656563	-0.695069	-0.268224	5.71083	2.46921	-8.2757	-0.169281	-0.0253188	0.00742984	-0.598145	0.275391	0.943115	
23550	0.575122	-0.343397	-0.376047	-0.640235	9.30652	0.966152	4.76321	-0.0708617	0.0768048	0.0707041	-0.838135	0.35498	-0.447266	0.434615	-0.554603	-0.499952	-0.50356	9.66995	0.584817	-1.03117	-0.0184756	0.0492699	-0.0435313	-0.866943	0.296143	0.131104	0.718717	-0.0551821	-0.0717326	-0.689387	1.97895	0.426589	10.532	-0.264737	-0.00350215	0.00980602	-0.164795	0.300781	-1.00708	0.770699	-0.145499	0.149011	-0.602203	-0.481382	-3.85909	9.67505	-0.385562	-0.068808	0.0286381	0.176514	0.846436	-0.754639	0.73095	-0.00364461	-0.12197	-0.671433	1.81217	1.49352	9.71995	-0.189789	0.00169608	-0.0115002	-0.144775	0.229736	-1.00391	0.778759	0.0205807	-0.0199746	-0.626667	-0.0329759	0.334489	13.6501	-0.04115	-0.0121037	-0.0781662	0.111572	0.41626	-1.02466	0.317465	-0.652527	-0.603532	-0.330415	7.70202	0.148631	-4.97917	0.0340294	-0.218052	0.018031	-0.776611	0.406738	0.579102	0.830668	-0.113422	0.0239147	-0.544568	1.1321	-2.48725	10.7682	0.094282	0.0317028	0.078144	0.118164	0.630127	-0.864014	0.250389	-0.568104	-0.755958	-0.207581	5.80295	-0.048665	-7.49967	0.177608	0.0391752	-0.0651075	-0.736084	0.341309	0.764404	0.657701	0.0385921	-0.10038	-0.745563	0.965598	1.40877	10.527	0.00609211	-0.0117535	-0.0665537	-0.11792	0.233154	-1.05127	0.115258	-0.656874	-0.694343	-0.270405	5.80961	3.14989	-8.09018	-0.268739	-0.0244737	-0.0180093	-0.591064	0.270996	0.943359	
23551	0.575477	-0.343905	-0.374843	-0.640351	9.35777	0.752238	4.82638	-0.0805054	0.0441484	0.0614211	-0.840332	0.35498	-0.449463	0.434264	-0.554293	-0.499715	-0.50444	9.94756	0.373118	-0.986345	-0.0498696	0.0424171	-0.0443419	-0.869141	0.293945	0.124268	0.718567	-0.0555178	-0.071385	-0.689553	2.1554	-0.204681	10.4476	-0.0429406	0.00427204	-0.013195	-0.162842	0.302734	-1.01172	0.770836	-0.146372	0.149823	-0.601614	-0.138186	-4.03674	9.36893	-0.104121	-0.000511418	0.0416037	0.172363	0.842041	-0.759033	0.730884	-0.00263484	-0.122399	-0.671431	1.98289	1.41598	9.57309	0.0814939	0.0299712	-0.0124373	-0.146729	0.223145	-1.00146	0.777872	0.0206756	-0.0202094	-0.627758	0.238981	0.303627	13.7272	0.0209669	-0.0147979	-0.112103	0.114014	0.411865	-1.02441	0.316495	-0.652815	-0.604783	-0.328484	7.61367	0.0774605	-5.0452	0.0703972	-0.187926	-0.0262409	-0.780762	0.404541	0.587646	0.831046	-0.114264	0.0254585	-0.543744	0.185234	-2.7816	10.7022	-0.116911	0.0600733	0.0846268	0.115967	0.632324	-0.861572	0.251532	-0.566492	-0.756989	-0.206846	5.9868	-0.536811	-7.2412	0.141229	0.0431601	-0.114153	-0.738037	0.332275	0.764648	0.656795	0.0409509	-0.102235	-0.745984	0.867306	1.04092	10.1792	0.239198	0.0307215	-0.0918397	-0.12207	0.22876	-1.04663	0.111502	-0.656278	-0.694179	-0.27383	4.98702	2.36886	-7.88893	-0.379549	-0.0198131	-0.135057	-0.594971	0.255615	0.952637	
23552	0.575823	-0.343895	-0.37348	-0.640841	9.64791	0.69557	4.94535	-0.0759248	0.0901917	0.0312833	-0.840332	0.35498	-0.445068	0.434253	-0.553723	-0.499532	-0.505256	9.97905	0.354056	-1.15829	-0.0228927	0.054611	-0.040338	-0.868652	0.287598	0.133789	0.718514	-0.0541032	-0.0728017	-0.689572	2.23352	0.413793	10.7165	0.159347	-0.00192284	-0.0189282	-0.169189	0.296387	-1.01831	0.771297	-0.144082	0.148773	-0.601837	-0.413695	-3.6376	9.33937	0.193214	0.046053	0.0246826	0.17041	0.835449	-0.758789	0.730714	-0.00105289	-0.123645	-0.671393	1.93617	2.21823	9.7082	0.16079	0.0160118	-0.0216686	-0.144287	0.216553	-1.00854	0.777004	0.0214397	-0.0207989	-0.628786	0.397272	0.260514	13.6191	0.0847043	-0.00157667	-0.107869	0.105225	0.411865	-1.03076	0.315581	-0.652969	-0.606493	-0.325893	8.26274	0.19591	-5.32139	0.122159	-0.229467	-0.0373226	-0.77417	0.402344	0.589844	0.831642	-0.114948	0.0258191	-0.542671	0.164514	-2.4102	10.6485	-0.0483632	-0.0168125	0.101557	0.11792	0.636475	-0.859375	0.253947	-0.564758	-0.75831	-0.203778	5.52821	0.319242	-7.26265	0.341928	0.00811758	-0.0710853	-0.738037	0.336914	0.757812	0.655858	0.0448653	-0.105994	-0.746058	0.993158	1.4123	10.0061	0.445481	0.0307687	-0.0814127	-0.119385	0.213379	-1.05078	0.109504	-0.654966	-0.695278	-0.274985	4.87113	1.14596	-7.92591	-0.125934	-0.0374155	-0.181858	-0.596924	0.251221	0.952637	
23553	0.576288	-0.34345	-0.371734	-0.641676	9.34274	0.637839	5.11609	-0.0802164	0.152121	0.0181009	-0.837891	0.352783	-0.447266	0.433918	-0.553003	-0.499691	-0.506173	10.1141	0.567075	-1.32151	-0.0184338	0.0514611	-0.0763674	-0.864258	0.2854	0.131592	0.718271	-0.0530885	-0.0736576	-0.689813	2.09124	0.630075	10.8068	0.101971	0.0159657	-0.0357826	-0.168945	0.294189	-1.01147	0.771608	-0.142485	0.148002	-0.602009	-0.613788	-2.98465	9.22134	0.129904	0.0325207	0.0159273	0.176758	0.842041	-0.76123	0.730302	-0.000990681	-0.124042	-0.671767	1.99614	2.26437	9.71367	0.0159193	-0.0212308	-0.0435316	-0.144531	0.220947	-1.0061	0.776483	0.021926	-0.0211787	-0.6294	0.318598	0.444584	13.3364	0.0627778	0.00244235	-0.0648069	0.105225	0.411865	-1.02661	0.31661	-0.652111	-0.606579	-0.326453	8.18128	0.159193	-5.50973	0.0566182	0.093136	-0.0282987	-0.771973	0.404541	0.583252	0.831665	-0.116418	0.026169	-0.542305	0.657121	-1.97679	10.824	-0.103844	-0.0504701	0.0274066	0.115967	0.632324	-0.859375	0.25496	-0.564673	-0.758542	-0.201876	5.49697	1.12175	-6.90042	0.157657	-0.0277324	0.0324974	-0.733643	0.34375	0.757812	0.655189	0.0475057	-0.109478	-0.745979	0.857215	1.80235	10.3337	0.369485	-0.0281577	-0.0492811	-0.123291	0.202393	-1.05518	0.107205	-0.654149	-0.696	-0.276008	5.69196	1.08617	-7.8779	-0.157592	-0.0678975	-0.146383	-0.596924	0.249023	0.957275	
23554	0.576352	-0.34306	-0.370691	-0.64243	8.87185	0.502928	5.19415	-0.054209	0.103013	-0.0188584	-0.833496	0.353027	-0.453613	0.433234	-0.552576	-0.499818	-0.507099	10.149	0.514384	-0.976464	-0.0457347	0.0288367	-0.0742892	-0.868652	0.2854	0.133789	0.718021	-0.0523646	-0.0744691	-0.690043	2.14332	0.597528	10.7725	0.0788658	0.00432006	-0.0327457	-0.162598	0.294189	-1.01587	0.771639	-0.142102	0.14778	-0.602114	-0.471096	-3.27801	9.06423	0.0121593	0.00987016	-0.00260902	0.181396	0.837891	-0.763184	0.730121	-0.00106587	-0.124508	-0.671877	1.89491	2.00963	9.49047	0.00766604	-0.0282234	-0.0133674	-0.144287	0.216553	-1.00854	0.776231	0.0218554	-0.0215485	-0.629701	0.15704	0.383921	13.3521	0.0320086	-0.0207797	-0.0311174	0.105469	0.407471	-1.02222	0.317287	-0.651302	-0.605727	-0.328984	7.92544	-0.0516047	-5.14137	-0.0813383	0.196676	-0.0332017	-0.773926	0.400146	0.581299	0.831211	-0.118047	0.0261211	-0.542652	0.299319	-2.47201	10.5659	-0.106704	-0.0798592	-0.0456436	0.122314	0.632324	-0.856934	0.254259	-0.565501	-0.758076	-0.202193	5.88337	1.59752	-7.04192	-0.074013	-0.0332324	0.0544314	-0.736084	0.34375	0.76001	0.655167	0.0483768	-0.110616	-0.745775	1.21325	2.41914	10.9995	0.14019	-0.000939965	0.00249441	-0.121094	0.200195	-1.05054	0.106493	-0.653301	-0.696751	-0.276397	6.03696	0.0191197	-8.34157	-0.0516711	-0.0209079	-0.119956	-0.597168	0.253418	0.959473	
23555	0.575725	-0.342764	-0.371254	-0.642825	8.61592	0.506408	5.14837	0.0162019	-0.0148801	-0.0837963	-0.840088	0.35083	-0.455811	0.432658	-0.552452	-0.49975	-0.507794	9.95011	0.356772	-0.880646	-0.049079	0.0167624	-0.0383524	-0.862061	0.283203	0.131592	0.717939	-0.0515703	-0.0757536	-0.690048	2.02934	0.538313	10.8888	0.106848	-0.0245076	-0.0146768	-0.166748	0.287842	-1.01343	0.771677	-0.1407	0.146444	-0.602721	-0.64758	-3.36576	9.13381	0.126645	-0.00314452	-0.0339191	0.177002	0.837891	-0.765381	0.729932	-0.000939988	-0.125147	-0.671965	1.57181	2.08085	9.45006	0.0242524	-0.028437	-0.0144031	-0.146484	0.216553	-1.00854	0.776276	0.0214276	-0.0217977	-0.629652	-0.0334571	0.522418	13.5033	0.0095824	-0.0292077	0.00577019	0.0991211	0.407471	-1.02856	0.317887	-0.650473	-0.605143	-0.331111	7.93721	0.0103375	-5.29207	-0.0568249	0.162182	-0.0399575	-0.780518	0.397949	0.572754	0.830948	-0.117124	0.0256338	-0.543277	0.754579	-2.58065	11.2218	0.0812518	-0.00968162	-0.0608674	0.115723	0.634521	-0.868652	0.2535	-0.565941	-0.757759	-0.203102	6.46975	0.0164446	-7.70396	-0.0853008	-0.0114939	0.0244073	-0.733643	0.34375	0.764404	0.656226	0.0468919	-0.10857	-0.745239	1.46494	2.7537	10.9295	-0.174073	0.0385401	0.0909132	-0.121338	0.206787	-1.05762	0.109654	-0.653137	-0.697161	-0.274506	5.81488	0.642695	-8.37779	0.234427	0.0529726	0.0193742	-0.592529	0.253418	0.957275	
23556	0.574595	-0.342869	-0.372891	-0.642833	8.73939	0.898236	5.07847	0.0534636	-0.113516	-0.112398	-0.840088	0.350586	-0.45166	0.432954	-0.551683	-0.499572	-0.508552	9.83005	0.369001	-0.920791	0.00462664	0.0800048	-0.0258325	-0.862061	0.281006	0.126953	0.717606	-0.0506365	-0.0768108	-0.690346	2.13471	0.667462	10.7766	0.0965239	-0.00044563	-0.0436923	-0.162354	0.2854	-1.01807	0.771613	-0.140212	0.145456	-0.603155	-0.600547	-3.06115	9.4809	0.0428541	-0.028158	-0.0358529	0.177002	0.835693	-0.765381	0.729553	-0.00110928	-0.1256	-0.672291	1.43092	1.95092	9.47417	-0.0101157	-0.0372242	-0.0334287	-0.148682	0.21875	-1.00391	0.776495	0.0207872	-0.0215929	-0.62941	-0.103191	0.363792	13.3784	-0.0223	-0.0133261	0.0262576	0.103271	0.407471	-1.02637	0.318164	-0.649947	-0.604416	-0.333199	7.75088	0.136672	-5.17612	-0.0846335	0.130962	-0.0233151	-0.780518	0.397949	0.579346	0.830089	-0.115495	0.0254487	-0.544946	0.874856	-2.39198	11.2737	0.113644	0.0538378	-0.148845	0.115723	0.636475	-0.856934	0.253905	-0.566954	-0.756993	-0.202627	6.11367	0.334186	-7.7621	0.0294771	-0.00979366	0.123667	-0.731445	0.34375	0.76001	0.657476	0.0433252	-0.104762	-0.744898	1.25634	1.93367	9.98292	-0.393838	0.0165503	0.101306	-0.119385	0.215576	-1.05322	0.113688	-0.653939	-0.696511	-0.2726	5.00115	1.98846	-7.90765	0.226866	0.0815808	0.132204	-0.597412	0.262207	0.950195	
