40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.127263	-0.0571756	-0.311041	-0.9401	0.134513	6.76175	8.37297	-0.0995365	0.047209	0.0611742	-0.38916	-0.630371	-0.746338	0.0214584	-0.265988	-0.824193	-0.499496	2.79028	7.60247	-4.99181	-0.221511	0.0420962	0.0398121	-0.573242	-0.756592	0.537842	0.712273	-0.0915429	-0.675995	-0.165279	10.226	1.01331	1.96506	0.117067	0.049129	-0.0915675	-1.07324	-0.0717773	-0.456299	0.437404	0.614163	-0.347358	0.557515	10.0781	1.15872	0.0805195	-0.0146931	0.150749	0.0290227	-1.00684	-0.371582	0.275391	-0.277988	0.493577	-0.127108	-0.814216	-8.17307	-0.786973	4.66898	0.274289	-0.152057	-0.112227	0.677979	-0.151855	-0.774414	0.151461	0.711358	0.318828	-0.607765	-8.85958	-2.40464	4.2427	0.0490999	-0.119422	-0.0473399	0.787109	0.552734	-0.371094	-0.0491612	-0.407293	-0.845889	-0.340833	2.12703	5.36987	-6.88309	0.0120097	-0.0553327	0.105316	-0.449463	-0.381104	0.879395	0.896562	-0.182253	-0.0569197	-0.399651	2.9614	-3.04753	10.3289	-0.0773246	0.130162	-0.0912153	-0.0119629	0.531982	-0.920166	0.609675	-0.286199	-0.701738	-0.232273	9.48615	0.329952	-1.0482	-0.0722753	-0.0752176	-0.00496461	-1.07446	0.165283	-0.0957031	0.322986	-0.251016	-0.678068	-0.610651	7.63854	6.69414	0.168571	0.358799	-0.177617	-0.0568956	-0.998291	-0.380859	0.0126953	0.353256	-0.234294	-0.647122	-0.63368	7.31862	5.70971	0.649902	0.0776826	0.0909066	-0.101918	-1.0979	-0.328125	-0.104492	
1	-0.122975	-0.0570088	-0.309127	-0.941311	-0.28378	6.72341	8.44279	-0.0706533	0.0223327	0.178794	-0.39209	-0.619629	-0.742188	0.023583	-0.269285	-0.819966	-0.504564	3.01395	8.01024	-4.94307	-0.164677	0.0730111	0.147364	-0.586426	-0.754395	0.523438	0.71369	-0.0847526	-0.67579	-0.163623	9.44051	0.247198	0.734684	0.338247	0.101256	-0.148395	-1.07739	-0.0825195	-0.465088	0.43919	0.607689	-0.341252	0.566899	9.43798	1.16544	0.202539	0.0974588	0.363444	0.0823307	-1.01196	-0.360352	0.248779	-0.280762	0.490402	-0.12517	-0.815482	-8.52735	-0.563721	4.85339	-0.0663366	-0.159329	-0.0650627	0.676025	-0.154053	-0.779053	0.15128	0.710319	0.319138	-0.608861	-9.21617	-2.63504	4.17864	0.0065936	-0.065265	-0.0852025	0.784912	0.557129	-0.364746	-0.0479275	-0.408694	-0.845258	-0.340897	1.90352	5.68962	-6.81006	0.0341617	0.0566676	0.134716	-0.453613	-0.381104	0.877441	0.896392	-0.180544	-0.0555471	-0.400998	3.51108	-2.98519	9.89728	0.0749933	0.193294	-0.106821	-0.0119629	0.534424	-0.927246	0.608564	-0.287741	-0.701879	-0.232853	9.68559	-0.14131	-1.59186	-0.126883	-0.0764735	0.0133458	-1.07202	0.163086	-0.095459	0.321572	-0.251186	-0.677406	-0.61206	7.8558	6.7191	0.122023	-0.227618	0.0336205	-0.0303129	-1.00073	-0.378662	0.0102539	0.352287	-0.231712	-0.648258	-0.634007	7.47387	6.47286	1.15391	-0.0849704	0.0190992	-0.109629	-1.09302	-0.334717	-0.104492	
2	-0.121458	-0.0575486	-0.307993	-0.941847	-0.331441	6.85082	8.46226	-0.0829607	-0.0202979	0.129483	-0.387451	-0.621582	-0.748535	0.0232351	-0.270651	-0.818621	-0.506031	3.18372	8.13666	-4.93018	-0.1657	-0.0316943	0.083155	-0.581543	-0.763184	0.528564	0.714115	-0.0826481	-0.675622	-0.163537	10.0482	0.896288	0.257399	0.117198	0.0540863	-0.105317	-1.0752	-0.0869141	-0.469482	0.44105	0.603094	-0.337039	0.57285	9.96901	1.34831	0.629212	0.0503501	0.369801	0.022216	-1.02051	-0.364746	0.233398	-0.28143	0.488549	-0.124326	-0.816492	-8.22723	-0.399524	5.2596	0.0045284	-0.17662	-0.0494901	0.666992	-0.147461	-0.783691	0.152718	0.707916	0.320839	-0.610405	-9.26447	-3.16107	4.14542	-0.0871702	-0.0997341	-0.0514289	0.782715	0.559082	-0.369141	-0.0452806	-0.410715	-0.843877	-0.342249	1.668	6.18245	-7.49521	-0.0458536	0.0382061	0.1013	-0.460205	-0.381104	0.87085	0.895825	-0.177876	-0.0532409	-0.403761	2.94381	-3.01551	10.3433	0.0130481	0.134696	-0.111143	-0.000976562	0.532227	-0.927246	0.607611	-0.289289	-0.702114	-0.232716	10.0061	-0.230473	-1.382	-0.0815334	-0.0888359	0.0495468	-1.0791	0.16748	-0.0910645	0.321282	-0.251181	-0.676111	-0.613645	7.96639	6.45411	-0.123423	-0.154996	0.0636522	-0.0274527	-0.993896	-0.378662	0.00805664	0.350951	-0.231885	-0.647181	-0.635783	7.81559	6.54706	0.913804	-0.172884	-0.00490554	-0.0938613	-1.09741	-0.334717	-0.104492	
3	-0.122051	-0.0582038	-0.304853	-0.942752	-0.0681986	6.27594	8.35378	-0.117877	-0.0455971	-0.0684598	-0.392334	-0.613037	-0.746582	0.0229776	-0.272253	-0.816977	-0.507838	3.65694	8.1345	-4.98836	-0.0940289	0.00718291	0.0329548	-0.586182	-0.758789	0.519043	0.714998	-0.0787501	-0.675095	-0.163778	10.1248	-0.870535	1.59502	0.276527	0.114907	-0.156103	-1.07495	-0.104492	-0.459961	0.441995	0.600115	-0.334576	0.576681	10.0505	2.6475	1.1862	0.0639608	0.439202	0.0566713	-1.02075	-0.362549	0.229004	-0.280992	0.486751	-0.119427	-0.818446	-8.78886	-0.839479	5.36593	-0.263626	-0.123032	-0.0367459	0.668701	-0.138672	-0.783691	0.157121	0.705367	0.322969	-0.611115	-9.6398	-3.61495	4.52828	-0.21203	-0.062716	0.00180456	0.77832	0.556885	-0.371094	-0.0443775	-0.412391	-0.842652	-0.34337	1.97468	6.21034	-7.29603	-0.0612978	0.0229613	0.053756	-0.464355	-0.381104	0.873047	0.894694	-0.17838	-0.0520631	-0.406193	3.69679	-3.2502	10.3382	-0.0317749	0.0699905	-0.0986697	-0.00537109	0.530029	-0.929443	0.605042	-0.292838	-0.70254	-0.233683	10.1745	-0.456323	-1.79259	-0.106082	-0.0409228	-0.00896451	-1.07471	0.172119	-0.0822754	0.321603	-0.250143	-0.674995	-0.615128	7.67671	6.70557	-0.456669	-0.0509073	0.070371	-0.0270542	-1.00049	-0.383057	0.00146484	0.349704	-0.230701	-0.648455	-0.635602	7.8983	7.07101	0.403809	0.110277	0.00860224	-0.0697404	-1.09302	-0.334717	-0.104492	
4	-0.124456	-0.0575914	-0.303444	-0.942929	-0.161755	6.41473	8.19833	-0.0474503	-0.00157715	-0.0691959	-0.391846	-0.621582	-0.755127	0.0224164	-0.27335	-0.815774	-0.509205	2.70612	8.07141	-4.93304	-0.0451082	-0.0540289	0.0196368	-0.577637	-0.754395	0.523438	0.716824	-0.0713864	-0.674949	-0.159722	9.64253	-0.279101	0.0404085	0.234547	0.0610372	-0.0730206	-1.06836	-0.113037	-0.473389	0.444503	0.594946	-0.330262	0.582566	9.55346	0.966533	0.605977	0.0258821	0.373127	0.0136586	-1.02295	-0.360107	0.207031	-0.283258	0.486337	-0.120696	-0.817725	-8.515	-0.957091	4.69422	0.103093	0.0590624	-0.0888879	0.666992	-0.147461	-0.783691	0.156362	0.705192	0.321573	-0.612247	-9.16318	-3.03706	4.573	0.152652	0.0581336	-0.00451197	0.784668	0.563477	-0.369141	-0.0435433	-0.411873	-0.841513	-0.346873	1.36372	5.96697	-7.18222	-0.113692	0.118163	-0.000855425	-0.464355	-0.381104	0.87085	0.894677	-0.178119	-0.0520795	-0.406342	3.60653	-3.3002	10.1633	-0.0100756	0.00460562	0.00121519	-0.00561523	0.534424	-0.929443	0.604715	-0.292012	-0.703599	-0.232375	9.46173	-0.160633	-1.90458	0.135384	-0.015165	-0.0355914	-1.07471	0.172119	-0.0844727	0.320802	-0.249734	-0.677688	-0.612746	7.26187	6.96264	-0.287404	0.132294	-0.0782422	-0.0107323	-1.00024	-0.389648	0.0175781	0.348899	-0.231794	-0.644753	-0.639402	7.16899	6.53648	0.413506	-0.266086	0.0463272	0.00413962	-1.09058	-0.341309	-0.108887	
5	-0.123896	-0.0575676	-0.30465	-0.942616	-0.154316	6.9039	8.29322	0.0781873	0.0125127	0.0205387	-0.389648	-0.621582	-0.748535	0.0213068	-0.273467	-0.81596	-0.508892	2.90097	8.16129	-4.37861	-0.0127833	0.00802402	-0.0540579	-0.575195	-0.763184	0.521484	0.71564	-0.0742884	-0.675554	-0.161145	9.83834	0.559389	0.838826	-0.431772	-0.115727	0.123692	-1.07275	-0.104492	-0.471436	0.445552	0.594934	-0.33239	0.580563	9.35926	1.02204	0.80802	-0.100689	-0.191867	-0.0153933	-1.02075	-0.360107	0.209229	-0.282352	0.48789	-0.121658	-0.81697	-8.05888	-0.0927463	5.11264	-0.103621	0.114064	0.0207338	0.666748	-0.140869	-0.779053	0.158226	0.706538	0.323814	-0.609026	-9.06377	-3.17608	4.14067	-0.179368	0.151136	0.000506187	0.784424	0.567871	-0.358643	-0.043243	-0.411252	-0.841709	-0.347172	1.71024	6.05418	-6.51386	0.0390319	0.0421661	-0.0406004	-0.468506	-0.385498	0.868896	0.895203	-0.177026	-0.0526613	-0.405586	3.24337	-2.70847	9.83696	0.014096	0.00294521	0.0167678	-0.00952148	0.525635	-0.927002	0.60448	-0.292533	-0.703434	-0.23283	9.67805	-0.422511	-1.594	-0.00893841	0.0106059	-0.000467402	-1.07471	0.169678	-0.0866699	0.319978	-0.250245	-0.677161	-0.613551	7.14623	6.43203	-0.204388	-0.0617611	0.0273226	-0.0322428	-0.99585	-0.387451	0.00830078	0.348531	-0.232744	-0.643714	-0.640303	7.03685	6.58616	0.772716	0.0174847	-0.0284858	0.0123777	-1.09497	-0.339111	-0.115723	
6	-0.122442	-0.0571887	-0.30448	-0.942883	-0.0685842	6.49212	8.30599	-0.016825	0.0250914	0.0355107	-0.391846	-0.621582	-0.755127	0.02065	-0.272985	-0.815927	-0.509231	3.20975	7.98366	-4.89718	-0.00445209	0.00138553	-0.0528846	-0.579346	-0.765381	0.516846	0.713931	-0.081923	-0.675687	-0.164434	9.84058	-0.153347	1.29008	-0.0898224	-0.0106293	0.0386704	-1.073	-0.0849609	-0.458252	0.444961	0.597176	-0.335354	0.576999	9.81729	1.61901	0.433806	-0.0571244	-0.142604	0.0064716	-1.02515	-0.360107	0.211426	-0.278815	0.492106	-0.117001	-0.816336	-8.86361	-1.1245	4.44389	-0.177795	0.122614	0.0148731	0.681641	-0.13208	-0.783691	0.15954	0.708315	0.325219	-0.605862	-9.56301	-2.57393	3.7942	-0.12898	0.159421	0.0378857	0.789062	0.563477	-0.349854	-0.0409159	-0.410189	-0.84192	-0.348198	1.86121	5.80594	-6.98298	0.0441147	0.125598	-0.0296394	-0.473145	-0.381104	0.868896	0.895607	-0.177453	-0.0526575	-0.404506	3.23742	-3.02341	10.2308	0.0685708	0.0342199	0.0223689	-0.00317383	0.532227	-0.922607	0.605238	-0.291569	-0.703537	-0.231755	9.8346	-0.243744	-1.46162	0.084031	0.0124309	-0.00790837	-1.07471	0.172119	-0.0844727	0.319816	-0.249844	-0.678407	-0.612421	7.25191	6.41522	-0.71426	0.0692821	-0.0331232	0.00260332	-0.998291	-0.383057	0.017334	0.348494	-0.23308	-0.644229	-0.639683	7.18562	6.7573	0.55713	0.0520216	-0.0359184	0.0180029	-1.08813	-0.343506	-0.111084	
7	-0.12333	-0.0557734	-0.304714	-0.942777	0.0883126	7.10122	8.49308	-0.00934379	0.0515293	-0.0755506	-0.385254	-0.619385	-0.75293	0.0199008	-0.271957	-0.81622	-0.509341	3.07923	8.17217	-4.55304	-0.0444829	0.00475237	-0.0706582	-0.579346	-0.767578	0.516846	0.71413	-0.0821568	-0.675786	-0.163041	9.57406	1.285	1.21912	-0.121863	-0.0582535	0.101973	-1.07739	-0.0891113	-0.464844	0.44636	0.59723	-0.337384	0.574675	9.75925	0.892392	0.420664	-0.130229	-0.0815368	-0.0340554	-1.01807	-0.369141	0.222412	-0.277087	0.49456	-0.117275	-0.815402	-8.4422	0.0299875	4.72865	-0.115866	0.103995	0.0146998	0.677246	-0.129883	-0.767578	0.164668	0.708032	0.325833	-0.60449	-9.23424	-2.75813	4.23918	-0.174438	-0.0454509	0.123902	0.788818	0.565674	-0.352051	-0.0393743	-0.409322	-0.842155	-0.348828	1.89834	6.08724	-7.2097	0.0218932	0.161029	-0.035586	-0.475342	-0.381104	0.864502	0.895509	-0.177753	-0.0528062	-0.404573	3.05324	-3.10605	10.0201	-0.0240441	0.0162989	-0.0438812	-0.00732422	0.527832	-0.924805	0.605279	-0.292689	-0.703198	-0.231265	9.56747	-0.179252	-1.32455	-0.0546438	0.00215355	0.0381279	-1.07227	0.169678	-0.0822754	0.318454	-0.250844	-0.679091	-0.611964	7.57402	6.397	-0.557941	0.00843762	-0.063202	-0.0158455	-0.99585	-0.387451	0.0151367	0.34895	-0.234245	-0.640435	-0.642811	7.36071	6.19561	0.661964	-0.213484	0.0830598	0.021159	-1.09058	-0.336914	-0.118164	
8	-0.12326	-0.0535693	-0.302745	-0.943548	-0.473159	6.96131	8.53602	-0.0962243	0.0501729	-0.0119127	-0.383301	-0.612793	-0.761475	0.0191527	-0.271688	-0.815612	-0.510485	3.04789	7.81303	-4.6338	-0.0514221	0.040116	-0.0210473	-0.574951	-0.765381	0.516846	0.713922	-0.0859995	-0.674411	-0.167598	9.85227	-0.162883	1.22269	-0.114059	0.0717652	-0.0427369	-1.07739	-0.0825195	-0.462891	0.447893	0.596569	-0.338954	0.573243	9.68505	1.67661	0.82402	-0.12603	-0.00392209	0.00270583	-1.02051	-0.366943	0.220215	-0.2747	0.498357	-0.115968	-0.814083	-8.03905	-1.11056	4.74979	0.0363138	0.192584	0.0177425	0.688232	-0.13208	-0.77002	0.167151	0.708305	0.325184	-0.603838	-9.26912	-3.44324	4.61044	-0.123642	0.0138402	0.160248	0.787109	0.559326	-0.345459	-0.0365485	-0.407758	-0.841712	-0.352019	1.85515	5.67031	-6.86662	-0.0647995	0.174365	-0.00820215	-0.487793	-0.387695	0.856201	0.894655	-0.178028	-0.05276	-0.406342	3.26627	-3.04732	9.97239	-0.0144786	0.023127	-0.101263	-0.00537109	0.532227	-0.927246	0.605279	-0.292689	-0.703198	-0.231265	9.56747	-0.179252	-1.32455	-0.0546438	0.00215355	0.0381279	-1.07227	0.169678	-0.0822754	0.317973	-0.251007	-0.677903	-0.613463	7.53298	6.18687	-0.238051	-0.121127	0.0690393	-0.00383436	-0.995605	-0.391846	0.0175781	0.34935	-0.234251	-0.640145	-0.642881	7.38485	6.26841	0.95701	0.0312972	0.00997931	0.0053972	-1.08838	-0.339111	-0.11792	
9	-0.122071	-0.0533814	-0.300846	-0.94432	-0.378342	6.94676	8.64799	-0.155528	0.0176205	0.0931314	-0.381104	-0.612793	-0.761475	0.0183676	-0.272236	-0.815437	-0.510502	2.88125	7.91313	-4.52139	-0.0312513	-0.0607173	-0.0109611	-0.574951	-0.767578	0.521729	0.713898	-0.0866515	-0.674549	-0.166809	9.94171	0.500128	1.16479	-0.00145719	-0.0279345	0.0752301	-1.07959	-0.0847168	-0.465088	0.449213	0.595735	-0.340137	0.572376	9.9156	1.45431	0.683222	-0.172221	-0.0041221	-0.00938423	-1.01562	-0.375488	0.21167	-0.276732	0.500502	-0.117062	-0.811919	-8.17395	0.134543	4.78982	0.12653	0.235815	-0.168606	0.681396	-0.125732	-0.763184	0.168126	0.710941	0.3196	-0.60345	-8.79428	-2.92959	5.01477	0.208662	0.087793	0.238532	0.802734	0.546387	-0.343018	-0.0348074	-0.408358	-0.84118	-0.352772	1.76577	5.81547	-7.22294	-0.0307101	0.0454449	0.0457036	-0.48999	-0.387695	0.860352	0.894069	-0.178563	-0.0523038	-0.407455	3.08427	-3.11306	10.1531	-0.0613413	0.0499933	-0.107045	-0.0119629	0.532227	-0.924805	0.604723	-0.296072	-0.702363	-0.230951	9.55269	-0.665157	-1.43639	-0.0934944	-0.0202245	0.0625301	-1.073	0.18335	-0.0778809	0.318268	-0.2506	-0.677002	-0.614469	7.21875	6.02844	-0.153677	-0.0827159	0.0932931	-0.0125891	-0.98877	-0.394043	0.0129395	0.349281	-0.234352	-0.640317	-0.64271	7.18647	6.34056	0.944411	0.0170491	-0.00686617	-0.00129156	-1.09302	-0.334717	-0.118164	
