40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.937655	-0.327179	-0.0947582	0.0691249	0.828998	-7.18719	8.08697	0.102689	0.0478496	0.172906	0.439453	0.584961	-0.882568	0.539255	-0.758515	-0.34018	-0.134675	5.46342	-6.88308	-3.45339	-0.0711542	-0.00976053	-0.079002	-0.0805664	0.940918	0.381836	0.837557	-0.142831	0.511256	0.129286	-8.06931	-1.59999	5.84467	0.121861	-0.114891	-0.0514755	0.99707	-0.111084	-0.102295	0.667569	0.462953	0.500692	-0.298887	-9.74252	4.81273	0.686391	0.398182	0.185978	0.0683973	1.0437	0.176025	0.0612793	0.111536	-0.728148	-0.05456	-0.674079	9.81962	0.750095	-0.809171	-0.478996	-0.0506853	-0.0794624	-0.924072	0.23291	0.560059	-0.456916	-0.475078	0.56625	-0.494863	9.30847	0.530957	4.8523	-0.427603	-0.118145	-0.0412296	-1.06519	-0.428467	0.064209	0.355729	-0.856026	-0.374196	-0.0255598	2.57353	-5.67862	-6.91865	-0.0682008	0.118512	-0.0421049	0.0620117	0.886719	0.642578	0.59643	-0.738893	-0.160983	-0.269059	5.7554	-7.89594	-1.15391	-0.465212	-0.0295462	-0.0506196	-0.256592	1.03076	0.251709	0.627136	-0.726739	-0.239731	-0.145189	4.92628	-7.9411	-1.57642	-0.124244	-0.00963877	0.0261621	-0.165771	1.03857	0.158691	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.197644	-0.677299	-0.359866	-0.610491	9.29947	1.79733	-1.84198	-0.0469046	-0.0458741	0.00989544	-1.01807	0.191895	0.481689	
1	0.9376	-0.32755	-0.0941044	0.069006	0.573847	-6.647	8.25392	-0.0793411	0.00948266	-0.0309447	0.439209	0.587158	-0.880615	0.536245	-0.760249	-0.340198	-0.136848	5.6642	-7.2696	-3.99272	-0.173261	0.0722938	-0.0581765	-0.0822754	0.932373	0.391602	0.838165	-0.139746	0.511819	0.126459	-8.56087	-1.99534	5.57507	0.197083	0.0757918	-0.0305811	0.999268	-0.111084	-0.095459	0.665363	0.465288	0.500534	-0.300443	-9.82886	4.49462	0.321247	0.263566	0.089874	-0.0303884	1.0415	0.176025	0.0634766	0.0967899	-0.73255	-0.0464136	-0.672196	10.4093	-1.01704	-1.25816	-0.646752	-0.190704	-0.11813	-0.921143	0.210693	0.578369	-0.45534	-0.474074	0.576053	-0.485883	10.3203	-0.243389	3.92577	-0.260771	-0.362437	0.0785134	-1.06763	-0.419922	0.0703125	0.355434	-0.856546	-0.373098	-0.0281619	3.08657	-5.5701	-6.73135	-0.0855615	0.136776	0.00236661	0.0644531	0.880371	0.640625	0.59799	-0.737232	-0.159459	-0.271052	5.77881	-7.9426	-1.17618	0.279293	0.198927	0.0203317	-0.256836	1.03955	0.246826	0.626205	-0.727659	-0.239641	-0.144748	4.8365	-8.46262	-1.70601	-0.0162243	-0.0212652	-0.010498	-0.168213	1.04102	0.160889	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.199421	-0.678686	-0.359023	-0.608867	9.23004	2.19404	-1.734	0.000576714	-0.0449094	0.128224	-1.02051	0.196289	0.486084	
2	0.935933	-0.33167	-0.0977961	0.0667864	1.14779	-7.59945	8.22659	-0.125055	-0.077794	-0.0605499	0.43457	0.593506	-0.874268	0.532377	-0.762417	-0.340288	-0.13964	6.03885	-7.15327	-3.78062	-0.179276	0.0557515	-0.0376948	-0.0866699	0.932373	0.40332	0.837237	-0.140059	0.512259	0.130416	-9.16646	-3.41283	4.89243	0.0255069	0.00319042	0.210375	0.999268	-0.115479	-0.0952148	0.658375	0.468204	0.496818	-0.317016	-9.57625	3.93235	1.62975	0.354445	-0.0941138	-0.263882	1.03809	0.202393	0.0454102	0.0946201	-0.733404	-0.0483439	-0.671437	9.60533	-0.891859	-0.978759	0.0658416	-0.0419432	-0.156124	-0.92041	0.195312	0.578369	-0.449885	-0.478084	0.581504	-0.480513	9.77083	0.0855686	3.58831	-0.0294062	-0.417273	-0.000190806	-1.06738	-0.422119	0.0917969	0.35473	-0.857351	-0.371599	-0.0320928	2.68612	-5.94956	-6.69566	-0.0906386	0.0713177	0.00119919	0.0559082	0.878174	0.64917	0.601513	-0.733883	-0.158699	-0.272788	5.59086	-7.81381	-1.00464	0.038063	0.126823	-0.040158	-0.256836	1.03955	0.237549	0.624617	-0.72904	-0.240259	-0.143635	4.65476	-8.59362	-1.67219	-0.116089	-0.072248	-0.000334331	-0.165771	1.03857	0.163086	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.19925	-0.680696	-0.35596	-0.608477	9.44182	1.53887	-1.77346	-0.101664	-0.0303984	0.106116	-1.01392	0.198486	0.488525	
3	0.936002	-0.331418	-0.0981881	0.0664879	1.08052	-7.87627	8.10902	0.016388	-0.0316189	-0.0418669	0.432129	0.599854	-0.876465	0.534017	-0.762096	-0.337747	-0.141287	5.55867	-7.60107	-3.81034	0.0634848	0.100323	0.0496058	-0.0822754	0.930176	0.398682	0.835746	-0.135609	0.515701	0.131113	-8.51525	-1.76026	5.90543	0.0872345	0.129118	0.19074	0.997314	-0.124268	-0.0927734	0.656011	0.468909	0.496915	-0.320701	-9.05574	3.12518	1.22892	0.26022	-0.00862763	-0.224339	1.04443	0.206787	0.0473633	0.104313	-0.733787	-0.0590395	-0.668723	9.91732	-1.67264	-0.863191	0.805094	-0.0561489	-0.0111901	-0.912354	0.20874	0.576172	-0.443769	-0.482271	0.583076	-0.480111	10.0172	-0.442123	3.12528	0.195446	-0.180901	0.0206735	-1.06543	-0.417725	0.106689	0.356586	-0.857867	-0.368492	-0.0335289	2.52996	-6.33417	-7.24237	0.106423	0.190367	0.0837886	0.0581055	0.880371	0.64917	0.60294	-0.732695	-0.158447	-0.272974	5.5875	-6.98477	-1.49472	0.0791635	0.0181449	0.030908	-0.25708	1.04175	0.228027	0.625642	-0.727795	-0.242459	-0.14178	5.05097	-7.23223	-1.95678	0.0421522	-0.0731637	-0.0326508	-0.168213	1.04321	0.158691	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.197814	-0.681921	-0.353922	-0.608763	9.92815	1.16303	-1.5635	-0.0844569	-0.0140315	0.0114331	-1.01611	0.198486	0.483887	
4	0.937648	-0.327153	-0.0965475	0.0668319	1.2697	-7.27076	7.92061	0.238136	0.0844101	0.0231922	0.43042	0.586914	-0.882812	0.537792	-0.76141	-0.333302	-0.141222	5.63841	-7.58418	-3.71343	0.116842	0.167994	0.132052	-0.0803223	0.936768	0.391357	0.834091	-0.127477	0.520677	0.130146	-8.98951	-1.26126	5.08948	0.413593	0.217404	0.143143	0.997559	-0.139404	-0.076416	0.647627	0.473739	0.499353	-0.326797	-9.59075	3.17427	0.64468	0.400398	0.259094	-0.219831	1.03711	0.221924	0.0559082	0.104723	-0.733829	-0.0597358	-0.668551	9.45258	-1.09861	-0.700787	-0.303166	-0.0113173	-0.00745716	-0.916748	0.215088	0.578369	-0.441442	-0.484371	0.582179	-0.481229	9.85968	0.468125	2.79157	0.00186316	0.00502087	-0.00227282	-1.06323	-0.419678	0.115479	0.361059	-0.857078	-0.36609	-0.0321126	3.02514	-6.0292	-6.50732	0.247895	0.107409	0.074665	0.0581055	0.880371	0.636475	0.600946	-0.734421	-0.159566	-0.272081	5.61676	-7.55958	-1.33363	-0.0394556	-0.0997831	-0.03587	-0.256836	1.03735	0.239746	0.626306	-0.727136	-0.243336	-0.140718	4.97061	-8.44306	-1.91807	0.16809	-0.020738	-0.0321882	-0.165771	1.04321	0.156494	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.197363	-0.682011	-0.355027	-0.608165	9.85001	0.954447	-1.36568	0.0751342	-0.0300096	-0.0550279	-1.01147	0.196289	0.488525	
5	0.94058	-0.320609	-0.0903707	0.0659706	1.08446	-6.28761	8.24395	0.288459	0.266244	-0.00228446	0.439697	0.578369	-0.886963	0.542643	-0.759417	-0.330556	-0.139848	5.59509	-7.04227	-3.49423	0.187707	0.0933376	0.102657	-0.0717773	0.938721	0.379639	0.831598	-0.121954	0.525781	0.130869	-8.74154	-1.16279	5.1498	0.0867184	0.183684	0.207834	0.997803	-0.143799	-0.0695801	0.6428	0.476253	0.50135	-0.329604	-9.22709	2.90892	0.382969	0.365383	0.265701	-0.242312	1.03906	0.226318	0.0559082	0.0971218	-0.734294	-0.0478277	-0.670144	9.67576	-1.47462	-0.609038	-0.555934	0.111283	0.135139	-0.914307	0.206299	0.583008	-0.445663	-0.481738	0.580764	-0.481691	9.8244	-0.285018	3.41962	-0.0681721	0.226285	-0.0754057	-1.06738	-0.422119	0.0983887	0.367988	-0.85489	-0.364222	-0.0330366	2.90774	-5.72761	-6.83633	0.273049	0.164757	-0.0123482	0.0551758	0.893311	0.623291	0.604062	-0.732404	-0.161272	-0.269602	5.86543	-7.51244	-1.24896	0.19832	-0.0479109	0.0225606	-0.252686	1.03955	0.228027	0.627063	-0.726519	-0.243301	-0.140595	5.10851	-7.93651	-1.73959	0.00200802	0.0261596	-0.00716183	-0.168213	1.04102	0.154297	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.195596	-0.681626	-0.358101	-0.607365	9.50841	1.3112	-1.55276	0.0613034	-0.0587359	-0.15165	-1.01367	0.191895	0.490723	
6	0.943173	-0.315201	-0.0833686	0.0642145	0.452302	-6.41244	8.54398	0.254677	0.265744	-0.00663486	0.453613	0.563477	-0.886719	0.54873	-0.756133	-0.32907	-0.137372	5.27446	-7.17906	-3.2903	0.299115	0.0600245	0.05216	-0.0654297	0.945312	0.367676	0.828977	-0.118244	0.530585	0.131511	-8.39199	-0.775784	4.99831	0.142057	0.185221	0.147872	0.998047	-0.156738	-0.0622559	0.632627	0.479658	0.507266	-0.33525	-9.13656	2.47637	-0.391246	0.0447286	0.128196	-0.172576	1.03833	0.241699	0.0710449	0.0907985	-0.734412	-0.0387614	-0.671485	9.86761	-0.509586	-0.736462	-0.451708	0.0692524	0.0961195	-0.91626	0.199707	0.585205	-0.452704	-0.476835	0.579681	-0.481308	9.7163	0.12209	3.60428	-0.349077	0.274631	-0.0509449	-1.06738	-0.424072	0.083252	0.375314	-0.851932	-0.363605	-0.0338021	2.83646	-5.69915	-6.59414	0.2562	0.150096	-0.0526799	0.0439453	0.904053	0.608154	0.605344	-0.731724	-0.163014	-0.267516	6.16918	-7.56432	-0.858933	0.109303	-0.0653406	0.00648076	-0.248291	1.04199	0.223389	0.629957	-0.723943	-0.243892	-0.139918	5.25071	-7.74541	-1.19584	0.205476	0.0105348	-0.0306487	-0.165771	1.03882	0.1521	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.193546	-0.681049	-0.362086	-0.606305	9.76393	1.67877	-1.71657	0.0538111	-0.0668203	-0.161498	-1.01343	0.1875	0.493164	
7	0.945607	-0.309605	-0.0773784	0.0631192	0.623207	-6.3827	8.48029	0.259707	0.234913	0.00953022	0.462891	0.559082	-0.893066	0.552909	-0.753996	-0.328343	-0.134061	5.68726	-7.10907	-3.29344	0.139967	0.0400593	0.0865066	-0.0612793	0.949707	0.355713	0.827236	-0.118752	0.531925	0.136506	-9.11187	-0.589726	4.58797	-0.124809	0.0626208	0.159637	0.99585	-0.161133	-0.0598145	0.631522	0.476585	0.510814	-0.336327	-9.66833	2.02576	-0.448233	-0.165067	0.0631814	-0.1509	1.0332	0.254883	0.0708008	0.0794275	-0.735555	-0.029342	-0.672153	9.8232	-0.021996	-1.26815	-0.60525	-0.0218769	-0.0802985	-0.91748	0.175537	0.587402	-0.458008	-0.471996	0.58189	-0.478386	9.65472	0.785496	3.81608	-0.39248	0.0720894	0.0240997	-1.06958	-0.422119	0.0639648	0.379291	-0.850336	-0.363226	-0.0336592	3.03816	-5.44281	-6.59779	0.1093	0.0499933	-0.00359171	0.0439453	0.90625	0.605957	0.60904	-0.728754	-0.163105	-0.26718	5.86915	-6.82027	-0.945866	0.141767	0.0760452	0.0153412	-0.253174	1.05273	0.220947	0.631061	-0.72283	-0.244646	-0.139381	5.22724	-8.16802	-1.28296	0.0731366	-0.0158741	-0.0409447	-0.165771	1.03882	0.147461	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.192479	-0.680273	-0.365443	-0.605501	9.37751	2.56518	-2.21667	0.0417936	-0.0235924	-0.115599	-1.01538	0.180908	0.502441	
8	0.948185	-0.303508	-0.070161	0.0624967	0.642207	-5.80358	8.62436	0.256803	0.263903	0.04408	0.479004	0.541992	-0.892822	0.553319	-0.753682	-0.328855	-0.132873	5.24668	-6.95659	-3.97338	0.0703486	-0.0663607	0.00087558	-0.059082	0.949463	0.35083	0.826714	-0.120721	0.531457	0.139728	-8.8525	-0.0228461	4.94737	-0.270632	-0.00507831	0.142412	0.998291	-0.169922	-0.057373	0.634326	0.471013	0.515068	-0.332388	-9.50774	0.896124	-0.802708	-0.267082	0.0570018	-0.0229048	1.0354	0.254639	0.0861816	0.0741497	-0.736445	-0.0261954	-0.671911	10.2744	0.682708	-1.33464	-0.493357	-0.0469298	-0.105675	-0.910645	0.168945	0.59668	-0.459977	-0.468762	0.585977	-0.474673	9.97817	-0.448917	4.68477	-0.543368	-0.0715604	0.0820464	-1.06934	-0.430664	0.0686035	0.379008	-0.850649	-0.362755	-0.0340094	2.84262	-5.72407	-7.27508	-0.0269571	0.0418128	0.01284	0.048584	0.899902	0.606201	0.60753	-0.730116	-0.162554	-0.267235	6.01793	-7.48317	-0.799282	-0.161748	-0.00228289	0.00123135	-0.261475	1.04395	0.21875	0.630559	-0.72317	-0.244742	-0.139722	5.2809	-8.2764	-1.60127	-0.0466302	0.00969381	-0.0394361	-0.168213	1.04346	0.145264	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.192125	-0.679755	-0.366199	-0.605738	10.3469	2.26933	-2.32485	0.0200332	0.0238385	-0.081672	-1.00659	0.185303	0.495605	
9	0.94876	-0.302296	-0.0675788	0.0624822	-0.0500281	-5.90819	8.54101	0.119241	0.183428	0.0454074	0.481445	0.537598	-0.892578	0.552331	-0.754544	-0.329534	-0.13039	5.76474	-6.96341	-3.73179	-0.0428975	-0.0424904	0.0174421	-0.0615234	0.95166	0.353271	0.826757	-0.124272	0.529347	0.144292	-8.84234	-1.63717	4.34024	-0.0259795	-0.0389599	0.0204893	0.996094	-0.171875	-0.0617676	0.634309	0.471379	0.514819	-0.332289	-9.38427	1.39196	-0.56487	0.0142273	0.00881515	0.0340681	1.03125	0.252441	0.0795898	0.0631917	-0.738335	-0.0240133	-0.671038	9.58247	-1.24797	-0.872062	-0.247704	-0.0776779	-0.229766	-0.922607	0.144531	0.603516	-0.455167	-0.471264	0.589128	-0.472928	9.77213	0.0194648	3.15135	0.0909458	-0.260865	0.0467941	-1.07202	-0.417725	0.074707	0.376798	-0.851695	-0.362745	-0.0324705	3.14239	-5.84043	-6.61256	-0.0658636	-0.0845588	0.00846845	0.0458984	0.90625	0.60376	0.601961	-0.734565	-0.160621	-0.26881	6.06889	-7.8968	-1.30883	-0.310793	0.000122279	-0.0344791	-0.250488	1.04175	0.235107	0.630372	-0.722963	-0.245485	-0.140332	5.05804	-8.43526	-1.55832	-0.01803	-0.00187385	-0.0561408	-0.17041	1.04321	0.145264	0.363867	0.0707949	-0.0708032	-0.926054	0.197388	1.927	10.395	0.0466035	0.110851	0.0611117	-0.29126	0.110352	-1.04199	0.194314	-0.680345	-0.36503	-0.605083	9.00571	2.34218	-1.7217	0.0540443	0.0191362	0.0850618	-1.00903	0.191895	0.497559	
