40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
63136	0.624847	-0.323398	-0.433231	-0.563285	9.52138	0.887046	4.36578	0.0045331	-0.0117653	-0.039132	-0.793945	0.309814	-0.439941	0.608125	-0.378979	-0.387156	-0.580232	9.06945	-0.103967	4.12363	0.0422068	0.0791305	-0.0879371	-0.708984	0.30249	-0.340576	0.712217	-0.0417067	-0.373435	-0.59292	6.46513	4.2662	7.98719	0.00583575	0.0389165	0.00591455	-0.59668	-0.140137	-0.89624	0.198332	0.337828	0.225182	-0.892093	-6.96805	-2.69226	6.74088	0.102791	0.0845828	-0.0773329	0.386719	0.493652	-0.88501	0.543612	-0.384526	-0.0731914	-0.742475	6.53183	-3.10826	6.9902	0.0853062	0.123673	0.0437731	-0.63623	0.633789	-0.442871	0.951268	-0.0290457	0.306204	0.0220242	-7.30541	-0.524034	10.1843	-0.0716278	-0.151192	0.0993936	0.969482	-0.00805664	-0.384766	0.461143	-0.50095	-0.429596	-0.593163	9.74373	0.473042	1.27356	0.196531	0.0468081	-0.0116347	-0.940674	0.346924	-0.0476074	0.385775	-0.544687	-0.490728	-0.560072	9.61725	1.26867	-0.729064	0.310378	0.0447322	-0.103036	-1.01172	0.344971	0.175537	0.328063	-0.522541	-0.467063	-0.633387	9.74626	2.50325	0.167672	0.489283	0.0474901	0.0151464	-1.07275	0.119873	0.119385	0.290963	-0.317807	-0.0814684	-0.898722	6.28966	-0.387233	7.99628	0.0804142	0.0853768	0.0412453	-0.863281	0.304932	-0.502441	0.142326	-0.961042	-0.234966	-0.0305373	1.20401	-2.48563	-9.14773	0.0901341	0.00668525	-0.105598	0.237061	0.457031	0.954834	
63137	0.624805	-0.323049	-0.433269	-0.563504	9.4675	0.867108	4.37112	0.0105037	0.0180577	-0.0258764	-0.79834	0.309814	-0.44873	0.608258	-0.377534	-0.387566	-0.58076	9.0913	0.0458069	4.29112	0.0770172	0.0673153	-0.0767433	-0.719727	0.300293	-0.344971	0.712833	-0.0423393	-0.371162	-0.593562	6.59009	3.9584	7.95804	-0.160989	0.120066	0.0191501	-0.590332	-0.142578	-0.895996	0.196812	0.337693	0.225571	-0.892382	-7.05231	-2.68482	6.73689	0.0163597	0.0160586	-0.126024	0.391357	0.491699	-0.891602	0.544736	-0.3825	-0.0730337	-0.742713	6.45376	-3.09987	7.1158	0.111895	0.141037	0.0494308	-0.627441	0.631592	-0.447266	0.951896	-0.0297796	0.304005	0.0242551	-7.28637	-0.277426	10.1457	-0.112913	-0.18657	0.145585	0.965576	-0.0166016	-0.386475	0.462592	-0.499087	-0.430361	-0.593051	9.95642	0.866562	1.68343	0.166898	0.105482	-0.0218169	-0.938232	0.342529	-0.0539551	0.387598	-0.542666	-0.493368	-0.558453	9.69592	1.19262	-1.03458	0.323693	0.0100691	-0.0627067	-1.00928	0.338379	0.177979	0.329842	-0.521827	-0.467621	-0.632639	9.62999	3.19875	0.548533	0.149334	0.0567755	0.0597957	-1.07031	0.117676	0.123779	0.292962	-0.317239	-0.0826172	-0.898169	6.18203	-0.369862	8.08728	0.15027	0.0130865	0.123717	-0.865479	0.302734	-0.500244	0.143174	-0.960465	-0.236837	-0.0302707	1.02209	-2.34669	-9.26425	0.0813909	-0.0244312	-0.149565	0.234619	0.459229	0.959473	
63138	0.624988	-0.322239	-0.433317	-0.563727	9.34301	0.875032	4.39203	0.0371017	0.0398938	-0.0320366	-0.793945	0.307861	-0.446533	0.608922	-0.375777	-0.387931	-0.58096	9.06707	0.101412	4.44976	0.11617	0.0906208	-0.043902	-0.717529	0.300293	-0.349854	0.714398	-0.0418528	-0.368017	-0.593672	6.66702	3.79253	7.59623	-0.120974	0.244762	0.0657829	-0.581787	-0.135986	-0.905518	0.1958	0.336996	0.226582	-0.892612	-6.97051	-2.72688	6.76094	-0.0575053	-0.0199407	-0.117262	0.38916	0.491699	-0.891602	0.546623	-0.379785	-0.073273	-0.742696	6.20531	-3.21386	7.05292	0.189394	0.157533	0.085673	-0.634033	0.629395	-0.45874	0.952573	-0.0305463	0.301527	0.0274221	-7.14427	-0.233286	10.3289	-0.141668	-0.210723	0.207912	0.970215	-0.0253906	-0.403564	0.463444	-0.498189	-0.431024	-0.59266	9.73199	0.26567	1.2669	0.1113	0.0292275	-0.00246255	-0.936035	0.342529	-0.0539551	0.38869	-0.541084	-0.494891	-0.557881	9.51072	1.11797	-0.940541	0.190277	0.0505932	-0.0602114	-1.01147	0.340576	0.170898	0.327489	-0.522863	-0.467649	-0.632985	9.0492	2.87058	0.542538	-0.0997241	0.0611559	0.0256338	-1.07275	0.122314	0.114746	0.294677	-0.317447	-0.0833412	-0.897467	6.46374	-0.094142	7.74458	0.0934115	-0.0346882	0.128171	-0.863281	0.307129	-0.502441	0.143104	-0.960017	-0.238727	-0.0299662	1.26622	-2.46382	-9.15625	0.0122288	-0.0447312	-0.151112	0.22998	0.463623	0.957031	
63139	0.625326	-0.320934	-0.433569	-0.563902	9.28905	0.970423	4.47452	0.0775583	0.0577701	-0.0452361	-0.795654	0.30127	-0.444336	0.609853	-0.374396	-0.387895	-0.580899	9.04947	0.239977	4.3894	0.0951589	0.0919259	0.00509995	-0.713135	0.295898	-0.352051	0.716143	-0.0410072	-0.365564	-0.593144	6.28803	3.9327	7.48489	-0.0483134	0.222113	0.0978732	-0.577637	-0.131836	-0.90332	0.195806	0.336119	0.228535	-0.892444	-6.82479	-2.72806	6.58827	-0.164041	-0.0246027	-0.0671507	0.391113	0.498291	-0.893799	0.549566	-0.375962	-0.0742745	-0.74237	6.31205	-3.1139	6.86359	0.318355	0.190233	0.136038	-0.627197	0.625	-0.463379	0.953217	-0.0299807	0.299238	0.0305965	-7.07125	-0.281657	10.3976	-0.0432014	-0.196936	0.235028	0.965576	-0.0209961	-0.399414	0.464463	-0.497283	-0.432525	-0.591528	9.32484	0.627666	1.16964	0.184297	-0.0234137	-0.00153663	-0.94043	0.344727	-0.0561523	0.389847	-0.539673	-0.495173	-0.558189	9.5202	0.958908	-0.798418	0.0949167	0.116238	-0.0262467	-1.00952	0.342773	0.170898	0.327955	-0.521798	-0.466197	-0.634691	9.62945	2.68951	0.278979	-0.080251	0.0478415	0.0122788	-1.07715	0.115234	0.117188	0.297053	-0.317456	-0.0835617	-0.89666	6.69295	-0.0477359	8.09293	0.0801622	-0.00883478	0.185875	-0.865723	0.311523	-0.50708	0.144005	-0.959332	-0.240971	-0.0296371	1.5739	-2.64186	-9.23325	0.085019	-0.0338619	-0.177833	0.234619	0.463623	0.954834	
63140	0.625964	-0.319301	-0.433788	-0.563954	9.19032	1.14222	4.54953	0.105822	0.0842162	-0.0355852	-0.795898	0.305664	-0.446533	0.610673	-0.373551	-0.387772	-0.580665	8.75755	0.285648	4.08068	0.0662287	0.0613902	0.029404	-0.710938	0.298096	-0.352051	0.717923	-0.0400255	-0.363769	-0.592163	5.98608	3.80491	7.4789	0.00472984	0.1966	0.117378	-0.575439	-0.134033	-0.900879	0.196719	0.335107	0.231461	-0.891869	-6.78446	-2.88127	6.1513	-0.266402	-0.0252211	-0.0244098	0.384033	0.502441	-0.893799	0.552882	-0.372079	-0.0752925	-0.741761	6.50934	-2.87058	6.70149	0.335626	0.187707	0.170131	-0.62085	0.629639	-0.465576	0.953764	-0.0284554	0.29737	0.0331055	-6.99729	-0.326125	10.2119	0.0505789	-0.163493	0.219825	0.964111	-0.0361328	-0.403076	0.464697	-0.497039	-0.434361	-0.590203	9.57345	0.88124	1.13629	0.15043	-0.10259	-0.0211934	-0.934082	0.346924	-0.0541992	0.391229	-0.538469	-0.495874	-0.557763	9.52583	0.8839	-0.879936	0.147185	0.0752503	-0.00440215	-1.01367	0.340576	0.168457	0.327673	-0.521203	-0.465574	-0.635782	9.57825	2.13867	0.161007	-0.0385913	0.0727565	0.00625585	-1.06787	0.117676	0.114746	0.299844	-0.317446	-0.083554	-0.895734	6.53677	-0.25417	8.00799	0.0742555	-0.00137697	0.224575	-0.861572	0.315918	-0.507324	0.14633	-0.95833	-0.24361	-0.0290828	1.69253	-2.23976	-9.17967	0.207991	-0.0272739	-0.210111	0.229736	0.470215	0.959229	
63141	0.626843	-0.317719	-0.433777	-0.563879	8.91625	1.25147	4.59207	0.103616	0.0982514	-0.00893002	-0.789062	0.30127	-0.450684	0.61092	-0.373151	-0.388389	-0.580249	8.88599	0.222776	4.07447	0.0661354	-0.0188149	0.00600982	-0.713135	0.298096	-0.344971	0.719806	-0.038476	-0.362312	-0.590871	5.80394	3.82112	7.381	0.0636132	0.210002	0.121089	-0.569092	-0.123291	-0.898926	0.197854	0.334542	0.233634	-0.891263	-6.78551	-3.12495	5.90007	-0.215108	-0.00916056	0.0203225	0.384033	0.502441	-0.882812	0.556111	-0.368932	-0.0756275	-0.740885	6.53617	-2.60431	6.6509	0.261596	0.168515	0.202464	-0.614258	0.627441	-0.472412	0.954252	-0.027097	0.295642	0.0355653	-6.81445	-0.491797	10.0581	0.0342406	-0.149063	0.201978	0.955566	-0.0383301	-0.405273	0.465053	-0.496282	-0.436513	-0.58897	10.0025	0.628	0.945234	0.185324	-0.0816216	-0.0460162	-0.942871	0.346924	-0.0583496	0.392449	-0.537484	-0.496592	-0.557217	9.57878	0.56277	-0.886819	0.138593	0.0552195	-0.00284128	-1.00952	0.342773	0.161377	0.328273	-0.52038	-0.465427	-0.636254	9.6169	2.41182	0.203582	0.0608052	0.0791214	-0.00701167	-1.06323	0.11792	0.110352	0.302598	-0.317176	-0.084312	-0.894833	6.17747	-0.353122	7.98573	0.133835	-0.000374941	0.199296	-0.850586	0.320557	-0.500488	0.147333	-0.957478	-0.246357	-0.0289465	1.82474	-1.6394	-9.26785	0.0995312	-0.0261388	-0.222288	0.236328	0.472412	0.95459	
63142	0.627682	-0.316839	-0.433787	-0.563433	8.71457	1.22748	4.55017	0.0787957	0.046913	0.035076	-0.793213	0.296875	-0.455078	0.611069	-0.372488	-0.389282	-0.57992	8.95113	0.0858655	4.134	0.0849474	-0.0201273	-0.0165178	-0.715088	0.291504	-0.349609	0.721233	-0.0371	-0.361228	-0.589882	5.88349	3.96662	7.24958	0.0614029	0.17243	0.0849046	-0.564697	-0.129883	-0.907959	0.19874	0.33469	0.234598	-0.890758	-6.82642	-2.63834	6.06009	-0.103578	0.0191581	0.0496557	0.381592	0.509033	-0.885254	0.558837	-0.366886	-0.0752027	-0.739892	6.37258	-2.49183	6.52802	0.151826	0.134813	0.209398	-0.60791	0.631836	-0.486084	0.954645	-0.0263952	0.294153	0.03781	-6.49819	-0.454299	10.1867	-0.00795417	-0.125668	0.174885	0.964111	-0.0405273	-0.417969	0.46603	-0.494819	-0.438936	-0.587627	9.96574	0.38671	1.04662	0.251162	-0.0412656	-0.0480161	-0.938477	0.346924	-0.0561523	0.393233	-0.536711	-0.497732	-0.556393	9.40441	0.967358	-0.874478	0.140397	0.000117818	-0.030955	-1.00952	0.344971	0.168457	0.329234	-0.51951	-0.46502	-0.636766	9.68821	2.91715	0.343204	0.0458242	0.0991446	0.0108848	-1.07275	0.120117	0.108154	0.304792	-0.316655	-0.0855553	-0.894154	6.32818	-0.249856	7.82926	0.159573	0.00450865	0.136926	-0.857178	0.320312	-0.511963	0.145612	-0.957115	-0.248737	-0.0292984	1.75034	-1.97367	-9.22202	-0.112423	-0.0428085	-0.195453	0.229492	0.476807	0.958984	
63143	0.628351	-0.3166	-0.434031	-0.562633	8.86489	1.14941	4.57005	0.0639779	-0.0139478	0.0652686	-0.798096	0.305664	-0.450684	0.611375	-0.371717	-0.390079	-0.579556	9.11253	0.0366254	4.09367	0.0909312	-0.00641737	-0.00665157	-0.706543	0.295898	-0.354492	0.722159	-0.0360311	-0.360517	-0.58925	6.04863	3.83417	7.22602	0.0455648	0.119088	0.0508902	-0.564697	-0.127686	-0.910156	0.199737	0.335261	0.235209	-0.890158	-6.88208	-2.43477	5.8995	-0.0753376	0.0396593	0.0752962	0.388428	0.506836	-0.883057	0.561163	-0.36537	-0.0751411	-0.738888	6.31996	-2.55105	6.36494	0.134465	0.0846634	0.176897	-0.603516	0.631836	-0.486084	0.954871	-0.0270447	0.293085	0.0398947	-6.32302	-0.371484	10.3688	-0.104522	-0.0808749	0.135314	0.958008	-0.0449219	-0.420166	0.466922	-0.493761	-0.440687	-0.586497	9.53825	0.611462	1.24583	0.194549	-0.0249344	-0.020679	-0.94043	0.342529	-0.0517578	0.393246	-0.536771	-0.498383	-0.555742	9.79382	1.24864	-0.578639	0.0547305	-0.0353829	-0.0180736	-1.00732	0.340576	0.163818	0.328947	-0.51908	-0.463613	-0.638288	9.3788	2.38154	0.335939	-0.136412	0.0959221	0.0105138	-1.07275	0.119873	0.114746	0.307225	-0.315828	-0.0873154	-0.893444	6.50341	-0.00948239	8.04147	0.208548	0.0168043	0.141566	-0.852783	0.320312	-0.507324	0.145404	-0.956479	-0.251278	-0.0294047	1.5752	-2.60831	-9.38755	0.0113089	-0.0403864	-0.201457	0.231934	0.474609	0.95459	
63144	0.62885	-0.316922	-0.434481	-0.561546	9.04533	1.09255	4.55219	0.0533846	-0.059452	0.0886224	-0.791504	0.303467	-0.457275	0.611911	-0.370788	-0.391032	-0.578943	9.05634	0.163307	3.97253	0.120213	-0.00521295	0.00712985	-0.713135	0.295898	-0.352051	0.722941	-0.0346682	-0.361018	-0.588065	6.15285	3.60418	7.28724	0.134152	0.0640282	0.0619351	-0.5625	-0.134277	-0.910156	0.201198	0.336058	0.235625	-0.889418	-6.96888	-2.48561	5.78792	-0.0747412	0.0419158	0.116344	0.390381	0.509033	-0.878662	0.563097	-0.364177	-0.0759275	-0.737924	6.53204	-2.47914	6.4643	0.157651	0.034684	0.133122	-0.598877	0.627441	-0.486084	0.954966	-0.0285696	0.292391	0.0416025	-6.38604	-0.644047	10.3686	-0.162493	-0.037568	0.0849729	0.959961	-0.0449219	-0.415771	0.467051	-0.493393	-0.442576	-0.58528	9.88443	0.769655	1.13257	0.150039	-0.0881046	-0.0321297	-0.938477	0.344727	-0.0583496	0.393087	-0.53694	-0.498076	-0.555966	9.77611	0.896943	-0.576294	-0.034744	0.0138182	-0.00805082	-1.00928	0.340576	0.170898	0.328585	-0.51889	-0.463056	-0.639034	9.72577	1.97848	0.597959	-0.00887863	0.0589655	-0.000376178	-1.06812	0.122314	0.105957	0.309209	-0.315575	-0.0893083	-0.892651	6.41497	0.111804	8.18212	0.196001	-0.0329285	0.113198	-0.850342	0.318359	-0.511963	0.146281	-0.955767	-0.253498	-0.0291426	1.48167	-2.16911	-9.07111	0.10387	-0.0441579	-0.172645	0.227051	0.481201	0.954346	
63145	0.629326	-0.317463	-0.434947	-0.560346	9.17138	1.00235	4.49501	0.0426055	-0.0852211	0.102882	-0.787354	0.310059	-0.455078	0.612022	-0.370465	-0.392202	-0.57824	9.20568	0.241337	4.22558	0.0897703	-0.0566881	0.00674663	-0.710449	0.287109	-0.351807	0.72365	-0.032953	-0.362754	-0.586221	6.15604	3.88412	7.38429	0.231532	0.00820776	0.0798259	-0.560303	-0.136475	-0.909912	0.203103	0.33703	0.235537	-0.888641	-6.94636	-2.55743	5.91461	-0.0462374	0.0300843	0.16276	0.392578	0.51123	-0.880859	0.564407	-0.363803	-0.0767625	-0.737021	6.64822	-2.31478	6.71992	0.102366	-0.00840895	0.102384	-0.601318	0.629639	-0.490723	0.955011	-0.0300933	0.291962	0.0425173	-6.38613	-0.843969	10.2747	-0.138848	-0.00834848	0.0286992	0.959961	-0.0449219	-0.415771	0.46759	-0.492102	-0.444016	-0.584846	10.2985	0.692254	0.972129	0.148822	0.0108764	-0.0565126	-0.94043	0.342529	-0.0539551	0.393224	-0.537275	-0.49747	-0.556088	9.72904	0.760637	-0.330029	-0.0340698	0.0271081	0.0234961	-1.00732	0.342773	0.161377	0.327677	-0.51926	-0.460895	-0.64076	9.43282	2.59383	0.61052	-0.0788693	0.0448258	-0.0212934	-1.07275	0.122314	0.101318	0.310591	-0.315525	-0.0902194	-0.892098	6.48041	0.250228	8.06923	0.0910481	-0.0208319	0.0959987	-0.852783	0.318359	-0.509521	0.144917	-0.955528	-0.25511	-0.0297327	1.89614	-2.36668	-9.14927	-0.091612	-0.0222579	-0.128425	0.222656	0.481201	0.949951	
