40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.532143	-0.428601	-0.465333	-0.562664	9.99349	0.827288	2.0727	0.0442568	0.00940587	0.0491235	-0.866211	0.363525	-0.173828	0.598525	-0.370972	-0.406035	-0.58248	9.06303	0.404767	3.99198	-0.142382	-0.0471184	0.0263764	-0.745361	0.291748	-0.307129	0.783945	-0.0542984	-0.252392	-0.564606	5.01123	2.47696	9.48028	-0.163822	-0.0569641	-0.00959767	-0.43335	0.0693359	-0.968262	0.0496751	0.31344	0.0263027	-0.947943	-6.02972	-0.432722	7.99398	0.107659	-0.0903636	-0.0307413	0.231445	0.157715	-1.02441	0.564249	-0.320574	-0.0580023	-0.758611	5.55488	-2.50997	7.62115	-0.122372	0.0150444	-0.0864707	-0.565918	0.619141	-0.550049	0.980283	0.011191	0.181041	0.0783891	-5.33533	0.724765	11.5872	0.0236406	0.0317415	-0.0875621	0.881348	-0.138428	-0.567383	0.548716	-0.488091	-0.45147	-0.506806	10.1312	-0.942195	1.28725	-0.170748	-0.0770362	0.043343	-0.871582	0.48584	-0.119141	0.815743	-0.0720341	-0.388676	-0.422262	7.50398	2.42189	7.66055	0.23719	-0.125979	0.013091	-0.533203	0.0424805	-0.916504	-0.0656273	-0.2647	-0.92429	-0.267049	0.0615082	4.48384	-8.23131	-0.0657328	-0.116288	-0.21574	-0.416748	-0.418701	0.976074	0.513308	-0.591284	-0.383431	-0.489774	9.02813	-3.26593	0.0602433	-0.443763	-0.0293526	-0.0875277	-0.821045	0.650146	0.0847168	0.554807	-0.536994	-0.553888	-0.311503	9.04977	-3.23879	-2.3592	-0.363721	0.0824075	0.0288498	-0.906738	0.711426	0.0588379	
1	0.534232	-0.429607	-0.463486	-0.56144	9.80359	0.652232	2.08929	-0.0258746	0.0397939	0.139074	-0.864746	0.376709	-0.176025	0.598135	-0.372669	-0.404463	-0.582891	9.18589	0.254691	4.04409	-0.113877	0.052562	0.0151981	-0.737061	0.29834	-0.30957	0.783176	-0.0576984	-0.249958	-0.566416	4.99877	2.18788	9.31272	-0.163826	0.0237984	-0.035432	-0.431396	0.0844727	-0.96875	0.0480068	0.310507	0.0254908	-0.949016	-5.83242	-0.322359	8.20141	0.0160955	-0.120901	-0.0651888	0.220215	0.155518	-1.0332	0.56112	-0.322875	-0.0572248	-0.760014	5.45614	-2.79058	7.80468	-0.119939	-0.0378483	-0.116607	-0.576904	0.619141	-0.547852	0.980196	0.0109762	0.182564	0.0759353	-5.82468	0.736303	11.5985	0.0316453	0.0707047	-0.119522	0.889893	-0.13623	-0.561035	0.550337	-0.487408	-0.449752	-0.507234	9.86793	-0.39437	1.94476	-0.0756533	0.078321	0.0334847	-0.871338	0.481689	-0.125488	0.814132	-0.0742643	-0.391043	-0.422799	7.5315	2.70053	7.70819	-0.137259	-0.123969	-0.0482993	-0.546143	0.0422363	-0.909424	-0.0685105	-0.26643	-0.924216	-0.26485	0.375273	4.2826	-8.07975	0.105401	-0.143787	0.084306	-0.414795	-0.411865	0.973633	0.508423	-0.593522	-0.383089	-0.492423	8.98122	-2.84285	-1.13541	0.0726059	-0.0162679	-0.0831482	-0.820801	0.647949	0.0939941	0.554959	-0.537874	-0.551357	-0.314193	8.91325	-4.14427	-2.15023	0.156745	0.111035	0.00463053	-0.904297	0.707031	0.0634766	
2	0.535847	-0.431126	-0.460645	-0.561075	9.70773	0.299227	2.1519	-0.0647591	0.0477222	0.103909	-0.860352	0.378906	-0.178223	0.597584	-0.374127	-0.402369	-0.58397	8.96417	0.388889	3.92158	-0.12484	0.0435937	-0.00305671	-0.743652	0.29834	-0.304932	0.782777	-0.0584207	-0.247287	-0.568064	4.89164	2.204	9.09188	-0.0847421	0.0827703	-0.0463466	-0.431396	0.0844727	-0.96875	0.0456832	0.307969	0.0259474	-0.949945	-5.69074	-0.18196	8.00688	-0.00747913	-0.0859055	-0.102422	0.220215	0.157715	-1.03101	0.559158	-0.324148	-0.0565048	-0.760971	5.29844	-3.04955	7.86709	-0.0432437	-0.00222139	-0.0553061	-0.583496	0.621338	-0.541016	0.980041	0.0123941	0.18416	0.0738292	-5.75022	0.926181	11.6516	0.0919549	0.0674386	-0.0707602	0.887695	-0.131836	-0.559082	0.550181	-0.489634	-0.44603	-0.508544	9.53283	-0.684581	0.685763	-0.0674203	0.0633141	0.0601381	-0.873779	0.488037	-0.121338	0.811548	-0.0822359	-0.38984	-0.427377	7.58896	1.82621	7.63911	-0.375518	-0.0961341	-0.0992485	-0.549072	0.0576172	-0.902832	-0.0682366	-0.273304	-0.923475	-0.260466	0.564524	4.76877	-8.15995	0.186346	-0.0926196	0.270808	-0.415283	-0.398193	0.977783	0.509833	-0.592562	-0.388978	-0.48748	9.74642	-1.65948	0.16377	0.155952	-0.182645	-0.0183323	-0.820801	0.643555	0.0917969	0.559365	-0.534899	-0.550017	-0.313807	9.61752	-1.49542	-1.75613	-0.061813	0.188075	0.0330758	-0.913574	0.711426	0.0476074	
3	0.536535	-0.432017	-0.458265	-0.56168	9.78236	0.293199	2.25668	-0.0749729	0.0539796	0.0482345	-0.858398	0.385498	-0.18042	0.596287	-0.376296	-0.400674	-0.585068	9.18016	0.194183	3.84208	-0.129998	-0.00554771	-0.014763	-0.748047	0.300537	-0.304932	0.782158	-0.0589718	-0.245542	-0.569614	4.92248	2.248	9.02078	-0.0751796	0.0286852	-0.0586705	-0.425049	0.0844727	-0.970947	0.0434223	0.306785	0.0273319	-0.950395	-5.64609	-0.328034	7.83467	-0.0187152	-0.023907	-0.101154	0.218018	0.159912	-1.03101	0.558832	-0.32348	-0.0558649	-0.761542	5.57238	-2.74157	7.72687	-0.0194005	0.0572747	-0.0289553	-0.576904	0.621338	-0.543213	0.979872	0.0153468	0.185408	0.0723864	-5.76661	0.867468	11.4231	0.135106	0.0421337	-0.048102	0.881348	-0.134033	-0.558838	0.549218	-0.492001	-0.443943	-0.509126	9.89352	-0.768509	1.18244	-0.150331	-0.0324413	0.0232223	-0.865479	0.492432	-0.119385	0.809642	-0.0879068	-0.387801	-0.431697	7.79922	1.46617	7.39785	-0.248508	-0.0193862	-0.0988744	-0.549561	0.0683594	-0.905273	-0.0680069	-0.280274	-0.922428	-0.256802	0.189051	4.73131	-8.19541	0.1388	-0.112656	0.230522	-0.411133	-0.388916	0.986816	0.50393	-0.598582	-0.385856	-0.488743	9.52719	-2.46856	0.536191	-0.436538	-0.101231	0.0678779	-0.816406	0.647949	0.109863	0.564409	-0.531521	-0.548815	-0.312619	9.08763	-3.25465	-1.47877	0.422235	0.132082	0.0328587	-0.904297	0.709229	0.0361328	
4	0.536635	-0.432935	-0.456127	-0.562617	9.71138	0.0642294	2.19626	-0.0778862	0.0332285	0.0216655	-0.86499	0.385254	-0.17627	0.59467	-0.378251	-0.399637	-0.586161	9.13729	0.0442145	3.74283	-0.0968625	-0.0256607	-0.0346214	-0.737061	0.29834	-0.30249	0.780856	-0.0599613	-0.244858	-0.571588	5.07237	2.0095	8.88171	-0.0614643	-0.0150406	-0.0785561	-0.431396	0.0844727	-0.966309	0.0413628	0.307123	0.0274126	-0.950375	-5.59966	-0.22764	7.75331	0.0387307	0.0328578	-0.0650595	0.218262	0.15332	-1.0354	0.557551	-0.324559	-0.0540379	-0.762154	5.44139	-2.66219	7.5733	-0.114973	0.0116891	-0.0409703	-0.583496	0.623535	-0.543213	0.97983	0.0163736	0.185841	0.0716069	-5.61877	0.847546	11.4612	0.0971648	0.037854	-0.0602077	0.885498	-0.131836	-0.558838	0.547612	-0.49431	-0.442109	-0.510214	9.86751	-1.00479	1.12011	-0.264973	-0.0160878	0.0250252	-0.869385	0.488037	-0.119141	0.808083	-0.0907852	-0.387392	-0.434382	7.72629	1.39287	7.37786	-0.117513	-0.0339489	-0.0854245	-0.551758	0.0727539	-0.900635	-0.0680141	-0.283082	-0.921971	-0.25536	0.181316	4.77599	-7.97755	0.114472	-0.0875269	0.194609	-0.411133	-0.388916	0.986816	0.501997	-0.601044	-0.38373	-0.489383	9.94746	-2.55086	-0.0200553	0.0647143	0.0589427	0.0138995	-0.825439	0.650146	0.116699	0.567068	-0.528959	-0.549181	-0.311508	9.5628	-1.55083	-1.10221	0.144447	0.0621899	-0.00792409	-0.904541	0.711426	0.0292969	
5	0.536114	-0.433271	-0.455755	-0.563156	9.54252	0.198626	2.05442	-0.0212723	-0.0188325	-0.0168819	-0.858398	0.383301	-0.178223	0.593489	-0.379643	-0.399614	-0.586473	9.29735	0.0629459	3.85217	-0.0665931	-0.0314639	-0.0284494	-0.743652	0.300537	-0.295654	0.779483	-0.0606147	-0.246331	-0.57276	5.22052	2.07091	9.09363	0.0102236	-0.0746921	-0.0569303	-0.431396	0.0866699	-0.964111	0.0397522	0.307982	0.0254767	-0.95022	-5.61679	-0.121208	7.90685	0.0958546	0.0359128	-0.0231389	0.218018	0.155518	-1.02881	0.55666	-0.324775	-0.0534843	-0.762752	5.61597	-2.66259	7.57925	-0.0111531	0.0231013	-0.0435125	-0.579346	0.625732	-0.538574	0.979788	0.0172869	0.18693	0.0690934	-5.5421	0.717154	11.3985	0.0234507	0.0237034	-0.0839891	0.889893	-0.131836	-0.559082	0.546402	-0.496572	-0.441328	-0.50999	9.93832	-1.32849	1.0475	0.0149484	-0.0463297	0.010789	-0.869873	0.498779	-0.108887	0.807667	-0.0906086	-0.387236	-0.435331	7.61593	1.47567	7.44241	0.020536	0.0417965	-0.053434	-0.557861	0.0661621	-0.898193	-0.0688205	-0.284472	-0.920911	-0.257414	0.249171	4.64096	-8.22411	-0.118015	0.00985033	-0.0628539	-0.408936	-0.384521	0.984375	0.502956	-0.599369	-0.382445	-0.491454	9.95481	-1.96146	0.693812	-0.129513	0.138693	-0.0152774	-0.818604	0.647949	0.112061	0.564732	-0.531172	-0.548042	-0.31398	9.61094	-2.34147	-1.62713	-0.136243	-0.00537824	-0.022567	-0.904541	0.713623	0.0383301	
6	0.535771	-0.433715	-0.456087	-0.562873	9.59555	0.265372	1.99935	-0.00514383	-0.0597957	-0.000887812	-0.86084	0.387695	-0.178223	0.592803	-0.380592	-0.399218	-0.586821	9.32551	0.14344	3.75043	-0.100728	-0.0236469	-0.0223725	-0.741699	0.304932	-0.293457	0.778897	-0.0609809	-0.247079	-0.573195	5.25447	2.04067	9.09467	-0.000774479	-0.0662639	-0.0493952	-0.433594	0.0822754	-0.959473	0.0393348	0.308295	0.0245276	-0.950161	-5.64552	-0.0731824	8.01075	0.0823399	0.0291572	-0.00420192	0.220703	0.148926	-1.03296	0.555976	-0.324777	-0.0531634	-0.763272	5.64226	-2.49946	7.60771	-0.0412236	0.0322799	-0.0668463	-0.579102	0.619141	-0.538574	0.979842	0.0171443	0.187023	0.0680984	-5.63136	0.648499	11.4411	0.00666959	0.0150198	-0.094501	0.889648	-0.127441	-0.554688	0.546095	-0.497085	-0.441189	-0.509941	9.857	-1.02745	1.21878	-0.0644734	0.0246374	-0.0049637	-0.869873	0.494629	-0.106689	0.807667	-0.0906086	-0.387236	-0.435331	7.61593	1.47567	7.44241	0.020536	0.0417965	-0.053434	-0.557861	0.0661621	-0.898193	-0.0697588	-0.28327	-0.920897	-0.258535	0.261573	4.33189	-8.02126	-0.10865	-0.0133978	-0.116027	-0.411133	-0.388916	0.982178	0.502387	-0.599826	-0.381037	-0.492572	9.72168	-2.15024	0.115147	-0.133234	0.0884366	0.0163535	-0.82251	0.634766	0.112549	0.562459	-0.533282	-0.547036	-0.316231	9.62273	-1.66915	-1.75945	-0.312813	-0.00367584	-0.0289588	-0.9021	0.709229	0.0429688	
7	0.535056	-0.43529	-0.457055	-0.56155	9.85018	0.363785	1.8776	-0.000437152	-0.0979242	0.0311682	-0.854248	0.387695	-0.171875	0.592042	-0.381653	-0.39812	-0.587646	9.26781	0.150565	3.89772	-0.0692979	0.0275181	-0.0223651	-0.743896	0.304932	-0.295654	0.777844	-0.0616878	-0.248364	-0.573994	5.25408	1.95494	9.21382	0.00230198	-0.0513557	-0.038886	-0.433594	0.0844727	-0.964111	0.0388255	0.308512	0.0226618	-0.950158	-5.62334	-0.0326003	8.05252	0.0795153	0.000554345	0.00158062	0.216309	0.146729	-1.02856	0.553781	-0.326258	-0.0510003	-0.764383	5.65085	-2.7915	7.61496	-0.137305	0.0179612	-0.066493	-0.583496	0.621338	-0.53418	0.979976	0.0167902	0.187163	0.0658484	-5.65116	0.576676	11.442	0.00408068	0.0143414	-0.105068	0.891846	-0.125244	-0.550537	0.544755	-0.498426	-0.440048	-0.511049	10.051	-0.871122	1.25924	-0.0490144	0.0297604	-0.0295362	-0.863525	0.496826	-0.104492	0.808543	-0.0872172	-0.389208	-0.432629	7.42852	2.09119	7.4478	0.111785	0.00424202	0.0239459	-0.555664	0.0639648	-0.905273	-0.0711459	-0.280574	-0.921583	-0.258653	0.0251244	4.40805	-7.78609	-0.00207588	-0.0146634	-0.129472	-0.401611	-0.393555	0.982422	0.50087	-0.600642	-0.378329	-0.495202	9.18185	-2.64377	-0.160411	-0.157268	0.0898519	-0.0125661	-0.822754	0.636963	0.116943	0.557262	-0.538226	-0.544357	-0.321633	9.14512	-3.5808	-1.77625	-0.240729	0.000461825	-0.0271074	-0.906494	0.707031	0.0544434	
8	0.534906	-0.437081	-0.456635	-0.560643	9.92847	0.261284	1.79865	-0.0453978	-0.0339142	0.0573044	-0.86084	0.387451	-0.171875	0.591447	-0.381722	-0.397596	-0.588554	9.02037	0.162681	3.78821	-0.0416093	0.0316011	-0.0496028	-0.74585	0.304932	-0.295654	0.777711	-0.0617541	-0.247627	-0.574485	5.06008	2.08659	9.16818	-0.0442199	0.0590627	-0.00984684	-0.429199	0.0844727	-0.961914	0.0377266	0.307644	0.0225447	-0.950486	-5.58699	0.0253714	8.1643	-0.0291818	-0.035675	-0.0489328	0.218506	0.144531	-1.03076	0.552189	-0.326545	-0.0503744	-0.765453	5.31564	-3.00689	7.70868	-0.0168677	0.0273545	-0.0748395	-0.583496	0.621338	-0.538574	0.980079	0.0169891	0.187053	0.0645528	-5.71605	0.637863	11.3247	0.0420333	-0.00199932	-0.0468412	0.889404	-0.123291	-0.554932	0.545564	-0.496706	-0.438453	-0.513227	9.50679	-0.949121	0.967896	0.0125197	0.141423	-0.0436554	-0.861084	0.494629	-0.106689	0.808396	-0.0879344	-0.38993	-0.432109	7.40179	2.23203	7.46781	-0.0463171	-0.0197615	-0.00689844	-0.558105	0.0661621	-0.905273	-0.0715709	-0.280097	-0.921939	-0.257782	0.029272	4.58717	-7.97792	0.039375	-0.0233038	-0.0156564	-0.406494	-0.391113	0.982178	0.500433	-0.600449	-0.378871	-0.495463	9.43839	-2.65794	-0.164861	0.0556406	-0.00647523	-0.0280647	-0.822998	0.643555	0.114502	0.557558	-0.537887	-0.544327	-0.321738	9.24116	-2.72052	-1.71695	-0.044161	0.0382407	0.00139931	-0.91333	0.709229	0.0566406	
9	0.534776	-0.437449	-0.455461	-0.561434	9.94296	0.0826131	1.9376	-0.0466126	0.0388614	-0.0180084	-0.856445	0.389648	-0.169678	0.591304	-0.38123	-0.39735	-0.589182	9.18828	0.180708	3.84393	0.00408858	0.0375548	-0.0346818	-0.743652	0.300537	-0.290771	0.777906	-0.0616862	-0.245669	-0.575068	5.12062	2.11972	8.95223	-0.0401149	0.0622406	-0.00710429	-0.435791	0.0888672	-0.964111	0.0370563	0.306891	0.0253916	-0.950684	-5.67005	-0.108786	7.82046	-0.101097	-0.0113517	-0.0589094	0.211426	0.155518	-1.03101	0.552592	-0.324674	-0.0517404	-0.765867	5.31834	-2.98072	7.68269	0.115572	0.0488037	-0.00976572	-0.583496	0.619141	-0.53418	0.980055	0.0195618	0.186894	0.0646606	-5.75726	0.917824	11.4524	0.111391	0.00065087	0.0284615	0.889648	-0.129639	-0.556885	0.546246	-0.495111	-0.437873	-0.514537	9.76113	-0.956903	1.19494	0.0203595	0.0895234	-0.0390487	-0.865479	0.494629	-0.11084	0.807517	-0.0891954	-0.390322	-0.43314	7.74857	1.83248	7.53722	-0.0314758	-0.00973245	-0.0744796	-0.558105	0.0683594	-0.902832	-0.0721199	-0.282089	-0.921678	-0.256387	0.298217	4.84782	-8.01295	0.0365166	-0.0491545	0.070904	-0.404053	-0.391113	0.986816	0.499429	-0.601197	-0.379649	-0.494975	9.61983	-2.33411	-0.00600031	-0.100356	-0.0495931	-0.0197986	-0.822998	0.645752	0.116699	0.560419	-0.535768	-0.544561	-0.319902	9.45688	-2.00133	-1.43063	0.156791	0.0463917	0.00669637	-0.911133	0.709229	0.0429688	
