40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.0372768	0.140184	-0.0571252	-0.987773	-2.98285	1.31429	10.4711	0.000198476	-0.0122774	-0.000700326	-0.0241699	0.0681152	-1.14771	0.0984607	0.163444	0.0116499	-0.981558	-3.28821	0.0650713	9.49375	0.0242179	0.00152451	-0.00669211	0.155273	0.0908203	-1.0791	0.145023	0.0631573	-0.524627	-0.836508	0.484927	9.15304	4.51359	0.00872938	0.00557569	-7.57599e-06	-0.419922	-0.848877	-0.699951	-0.0161775	0.391823	-0.91976	-0.0159321	-0.396812	0.196266	-9.75864	-0.00453157	0.00332424	0.00370183	-0.359131	-0.349609	0.966553	-0.0294866	-0.0321822	0.62656	-0.77815	0.903677	-9.46097	2.08103	-0.000600829	0.0091688	-0.00810967	-0.286621	1.25806	-0.219238	0.0415728	0.0656307	0.995153	-0.0602916	-0.597075	-0.547922	-6.35366	0.00276543	0.0114835	-0.0172245	-0.155273	0.161377	0.93335	0.251757	-0.0523541	0.0061177	-0.966354	1.01499	-0.44976	10.4418	0.0188099	0.126686	-0.00376611	-0.401855	0.226074	-1.01953	0.115279	-0.0129621	-0.130101	-0.984691	0.598306	2.75583	10.6936	0.00824674	0.0169981	-0.0135675	-0.509521	-0.165283	-1.0415	0.126665	-0.0738571	-0.0101208	-0.98914	1.56363	-0.0484173	10.504	0.00427728	0.00891394	-0.0159117	-0.568115	0.107422	-1.00708	0.121283	-0.0291361	0.153237	-0.980286	0.20003	-3.25638	9.94626	7.06577e-06	0.0130776	0.00405088	-0.396973	0.341553	-0.942627	0.0730954	-0.0456431	0.0939162	-0.991843	0.806808	-1.90213	9.58115	0.00236254	0.00901078	-0.00344176	-0.568848	0.172607	-1.03223	
1	0.0372388	0.140057	-0.0572695	-0.987784	-3.05268	1.30707	10.452	0.00499883	-0.00911707	-0.00237218	-0.0219727	0.065918	-1.14331	0.0986233	0.163823	0.0123328	-0.98147	-3.30046	0.0822971	9.53723	-0.0565556	0.0396983	-0.0137327	0.155273	0.0908203	-1.08154	0.144996	0.0632838	-0.524599	-0.836521	0.483388	9.20298	4.50269	-0.00431542	0.00740272	-0.000405137	-0.422119	-0.842285	-0.695557	-0.0162281	0.391807	-0.919765	-0.0160064	-0.414328	0.195168	-9.76978	-0.00293758	0.00196376	0.00199287	-0.365723	-0.347412	0.966553	-0.0294425	-0.0321094	0.626622	-0.778105	0.859352	-9.46004	2.06313	-0.00447545	0.00708746	-0.00807587	-0.290771	1.25342	-0.217041	0.0416293	0.0656677	0.995148	-0.0602975	-0.591828	-0.568537	-6.34326	0.00410077	0.0103375	-0.0177309	-0.159668	0.165771	0.928955	0.251976	-0.0498982	0.00647753	-0.966425	0.945608	-0.486072	10.3377	0.0535156	0.110256	-0.00331682	-0.397461	0.223877	-1.01514	0.115264	-0.0129405	-0.130173	-0.984684	0.577566	2.7803	10.7018	0.0052778	0.018946	-0.0138808	-0.507324	-0.169678	-1.04614	0.126658	-0.0738615	-0.0101555	-0.989141	1.56489	-0.0253965	10.4792	0.00454513	0.00937155	-0.0173762	-0.572754	0.105225	-1.00244	0.121283	-0.0291379	0.15314	-0.980301	0.177602	-3.245	9.95919	0.00332189	0.0117672	0.0058427	-0.401367	0.34375	-0.94043	0.0730873	-0.0456488	0.0938797	-0.991847	0.79213	-1.88291	9.57502	0.00108121	0.00929339	-0.0043623	-0.568848	0.172607	-1.02783	
2	0.0370049	0.139829	-0.0573447	-0.987821	-3.00633	1.36335	10.4536	0.00655039	-0.0240949	-0.0153027	-0.0241699	0.0681152	-1.14331	0.0985851	0.163268	0.0125533	-0.981563	-3.29608	0.0505127	9.3719	-0.0279566	-0.0291017	-0.0225663	0.153076	0.0930176	-1.08398	0.145021	0.0632306	-0.524475	-0.836598	0.480771	9.14226	4.53886	-0.0108423	0.00228411	0.00522741	-0.424316	-0.851074	-0.692871	-0.0162267	0.391804	-0.919767	-0.0160056	-0.405217	0.192717	-9.76567	-0.00171493	0.00449004	0.00212614	-0.361328	-0.349365	0.962158	-0.0294702	-0.0321784	0.626654	-0.778075	0.882587	-9.44928	2.06734	-0.00476862	0.00448719	-0.0155712	-0.293213	1.25806	-0.223877	0.0416251	0.0657541	0.995144	-0.0602616	-0.601103	-0.551546	-6.33601	0.00106858	0.0169205	-0.0156055	-0.157227	0.15918	0.935547	0.252157	-0.0478546	0.00718639	-0.966476	0.873216	-0.49933	10.3976	0.0397767	0.081887	-0.00681267	-0.388916	0.226074	-1.02148	0.115216	-0.0129324	-0.130181	-0.984688	0.546233	2.75135	10.7437	0.00432861	0.0173658	-0.0166814	-0.507568	-0.163086	-1.03687	0.126685	-0.0739042	-0.0102386	-0.989133	1.5464	-0.0285047	10.5044	0.00710582	0.0066351	-0.0149024	-0.572754	0.102783	-1.00244	0.121259	-0.029172	0.153116	-0.980306	0.221656	-3.23552	9.93628	-0.000339392	0.0116423	0.0031489	-0.394531	0.341553	-0.944824	0.0730911	-0.0456747	0.0938809	-0.991846	0.812241	-1.88778	9.58332	0.000706296	0.0073969	-0.00417185	-0.564209	0.17041	-1.02759	
3	0.0371574	0.139651	-0.0573139	-0.987842	-2.96367	1.34224	10.4612	-0.00529278	-0.00198387	0.0145083	-0.0241699	0.0681152	-1.1521	0.0985791	0.163058	0.0118146	-0.981608	-3.19052	0.093047	9.5871	-0.000571464	0.0143412	-0.0125256	0.150879	0.0952148	-1.07935	0.144859	0.0633768	-0.525198	-0.836162	0.455316	9.22121	4.47504	0.042978	0.00354599	-0.000347527	-0.422119	-0.844482	-0.693115	-0.0162407	0.391768	-0.91978	-0.0160744	-0.400881	0.18694	-9.77695	-0.00305077	0.00361381	0.00336541	-0.36377	-0.345215	0.964355	-0.0295087	-0.0321417	0.626717	-0.778024	0.90468	-9.49432	2.0562	-0.00286446	0.013438	-0.00355921	-0.288574	1.25122	-0.2146	0.04175	0.0658223	0.99513	-0.0603354	-0.597218	-0.544047	-6.34637	0.00994157	0.00402806	-0.0160041	-0.153076	0.163574	0.931152	0.252252	-0.0446101	0.00811516	-0.966599	0.95808	-0.444886	10.7207	-0.0187095	0.138591	-0.00605039	-0.386475	0.223877	-1.02368	0.115256	-0.0129733	-0.130326	-0.984664	0.661533	2.78463	10.7076	0.00731513	0.0173889	-0.0106174	-0.513916	-0.163086	-1.03906	0.126658	-0.0739089	-0.0102855	-0.989136	1.57813	-0.0063663	10.508	0.00396363	0.0113015	-0.0171246	-0.570557	0.107422	-1.00464	0.121249	-0.0291713	0.153086	-0.980312	0.276433	-3.25605	9.94601	0.00173027	0.0137866	0.00398573	-0.401367	0.341553	-0.942627	0.0730992	-0.0456739	0.0938145	-0.991851	0.834582	-1.89994	9.5641	0.00635636	0.0108826	-0.00359296	-0.573242	0.170166	-1.02759	
4	0.0370001	0.139503	-0.0573257	-0.987868	-3.00058	1.31999	10.4422	0.00135466	-0.0134746	-0.0101842	-0.0241699	0.0681152	-1.1499	0.0986308	0.163341	0.011792	-0.981556	-3.33697	0.0558486	9.56996	-0.00414616	0.0214179	-0.0121528	0.150879	0.0952148	-1.08179	0.144815	0.0634626	-0.524934	-0.836329	0.482223	9.12442	4.49502	-0.0109468	0.00786001	-0.00457516	-0.424316	-0.84668	-0.695312	-0.0163278	0.391764	-0.91978	-0.0160788	-0.396297	0.182656	-9.76449	-0.00158631	-0.000118474	0.00266299	-0.361328	-0.347412	0.964355	-0.029353	-0.0319992	0.626512	-0.778201	0.864394	-9.46835	2.09529	0.00245384	0.00700215	-0.00566447	-0.286621	1.26025	-0.22168	0.0418736	0.0658857	0.995107	-0.0605599	-0.596124	-0.548113	-6.33654	0.00949406	0.0101382	-0.0155473	-0.157471	0.165771	0.93335	0.252508	-0.0410519	0.00951136	-0.966677	0.648526	-0.475831	10.1891	-0.00648717	0.138409	-0.00303331	-0.373779	0.223877	-1.03223	0.115222	-0.0129357	-0.13017	-0.984689	0.526625	2.75757	10.734	-0.00313858	0.0182269	-0.0154478	-0.503174	-0.165283	-1.0437	0.126598	-0.0738894	-0.0101358	-0.989146	1.53318	-0.0404186	10.518	-0.00329875	0.0114896	-0.0179094	-0.572754	0.107422	-1.00244	0.121283	-0.0290891	0.153089	-0.98031	0.11644	-3.24291	9.9637	-0.00341553	0.0162424	0.00602276	-0.401367	0.341553	-0.944824	0.0731324	-0.0456183	0.0937249	-0.99186	0.778823	-1.89977	9.58242	0.00439478	0.010637	-0.00378178	-0.571045	0.172363	-1.03223	
5	0.0368344	0.139283	-0.0573349	-0.987905	-3.04968	1.35237	10.4584	-0.00183119	-0.0220688	-0.00209906	-0.0241699	0.065918	-1.14551	0.0987312	0.163198	0.0117814	-0.98157	-3.29196	0.0766777	9.51744	-0.00587694	0.00537659	-0.0142634	0.155518	0.088623	-1.07666	0.144837	0.0634745	-0.525023	-0.836268	0.461722	9.19542	4.48459	0.00150366	0.00200464	0.00715931	-0.420166	-0.842529	-0.697754	-0.0163204	0.391733	-0.919791	-0.0162089	-0.404895	0.182029	-9.74775	-0.00573045	0.00334117	0.00488772	-0.363525	-0.347412	0.966553	-0.0294494	-0.0320217	0.626754	-0.778002	0.871532	-9.48303	2.03642	-0.00421809	0.0070299	-0.0133036	-0.28418	1.25342	-0.2146	0.0418441	0.0659879	0.995107	-0.060464	-0.591619	-0.54942	-6.33685	-0.00148853	0.0161752	-0.0133104	-0.157227	0.161377	0.935547	0.252649	-0.0393072	0.00984679	-0.966709	0.727003	-0.42848	10.4926	0.00263418	0.0865661	-0.00756303	-0.369141	0.217529	-1.02979	0.115189	-0.0129944	-0.130201	-0.984688	0.566741	2.76305	10.7379	0.00689265	0.0140347	-0.0134094	-0.509277	-0.169678	-1.0437	0.126646	-0.0739147	-0.010138	-0.989138	1.53091	-0.0616291	10.5248	0.00854479	0.00841579	-0.0127641	-0.567871	0.100586	-0.998047	0.121236	-0.0291809	0.153288	-0.980282	0.168975	-3.27361	9.94033	-0.00728547	0.010877	0.00211287	-0.396973	0.341553	-0.944824	0.0731197	-0.0456775	0.0938305	-0.991848	0.793973	-1.89642	9.60485	-0.00566623	0.0070827	-0.00410643	-0.571045	0.172363	-1.02319	
6	0.0368881	0.138799	-0.0573322	-0.987971	-2.88873	1.33135	10.4748	-0.00171713	-0.020086	0.00560936	-0.0263672	0.0703125	-1.1499	0.098764	0.163194	0.0119339	-0.981565	-3.25381	0.0603606	9.58885	-0.0186615	0.0178357	-0.014012	0.155518	0.0864258	-1.08618	0.144928	0.0633619	-0.525021	-0.836262	0.493822	9.12838	4.50431	0.00784307	0.00218164	0.00496219	-0.424316	-0.842285	-0.697754	-0.0162747	0.391744	-0.919787	-0.0162184	-0.415146	0.185167	-9.7436	-0.00272006	0.00457332	0.00257664	-0.361328	-0.349365	0.959961	-0.0294492	-0.032093	0.626754	-0.777999	0.891237	-9.46454	2.0899	-0.0103195	0.00841039	-0.0127786	-0.288818	1.26001	-0.2146	0.0418	0.066062	0.995106	-0.060436	-0.58503	-0.550702	-6.34694	0.00305057	0.0140056	-0.0148136	-0.157471	0.163574	0.928955	0.252739	-0.0375561	0.0102019	-0.966751	0.711494	-0.464646	10.4507	0.019307	0.0822474	-0.00710793	-0.371338	0.221924	-1.03198	0.115197	-0.0130337	-0.130216	-0.984685	0.624754	2.75117	10.7047	0.00653466	0.0170632	-0.0120335	-0.507324	-0.169678	-1.0437	0.126725	-0.0739889	-0.010403	-0.98912	1.56795	-0.0279866	10.4943	0.0136237	0.00627083	-0.0129056	-0.572754	0.107422	-1.00708	0.121222	-0.0292805	0.153252	-0.980287	0.22212	-3.26297	9.9469	0.000756392	0.00977512	0.00458864	-0.396973	0.34375	-0.942627	0.0730205	-0.0456412	0.0939686	-0.991844	0.823329	-1.90518	9.58565	-0.00508252	0.00710977	-0.00571638	-0.56665	0.177002	-1.02783	
7	0.036994	0.13882	-0.0573825	-0.987961	-2.96316	1.33581	10.4586	0.00167529	4.91777e-05	0.0071979	-0.0241699	0.0703125	-1.14551	0.0987968	0.16317	0.0119587	-0.981566	-3.23983	0.0495007	9.59561	-0.00918431	0.0216513	-0.0134911	0.159668	0.0930176	-1.08398	0.144867	0.0634977	-0.525123	-0.836198	0.480015	9.17181	4.5249	0.00454839	0.00808093	-0.00319883	-0.419922	-0.844727	-0.690918	-0.0163211	0.391735	-0.919789	-0.0162912	-0.405244	0.206802	-9.7462	-0.0024558	0.000855983	0.0030629	-0.361084	-0.351807	0.971191	-0.0294471	-0.0320631	0.626732	-0.778018	0.892419	-9.47821	2.05622	0.00391848	0.0095002	-0.00943638	-0.282227	1.25806	-0.22168	0.0417957	0.0661068	0.995105	-0.0604082	-0.593491	-0.561668	-6.32848	0.00130895	0.0132568	-0.0155241	-0.155029	0.15918	0.931396	0.25277	-0.0360783	0.0105408	-0.966796	0.6798	-0.466917	10.435	0.00529594	0.0703121	-0.0128755	-0.367188	0.223877	-1.03223	0.115193	-0.0130393	-0.130376	-0.984664	0.617814	2.76695	10.6953	0.00892525	0.0160659	-0.0126267	-0.509521	-0.16748	-1.0415	0.126715	-0.073985	-0.010482	-0.989121	1.572	-0.00906593	10.4766	0.00516016	0.0106276	-0.0171643	-0.570312	0.102783	-1.00464	0.121229	-0.029291	0.153273	-0.980282	0.222921	-3.26186	9.93207	-0.0023686	0.0140974	0.00416636	-0.403809	0.345703	-0.94043	0.0730367	-0.0456751	0.0939585	-0.991842	0.821053	-1.91048	9.57876	0.00469539	0.009268	-0.0043175	-0.571045	0.172363	-1.02319	
8	0.03707	0.138722	-0.0574353	-0.987969	-2.99018	1.35363	10.4467	-0.00035617	-0.0109988	0.00386001	-0.0219727	0.0681152	-1.14331	0.0987791	0.163178	0.0118137	-0.981568	-3.28314	0.0818865	9.53779	0.00617284	0.0203151	-0.0143125	0.15332	0.0864258	-1.0813	0.144804	0.0636033	-0.525147	-0.836186	0.470975	9.16148	4.49564	0.00508476	0.00651738	-0.00162259	-0.422119	-0.842285	-0.693115	-0.0163454	0.391744	-0.919783	-0.0163707	-0.417878	0.207232	-9.76573	-0.00475562	0.00219775	0.00215568	-0.365723	-0.351807	0.9646	-0.0293548	-0.0319803	0.626651	-0.77809	0.86709	-9.45902	2.07335	0.00236093	0.00746737	-0.0089	-0.291016	1.25781	-0.217041	0.0417054	0.0659994	0.995114	-0.0604427	-0.585127	-0.55493	-6.35837	0.0050782	0.0122876	-0.0158731	-0.153076	0.161377	0.931152	0.252777	-0.0356624	0.0104222	-0.966811	0.624015	-0.465705	10.3892	0.0305391	0.0437547	-0.0129758	-0.36499	0.224121	-1.03638	0.115156	-0.0130038	-0.130309	-0.984677	0.5492	2.77345	10.7205	-0.00117506	0.0194154	-0.01559	-0.505127	-0.165283	-1.0415	0.126694	-0.0739641	-0.010423	-0.989126	1.55689	-0.0264483	10.5164	0.00242629	0.0107405	-0.0163008	-0.568115	0.107422	-1.00708	0.121243	-0.0292716	0.153223	-0.980289	0.162391	-3.26606	9.94233	0.00424192	0.0135117	0.00540422	-0.396973	0.341553	-0.942627	0.0729716	-0.0455743	0.0939075	-0.991857	0.808461	-1.88665	9.59013	0.00273542	0.00902257	-0.00450847	-0.568848	0.174805	-1.03687	
9	0.0371008	0.138699	-0.0574341	-0.987971	-2.96211	1.34789	10.439	-0.00134479	-0.00642486	0.00330901	-0.0285645	0.0703125	-1.1499	0.0988081	0.163207	0.0118839	-0.98156	-3.29075	0.0658593	9.55983	-0.0128891	0.0168096	-0.013551	0.157471	0.088623	-1.08374	0.144796	0.0636232	-0.525174	-0.836169	0.460182	9.18364	4.49537	0.00427879	0.00469403	0.00180192	-0.419922	-0.84668	-0.69751	-0.0163255	0.391743	-0.919784	-0.0163645	-0.425917	0.202222	-9.77282	-0.00205117	0.00501206	0.00195646	-0.370117	-0.351807	0.9646	-0.0293438	-0.0319716	0.626654	-0.778089	0.888365	-9.46777	2.06968	-0.00144806	0.00738154	-0.00925749	-0.291016	1.26001	-0.217041	0.041717	0.0660316	0.995111	-0.060453	-0.584248	-0.555601	-6.34881	0.00447061	0.0122444	-0.0159122	-0.150879	0.163574	0.931152	0.252757	-0.035574	0.0103376	-0.96682	0.626037	-0.433134	10.44	0.0144935	0.00365742	-0.0128957	-0.369141	0.219727	-1.03198	0.115151	-0.0130143	-0.130291	-0.98468	0.578212	2.76822	10.7401	0.00234866	0.0165045	-0.0134817	-0.50293	-0.171875	-1.0459	0.126709	-0.0739571	-0.0104145	-0.989124	1.54458	-0.0414804	10.5061	0.00365611	0.0102138	-0.0147984	-0.568115	0.103027	-1.00684	0.121224	-0.0293317	0.153112	-0.980307	0.186299	-3.23774	9.94292	-5.25666e-05	0.0107306	0.00310517	-0.394775	0.345947	-0.942627	0.0729716	-0.0455743	0.0939075	-0.991857	0.808461	-1.88665	9.59013	0.00273542	0.00902257	-0.00450847	-0.568848	0.174805	-1.03687	
