40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.217545	0.25231	-0.0741006	-0.939959	-4.86869	2.8414	9.3009	0.118248	0.0227526	0.0347076	0.192627	-0.125	-1.12256	0.134637	0.128332	0.0055186	-0.982534	-2.57592	0.252408	9.87066	0.010737	0.0482727	-0.023875	0.0627441	0.0666504	-1.07812	0.174533	0.272863	-0.369251	-0.871055	-3.61411	7.77059	5.84589	-0.0165934	-0.148071	-0.0367117	-0.0390625	-0.799316	-0.83667	-0.589215	0.553319	-0.265109	-0.52572	-8.70191	-3.5073	2.22885	-0.187397	0.000384225	-0.25188	1.03955	0.0827637	-0.401855	0.0827872	0.146784	0.39753	-0.901981	-2.96848	-6.97156	6.36588	0.196955	0.0979856	0.122356	0.152588	0.95874	-0.679932	0.894853	0.147066	0.274897	-0.319438	-6.88794	1.20274	9.79313	-0.0776595	-0.0311986	0.186309	0.985352	0.117432	-0.562256	0.15505	-0.0361579	-0.018264	-0.987076	1.58598	-0.339105	10.4869	-0.0127264	-0.0281539	-0.0411683	-0.453125	0.219238	-1.00024	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.131003	0.00595889	0.118409	-0.984267	0.245335	-2.15233	10.0782	0.022607	0.191959	-0.0118075	-0.289795	0.390625	-0.902832	0.197772	-0.0798837	0.1982	-0.956672	0.396561	-4.04428	9.64834	-0.0279485	0.0341375	0.0288399	-0.387695	0.495117	-0.861816	0.0244126	-0.0562089	0.0943196	-0.993654	1.01323	-1.8096	9.71005	-0.0268011	0.0133461	0.00976016	-0.594482	0.247314	-1.01978	
1	0.217684	0.252785	-0.0753289	-0.939701	-4.81538	2.92453	9.28856	0.0980858	0.015197	0.0381249	0.19043	-0.125	-1.11621	0.134365	0.128379	0.00507662	-0.982568	-2.80024	0.554309	9.63918	0.0107049	-0.0116954	-0.0377086	0.0605469	0.0644531	-1.08521	0.172562	0.268669	-0.370681	-0.872144	-3.4825	7.63788	5.99503	0.0135268	-0.180394	0.0136727	-0.0456543	-0.792725	-0.84375	-0.590785	0.554591	-0.262178	-0.524085	-8.89822	-3.72016	2.42892	-0.0805247	-0.0407718	-0.296758	1.03687	0.0939941	-0.408691	0.0827872	0.146784	0.39753	-0.901981	-2.96848	-6.97156	6.36588	0.196955	0.0979856	0.122356	0.152588	0.95874	-0.679932	0.898051	0.146305	0.2732	-0.312187	-6.94829	1.07699	9.70046	-0.0687887	-0.0688664	0.29598	0.98584	0.104248	-0.568359	0.154477	-0.0378828	-0.0184814	-0.987097	1.39189	-0.130409	10.4542	0.0188147	-0.0726628	-0.0353594	-0.455322	0.217041	-0.99585	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.131375	0.0119188	0.119196	-0.984069	0.0511154	-2.20442	10.2118	-0.0231572	0.27301	0.0168284	-0.275879	0.395264	-0.902832	0.198157	-0.0792892	0.199203	-0.956434	0.376469	-4.15708	9.96772	-0.069643	0.0648394	0.0538753	-0.383301	0.499756	-0.866455	0.0245986	-0.0569185	0.0952376	-0.993522	1.05452	-1.77451	9.73917	-0.0380198	-0.0310988	-0.00150667	-0.594727	0.251709	-1.01758	
2	0.218003	0.25376	-0.0770549	-0.939225	-4.73224	2.98687	9.27568	0.0617308	0.0269559	0.0264926	0.190918	-0.135742	-1.12476	0.133966	0.127282	0.00474511	-0.982766	-2.43309	0.487055	9.75856	-0.000117418	-0.0246375	-0.0367482	0.0629883	0.0622559	-1.07788	0.171538	0.266514	-0.372619	-0.872181	-3.25461	7.68427	6.26168	0.0607473	-0.076145	0.0315376	-0.0517578	-0.803467	-0.838867	-0.595182	0.555734	-0.255453	-0.521212	-8.73906	-3.86861	2.44388	-0.0373332	-0.129828	-0.319801	1.03589	0.11377	-0.41333	0.0827872	0.146784	0.39753	-0.901981	-2.96848	-6.97156	6.36588	0.196955	0.0979856	0.122356	0.152588	0.95874	-0.679932	0.901457	0.148066	0.268667	-0.305401	-7.28055	1.44634	10.0252	0.0494317	-0.137364	0.295324	0.986328	0.0869141	-0.580566	0.154179	-0.0401427	-0.0183808	-0.987056	1.75195	-0.119714	10.34	-0.00659464	-0.057941	-0.0176544	-0.459473	0.217041	-1	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.131979	0.0192789	0.121698	-0.983565	-0.462699	-2.38361	10.3382	-0.0467619	0.323992	0.029968	-0.257568	0.400146	-0.911865	0.198916	-0.0775201	0.204931	-0.95521	0.293025	-4.0755	9.51132	-0.249518	0.123487	0.0748433	-0.379395	0.510742	-0.868896	0.0246081	-0.0582564	0.0977727	-0.993197	1.09866	-1.87379	9.63673	-0.116831	-0.0454914	-0.00219333	-0.599121	0.253906	-1.01318	
3	0.217715	0.254495	-0.0776038	-0.939047	-4.73203	3.02681	9.25553	0.0174461	0.0176743	-0.0130195	0.193115	-0.137939	-1.12256	0.133404	0.127172	0.00494611	-0.982856	-2.45117	0.181867	9.74765	-0.0101258	0.0184207	-0.0381659	0.0563965	0.0622559	-1.08276	0.172523	0.264691	-0.372592	-0.872553	-3.10835	7.75679	6.19373	-0.0482081	-0.0403416	0.0638846	-0.052002	-0.794678	-0.839111	-0.600137	0.555264	-0.248959	-0.51917	-8.74208	-4.15603	2.5275	0.0184411	-0.172284	-0.271951	1.0354	0.126953	-0.426758	0.0837253	0.141006	0.395437	-0.903735	-3.20461	-6.8601	6.43602	-0.0672694	0.0698236	-0.125684	0.14624	0.956543	-0.68457	0.904363	0.151912	0.262889	-0.2999	-7.08465	1.96563	10.2863	0.171432	-0.142814	0.270855	0.982666	0.0695801	-0.588623	0.154048	-0.0430994	-0.0200244	-0.98692	1.70148	-0.444465	10.3286	0.0835323	-0.116665	-0.0170516	-0.459473	0.214844	-0.99585	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.132675	0.0269402	0.124118	-0.982989	-0.966858	-2.37372	10.4315	-0.056336	0.319624	0.0327448	-0.239014	0.400391	-0.920654	0.199403	-0.0755298	0.209766	-0.954218	0.0451231	-4.3974	9.51832	-0.145507	0.11068	0.0629211	-0.375244	0.517334	-0.855469	0.0246258	-0.0598623	0.10104	-0.992774	1.13566	-1.98666	9.44501	-0.136468	-0.0503509	-0.000335503	-0.599365	0.256104	-1.00415	
4	0.217453	0.255251	-0.0769479	-0.938957	-4.75274	2.94206	9.27128	-0.0252539	0.0329678	-0.0160759	0.19751	-0.135742	-1.11597	0.133559	0.127113	0.00487183	-0.982843	-2.58484	0.0774266	9.80929	-0.00139866	0.0119069	-0.0136225	0.0563965	0.0622559	-1.07788	0.173807	0.262965	-0.369548	-0.874114	-3.38156	7.79772	5.92339	-0.209103	-0.0358688	0.0123584	-0.0605469	-0.794678	-0.850586	-0.600903	0.560414	-0.237756	-0.518	-8.5881	-2.26779	1.96199	-0.699981	-0.107201	-0.43073	1.03442	0.148926	-0.429443	0.0809312	0.14083	0.396482	-0.903559	-3.43831	-6.80754	6.2131	-0.0313624	0.0358131	-0.115062	0.137695	0.954346	-0.689209	0.906723	0.154243	0.259292	-0.294671	-7.22009	2.7112	10.4229	0.00318196	-0.0478612	0.223271	0.979004	0.0588379	-0.592773	0.154561	-0.0449841	-0.0213373	-0.986728	1.65311	-0.518793	10.3432	0.0458981	-0.0455515	0.0144134	-0.467529	0.203857	-0.997559	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.133196	0.0329905	0.13077	-0.981871	-1.40728	-2.54213	10.4618	-0.373964	0.274862	0.00630876	-0.230225	0.411865	-0.909668	0.199921	-0.0744454	0.213833	-0.953292	-0.0245751	-4.37653	9.11568	-0.152861	0.0640619	0.0434934	-0.377686	0.526123	-0.85791	0.0247168	-0.0606956	0.103815	-0.992435	1.12478	-2.13534	9.35225	-0.102734	-0.0121487	0.00358984	-0.604248	0.269287	-1.00659	
5	0.217327	0.255921	-0.0758029	-0.938897	-4.89074	2.82425	9.27115	-0.0402233	0.0280108	-0.0178134	0.197021	-0.126953	-1.12036	0.134707	0.127662	0.00458539	-0.982617	-2.55867	-0.0105031	9.74163	0.00454147	0.0535307	0.0448843	0.0629883	0.0600586	-1.08252	0.17206	0.26122	-0.368901	-0.875255	-3.29252	7.32387	5.90055	0.0400543	-0.0999995	-0.063907	-0.060791	-0.790283	-0.853027	-0.596312	0.571916	-0.224009	-0.51686	-8.3086	-6.85935	2.71931	-0.481167	0.011044	-0.231451	1.02856	0.177246	-0.427734	0.0794265	0.139482	0.398228	-0.903134	-3.43178	-6.36631	6.1622	-0.148788	-0.0282197	-0.0987187	0.137451	0.956543	-0.679932	0.90905	0.151289	0.259757	-0.288559	-7.36772	2.27592	10.1146	-0.190905	0.0350573	0.173591	0.981445	0.050293	-0.592285	0.154787	-0.0458568	-0.0218433	-0.986641	1.69249	-0.50311	10.4891	0.0260583	-0.00884343	-0.00851475	-0.472168	0.210449	-0.991455	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.133366	0.0367634	0.135505	-0.981071	-1.44221	-2.76061	10.1114	-0.120788	0.166814	-0.00815571	-0.226074	0.42334	-0.914307	0.200084	-0.0738758	0.215522	-0.952921	-0.0592549	-4.37244	9.43644	-0.071952	0.0354734	0.0232435	-0.371094	0.52832	-0.855713	0.0248636	-0.0608314	0.104629	-0.992338	1.07059	-2.07301	9.41223	-0.0149547	0.00860311	0.0037945	-0.599854	0.26709	-1.00415	
6	0.217196	0.256054	-0.0746518	-0.938983	-4.93477	2.76802	9.25834	-0.0422396	0.00219609	-0.0169569	0.194824	-0.127197	-1.11621	0.136153	0.128074	0.00333397	-0.982369	-2.69645	0.272756	9.82842	0.0483311	0.0206118	0.0395059	0.0566406	0.0556641	-1.07764	0.168375	0.260848	-0.371457	-0.875002	-3.66044	8.03765	6.59127	0.142892	-0.055942	-0.104235	-0.0585938	-0.790283	-0.846191	-0.598992	0.569957	-0.224438	-0.515737	-8.53112	-4.29074	2.58301	0.124999	-0.0315897	-0.0248768	1.03271	0.184082	-0.436768	0.0792189	0.136883	0.403715	-0.901111	-3.18918	-6.77332	6.17114	-0.27142	-0.0595858	-0.0839867	0.134766	0.97168	-0.668701	0.910689	0.14942	0.261055	-0.283144	-6.99784	2.46257	10.2122	-0.151445	0.062339	0.136932	0.983887	0.0437012	-0.594238	0.154706	-0.0454146	-0.0221847	-0.986667	1.76735	-0.457773	10.4171	0.0487059	0.0482836	-0.021405	-0.469727	0.206055	-0.999756	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.133293	0.0384732	0.139481	-0.980458	-1.42748	-2.82944	10.1135	-0.169751	0.0764618	-0.0267749	-0.22168	0.427979	-0.914307	0.200223	-0.0738369	0.216501	-0.952673	-0.0110281	-4.41137	9.58644	-0.0104661	0.0123546	0.0130067	-0.366699	0.530518	-0.851074	0.024953	-0.0607112	0.105525	-0.992248	1.10192	-2.01549	9.56676	-0.0373671	0.0137626	0.00104862	-0.602051	0.26709	-1.01562	
7	0.217081	0.255886	-0.0741241	-0.939097	-4.90541	2.7489	9.26682	-0.042108	-0.0107032	-0.0192048	0.197266	-0.12915	-1.12036	0.136618	0.12818	0.0032594	-0.982291	-2.65822	0.403385	9.77414	-0.00383889	0.0226083	0.0178621	0.0585938	0.0600586	-1.08032	0.167652	0.260946	-0.370892	-0.875351	-3.26489	7.87884	6.38373	-0.0318434	-0.0103247	-0.0678457	-0.0649414	-0.792236	-0.848389	-0.599622	0.569126	-0.224374	-0.515951	-8.28414	-4.58511	2.54024	0.0611392	-0.0516984	0.000712575	1.02393	0.181641	-0.434326	0.0795038	0.135468	0.406578	-0.900012	-3.03735	-7.31121	6.26107	-0.257376	-0.0740349	-0.0624631	0.132568	0.97168	-0.66626	0.911297	0.148178	0.262043	-0.280918	-7.1895	1.97184	10.0446	-0.156164	0.071049	0.107445	0.986084	0.0437012	-0.592285	0.154291	-0.0430727	-0.0212867	-0.986857	1.40075	-0.127641	10.3606	-0.0252503	0.0848394	-0.0333397	-0.465576	0.208252	-0.993408	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.133299	0.0385409	0.140903	-0.980251	-1.22016	-2.85296	10.0593	-0.107602	0.035869	-0.0338424	-0.2146	0.427979	-0.907471	0.20025	-0.0737705	0.217161	-0.952522	0.0380503	-4.41006	9.51505	-0.0528057	0.0252983	0.0143741	-0.366943	0.532715	-0.855713	0.0249875	-0.0606598	0.106175	-0.992181	1.10837	-2.00061	9.54065	-0.0512848	0.0133606	0.00264122	-0.597656	0.271729	-1.00879	
8	0.21723	0.255612	-0.0732485	-0.939206	-4.84078	2.70442	9.27513	-0.0369086	-0.00644884	0.00506243	0.192383	-0.122803	-1.12476	0.137412	0.128007	0.0030602	-0.982203	-2.4815	0.356797	9.75296	0.0144444	0.00842392	0.0153261	0.0673828	0.0622559	-1.08276	0.16874	0.259368	-0.367473	-0.877051	-3.27247	7.17732	6.12827	-0.168342	-0.0251467	0.0205919	-0.0629883	-0.792236	-0.857422	-0.602573	0.565688	-0.225502	-0.515802	-8.20982	-3.99543	2.60545	0.168848	-0.0651921	-0.0146111	1.02661	0.173096	-0.440918	0.0785508	0.133849	0.407556	-0.899896	-2.9062	-6.79606	6.31143	-0.00425033	-0.0155044	-0.0865618	0.123535	0.976074	-0.668701	0.912453	0.145738	0.26337	-0.277174	-7.04466	1.87245	9.95471	-0.150642	0.0285683	0.0779623	0.983887	0.0415039	-0.585693	0.154109	-0.0429971	-0.0206286	-0.986902	1.6071	-0.265921	10.2443	0.0119115	0.0371622	-0.0125671	-0.465576	0.206055	-0.995605	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.133047	0.0383547	0.143203	-0.979959	-0.756686	-2.96805	9.86559	-0.0759363	0.0187535	-0.0248936	-0.219727	0.439453	-0.914307	0.200196	-0.0734012	0.217902	-0.952393	0.0797918	-4.45177	9.45367	-0.0173673	0.0218641	0.00727202	-0.362549	0.537109	-0.851318	0.0249591	-0.0606402	0.108254	-0.991958	1.15359	-2.11708	9.4882	-0.0852128	0.0116821	-0.000680874	-0.602539	0.27832	-1.0022	
9	0.217744	0.255426	-0.0730122	-0.939156	-4.76115	2.56738	9.32461	-0.00621963	-0.00431493	0.0185555	0.192383	-0.122803	-1.12061	0.137702	0.127827	0.00246964	-0.982187	-2.52496	0.294242	9.81718	-0.00121613	0.00719257	-0.0166996	0.0566406	0.0556641	-1.08008	0.168575	0.258585	-0.366761	-0.877612	-3.3283	7.35191	5.79274	0.00265279	-0.0262195	-0.000476652	-0.0671387	-0.785889	-0.848389	-0.604589	0.564511	-0.224557	-0.515145	-8.13963	-4.20253	2.49235	0.0496061	-0.0222521	-0.0838606	1.02173	0.181885	-0.440918	0.0771052	0.132954	0.408608	-0.899676	-2.88178	-7.12689	6.17611	-0.0341966	0.0215068	-0.0815146	0.123535	0.976074	-0.66626	0.913737	0.144972	0.262136	-0.274505	-7.13144	1.69432	9.79581	0.00897011	-0.0549069	0.0930914	0.979736	0.0393066	-0.594238	0.153845	-0.0440544	-0.0220982	-0.986865	1.72683	-0.352569	10.4153	0.0592973	-0.0422951	-0.0180923	-0.465332	0.203857	-0.995605	0.231545	0.764129	0.561287	-0.217832	-5.63748	1.39306	-6.66478	-0.2895	0.584787	0.292484	0.836914	0.169922	0.716309	0.132858	0.0392504	0.144393	-0.979775	-0.688891	-2.94244	9.98737	-0.0355437	0.0688177	-0.0188972	-0.212891	0.439453	-0.909912	0.200332	-0.0730187	0.218874	-0.952171	0.14506	-4.57985	9.50329	-0.0198838	0.0352178	0.0220557	-0.369141	0.534912	-0.84668	0.0249633	-0.0607927	0.110508	-0.9917	1.17704	-2.26513	9.55566	-0.086149	0.00108572	0.000577035	-0.595703	0.27832	-1.00439	
