40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.203139	0.201744	-0.0628763	-0.956076	-3.91	2.12722	9.9508	-0.00286722	-0.0118995	-6.22739e-05	0.0646973	-0.0786133	-1.13477	0.203622	0.135636	0.0121442	-0.969533	-2.60788	0.26071	9.67155	-0.00622596	0.021782	-0.0322775	0.0637207	0.0405273	-1.07959	0.110523	0.209766	-0.370652	-0.897998	-2.9579	7.33201	6.73465	0.00381729	0.00314851	0.00764355	-0.120605	-0.802246	-0.841064	-0.730502	0.322193	-0.311841	-0.515087	-7.68428	-1.27686	5.65991	0.0466495	-0.0586134	-0.0330954	0.932861	-0.14917	-0.591553	-0.159943	0.161373	0.47342	-0.851029	-2.2002	-7.96319	5.03395	0.000653911	-0.00180439	-0.0208305	0.0124512	1.08276	-0.561523	0.784855	0.228134	0.518101	-0.252049	-8.14791	3.05335	7.65563	0.0716743	0.0240892	0.00944051	1.08569	-0.0576172	-0.39624	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.817152	0.0977163	-0.0685747	-0.563925	0.397868	2.56888	10.8336	-0.00707667	0.0184404	-0.0163235	-0.49292	-0.197998	-1.02466	0.000267517	-0.0940539	0.0440184	-0.994593	1.96144	-0.913764	10.4511	-0.01004	0.00541386	-0.0163231	-0.637695	0.106201	-0.951416	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.103873	0.0900704	-0.0330841	-0.989951	-1.43815	0.818158	9.56764	0.00487058	0.0641181	-0.00926505	-0.212646	0.0583496	-1.10522	
1	0.203296	0.201438	-0.0634749	-0.956067	-3.834	2.23473	9.96401	0.01667	-0.0127176	0.00684892	0.064209	-0.0698242	-1.13696	0.203598	0.135958	0.0127672	-0.969485	-2.66153	0.114976	9.85882	-0.0301772	0.0260071	-0.0179888	0.0656738	0.046875	-1.08203	0.111722	0.209444	-0.370217	-0.898104	-3.17879	6.99877	6.5709	-0.0341245	0.0109868	0.0499785	-0.125	-0.802002	-0.838867	-0.731809	0.321414	-0.310759	-0.51437	-7.69778	-1.60057	5.90474	0.0146714	-0.0371141	-0.0393326	0.932617	-0.144775	-0.591553	-0.160278	0.161542	0.473752	-0.850749	-2.20819	-8.11182	5.02204	-0.0342067	0.0286726	-0.0395197	0.0126953	1.07837	-0.550049	0.784766	0.229216	0.517624	-0.252326	-8.18758	3.23142	7.65621	0.0918237	0.00648321	0.0168241	1.0813	-0.0598145	-0.400391	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.817096	0.0977763	-0.0683878	-0.564019	0.451504	2.51642	10.8009	0.00594712	0.0282711	-0.0204278	-0.486572	-0.197998	-1.02222	0.00021353	-0.0942351	0.0442426	-0.994566	2.01588	-0.938643	10.3646	-0.00236129	0.002925	-0.0185876	-0.635742	0.110596	-0.949219	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.103927	0.0907517	-0.0331818	-0.98988	-1.45461	0.78468	9.5644	0.0223657	0.0615372	-0.00314478	-0.2146	0.0517578	-1.10059	
2	0.203415	0.201349	-0.0636561	-0.956049	-3.83172	2.25214	9.96861	0.00994915	-0.0129194	0.014032	0.0620117	-0.0722656	-1.13281	0.203865	0.136814	0.0131446	-0.969303	-2.53814	0.190206	9.6995	-0.0185961	0.0637255	0.000120858	0.0637207	0.0424805	-1.08423	0.11173	0.209314	-0.372582	-0.897155	-2.92492	7.55201	6.757	0.119174	-0.00652679	0.0287331	-0.120605	-0.797852	-0.838867	-0.732101	0.321274	-0.310602	-0.514138	-7.76513	-1.49117	5.97739	0.0137859	-0.0113464	-0.0235028	0.93457	-0.140381	-0.596191	-0.161358	0.16116	0.474349	-0.850285	-2.06634	-8.11402	5.01062	-0.0548515	0.0105894	-0.0527479	0.010498	1.08057	-0.552246	0.785037	0.230975	0.516486	-0.25221	-8.20137	3.14687	7.52941	0.0676945	7.80324e-05	0.0210087	1.08154	-0.064209	-0.398193	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.817032	0.0981134	-0.0683988	-0.564051	0.406773	2.454	10.7679	0.0176345	0.0265436	-0.0187277	-0.488525	-0.197998	-1.02002	7.70698e-05	-0.0943966	0.0442652	-0.99455	1.97173	-0.935922	10.3592	0.00574138	0.00378418	-0.0232003	-0.637939	0.11084	-0.958252	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.104244	0.0927073	-0.0329746	-0.989672	-1.63967	0.833998	9.69947	-0.0126506	0.0473714	0.00590651	-0.207764	0.0517578	-1.10742	
3	0.203707	0.201477	-0.0638615	-0.955946	-3.87215	2.24107	9.939	0.00512166	0.00753489	0.0113423	0.064209	-0.0720215	-1.13477	0.204091	0.137151	0.0129853	-0.96921	-2.80434	0.21335	9.89601	-0.00815854	0.0249043	-0.0175417	0.0722656	0.0424805	-1.08203	0.111877	0.208947	-0.372575	-0.897225	-3.33994	7.3663	6.66093	-0.0421315	-0.0117756	0.00179597	-0.125	-0.797852	-0.834229	-0.732679	0.320994	-0.310169	-0.51375	-7.70044	-1.59104	6.00199	0.0137298	-0.0188354	-0.0257002	0.934814	-0.142578	-0.596191	-0.162118	0.160689	0.474348	-0.85023	-2.31414	-8.13804	4.9553	0.00534714	0.00123694	-0.042839	0.0102539	1.08496	-0.556885	0.784954	0.232675	0.51582	-0.252267	-8.23838	3.3923	7.59696	0.0564642	0.0154003	0.0218408	1.0769	-0.0576172	-0.400635	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.816978	0.0984644	-0.0683336	-0.564076	0.353664	2.51312	10.7372	0.0165455	0.0258764	-0.0180783	-0.48877	-0.193604	-1.02002	-6.84925e-05	-0.0944805	0.0438964	-0.994558	1.9829	-0.926729	10.3292	0.0201964	0.00881873	-0.0229232	-0.635254	0.10376	-0.949219	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.104436	0.0932579	-0.0321123	-0.989629	-1.69101	0.812321	9.67711	-0.0269476	0.0309948	-0.00567223	-0.208008	0.0563965	-1.10059	
4	0.203848	0.201582	-0.0638742	-0.955893	-3.91802	2.23981	9.95637	-0.00107693	-0.00395785	0.00466659	0.0598145	-0.0700684	-1.13281	0.204355	0.13751	0.0137563	-0.969093	-2.75378	0.263965	9.62357	-0.0454956	0.0285617	-0.000281737	0.0722656	0.046875	-1.08203	0.111476	0.208875	-0.373868	-0.896754	-2.91307	7.54061	6.73621	0.0736582	0.00329345	0.0132508	-0.125	-0.802002	-0.834229	-0.733024	0.320954	-0.31	-0.513385	-7.66708	-1.47131	5.9739	-0.00174362	0.0102617	-0.00670856	0.932617	-0.142578	-0.598389	-0.16179	0.160451	0.474838	-0.850064	-2.2307	-8.18633	4.97272	-0.0336131	-0.00892239	-0.0140352	0.00805664	1.08496	-0.559082	0.785003	0.233478	0.515491	-0.252047	-8.19889	3.44194	7.61786	0.0226189	0.0184464	0.00485498	1.08179	-0.0661621	-0.400391	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.816963	0.0987835	-0.0685722	-0.564014	0.322688	2.57661	10.7944	0.0180527	0.0177393	-0.0113993	-0.49292	-0.197998	-1.01758	-0.000101682	-0.0944617	0.0434739	-0.994579	1.93452	-0.870656	10.3976	0.0190891	0.0104775	-0.0168288	-0.640137	0.106201	-0.953857	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.104383	0.0933636	-0.0316077	-0.989641	-1.78619	0.78291	9.64612	0.000102307	0.00635768	-0.0129602	-0.20752	0.045166	-1.10498	
5	0.203602	0.201519	-0.0638249	-0.955962	-3.90062	2.25215	9.9659	-0.00357096	-0.00780335	-0.0103342	0.0600586	-0.0742188	-1.13696	0.204765	0.137368	0.0139096	-0.969024	-2.65737	0.250869	9.77898	-0.00535674	0.0179911	-0.00334852	0.0703125	0.0424805	-1.08203	0.112032	0.209035	-0.37349	-0.896804	-3.21887	7.46088	6.72226	-0.0252797	0.0199176	0.00381307	-0.120605	-0.800049	-0.841064	-0.732834	0.320883	-0.31013	-0.513623	-7.8021	-1.52532	5.91548	0.00353158	-0.00180324	0.0186031	0.93042	-0.146973	-0.59375	-0.16179	0.160451	0.474838	-0.850064	-2.2307	-8.18633	4.97272	-0.0336131	-0.00892239	-0.0140352	0.00805664	1.08496	-0.559082	0.784893	0.233779	0.515533	-0.252025	-8.1822	3.25023	7.67365	0.00862499	0.0221986	-0.0178952	1.09033	-0.0661621	-0.404541	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.81698	0.0988022	-0.0686536	-0.563976	0.39784	2.58434	10.7668	-0.0025245	0.0181609	-0.0135542	-0.488525	-0.200195	-1.01978	-5.77626e-05	-0.0944711	0.0432705	-0.994587	2.00205	-0.865485	10.3559	0.00908005	0.010073	-0.0156227	-0.630859	0.106201	-0.951416	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.10429	0.0929676	-0.0315963	-0.989688	-1.60352	0.858346	9.66236	0.00239237	-0.0123839	-0.00617957	-0.203369	0.0541992	-1.10742	
6	0.203606	0.201329	-0.0636868	-0.95601	-3.79293	2.23488	9.93264	-0.00975166	-0.00501226	0.00482197	0.064209	-0.0720215	-1.13477	0.205104	0.137619	0.0141818	-0.968913	-2.68436	0.21897	9.74701	-0.0250367	0.0210736	-0.00283511	0.0656738	0.046875	-1.08203	0.112218	0.209213	-0.373384	-0.896784	-3.10266	7.41533	6.56112	0.0174993	0.00531754	0.0132561	-0.125	-0.804199	-0.843262	-0.732681	0.32089	-0.310084	-0.513863	-7.71924	-1.46833	5.79502	-0.0146591	0.0107129	0.00728711	0.937012	-0.144775	-0.59375	-0.161375	0.159873	0.474482	-0.850451	-2.17549	-8.06422	5.02922	0.00947305	-0.0126568	8.0539e-05	0.00585938	1.08716	-0.554688	0.78483	0.233925	0.515547	-0.252057	-8.12916	3.15176	7.60761	0.00469361	0.0191566	-0.0142109	1.08398	-0.0683594	-0.398193	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.816981	0.0983901	-0.0687931	-0.564029	0.413196	2.55414	10.7727	-0.00306354	0.00569308	-0.0129353	-0.48877	-0.195801	-1.02222	3.55907e-05	-0.0944	0.0433212	-0.994591	1.97698	-0.860898	10.4041	0.000158672	0.0132834	-0.0129255	-0.635498	0.108398	-0.953857	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.104302	0.0925911	-0.0316286	-0.989721	-1.51936	0.8559	9.62642	0.00341963	-0.0114725	-0.00228824	-0.207764	0.0495605	-1.10498	
7	0.203559	0.20134	-0.0634686	-0.956032	-3.89198	2.21709	9.94005	-0.00812225	-0.00536931	-0.00536685	0.0664062	-0.0720215	-1.13477	0.205265	0.137595	0.0142744	-0.968881	-2.70342	0.262736	9.68381	-0.0169981	0.0152456	-0.00488506	0.0722656	0.0446777	-1.07983	0.112142	0.209016	-0.373399	-0.896833	-3.09149	7.47341	6.67604	0.00902056	0.00164686	0.002817	-0.124756	-0.804199	-0.836426	-0.732685	0.321002	-0.309863	-0.513922	-7.75536	-1.46144	5.85626	-0.0144614	-0.00730527	0.000798325	0.934814	-0.142578	-0.598389	-0.161191	0.15994	0.474554	-0.850432	-2.04116	-7.96271	4.99873	-0.0194244	0.00814681	-0.0112289	0.00170898	1.08276	-0.556885	0.784419	0.234464	0.515726	-0.25247	-8.11795	3.14258	7.59176	0.0281592	0.0236594	-0.0162046	1.08179	-0.0661621	-0.393799	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.81696	0.0986494	-0.0690502	-0.563983	0.409676	2.55641	10.8324	0.0167773	0.0192243	-0.013447	-0.490723	-0.197998	-1.01758	6.69759e-05	-0.094366	0.043356	-0.994593	1.98595	-0.931773	10.4251	0.00610987	0.00999488	-0.016796	-0.633057	0.106201	-0.949219	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.104354	0.0925403	-0.0314432	-0.989726	-1.50456	0.911897	9.63578	-0.00402353	0.0121881	-0.00635327	-0.212646	0.0583496	-1.09839	
8	0.203358	0.200994	-0.0633278	-0.956157	-3.89308	2.21692	9.94794	-0.00736368	-0.0215298	-0.00981387	0.0617676	-0.0678711	-1.13916	0.205151	0.137664	0.0140253	-0.968899	-2.67631	0.289793	9.73325	0.00695981	0.00804915	-0.0115912	0.0678711	0.046875	-1.08691	0.112111	0.208895	-0.373479	-0.896832	-3.12957	7.62675	6.62754	0.00582971	-0.00483552	0.00593591	-0.120605	-0.804443	-0.836426	-0.73289	0.321202	-0.309433	-0.513763	-7.80732	-1.57466	5.86967	-0.00504021	-0.000632844	-0.0227449	0.932617	-0.144775	-0.598145	-0.161245	0.160122	0.475118	-0.850073	-2.09318	-7.92687	4.91721	-0.0569522	0.0163882	-0.0243845	0.010498	1.07837	-0.547852	0.784028	0.235087	0.515809	-0.252936	-8.06624	3.05756	7.46878	0.0654324	0.0409095	-0.0298721	1.07959	-0.0661621	-0.395996	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.816989	0.0986098	-0.0690052	-0.563954	0.360624	2.60371	10.8244	-0.000197408	0.0210531	-0.0114164	-0.49292	-0.200195	-1.01758	7.07382e-05	-0.0944004	0.0431483	-0.994599	1.95336	-0.924667	10.4252	0.0204508	0.00723694	-0.0178177	-0.635498	0.108398	-0.947021	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.104258	0.0926616	-0.0309593	-0.98974	-1.52124	0.932789	9.69782	-0.0285473	0.0224222	-0.0184421	-0.205566	0.0541992	-1.09595	
9	0.20285	0.200633	-0.0630344	-0.95636	-3.81151	2.25238	9.95539	-0.0123514	-0.0143717	-0.0225903	0.064209	-0.0700684	-1.13062	0.205093	0.137434	0.0141228	-0.968942	-2.77918	0.317063	9.70137	-0.0249505	-0.00139792	-0.0245984	0.0637207	0.0424805	-1.08423	0.112175	0.207915	-0.372191	-0.897587	-3.04868	7.29064	6.73059	-0.0973951	-0.028868	0.00981413	-0.125	-0.802002	-0.838867	-0.73462	0.317361	-0.310999	-0.512732	-7.65777	-1.57161	5.8313	0.248021	-0.051979	0.0212878	0.928223	-0.146973	-0.595947	-0.160862	0.159792	0.476565	-0.849397	-2.34222	-8.10941	4.91394	-0.0559029	-0.0371215	-0.0146608	0.0102539	1.08496	-0.547852	0.782488	0.237662	0.516377	-0.254134	-8.14411	3.33609	7.61056	0.122623	0.0906249	-0.0142589	1.08398	-0.0683594	-0.391602	-0.352149	-0.0777072	0.0490945	-0.93142	1.19623	-0.571752	10.3878	-0.0147253	-0.219847	-0.0546414	-0.482178	0.240723	-0.981445	0.81703	0.0984034	-0.0689163	-0.563941	0.393036	2.58874	10.755	0.00207409	0.0185198	-0.0102661	-0.486084	-0.206787	-1.01978	0.000103014	-0.0944723	0.0427433	-0.994609	1.97905	-0.813553	10.3817	0.0149252	0.00811931	-0.0154789	-0.633057	0.106201	-0.953613	0.0953799	0.975624	-0.00896194	-0.197436	-7.34268	1.21627	-5.3478	0.0294945	0.349986	-0.0417205	1.05835	-0.121338	0.459717	0.103129	0.093294	-0.0275975	-0.989899	-1.56059	0.806651	9.56356	-0.061071	0.0346461	-0.0477335	-0.208252	0.0629883	-1.10083	
