40	Head	00b4120a												Throax	00b411e8												RUpArm	00b411d9												RFoArm	00b41148												LUpArm	00b411db												LFoArm	00b41204												Waist	00b411f7												Rthigh	00b411f4												Rshank	00b4111b												Lthigh	00b411c8												Lshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.98944	0.0728973	0.12369	-0.0198886	-1.63155	1.28178	10.8371	-0.0202031	0.0418772	0.00166827	0.572754	-0.154297	-0.921387	0.79908	0.114953	-0.587087	0.059889	9.60393	0.573901	2.38449	-0.00425197	0.0278982	-0.0154757	-0.792969	-0.28125	-0.507812	0.769659	0.275886	-0.495634	0.293017	9.34212	1.38823	3.70718	0.0438027	0.0228834	0.00148164	-0.989014	-0.463623	-0.514648	0.689796	0.214057	-0.621826	0.302809	9.69392	-0.764285	1.41757	0.0212986	0.0172905	0.00264553	-1.27222	-0.0131836	-0.374023	0.723669	-0.242352	-0.610384	-0.212132	9.76633	-1.09949	1.3821	0.0035995	0.0241269	-0.00678979	-0.904053	0.248535	-0.501953	0.680773	-0.240415	-0.473398	-0.504622	9.78694	1.25423	4.56034	-0.00228785	0.017512	-0.00872528	-0.965576	-0.0266113	-0.595703	0.445608	0.00355368	-0.89522	-0.00150019	7.62311	0.0385785	-5.56248	0.0109486	-0.0168814	-0.0110089	-1.03345	-0.161621	0.413818	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0498373	-0.09949	-0.980588	-0.161444	-0.63455	3.48494	-8.54353	0.030458	0.00482588	-0.0201411	-0.344971	-0.245361	1.07642	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
1	0.989456	0.0724664	0.123855	-0.019633	-1.61908	1.31546	10.9266	-0.016282	0.00849148	-0.000210748	0.576904	-0.1521	-0.916992	0.79908	0.114953	-0.587087	0.059889	9.60393	0.573901	2.38449	-0.00425197	0.0278982	-0.0154757	-0.792969	-0.28125	-0.507812	0.769789	0.275508	-0.495614	0.293065	9.34803	1.20952	3.65465	-0.0114838	0.0051073	0.00521431	-0.989014	-0.463623	-0.512207	0.689833	0.213937	-0.621725	0.303018	9.71709	-0.796177	1.38842	-0.00289882	0.013368	0.00811049	-1.26538	-0.0153809	-0.369629	0.724033	-0.24189	-0.610137	-0.212127	9.75359	-0.923732	1.38922	0.0142437	0.0241297	-0.0122795	-0.908447	0.250732	-0.508789	0.680804	-0.24057	-0.473485	-0.504424	9.75536	1.25355	4.5433	-0.00230481	0.00734928	-0.0131782	-0.967529	-0.0266113	-0.593506	0.444477	0.00356327	-0.895782	-0.00156361	7.68439	-0.00974991	-5.54393	0.0175899	-0.0416663	-0.0170983	-1.0332	-0.163818	0.424561	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0498388	-0.0994639	-0.980651	-0.16108	-0.602503	3.47532	-8.49698	0.0210402	0.00605056	-0.0177934	-0.352051	-0.247803	1.07642	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
2	0.989528	0.0716666	0.123785	-0.0193655	-1.55156	1.35554	10.9385	-0.0383507	0.0109063	0.000285014	0.579346	-0.156494	-0.914795	0.799443	0.115372	-0.586511	0.0598735	9.67366	0.558964	2.3788	0.00447074	0.0190028	-0.0138968	-0.792969	-0.279053	-0.508057	0.769515	0.275781	-0.49578	0.293246	9.3927	1.21995	3.67135	0.0141254	-0.00742254	0.00415812	-0.991211	-0.465576	-0.516846	0.690002	0.213534	-0.62178	0.302804	9.72929	-0.849379	1.37918	-0.0190383	0.0127111	0.00304029	-1.26538	-0.0175781	-0.374023	0.723914	-0.242044	-0.610266	-0.211987	9.79834	-0.957561	1.33737	0.00349409	-0.00537888	-0.00526728	-0.910156	0.241943	-0.504395	0.680727	-0.240637	-0.473674	-0.504319	9.79413	1.25581	4.50706	-0.00368097	0.00682702	-0.019595	-0.963379	-0.0266113	-0.593506	0.443661	0.00372365	-0.896186	-0.00140058	7.65549	0.0560384	-5.58216	0.0213457	-0.0133881	-0.0160948	-1.02271	-0.161621	0.420166	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0499761	-0.0999382	-0.980566	-0.161258	-0.597986	3.47691	-8.50497	0.00677957	0.0068366	-0.0136245	-0.349854	-0.243164	1.07617	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
3	0.989709	0.0705059	0.123041	-0.0191436	-1.54501	1.26116	10.9308	-0.0430071	-0.037129	-0.00726985	0.581299	-0.149902	-0.923584	0.799443	0.115372	-0.586511	0.0598735	9.67366	0.558964	2.3788	0.00447074	0.0190028	-0.0138968	-0.792969	-0.279053	-0.508057	0.769168	0.275624	-0.496315	0.2934	9.30163	1.39371	3.62202	-0.0158957	-0.0259629	0.0192433	-0.989014	-0.463623	-0.516846	0.690361	0.212686	-0.621984	0.302163	9.71025	-0.726659	1.37287	-0.0721385	0.0147959	0.00490005	-1.27197	-0.0175781	-0.374023	0.723725	-0.242043	-0.610584	-0.211719	9.70261	-0.851205	1.34022	-0.00727703	-0.0153925	-0.00953949	-0.908203	0.244141	-0.501953	0.680837	-0.240712	-0.473615	-0.50419	9.68065	1.22117	4.48993	-0.00275877	0.0172979	-0.0102634	-0.969971	-0.0246582	-0.5979	0.443273	0.00383937	-0.896378	-0.00128115	7.58367	-0.0267458	-5.59339	0.0235793	-0.00714915	-0.0154352	-1.02905	-0.161621	0.424316	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0501029	-0.100375	-0.980464	-0.161571	-0.635393	3.4709	-8.52865	-0.00360025	0.00635393	-0.0146239	-0.352295	-0.240967	1.07397	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
4	0.99	0.0692008	0.121419	-0.0192176	-1.35557	1.28295	10.8774	-0.054309	-0.0548003	-0.0137502	0.570068	-0.145508	-0.921387	0.799911	0.115388	-0.585856	0.0600044	9.67883	0.611359	2.32002	-0.000527655	0.0297879	-0.00957918	-0.792969	-0.281006	-0.505615	0.768749	0.2743	-0.498344	0.292297	9.4074	1.13087	3.61595	-0.0740147	-0.0690777	0.0126045	-0.993408	-0.457031	-0.510254	0.691373	0.210124	-0.622572	0.300424	9.68331	-0.831483	1.42352	-0.134722	0.0314579	0.0100304	-1.27222	-0.0109863	-0.378418	0.723724	-0.242122	-0.610795	-0.211022	9.81428	-0.699746	1.32757	0.0315228	0.00021622	0.0103138	-0.912598	0.246338	-0.506592	0.681026	-0.240687	-0.473527	-0.504029	9.78021	1.31726	4.51052	-0.000214476	0.021159	-0.00678124	-0.965576	-0.0246582	-0.5979	0.442798	0.00383741	-0.896613	-0.000930699	7.63084	0.0668802	-5.60722	0.0297669	0.0031349	-0.00707307	-1.02466	-0.163818	0.424561	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.050295	-0.100803	-0.98033	-0.162056	-0.607689	3.48271	-8.49685	-0.00431737	0.00720573	-0.0162492	-0.343018	-0.240723	1.08081	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
5	0.990289	0.0673831	0.120042	-0.0194061	-1.28202	1.21596	10.8053	-0.0752861	-0.0424082	-0.0147978	0.574463	-0.143311	-0.923584	0.800192	0.114982	-0.585568	0.0598507	9.70204	0.65431	2.3101	-0.0209564	0.0283007	-0.0114824	-0.79126	-0.270264	-0.503662	0.768615	0.274264	-0.498914	0.291711	9.43528	1.0351	3.56473	-0.0176499	-0.0241884	-0.0111105	-0.986816	-0.46582	-0.51001	0.691723	0.209479	-0.622479	0.300265	9.69384	-0.834021	1.39492	0.0124938	0.0212218	0.00258783	-1.26782	-0.0109863	-0.376221	0.723102	-0.243806	-0.610772	-0.211282	9.91638	-0.966076	1.26367	-0.075597	-0.0142438	0.0183754	-0.904053	0.250732	-0.504395	0.681612	-0.24095	-0.473008	-0.503599	9.88803	1.27025	4.54085	-0.0132876	0.0320936	0.0173436	-0.965332	-0.0288086	-0.5979	0.443195	0.00380972	-0.896417	-0.00039084	7.59677	0.153246	-5.62527	0.0223037	0.0351022	-0.00192543	-1.03149	-0.155029	0.422119	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0504379	-0.10124	-0.980211	-0.162461	-0.616863	3.49134	-8.50224	-0.0057159	0.00709239	-0.0135439	-0.352051	-0.245361	1.07178	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
6	0.990558	0.0655847	0.118824	-0.0193584	-1.36153	1.01345	10.69	-0.058393	-0.0416191	-0.0124492	0.571777	-0.136963	-0.923828	0.800192	0.114982	-0.585568	0.0598507	9.70204	0.65431	2.3101	-0.0209564	0.0283007	-0.0114824	-0.79126	-0.270264	-0.503662	0.768465	0.274771	-0.498714	0.291969	9.41593	1.17117	3.45866	0.0501283	0.0041139	-0.00837251	-0.991211	-0.465576	-0.507812	0.692145	0.209243	-0.622125	0.300188	9.7101	-0.806733	1.3691	-0.0120434	0.0324806	-0.00409431	-1.27026	-0.00878906	-0.383057	0.722919	-0.245472	-0.609972	-0.212287	9.65156	-0.94234	1.36905	-0.103742	0.0265162	0.000420894	-0.910889	0.255127	-0.508789	0.68223	-0.241641	-0.472236	-0.503155	9.60866	1.22537	4.50839	-0.0274783	0.0271102	0.0265125	-0.967773	-0.0202637	-0.595947	0.443639	0.00350737	-0.896199	-0.000557542	7.4938	-0.075623	-5.46111	0.00523494	0.0189908	-0.00777752	-1.02905	-0.161621	0.424316	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0505009	-0.101502	-0.980134	-0.162739	-0.625586	3.48691	-8.51017	-0.00920918	0.00746771	-0.0105851	-0.352051	-0.245605	1.08301	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
7	0.990649	0.0650587	0.118349	-0.0193602	-1.30345	1.02631	10.7212	-0.0384683	-0.0283548	-0.00826749	0.572021	-0.13916	-0.919434	0.800671	0.114903	-0.585005	0.0591029	9.59708	0.558549	2.36767	-0.0123315	0.0191058	-0.0199269	-0.788818	-0.279053	-0.510254	0.76828	0.27519	-0.498524	0.292387	9.34379	1.27805	3.67902	0.0181408	0.00972302	-0.00283399	-0.993164	-0.467773	-0.512207	0.692288	0.209185	-0.621941	0.30028	9.64891	-0.82233	1.42402	0.0030092	0.0244489	-0.000111896	-1.26807	-0.00878906	-0.380859	0.723055	-0.245818	-0.60954	-0.212665	9.75126	-1.36341	1.40015	-0.0444486	0.0412572	-0.00736458	-0.90625	0.25293	-0.504395	0.682484	-0.241958	-0.472022	-0.502859	9.77117	1.13079	4.57076	0.00638468	0.00979452	-0.00894768	-0.965576	-0.0224609	-0.600098	0.443706	0.00347	-0.896165	-0.00060152	7.62092	0.000760535	-5.48265	0.00982682	0.0176873	-0.0133708	-1.0271	-0.157227	0.424316	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0506228	-0.102077	-0.979988	-0.163222	-0.63364	3.48178	-8.5038	0.000488178	0.00736865	-0.00851465	-0.347412	-0.243164	1.07397	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
8	0.990704	0.0648457	0.118017	-0.0192812	-1.21225	1.21711	10.7437	-0.00230784	0.0181928	-0.00508795	0.567627	-0.141357	-0.925781	0.80034	0.114733	-0.585533	0.0586722	9.64419	0.527418	2.46325	-0.0190252	-0.0139848	-0.0206622	-0.79126	-0.270264	-0.512939	0.768698	0.274967	-0.497866	0.292619	9.36216	1.22332	3.6778	-0.00963577	0.0397535	-0.0013802	-0.989014	-0.461426	-0.514648	0.691978	0.209841	-0.621621	0.301198	9.66077	-0.845222	1.40476	0.0534002	0.00371029	0.0107673	-1.26807	-0.00878906	-0.376465	0.72381	-0.245074	-0.609099	-0.212217	9.68895	-0.870013	1.43745	0.0288684	0.0373215	-0.0104709	-0.9021	0.255127	-0.506592	0.682399	-0.242205	-0.472103	-0.50278	9.78609	1.20241	4.54177	-0.0105583	0.00217128	-0.0181733	-0.967773	-0.0224609	-0.595947	0.443519	0.00367429	-0.896258	-0.00027504	7.65223	-0.0128679	-5.52579	0.0313558	-0.00186828	-0.0168456	-1.02905	-0.159424	0.422119	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0508006	-0.10252	-0.979959	-0.163065	-0.587167	3.50195	-8.4857	0.0200549	0.00373606	-0.0173123	-0.347412	-0.243164	1.08081	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
9	0.990604	0.0641297	0.119447	-0.0179645	-1.54338	1.06618	10.9482	-0.033212	0.0728629	0.0444779	0.573975	-0.134766	-0.919434	0.799985	0.114876	-0.585965	0.0589288	9.71033	0.535292	2.44477	0.0148945	-0.018269	-0.0126723	-0.790771	-0.278809	-0.505615	0.768692	0.274763	-0.49805	0.292514	9.38711	1.24898	3.64238	-0.00194994	-0.00755246	-0.00649379	-0.989014	-0.46582	-0.514648	0.691888	0.209798	-0.62168	0.301312	9.74762	-0.843078	1.39916	-0.000684281	0.00307753	0.00906539	-1.27026	-0.00878906	-0.383057	0.723709	-0.245104	-0.609147	-0.21239	9.80997	-1.14942	1.32371	0.0124143	-0.00115351	-0.0245775	-0.908691	0.255127	-0.51123	0.682337	-0.242269	-0.472213	-0.502729	9.84109	1.16698	4.5422	-0.000525469	0.00230632	-0.0197855	-0.963379	-0.0224609	-0.595947	0.444754	0.00361555	-0.895645	-0.000586206	7.67995	-0.0759367	-5.73655	0.00909435	0.0903285	-0.0196065	-1.03369	-0.157227	0.422119	0.244902	-0.0106667	-0.968353	0.0469135	2.49844	0.0317698	-8.37424	0.379135	-0.807982	-0.014766	-0.72168	0.129883	0.806641	-0.0510144	-0.102873	-0.979956	-0.162792	-0.578546	3.48145	-8.50567	0.0221099	0.0044041	-0.0197185	-0.352295	-0.240967	1.07397	0.104601	-0.128047	-0.969972	-0.178374	1.87305	3.01011	-8.25924	0.107514	0.0640955	0.0670441	-0.616699	-0.230713	0.969971	-0.0797876	-0.0172045	-0.995155	0.0548176	-1.77003	-1.07253	-9.66872	0.208803	0.239358	0.0165036	-0.263916	0.150391	1.20752	
