Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.518805	-0.466489	-0.461725	-0.54776	9.82887	0.190214	1.34593	0.0309784	-0.02786	-0.0162043	-0.867188	0.373535	-0.0639648	1529889450929	-50	98
Throax	00b411e8	0.895403	-0.0714897	-0.436405	-0.0518875	7.97122	-0.770589	6.1243	0.000385047	0.00914649	-0.0212568	-0.578613	0.358887	-0.462891	1529889450926	-50	98
LUpArm	00b411d9	0.729556	0.0627916	-0.0535256	-0.678926	-0.23162	1.79122	10.7137	-0.00277251	0.00429348	0.00442526	-0.0371094	0.135498	-0.984619	1529889450926	-60	98
LFoArm	00b41148	0.791337	-0.0218317	0.019705	-0.610673	-0.00112419	-0.497628	9.87135	0.00798939	0.0133959	0.00705495	0.145508	0.511475	-0.887451	1529889450923	-57	98
RUpArm	00b411db	0.754326	-0.0675848	0.0323942	-0.652208	0.375823	-1.30524	9.81337	-0.0460498	0.0188232	-0.0118983	0.0275879	0.499756	-0.8396	1529889450929	-59	98
RFoArm	00b41204	-0.671102	-0.102601	0.015543	0.734066	-0.293978	-0.35185	13.6029	-0.0234662	0.0201399	-0.0235496	0.0563965	0.457275	-0.950684	1529889450931	-55	98
Waist	00b411f7	0.749435	0.00531224	-0.66005	0.0515133	9.83378	-0.555795	1.41245	0.0031443	0.0304505	-0.0181209	-0.870361	0.412354	-0.111084	1529889450931	-51	98
Lthigh	00b411f4	0.464761	-0.551154	-0.477695	-0.50203	9.72975	-0.363727	-0.598191	0.0118945	0.0191913	-0.0151952	-0.974121	0.41748	0.106201	1529889450929	-50	98
Lshank	00b4111b	0.562904	-0.460565	-0.521127	-0.446593	9.91006	-0.467981	0.35013	0.00571291	0.0137027	-0.0195908	-0.992676	0.378174	-0.0559082	1529889450927	-50	98
Rthigh	00b411c8	0.637052	0.314326	-0.652006	0.265049	9.78398	0.571984	-0.542793	0.0087296	0.0150755	0.00644461	-1.01196	0.364746	0.100098	1529889450926	-52	98
Rshank	00b411ee	0.518639	-0.457221	-0.552263	-0.465799	9.88892	0.385722	-0.2482	-0.0023596	0.0113896	-0.00168199	-1.04126	0.370117	-0.0131836	1529889450926	-60	98
