Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.503524	-0.458944	-0.427967	-0.593866	9.71146	0.368044	2.16117	0.045286	-0.00685769	0.0352583	-0.861816	0.358887	-0.124268	1529889595903	-50	98
Throax	00b411e8	0.874289	-0.145588	-0.396951	-0.238437	7.78716	-0.626431	6.45688	-0.0026036	-0.000331916	0.0286681	-0.569336	0.341309	-0.497559	1529889595902	-49	98
LUpArm	00b411d9	0.738193	0.064157	0.00573994	-0.671507	-0.507851	1.31357	10.8034	-0.0874154	0.0107972	0.025721	0.0180664	0.164795	-0.974121	1529889595924	-66	98
LFoArm	00b41148	0.802795	0.0311063	0.013994	-0.595279	-0.447738	-0.0405395	9.85518	0.0183993	-0.00277511	0.0185557	0.200928	0.426514	-0.912354	1529889595924	-57	98
RUpArm	00b411db	0.748841	-0.0459901	0.0461093	-0.659543	-0.0107267	-1.21808	9.56807	-0.0557882	-0.0181097	0.0193455	0.0808105	0.477783	-0.841797	1529889595904	-59	98
RFoArm	00b41204	-0.784363	-0.00469982	0.0201926	0.619955	-0.791144	-0.708831	13.2084	-0.0282901	0.0027036	0.00843131	0.108887	0.494385	-0.919678	1529889595905	-63	98
Waist	00b411f7	0.72452	-0.168011	-0.649966	-0.156168	9.93689	-0.232372	1.05567	0.061125	-0.00732958	-0.00427236	-0.896729	0.377441	-0.0632324	1529889595905	-49	97
Lthigh	00b411f4	0.42567	-0.576601	-0.462509	-0.52194	9.73022	-0.0367813	-0.852708	0.0792192	0.0100858	-0.0370472	-0.987305	0.379883	0.163086	1529889595904	-52	98
Lshank	00b4111b	0.528324	-0.481995	-0.512494	-0.475294	9.95768	-0.23184	0.0967717	0.0730442	0.0175241	-0.0431155	-0.993408	0.341064	-0.00854492	1529889595902	-49	98
Rthigh	00b411c8	0.662159	0.182657	-0.712491	0.14331	9.80117	0.224861	-0.793513	0.0401638	0.0227511	-0.0165885	-0.996338	0.367188	0.168457	1529889595877	-53	98
Rshank	00b411ee	0.509017	-0.48373	-0.521088	-0.485155	9.90491	0.0168215	-0.176355	0.079058	-0.0241228	-0.0199318	-1.01758	0.394775	-0.00683594	1529889595900	-52	98
