Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.597434	-0.349099	-0.489036	-0.53108	9.76801	1.08783	3.13907	0.0174533	-0.0137004	0.00708114	-0.87085	0.326904	-0.212158	1529890852724	-49	94
Throax	00b411e8	0.720571	-0.246799	-0.293506	-0.577687	7.29551	-0.0860766	7.09357	-0.039973	0.0097467	-0.00664943	-0.5271	0.319092	-0.574707	1529890852724	-50	94
LUpArm	00b411d9	0.651142	0.0761673	0.0228283	-0.754779	-0.976125	0.999918	10.7245	-0.0288004	0.00106414	-0.0335162	-0.00219727	0.219238	-0.964111	1529890852721	-57	94
LFoArm	00b41148	0.77292	0.0658231	0.00763783	-0.631033	-0.923068	0.817504	9.6952	0.0341999	0.00922045	-0.0340858	0.200684	0.380615	-0.933594	1529890852720	-62	94
RUpArm	00b411db	0.751255	0.00535557	0.0630416	-0.656973	-1.024	-0.273786	9.83433	-0.102329	-0.00215808	0.0820155	0.158691	0.436523	-0.866699	1529890852725	-80	94
RFoArm	00b41204	-0.596814	-0.164667	-0.0867276	0.780497	-1.7657	-0.653277	13.4445	-0.175324	-0.021945	0.011564	0.190674	0.548584	-0.882812	1529890852726	-59	94
Waist	00b411f7	0.520904	-0.50558	-0.482353	-0.49029	9.78248	-0.770232	0.85533	0.0298047	-0.0947784	-0.00237478	-0.878174	0.44458	-0.032959	1529890852727	-50	94
Lthigh	00b411f4	0.537483	-0.493431	-0.519579	-0.444608	9.91229	-0.649302	0.30049	0.00892188	0.0236018	-0.0268378	-0.943359	0.500977	0.0136719	1529890852725	-50	94
Lshank	00b4111b	0.562718	-0.498615	-0.512897	-0.414327	9.69726	-1.20367	0.230088	0.044892	0.0122654	-0.0375004	-0.939941	0.508301	0.00244141	1529890852724	-51	94
Rthigh	00b411c8	0.420688	-0.528153	-0.499615	-0.542642	9.78576	1.0712	-0.287537	0.0736585	-0.00212658	0.00158	-1.02637	0.338135	0.13501	1529890852724	-63	94
Rshank	00b411ee	0.511253	-0.443342	-0.596307	-0.431841	9.77264	0.627603	-0.612103	0.0429608	-0.0100423	-0.000656425	-1.06689	0.389893	0.0456543	1529890852721	-54	95
