Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.600838	-0.306182	-0.292746	-0.677899	8.2157	0.135266	6.71847	-0.0800824	-0.0939223	-0.0672028	-0.666992	0.388428	-0.577881	1529891938646	-54	91
Throax	00b411e8	0.675244	-0.292603	-0.280662	-0.616164	7.42402	-0.388703	6.67879	-0.0419719	0.051109	-0.0231338	-0.532715	0.347412	-0.556885	1529891938646	-49	91
LUpArm	00b411d9	0.746292	0.0612514	-0.0535391	-0.660629	-0.510899	1.63184	10.6986	-0.0440206	0.117047	-0.0400674	-0.0134277	0.132812	-0.984619	1529891938643	-54	91
LFoArm	00b41148	0.751657	-0.00372964	0.0372461	-0.658492	-0.450747	-0.545028	9.68203	0.115737	0.090375	0.00349783	0.17627	0.520508	-0.878906	1529891938642	-56	91
RUpArm	00b411db	0.726976	-0.0476482	0.0714059	-0.681275	-0.246557	-1.47654	9.46939	0.0733042	0.0868857	0.00192688	0.10791	0.508545	-0.830322	1529891938623	-66	91
RFoArm	00b41204	-0.760834	0.00263783	-0.0200731	0.648631	-0.706788	-0.528441	13.1875	0.0241119	0.0961227	-0.00126153	0.101074	0.472656	-0.94043	1529891938624	-64	91
Waist	00b411f7	0.539278	-0.494724	-0.437923	-0.52216	9.82813	-0.818855	1.1567	0.0581099	0.0491296	-0.028025	-0.859375	0.453613	-0.124756	1529891938625	-49	90
Lthigh	00b411f4	0.490012	-0.526617	-0.505667	-0.476302	9.77729	-0.559964	-0.315213	0.0429067	0.0386919	-0.0147987	-0.969238	0.450439	0.052002	1529891938623	-51	91
Lshank	00b4111b	-0.499115	0.490129	0.532962	0.476035	9.87208	0.164566	-0.347706	0.0390182	0.0161476	-0.0182372	-1.00586	0.356445	0.0512695	1529891938646	-54	90
Rthigh	00b411c8	0.401005	-0.564129	-0.489388	-0.530521	9.69832	0.675277	-0.99925	0.00924481	0.0233294	0.00501774	-1.00146	0.382324	0.179688	1529891938645	-61	91
Rshank	00b411ee	0.509999	-0.493072	-0.534922	-0.458955	9.85418	-0.0453609	-0.57496	0.0242704	0.00896889	0.00120132	-1.03784	0.451904	-0.041748	1529891938619	-54	92
