Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.917917	0.0520163	-0.386624	0.072421	7.73537	0.379602	7.35811	0.00688951	0.0260727	-0.071141	-0.669922	0.360352	-0.588379	1529893330294	-50	87
Throax	00b411e8	0.704327	-0.27857	-0.268525	-0.595162	7.23199	-0.579487	7.0155	0.0312865	0.0073438	-0.0198412	-0.532471	0.345459	-0.547363	1529893330291	-50	87
LUpArm	00b411d9	0.677468	0.0531562	-0.0192422	-0.733377	-0.420149	1.54564	10.8376	-0.0181657	-0.0151416	0.0273702	-0.0700684	0.166504	-0.980957	1529893330291	-68	87
LFoArm	00b41148	0.847946	0.0341861	-0.0069002	-0.528934	-0.296727	0.555375	9.91451	0.0153132	0.000454323	0.0415009	0.125977	0.408447	-0.936279	1529893330288	-58	87
RUpArm	00b411db	0.75941	-0.0203018	0.0237202	-0.649862	-0.0655261	-0.444876	9.89285	-0.0228476	-0.00779043	0.00803646	0.074707	0.409912	-0.882812	1529893330294	-67	86
RFoArm	00b41204	-0.574542	-0.186599	-0.0108261	0.796847	-0.856653	-0.521408	13.2883	0.039018	0.00651541	0.0071599	0.0810547	0.485596	-0.934326	1529893330296	-61	87
Waist	00b411f7	0.512303	-0.553082	-0.432066	-0.494939	9.80526	-1.25246	0.548042	0.0257059	0.0509689	-0.0178744	-0.851318	0.472656	-0.00170898	1529893330296	-51	86
Lthigh	00b411f4	0.418995	-0.610437	-0.401471	-0.539102	9.84551	-1.0643	0.660867	-0.0297856	0.0079287	-0.0133153	-0.955078	0.474854	0.00952148	1529893330294	-50	87
Lshank	00b4111b	-0.669552	0.23781	0.688699	0.144364	9.69017	-1.19006	-0.492623	0.0299361	-0.0156438	-0.0110305	-0.988037	0.431641	0.0703125	1529893330292	-54	86
Rthigh	00b411c8	0.410458	-0.547135	-0.48212	-0.547474	9.78943	0.623885	0.116706	0.0355401	-0.0119149	0.012607	-1.01025	0.325195	0.135254	1529893330291	-49	87
Rshank	00b411ee	0.536138	-0.4564	-0.575673	-0.41576	9.75881	-0.113619	-0.688892	0.0309942	-0.0175149	0.00899135	-1.01807	0.407959	0.0158691	1529893330291	-56	89
