Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.546012	-0.371823	-0.394871	-0.63851	9.09057	0.179842	4.91061	0.0169586	0.0284033	-0.0503096	-0.811279	0.38501	-0.343994	1529924325827	-68	94
Throax	00b411e8	0.641897	-0.330302	-0.360959	-0.590405	8.38527	-0.354325	5.20201	0.110199	-0.00917833	-0.0402298	-0.653076	0.31958	-0.418945	1529924325828	-50	94
LUpArm	00b411d9	0.722862	0.0517643	0.0186936	-0.688797	-0.164355	0.204916	10.906	-0.00433857	0.00842281	-0.025247	0.00927734	0.303467	-0.941406	1529924325830	-68	94
LFoArm	00b41148	0.771069	-0.0746227	0.0542702	-0.630031	0.224123	-1.65251	9.8094	0.091371	0.00252705	-0.0095554	0.0944824	0.653076	-0.81958	1529924325808	-60	94
RUpArm	00b411db	0.767608	-0.161661	0.115901	-0.60927	0.00996953	-3.48864	9.06529	0.0810934	-0.000326024	0.0240705	0.104736	0.694824	-0.695801	1529924325828	-63	94
RFoArm	00b41204	0.780011	-0.0358949	-0.059226	-0.621922	-0.199071	-0.00977854	13.7349	-0.0619758	-0.0230528	0.08338	0.0749512	0.474609	-0.951172	1529924325805	-68	94
Waist	00b411f7	0.520441	-0.430106	-0.527041	-0.516117	9.92986	0.0989075	1.30503	-0.0483662	0.0257352	-0.0590694	-0.921143	0.342773	-0.13501	1529924325807	-49	94
Lthigh	00b411f4	0.504459	-0.45393	-0.659194	-0.323932	9.31504	-0.915054	-1.34724	0.0975372	0.142424	0.0147066	-0.987061	0.419678	0.0876465	1529924325831	-49	94
Lshank	00b4111b	0.474391	-0.559249	-0.479523	-0.481923	9.93187	-1.09463	-0.136654	-0.105316	-0.00197252	0.0572545	-0.949463	0.511475	0.120605	1529924325809	-49	93
Rthigh	00b411c8	0.402064	-0.550515	-0.550424	-0.481988	9.63102	-0.0374749	-1.54888	0.0108483	0.0386963	0.0594832	-0.998291	0.415283	0.215332	1529924325808	-51	94
Rshank	00b411ee	0.457208	-0.549975	-0.526709	-0.459419	9.66557	-0.698643	-1.76185	0.134235	0.0155275	0.0549084	-1.02197	0.505127	0.141846	1529924325827	-50	95
