40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.948027	-0.31371	-0.0115988	-0.0519258	1.02896	-6.0003	9.04132	0.0534053	-0.0276011	-0.0857995	0.374268	0.646484	-0.799805	0.534961	-0.793452	-0.0265003	-0.289048	4.61943	-8.20566	-2.32532	-0.0301498	0.0786894	-0.00639466	0.0336914	0.915283	0.420166	0.797345	0.0352828	0.593946	-0.101117	-9.31251	-1.24894	3.83915	0.0711273	0.0751671	-0.0329874	0.951172	0.0820312	0.102783	0.598753	0.454852	0.472755	-0.459464	-9.57792	1.03338	1.02302	-0.0481065	0.00954496	-0.102477	0.966553	0.400635	-0.121094	0.0473059	-0.689366	0.0250511	-0.722433	9.60032	-1.7293	0.0272976	-0.134535	0.0389324	0.0122688	-1.01294	0.105957	0.418457	-0.227061	-0.537722	0.395194	-0.709309	9.77221	-0.233082	3.07887	-0.110628	-0.0068703	0.0331781	-1.09521	-0.250732	0.290527	0.500992	-0.806754	-0.247394	-0.192228	5.39872	-6.99232	-3.93473	-0.0318202	0.0946152	-0.0223353	-0.188965	0.946777	0.423828	0.460365	-0.806597	-0.181925	-0.323061	6.76144	-5.79273	-3.36403	0.0807896	-0.0132842	-0.031752	-0.428223	0.869385	0.486328	0.642995	-0.67206	-0.300328	-0.211413	6.63686	-6.91085	-0.9127	-0.100906	0.0264489	-0.00327023	-0.477539	1.00391	0.0529785	0.457732	-0.0354447	-0.0692458	-0.885681	2.91721	1.58645	9.91108	-0.0122839	0.0327462	0.00236112	-0.546631	0.0874023	-0.88916	0.281243	-0.658434	-0.414644	-0.561638	10.1696	1.08774	-1.82156	0.00433115	0.00563549	-0.0421712	-1.02148	0.273682	0.466797	
1	0.947989	-0.313327	-0.0123483	-0.0546814	1.16167	-5.50801	9.11445	0.00760371	0.01989	-0.105379	0.367676	0.646484	-0.797607	0.535123	-0.793382	-0.0259538	-0.288989	4.6884	-8.38572	-2.34205	-0.00613108	0.0345512	0.0221872	0.0358887	0.910889	0.417969	0.796279	0.0348928	0.595337	-0.101469	-9.20476	-0.754932	3.95859	-0.0637502	0.0919107	-0.00777142	0.948975	0.0842285	0.107178	0.596901	0.454927	0.473443	-0.461088	-9.83166	0.869783	1.11137	0.0539022	0.0358203	-0.0682628	0.975342	0.400635	-0.118896	0.0476283	-0.689046	0.0250023	-0.722718	9.86	-1.31697	0.151371	0.021879	0.0427475	0.00055102	-1.01709	0.105957	0.413818	-0.227479	-0.537573	0.395059	-0.709364	9.81656	-0.663965	2.26899	-0.0306934	0.0279616	-0.0252024	-1.09082	-0.252686	0.290771	0.500741	-0.80696	-0.246509	-0.193149	5.36936	-6.90647	-3.84181	-0.0413085	0.098683	0.00391659	-0.18457	0.944824	0.419678	0.461556	-0.805986	-0.182489	-0.322568	6.90609	-6.15648	-3.19339	0.124666	-0.0048302	-0.0104343	-0.432617	0.871338	0.484131	0.645371	-0.670068	-0.300178	-0.21071	6.66044	-7.39056	-0.427938	0.236849	0.0338439	-0.00868828	-0.468262	1.00415	0.048584	0.45784	-0.0332739	-0.0687447	-0.885748	2.59307	2.34316	10.1826	0.0422134	-0.0241236	0.0249477	-0.537598	0.0852051	-0.884521	0.281891	-0.658334	-0.414218	-0.561745	9.26692	1.33914	-1.98636	-0.0172425	0.0249197	0.0134595	-1.02637	0.282471	0.464355	
2	0.947681	-0.314017	-0.0133742	-0.0558094	0.9127	-5.46606	9.07189	-0.0331814	-0.0515578	-0.0172622	0.367432	0.650635	-0.789062	0.536831	-0.792202	-0.0257755	-0.289075	4.61215	-8.13704	-2.56888	0.0504561	-0.00442014	-0.00245274	0.0356445	0.91748	0.413086	0.795426	0.0352492	0.596236	-0.102744	-9.01825	-0.924101	3.81307	-0.058631	0.0210145	-0.0216385	0.948975	0.0883789	0.107178	0.595966	0.454726	0.473491	-0.462444	-9.52904	0.652995	0.904097	0.0301482	-0.0309929	-0.0418252	0.975342	0.402832	-0.114502	0.049753	-0.690564	0.0228371	-0.721197	9.87102	-1.47065	0.445409	0.262019	-0.0211875	-0.0229561	-1.00854	0.108154	0.413818	-0.226459	-0.539555	0.392151	-0.709799	9.92641	-0.761717	3.29705	0.070394	0.00726884	-0.0986158	-1.09302	-0.252686	0.294922	0.500086	-0.807336	-0.246301	-0.193539	5.32132	-6.72296	-4.17507	-0.00237932	-0.0084823	-0.0244432	-0.184326	0.94043	0.419678	0.462591	-0.805062	-0.183558	-0.322785	6.73224	-5.09489	-3.17105	-0.035717	0.0262711	-0.061612	-0.43457	0.869141	0.486572	0.646227	-0.669327	-0.299773	-0.211016	6.76	-7.27548	-0.580193	0.0458598	0.0466585	-0.0213621	-0.470459	1.00171	0.0441895	0.457851	-0.0345681	-0.0702062	-0.885578	2.78096	1.80248	9.94774	-0.0479744	0.0420442	0.00417363	-0.544189	0.0830078	-0.891113	0.283576	-0.658026	-0.413964	-0.561445	9.41109	1.01438	-1.91791	0.0846477	0.0257079	0.0564457	-1.02417	0.282471	0.461914	
3	0.947663	-0.314205	-0.0137152	-0.0549761	0.947237	-5.58209	8.92142	-0.00760428	-0.0517032	0.0603233	0.365234	0.648438	-0.79541	0.537186	-0.79225	-0.0260761	-0.288254	4.59376	-8.06182	-2.4349	0.0220917	-0.0522786	0.00591637	0.0358887	0.913086	0.420166	0.795436	0.0348927	0.596261	-0.10265	-9.288	-1.2008	3.6428	-0.0198307	0.0135254	-0.00109638	0.951172	0.0861816	0.104736	0.596493	0.454076	0.473236	-0.462665	-9.68074	0.862548	1.2411	-0.0329657	-0.0597962	-0.00428046	0.973389	0.398438	-0.114502	0.0508597	-0.690839	0.0210308	-0.720911	9.84337	-0.0134821	0.747736	0.163141	-0.0331296	-0.0502601	-1.01074	0.108154	0.418457	-0.226636	-0.540046	0.391401	-0.709783	9.76603	-1.54922	2.63534	0.0234632	-0.00762421	-0.0589377	-1.08667	-0.248535	0.296875	0.499358	-0.807807	-0.246486	-0.193221	5.14538	-6.55966	-4.12852	-0.0422149	-0.0373835	-0.0178769	-0.188965	0.946777	0.430176	0.460553	-0.806144	-0.182868	-0.323391	6.5206	-5.3576	-3.2612	-0.193797	0.0209971	-0.0285925	-0.432373	0.866943	0.491211	0.648033	-0.66754	-0.299806	-0.211093	6.5494	-7.24393	-0.35864	0.0709537	0.0499642	-0.0126774	-0.468262	1.00195	0.0307617	0.45819	-0.034787	-0.0690453	-0.885485	2.90512	1.61383	9.96464	-0.0923122	0.0499984	0.0348571	-0.542236	0.0874023	-0.884521	0.284178	-0.657651	-0.414215	-0.561394	9.7584	0.476031	-1.90998	0.0559373	0.0355619	-0.00212176	-1.02881	0.286865	0.457275	
4	0.947732	-0.314617	-0.0137772	-0.0512867	0.958456	-5.68213	8.79659	-0.023708	-0.0621621	0.180453	0.365234	0.648438	-0.79126	0.5373	-0.792441	-0.0271568	-0.287417	4.55878	-8.09496	-2.70371	0.00556704	-0.0549916	-0.0463463	0.0356445	0.91748	0.417725	0.795593	0.0331156	0.596099	-0.102962	-9.08059	-0.709189	3.65636	-0.110004	0.00741202	-0.0483233	0.953369	0.0905762	0.106934	0.597176	0.452684	0.472961	-0.463429	-9.595	0.675592	0.990987	-0.00203566	-0.0501962	-0.0336413	0.966309	0.405029	-0.123535	0.0498069	-0.691626	0.0232093	-0.720163	9.96524	-1.66916	0.296343	-0.0435128	0.0083656	0.0333389	-1.00684	0.116943	0.418457	-0.225295	-0.540862	0.391214	-0.709691	10.1245	-0.957539	3.87932	0.0253983	-0.0176565	0.0124515	-1.09326	-0.248535	0.297119	0.498287	-0.808111	-0.24747	-0.193453	5.12647	-6.74983	-4.10834	-0.00180821	0.0249961	-0.0673794	-0.186523	0.942627	0.421875	0.457986	-0.807532	-0.179747	-0.325318	6.24047	-6.32757	-3.30568	-0.154179	0.113593	0.00838584	-0.436523	0.864746	0.49585	0.647508	-0.668416	-0.29881	-0.211342	6.49644	-7.55929	-1.25676	0.00717	0.0119237	0.0077291	-0.468262	1.00195	0.0307617	0.459244	-0.0356537	-0.0698555	-0.884841	2.74894	1.54085	9.69612	0.00729937	-0.0270069	0.0634237	-0.546631	0.0874023	-0.884521	0.284948	-0.657741	-0.414163	-0.560937	9.07501	1.09357	-2.0835	-0.0291373	-0.0112535	-0.00253515	-1.02417	0.284668	0.466553	
5	0.947681	-0.315464	-0.0131697	-0.0470052	1.12646	-6.34812	8.86898	-0.0204276	-0.0111117	0.148875	0.374268	0.644287	-0.79541	0.537531	-0.792729	-0.0283744	-0.286069	4.85757	-8.15332	-2.45856	0.028224	-0.0364046	-0.0318206	0.0375977	0.921875	0.410645	0.795579	0.0322728	0.59611	-0.103277	-9.20694	-1.57101	3.77534	-0.0310423	0.0094069	-0.050697	0.951172	0.0905762	0.109375	0.597585	0.452083	0.47164	-0.464831	-9.61897	1.13624	1.36456	-0.013198	-0.0678861	-0.00628394	0.966309	0.405029	-0.123535	0.0525471	-0.690202	0.0207415	-0.721408	9.73773	0.0824414	0.70488	0.0434052	0.0625774	-0.0154054	-1.01562	0.121338	0.418457	-0.225635	-0.540018	0.392069	-0.709754	9.7375	-0.762675	2.84818	-0.105968	0.0116755	0.0436946	-1.08911	-0.241943	0.296875	0.497627	-0.808219	-0.248034	-0.193981	5.28469	-6.54039	-3.81794	0.00980105	0.0206185	-0.0485688	-0.186523	0.94458	0.432373	0.462126	-0.805034	-0.182311	-0.324225	6.56269	-4.85703	-3.31699	0.219701	0.0115662	-0.0269497	-0.438965	0.869141	0.48877	0.647227	-0.668884	-0.297621	-0.212397	6.59346	-6.69829	-0.794133	-0.11109	0.0747812	0.00271698	-0.468506	1.00635	0.041748	0.460116	-0.0336695	-0.0693894	-0.884502	3.04961	1.84668	9.9746	0.0129277	0.0824515	0.0377413	-0.542236	0.0895996	-0.886719	0.285259	-0.657443	-0.415147	-0.560401	9.72258	1.03377	-2.06412	0.0601785	-0.00745865	-0.0107492	-1.02661	0.286865	0.457275	
6	0.947575	-0.315973	-0.0136326	-0.04557	1.1259	-6.24182	8.9714	-0.0234542	-0.0600281	0.0264518	0.370117	0.64209	-0.79541	0.536967	-0.793026	-0.0295499	-0.286187	4.78919	-8.06766	-2.49083	-0.0572931	-0.0217948	-0.0529687	0.0314941	0.915283	0.417969	0.795557	0.0292453	0.596114	-0.104314	-9.36391	-1.2729	3.89422	-0.18864	0.00582953	-0.0476129	0.953125	0.097168	0.104492	0.598787	0.450062	0.471478	-0.46541	-9.6732	0.674828	1.44103	-0.0490934	-0.0724449	-0.0187762	0.973145	0.405029	-0.121338	0.0501554	-0.689964	0.0253405	-0.721659	9.86674	-1.94692	-0.114806	-0.0777548	0.0525846	0.046539	-1.01294	0.110352	0.409424	-0.224945	-0.539876	0.392218	-0.709999	9.9149	-0.63785	2.87286	0.0566658	0.00106277	0.0170535	-1.08911	-0.244141	0.296875	0.495963	-0.808803	-0.248675	-0.194983	5.50962	-6.72199	-4.14948	-0.0798435	0.0088761	-0.0633818	-0.190674	0.940186	0.443115	0.463814	-0.80414	-0.182814	-0.323749	6.78254	-5.49624	-3.09559	0.124036	0.0272513	-0.0022975	-0.43042	0.871582	0.481689	0.64835	-0.668237	-0.29636	-0.212773	6.71159	-7.36949	-0.428042	0.134819	0.0567728	0.00565803	-0.473145	1.00879	0.0351562	0.461196	-0.0336126	-0.0694626	-0.883936	2.73309	1.74303	10.1813	0.0382961	-0.0227638	0.0467332	-0.54248	0.0917969	-0.884521	0.285292	-0.657159	-0.4154	-0.560529	9.82172	0.837698	-1.99566	0.0378044	0.0216625	-0.000407895	-1.02417	0.284668	0.459717	
7	0.947152	-0.317093	-0.0147428	-0.0462417	1.39618	-6.13045	9.03274	-0.0441807	-0.0242461	-0.0358771	0.367676	0.644287	-0.789062	0.536209	-0.793633	-0.0298378	-0.285895	5.057	-8.53545	-2.57738	-0.036778	-0.0168992	-0.0200958	0.0358887	0.913086	0.420166	0.796238	0.0297698	0.594656	-0.107251	-9.66612	-0.940319	3.78505	0.152999	-0.0734534	-0.0667951	0.955322	0.0991211	0.106689	0.599641	0.450133	0.469872	-0.465866	-9.98291	0.761623	1.44963	0.0391863	-0.0557754	0.0481189	0.96875	0.402832	-0.132324	0.0542613	-0.689164	0.0211567	-0.722261	9.71513	-0.216251	0.588174	0.156124	-0.00208829	-0.0330221	-1.01782	0.123535	0.411621	-0.22397	-0.540073	0.390829	-0.710923	9.74471	-0.31632	2.67813	0.0298464	0.00285901	-0.00505203	-1.09351	-0.241943	0.301025	0.49584	-0.80857	-0.249227	-0.19556	5.76017	-6.85217	-4.1374	0.0516076	0.0302655	-0.0546572	-0.195068	0.940186	0.432617	0.461297	-0.805632	-0.181276	-0.324501	6.98525	-6.34813	-3.15916	-0.213484	0.0460267	-0.00978677	-0.437012	0.871338	0.481689	0.648338	-0.668569	-0.295155	-0.213442	6.79095	-7.45856	-0.486486	-0.057302	0.0413207	-0.00648274	-0.470459	1.00171	0.0441895	0.461735	-0.034033	-0.0713063	-0.883492	2.82241	1.9894	9.93121	0.0275522	-0.0183015	0.0261981	-0.542236	0.0874023	-0.88208	0.286403	-0.656896	-0.415558	-0.560154	9.41263	0.756053	-2.04628	0.0502798	0.0182014	0.0144652	-1.02441	0.286865	0.459717	
8	0.947108	-0.317329	-0.0154535	-0.0452878	1.00243	-6.24204	8.78765	0.0146802	-0.054671	0.0371522	0.369873	0.646484	-0.793213	0.536661	-0.793093	-0.0309113	-0.286431	4.87373	-7.73948	-2.57542	-0.00982145	0.000452778	-0.0519252	0.0314941	0.913086	0.422607	0.797577	0.0254995	0.593418	-0.105242	-9.17748	-1.86462	3.92997	-0.200466	-0.0690085	-0.0220152	0.950928	0.101562	0.0998535	0.602076	0.449703	0.468988	-0.464028	-9.45726	0.672968	1.88259	-0.089084	-0.0178394	0.125176	0.968994	0.398438	-0.129883	0.0529506	-0.690273	0.0227606	-0.72125	9.94143	-1.28374	0.476355	-0.0296801	-0.0341695	-0.00652531	-1.01123	0.116943	0.411621	-0.22393	-0.541106	0.388079	-0.711656	9.95434	-0.643949	3.57241	0.116435	0.0317193	-0.0914303	-1.09546	-0.241943	0.299072	0.496571	-0.807666	-0.24997	-0.196488	5.27465	-6.4246	-4.25049	0.0269569	0.0221168	-0.0603244	-0.199219	0.938232	0.43042	0.464668	-0.803484	-0.181641	-0.324812	6.59265	-5.27683	-2.84134	0.185118	0.0793753	0.00493461	-0.432617	0.873535	0.481689	0.649188	-0.667816	-0.29485	-0.213637	6.56824	-6.96606	-0.319663	0.0515259	0.0331589	-0.0137149	-0.466064	1.00659	0.0307617	0.462895	-0.0350908	-0.0713872	-0.882837	2.71565	1.51832	10.114	-0.00047831	-0.0200566	0.0606028	-0.546631	0.0874023	-0.884521	0.288025	-0.656307	-0.415816	-0.559821	9.56846	1.08796	-2.05649	0.04484	0.0316243	0.0268654	-1.02222	0.293457	0.457275	
9	0.947068	-0.317518	-0.0165827	-0.0443732	1.08138	-5.74475	8.80273	-0.0368253	-0.0603039	0.0326234	0.374268	0.644287	-0.797607	0.535397	-0.793881	-0.0308589	-0.286621	4.95637	-8.20104	-2.60762	-0.0497914	0.0150181	-0.0517372	0.0356445	0.91748	0.422363	0.799254	0.0258595	0.590965	-0.106228	-9.16362	-1.06677	3.76233	0.00356638	-0.0911543	0.00823843	0.953125	0.101562	0.0976562	0.603441	0.451288	0.46856	-0.461139	-9.52149	0.826922	1.71222	-0.00605102	0.063501	0.127787	0.968994	0.394043	-0.125488	0.0547601	-0.690286	0.0205287	-0.721169	10.0733	-0.367238	0.661363	0.0951602	0.00618876	-0.0155815	-1.00903	0.119141	0.413818	-0.223503	-0.54142	0.38699	-0.712144	9.95966	-1.04626	3.3322	0.032872	-0.0138548	0.02028	-1.09351	-0.241943	0.303223	0.495657	-0.807982	-0.249947	-0.197525	5.49998	-6.5677	-3.9211	-0.0438666	0.0519205	-0.0367579	-0.199463	0.940186	0.436768	0.464932	-0.803096	-0.18117	-0.325658	6.69147	-5.58877	-3.31784	-0.0247064	0.0716663	-0.00553621	-0.441162	0.871582	0.474854	0.646006	-0.670795	-0.293393	-0.215941	6.32334	-7.41356	-0.450416	-0.301313	0.0498615	-0.0349127	-0.468262	1.00415	0.0439453	0.464365	-0.0348034	-0.0713584	-0.882078	2.7401	1.61199	9.87192	0.0470161	0.0347894	0.0691772	-0.54248	0.0917969	-0.886963	0.288229	-0.655547	-0.416742	-0.559918	9.32668	0.645484	-2.12751	0.0345841	0.0159192	-0.036057	-1.02905	0.293457	0.452637	
