Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.568484	-0.359242	-0.416638	-0.611705	9.37961	0.756138	4.18279	0.0219313	0.00147797	-0.00261383	-0.814453	0.361084	-0.356689	1528711039848	-85	82
Throax	00b411e8	0.573428	-0.333808	-0.273809	-0.696262	8.07892	0.0429383	6.0656	0.0140919	0.0476329	-0.00725029	-0.586426	0.33667	-0.504395	1528711039854	-86	82
LUpArm	00b411d9	0.743984	0.0651641	-0.00706631	-0.664975	-0.591033	1.63997	10.6864	-0.0173299	0.0166897	-0.015496	-0.0192871	0.213135	-0.991455	1528711039852	-90	82
LFoArm	00b41148	0.722149	-0.00207434	0.0334461	-0.690925	-0.35252	-0.544175	9.59919	0.0342673	0.019411	-0.00526644	0.0969238	0.603271	-0.895752	1528711039854	-84	81
RUpArm	00b411db	0.769126	0.0124107	0.0299151	-0.638276	-0.43553	-0.298689	9.77911	-0.0489762	0.00814778	0.0174716	0.16748	0.434326	-0.869141	1528711039848	-89	84
RFoArm	00b41204	0.55529	0.274992	-0.117198	-0.776078	-0.377099	3.58408	12.7851	0.0475202	0.0257775	0.0117817	0.0876465	0.104248	-1.05396	1528711039851	-86	79
Waist	00b411f7	0.611351	-0.378515	-0.412527	-0.559283	9.44879	-0.0708042	3.69441	0.0534553	0.0621755	-0.00810028	-0.811035	0.428223	-0.373291	1528711039851	-83	78
Lthigh	00b411f4	0.314249	-0.626422	-0.391515	-0.596288	9.66337	0.600046	-0.882931	0.00129239	0.0118296	-0.0257772	-0.935303	0.389648	0.337891	1528711039851	-94	80
Lshank	00b4111b	0.517537	-0.502644	-0.532767	-0.442339	9.76047	-0.541855	-0.648017	-0.0011258	-0.00569312	-0.020245	-0.903076	0.458252	0.019043	1528711039851	-98	78
Rthigh	00b411c8	0.491773	-0.493537	-0.609773	-0.377832	9.40279	-0.329998	-2.2223	0.0198787	-0.00204823	0.00270853	-0.936035	0.418457	0.112793	1528711039854	-95	93
Rshank	00b411ee	0.551489	-0.398573	-0.615876	-0.39711	9.84328	0.513006	-0.743823	0.0193468	-0.00945914	-0.00409701	-1.0332	0.445312	-0.0668945	1528711039848	-96	81
