40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.72818	0.122551	0.0845418	-0.66902	-2.25275	0.550708	10.7514	-0.00069027	0.0128524	-0.0140785	0.288086	0.342041	-0.904785	0.653183	-0.334867	-0.378446	-0.56391	8.72636	-0.195657	4.97743	-0.0284804	0.00496063	-0.0212921	-0.63623	0.330566	-0.424072	0.953886	-0.0171107	0.259531	0.149841	-4.23162	0.669731	9.7867	0.00511372	0.000612662	-0.0216733	0.563721	0.205322	-0.739258	0.0477437	0.167832	0.607252	-0.775111	-3.21825	-9.06947	1.86277	0.0151856	0.071818	-0.0161017	-0.0742188	1.00732	-0.261963	0.651078	0.113962	0.161522	-0.732817	-3.62845	-0.78152	8.99292	-0.00765647	0.0207547	0.00493824	0.325195	0.476074	-0.795898	0.808054	0.532988	0.179984	0.174869	-2.79219	9.00751	5.92662	-0.0210111	0.0487967	0.0134688	0.616699	-0.783203	-0.0178223	0.531247	-0.464682	-0.475069	-0.525506	9.95351	-0.0436272	0.959598	0.0201488	0.021824	-0.0101293	-0.893311	0.394775	-0.131836	0.424192	-0.519103	-0.522454	-0.52691	9.67544	0.965986	-0.813484	0.0302571	0.0189916	-0.00958314	-1.01123	0.330078	0.126709	0.449391	-0.534998	-0.532336	-0.477958	9.74865	0.307285	-1.26883	0.0783314	0.0109928	-0.0150052	-0.998291	0.398682	0.157715	0.548077	-0.50128	-0.560195	-0.366758	9.66414	-1.4408	-1.13865	0.118214	0.0858528	-0.000701187	-0.911621	0.519531	0.032959	0.540521	-0.499498	-0.588337	-0.33496	9.54885	-1.52337	-1.62225	0.0954576	-0.0293989	-0.0088129	-0.974609	0.611572	0.0537109	
1	0.728044	0.122648	0.0845952	-0.669143	-2.27	0.541265	10.7933	0.00542872	0.00644991	-0.0133509	0.283447	0.346191	-0.902832	0.653072	-0.335022	-0.3783	-0.564045	8.80475	-0.133308	4.836	-0.0274272	0.0141931	-0.0216109	-0.635986	0.328369	-0.419189	0.953989	-0.0167438	0.259439	0.149389	-4.35388	0.678558	9.80814	0.0366226	0.00304782	-0.028985	0.559326	0.211914	-0.732666	0.0472765	0.16809	0.607105	-0.775199	-3.13823	-9.11067	1.89154	0.0223754	0.0456693	-0.011624	-0.0693359	1.00098	-0.257568	0.651261	0.114474	0.161207	-0.732644	-3.64638	-0.746638	8.97019	0.0271251	0.00317864	0.00182626	0.327393	0.473877	-0.79126	0.808133	0.532067	0.180985	0.176269	-2.74128	9.25764	5.75188	-0.00441148	0.0437096	0.00181124	0.618652	-0.778809	-0.0244141	0.531223	-0.464602	-0.474889	-0.525763	9.83192	0.00876782	1.37792	-0.00154153	0.0311128	-0.0244997	-0.899658	0.392578	-0.134033	0.425027	-0.518625	-0.522884	-0.526281	9.77623	1.02642	-0.780528	0.0657195	0.0271471	-0.00416247	-1.01099	0.323486	0.131348	0.449814	-0.534707	-0.532582	-0.47761	9.76703	0.412704	-1.1611	0.0578164	0.0129	-0.0151467	-1.00049	0.396484	0.155518	0.549431	-0.499926	-0.560353	-0.366339	9.59041	-1.23911	-1.09887	0.137047	0.0898221	-0.00502955	-0.905029	0.521729	0.026123	0.541288	-0.498185	-0.590016	-0.332716	9.70663	-1.21031	-1.87375	0.0860791	-0.0354364	-0.00811727	-0.974365	0.602783	0.0605469	
2	0.727826	0.122766	0.0844506	-0.669377	-2.43172	0.542729	10.8793	0.0100561	-0.014965	-0.00499311	0.283691	0.339844	-0.911377	0.652677	-0.335389	-0.37925	-0.563646	8.78826	-0.186849	4.89912	0.0225157	-0.0274449	-0.0206364	-0.631836	0.332764	-0.424072	0.954231	-0.0165638	0.258743	0.149065	-4.10378	0.623215	9.91802	-0.00100009	-0.0132105	-0.0030019	0.557373	0.20752	-0.734863	0.0474813	0.168147	0.607212	-0.775091	-3.14397	-9.18855	1.97633	0.000250667	-0.010154	0.0193482	-0.0695801	1.00317	-0.257568	0.651141	0.114289	0.161151	-0.732792	-3.67044	-0.801069	9.09504	-0.0039345	0.00927589	-0.0265574	0.322998	0.473877	-0.79126	0.808403	0.531462	0.181438	0.17639	-2.80241	9.28429	5.74968	0.0278688	-0.00915158	-0.0205679	0.616699	-0.781006	-0.0200195	0.531707	-0.46368	-0.474842	-0.526131	9.95573	-0.0384484	1.21652	0.0271517	0.0421014	-0.0221853	-0.893311	0.396973	-0.13623	0.426209	-0.517548	-0.523542	-0.525731	9.66959	1.09702	-0.702286	0.066931	0.0484414	-0.0217898	-1.01343	0.327881	0.126709	0.45021	-0.534426	-0.532926	-0.477168	9.72545	0.397491	-1.24633	0.0211995	0.00515926	-0.0194363	-0.99585	0.398682	0.155518	0.550021	-0.499151	-0.560814	-0.365806	9.60061	-1.15575	-1.2784	0.0254557	8.81632e-05	-0.00736452	-0.905029	0.526123	0.0305176	0.541611	-0.497607	-0.590806	-0.331651	9.63343	-1.2944	-1.84383	0.0471575	-0.0114034	-0.00601568	-0.972168	0.60498	0.0559082	
3	0.727984	0.122469	0.0833605	-0.669397	-2.25569	0.659458	10.7283	0.0144433	-0.0445501	0.0157465	0.281494	0.341797	-0.906982	0.652998	-0.334969	-0.37979	-0.56316	8.80489	-0.158806	4.97943	0.026513	0.0168042	-0.00852693	-0.631836	0.328369	-0.421631	0.954158	-0.0170998	0.258502	0.149887	-4.24622	0.47798	9.92705	-0.0206756	0.0109235	0.0400621	0.561523	0.20752	-0.730225	0.0493704	0.167007	0.608183	-0.774458	-3.08778	-9.15948	2.10958	-0.0646926	-0.0796473	0.0277535	-0.0649414	1.00098	-0.257568	0.650541	0.114968	0.161011	-0.733249	-3.63793	-0.789597	9.00921	0.0310242	0.0285068	-0.0388517	0.325195	0.476074	-0.798096	0.808571	0.531495	0.181265	0.175698	-2.87654	9.17655	5.85782	0.0378115	-0.0476945	-0.0262857	0.62085	-0.778809	-0.0202637	0.531129	-0.464173	-0.475742	-0.525467	10.0074	0.0771292	1.11022	0.0173666	-0.0603801	-0.013235	-0.895508	0.396973	-0.13623	0.426873	-0.516951	-0.523731	-0.525593	9.68612	1.08319	-0.76861	0.0450544	0.0391772	-0.0164929	-1.00903	0.327881	0.124268	0.450337	-0.53432	-0.533066	-0.47701	9.72316	0.335685	-1.24931	0.0139369	0.0059133	-0.0192556	-1.00073	0.401123	0.15332	0.550342	-0.498967	-0.560642	-0.365837	9.56878	-1.35322	-1.28434	-0.00129186	0.0400099	0.0139551	-0.905029	0.523926	0.0236816	0.541573	-0.497616	-0.590914	-0.331508	9.58034	-1.44497	-1.83181	-0.00771187	0.00458282	-0.00209149	-0.974365	0.60498	0.0537109	
4	0.72842	0.122415	0.0829146	-0.668987	-2.13846	0.644074	10.6213	0.00128334	-0.000786616	0.0314787	0.281494	0.3396	-0.90918	0.653572	-0.334587	-0.379633	-0.562827	8.64604	-0.152114	4.92896	0.00989367	0.0172798	-0.00155354	-0.633789	0.326172	-0.42627	0.9538	-0.0171409	0.259055	0.151203	-4.38638	0.785483	9.88081	-0.0355204	0.0488856	0.0486588	0.55957	0.20752	-0.732666	0.0509971	0.165483	0.608832	-0.774169	-3.18136	-8.99005	2.19886	-0.0625739	-0.072293	0.000303207	-0.0717773	1.00317	-0.259766	0.650247	0.115394	0.161662	-0.733299	-3.70484	-0.943727	8.93247	-0.00970341	0.0361953	-0.0164721	0.320801	0.473877	-0.800537	0.808286	0.532161	0.181273	0.174981	-2.83583	9.08867	5.89962	0.0513839	-0.0268782	-0.0176147	0.618896	-0.781006	-0.0200195	0.531759	-0.463797	-0.475718	-0.525183	9.81597	0.0707723	1.21749	0.0476919	0.00195061	-0.00556781	-0.893311	0.394775	-0.129639	0.426548	-0.51721	-0.523191	-0.526138	9.65436	1.10708	-0.701402	-0.0402182	0.0172715	-0.012955	-1.01343	0.327881	0.124268	0.450228	-0.534491	-0.532791	-0.47723	9.69514	0.317382	-1.26339	-0.00609303	0.0109613	-0.0180406	-1.00293	0.398682	0.157715	0.550823	-0.49861	-0.560692	-0.365521	9.62759	-1.39928	-1.18961	0.0305046	0.0298215	0.00601411	-0.911865	0.523926	0.0258789	0.541754	-0.497436	-0.590998	-0.331333	9.57444	-1.38171	-1.80136	0.00728159	0.00954434	-0.00307175	-0.970215	0.611572	0.0559082	
5	0.728721	0.122815	0.0835322	-0.66851	-2.22844	0.546148	10.7303	-0.0115543	0.0360316	0.0157304	0.288574	0.333252	-0.906982	0.653909	-0.334437	-0.379281	-0.562762	8.73751	-0.157854	4.90874	-0.00844411	0.0409899	-0.00470589	-0.634033	0.328369	-0.428711	0.953512	-0.0173817	0.259639	0.15199	-4.47589	0.808363	9.71084	0.00100058	0.0346418	0.0194179	0.563721	0.205322	-0.737061	0.0515194	0.164725	0.609813	-0.773524	-3.14593	-9.08513	1.98449	-0.0120768	-0.00780483	-0.00634562	-0.0651855	1.00537	-0.253174	0.650584	0.115653	0.161718	-0.732948	-3.75195	-0.803362	8.94329	-0.0111054	0.00405133	0.0139919	0.329346	0.480469	-0.795898	0.807956	0.532004	0.182635	0.175566	-2.77641	9.14037	5.82522	0.0371764	0.0546728	-0.0183664	0.62085	-0.778809	-0.0180664	0.532218	-0.463601	-0.475762	-0.524852	9.86176	0.000597929	1.20999	0.024128	0.0287356	-0.00474704	-0.891357	0.396973	-0.131836	0.426442	-0.517394	-0.522531	-0.526699	9.68227	1.02579	-0.76513	-0.039036	0.0431094	-0.0117594	-1.00879	0.325684	0.126709	0.449744	-0.534964	-0.532183	-0.477834	9.66389	0.305276	-1.19755	-0.043301	0.0106697	-0.0171765	-1.00073	0.40332	0.155518	0.551189	-0.49823	-0.560613	-0.365608	9.64609	-1.27679	-1.0347	0.0134614	0.0219674	-0.00182204	-0.907471	0.526123	0.0236816	0.541802	-0.497439	-0.590924	-0.331382	9.63085	-1.44345	-1.76962	-0.00647034	0.0110757	-0.00309342	-0.972412	0.611572	0.0581055	
6	0.728735	0.123073	0.084032	-0.668384	-2.25338	0.547889	10.7467	-0.0133327	0.0430149	0.00466505	0.283691	0.341797	-0.902832	0.654128	-0.334296	-0.379271	-0.562598	8.72656	-0.136519	4.95994	-0.00403113	0.0188742	-0.0151677	-0.634033	0.328369	-0.431152	0.953628	-0.0171866	0.259379	0.151725	-4.41509	0.705141	9.66227	0.0164907	-0.0023229	-0.0167101	0.563721	0.20752	-0.734863	0.0511619	0.165103	0.610569	-0.77287	-3.1075	-9.0412	1.93064	-0.0410361	0.0461723	0.000282057	-0.0698242	1.00732	-0.250977	0.651503	0.114844	0.162326	-0.732123	-3.6525	-0.898062	8.9081	-0.0447571	-0.0060974	0.0310892	0.325195	0.47168	-0.793701	0.807963	0.530893	0.184842	0.176582	-2.85284	9.08964	5.73009	0.0239888	0.0867653	-0.0288823	0.621094	-0.783203	-0.0136719	0.53231	-0.463711	-0.475946	-0.524494	9.92143	0.0436254	1.26817	0.0198252	0.0155458	-0.0093939	-0.893311	0.394775	-0.129639	0.426351	-0.517301	-0.522111	-0.527281	9.73968	1.0525	-0.726043	-0.0190141	0.0428697	-0.0183006	-1.01318	0.323486	0.12915	0.449129	-0.535638	-0.531389	-0.47854	9.73056	0.242254	-1.35493	-0.0538008	0.0134184	-0.0137617	-1.00049	0.398682	0.159912	0.551505	-0.49825	-0.560077	-0.365929	9.60997	-1.36866	-1.16054	-0.00673893	0.0445891	0.0125101	-0.911865	0.523926	0.0258789	0.541945	-0.497294	-0.591054	-0.331133	9.61246	-1.47075	-1.80222	0.0286129	0.0025486	-0.00462797	-0.974609	0.607178	0.0583496	
7	0.728417	0.123919	0.0849109	-0.668464	-2.49309	0.478874	10.7727	0.000631772	0.0216987	-0.00897387	0.290527	0.335449	-0.90918	0.65393	-0.334426	-0.379464	-0.562621	8.65301	-0.130515	4.91081	-0.0109729	-0.0060584	-0.0303552	-0.634033	0.330566	-0.426514	0.953851	-0.0164052	0.259069	0.150941	-4.30095	0.692191	9.74257	0.0377136	0.00538736	-0.0254073	0.563965	0.200928	-0.734619	0.0506195	0.165968	0.611369	-0.772089	-3.11439	-9.13838	1.86961	-0.0400232	0.0527773	0.00597309	-0.0695801	1.00293	-0.242188	0.651989	0.114346	0.162421	-0.731748	-3.6846	-0.85653	9.00547	-0.0419349	-0.0194679	0.028195	0.331543	0.476074	-0.79126	0.807929	0.529836	0.187128	0.177503	-2.79849	9.2067	5.77315	0.00564825	0.0768082	-0.0323462	0.616699	-0.778809	-0.0136719	0.532606	-0.463419	-0.475363	-0.524979	9.84091	0.116279	1.25182	-0.00895475	0.0343102	-0.0215865	-0.891357	0.39917	-0.134033	0.426315	-0.517297	-0.521842	-0.527579	9.64871	0.959985	-0.814622	-0.0205188	0.0390304	-0.0159245	-1.01318	0.325684	0.126709	0.449288	-0.535591	-0.531244	-0.478605	9.71582	0.280745	-1.34765	0.0154887	0.0191986	-0.0180325	-0.998291	0.401123	0.157715	0.552241	-0.497616	-0.55999	-0.365814	9.55981	-1.41423	-1.08063	0.0290889	0.0452737	0.00278695	-0.907227	0.523926	0.0236816	0.542007	-0.497218	-0.591147	-0.330982	9.57336	-1.44154	-1.75028	0.0181907	0.00245085	-0.00273396	-0.974609	0.607178	0.0515137	
8	0.728129	0.124159	0.0845079	-0.668783	-2.44278	0.565526	10.8345	0.0315753	-0.0146433	-0.0120487	0.287842	0.344238	-0.906982	0.65365	-0.334625	-0.379627	-0.562718	8.81461	-0.1627	4.89884	-0.0150631	0.0131488	-0.0210069	-0.63623	0.330566	-0.421631	0.954116	-0.0158596	0.258354	0.150549	-4.42816	0.624228	9.81159	0.0156512	-0.0263927	-0.0041993	0.563721	0.205322	-0.737061	0.0505507	0.166606	0.612013	-0.771445	-3.06974	-9.15817	1.79464	-0.0241004	0.0277615	0.0115015	-0.0717773	1.00293	-0.244385	0.652698	0.11344	0.16271	-0.731192	-3.64048	-0.855988	9.02592	-0.0318346	-0.00946944	0.0105791	0.322754	0.480469	-0.79126	0.808031	0.529262	0.187955	0.17788	-2.8346	9.18352	5.7001	0.00699642	0.0551775	-0.0298884	0.618896	-0.783203	-0.0136719	0.532546	-0.463426	-0.474232	-0.526056	9.9913	-0.0533386	1.12753	-0.0284821	0.059599	-0.0153923	-0.891357	0.39917	-0.134033	0.426852	-0.516943	-0.522049	-0.527287	9.69104	0.974843	-0.68784	0.0367631	0.027279	-0.0109254	-1.01538	0.327881	0.12207	0.449523	-0.535422	-0.531304	-0.478505	9.72035	0.305357	-1.23989	0.0276942	0.0174637	-0.0182246	-1.00073	0.40332	0.159912	0.552863	-0.496951	-0.560132	-0.365561	9.5982	-1.28271	-1.15803	0.0233615	0.0272377	0.00142805	-0.907227	0.523926	0.0258789	0.542376	-0.496783	-0.591492	-0.330412	9.70814	-1.37133	-1.85408	0.041689	0.00570567	-0.00301716	-0.970215	0.609375	0.0581055	
9	0.728085	0.124048	0.0840814	-0.668906	-2.3863	0.707237	10.7698	0.0194102	-0.0317119	-0.00492772	0.283447	0.343994	-0.911377	0.653603	-0.334633	-0.379558	-0.562814	8.7758	-0.203773	5.00185	-0.0131842	0.0177195	-0.0231207	-0.63623	0.328369	-0.431152	0.954224	-0.0156561	0.25799	0.150511	-4.28616	0.717743	9.83186	0.0119781	-0.0149046	-0.00161128	0.561523	0.209717	-0.734863	0.0505771	0.166808	0.611781	-0.771584	-3.15643	-9.21285	1.8741	0.0237628	0.0172125	0.0171031	-0.0649414	1.00293	-0.250977	0.652841	0.113401	0.162557	-0.731105	-3.64829	-0.781277	9.07692	0.00179022	0.00886512	-0.0130953	0.327148	0.476074	-0.795898	0.808448	0.528199	0.188605	0.178453	-2.83198	9.21392	5.66967	-0.000331859	0.00223447	-0.0129276	0.62085	-0.774658	-0.00952148	0.532822	-0.462988	-0.473869	-0.526489	9.92875	-0.00266566	1.21733	0.0106894	0.0719486	-0.0266518	-0.893555	0.39917	-0.142578	0.427182	-0.516561	-0.522334	-0.527113	9.7293	1.16376	-0.565719	0.0108068	0.0226756	-0.0174324	-1.01123	0.330078	0.119629	0.449786	-0.535042	-0.531394	-0.478585	9.73114	0.331955	-1.2243	0.0150648	0.0168112	-0.016985	-1.00293	0.400879	0.155518	0.552836	-0.496945	-0.560212	-0.365486	9.60122	-1.27134	-1.12062	0.00552399	0.00625525	0.00196904	-0.911865	0.523926	0.019043	0.542583	-0.496688	-0.591385	-0.330407	9.59604	-1.42266	-1.74283	0.0152119	0.0154204	-0.00205012	-0.974854	0.61377	0.0512695	
