40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.311236	0.166878	0.635739	0.686382	6.66598	7.54899	1.52944	-0.0223817	0.0304103	0.176864	-0.854736	-0.411865	-0.204346	-0.58906	0.142977	0.561337	0.563442	8.2974	4.44344	3.39546	-0.0664263	-0.114227	0.0861171	-0.742188	-0.186768	-0.436035	-0.853915	-0.379546	-0.276013	0.224921	-6.01408	5.88365	6.27001	-0.0547052	-0.074426	-0.185092	0.850098	-0.356445	-0.389893	-0.364098	-0.706208	-0.178654	0.580332	-9.33468	3.60304	-0.68599	-0.120086	-0.0974354	-0.00114935	0.996094	0.0571289	-0.231934	-0.803966	-0.479065	-0.186231	0.299087	-5.83203	6.94455	4.7001	-0.0908646	-0.0663548	-0.182104	0.865723	-0.356445	-0.36084	-0.981395	0.0389225	-0.169676	-0.0809904	-4.81413	0.680898	12.0049	-0.0446106	0.14156	-0.106788	0.799072	-0.0778809	-0.607666	-0.415897	0.384521	0.576451	0.588963	9.28617	3.58707	0.623173	0.0702486	-0.104816	0.107089	-0.989014	0.0324707	-0.0466309	-0.465759	0.486553	0.537485	0.50739	9.87612	1.11848	-0.325787	-0.0316168	0.00791269	-0.0158164	-1.01636	0.3396	0.0400391	-0.48193	0.532329	0.540657	0.438246	9.7621	-0.461949	-1.40177	-0.0157211	0.0390495	-0.0389701	-0.975586	0.470215	0.121094	-0.571961	0.50172	0.528778	0.376207	9.63562	-1.47066	-0.582867	0.0559074	0.0430483	-0.0148066	-0.880127	0.563721	-0.036377	-0.542833	0.523355	0.572477	0.322026	9.51124	-1.89078	-1.98529	0.038264	0.024813	-0.0078608	-0.943115	0.662598	0.0620117	
1	-0.314476	0.17299	0.633769	0.685213	6.46808	7.03872	1.44687	-0.0507588	-0.11542	0.164317	-0.855225	-0.401123	-0.202393	-0.588887	0.145884	0.560718	0.563494	8.47804	4.83564	3.27867	-0.105252	-0.000677425	0.0372781	-0.742188	-0.18457	-0.433838	-0.854983	-0.374776	-0.277659	0.226831	-6.24908	5.48493	6.21214	-0.150557	0.00109077	-0.125021	0.852051	-0.343506	-0.394775	-0.367777	-0.702239	-0.180432	0.582276	-9.22381	2.57674	-0.350039	-0.168961	-0.142665	-0.0150488	1.00049	0.0615234	-0.240723	-0.802761	-0.478206	-0.186864	0.303275	-5.94912	6.04937	4.75886	0.134832	-0.0674282	-0.178231	0.871826	-0.349609	-0.363037	-0.981031	0.0409495	-0.172682	-0.0779869	-5.00109	0.199826	12.4136	-0.0612449	0.165979	-0.153683	0.80542	-0.0734863	-0.605713	-0.418307	0.384689	0.576719	0.58688	9.74482	4.00916	0.746752	0.101238	0.0922656	0.0709381	-0.984863	0.0368652	-0.0466309	-0.46582	0.486466	0.536244	0.508729	9.82157	0.687749	-0.462275	-0.0358478	0.0753262	-0.0223039	-1.01611	0.337402	0.0307617	-0.481846	0.532156	0.540313	0.438972	9.72392	-0.318772	-1.34959	-0.0293687	0.0269308	-0.0305776	-0.97583	0.472412	0.123291	-0.571407	0.502441	0.527459	0.377935	9.78081	-1.70917	-0.702186	-0.114807	0.0642908	0.00102179	-0.882568	0.568115	-0.0344238	-0.542605	0.523712	0.571864	0.32292	9.58534	-1.90176	-2.03139	-0.0516427	0.0317851	-0.007472	-0.941162	0.669189	0.057373	
2	-0.314898	0.177012	0.633339	0.684389	6.69514	6.93648	1.3748	-0.0301107	-0.0910019	0.104386	-0.860107	-0.392578	-0.200195	-0.588601	0.148089	0.559733	0.564196	8.07491	4.29509	3.40897	-0.0936185	-0.025462	0.00737324	-0.738281	-0.175781	-0.434082	-0.854174	-0.373686	-0.278674	0.230404	-6.21562	4.82764	5.71443	0.063989	-0.0221797	-0.151375	0.856201	-0.337158	-0.392578	-0.368007	-0.701058	-0.179272	0.58391	-9.07075	3.00895	-0.551246	0.069141	-0.0851614	-0.00600073	1.00049	0.0593262	-0.245117	-0.801721	-0.47852	-0.186739	0.305599	-5.66967	6.32963	4.88513	0.0983017	-0.0686385	-0.178767	0.869385	-0.343018	-0.365234	-0.980799	0.0397145	-0.176156	-0.0736603	-4.73215	-0.317754	11.6294	0.179076	0.134167	-0.166663	0.813965	-0.0712891	-0.597168	-0.420368	0.384423	0.571814	0.590371	8.55795	3.08029	0.730728	-0.157614	0.126485	0.0281003	-0.987549	0.0476074	-0.0532227	-0.465701	0.486369	0.535753	0.509447	9.65845	0.727135	-0.468689	-0.0484699	0.0623271	-0.0323867	-1.01172	0.335205	0.0307617	-0.481644	0.532279	0.539993	0.439437	9.63096	-0.371415	-1.49548	-0.0390577	0.0259871	-0.0271213	-0.980225	0.467773	0.118896	-0.570891	0.503204	0.525981	0.379754	9.52388	-1.67253	-0.631243	-0.0887184	0.0548467	-0.00700282	-0.882324	0.561523	-0.036377	-0.542419	0.524009	0.571399	0.323573	9.42982	-1.91391	-2.09447	-0.0603996	0.0385063	-0.0048458	-0.949951	0.664795	0.064209	
3	-0.315651	0.178931	0.632683	0.684149	6.74345	7.42881	1.48312	-0.0464688	-0.0191045	0.0684107	-0.862549	-0.388184	-0.200439	-0.587765	0.151421	0.558494	0.565411	8.25851	4.29969	3.30031	-0.176867	-0.093229	0.0227915	-0.742676	-0.175781	-0.436523	-0.852484	-0.375343	-0.278573	0.234065	-6.47242	5.72279	6.19988	0.111577	-0.0267977	-0.136846	0.860352	-0.330566	-0.390625	-0.366168	-0.700305	-0.177767	0.586424	-9.18408	2.69074	-0.127944	0.107397	-0.0655042	-0.0343175	0.996094	0.0593262	-0.253906	-0.799563	-0.479634	-0.187093	0.309266	-5.55795	6.2995	4.29614	0.134118	-0.0208151	-0.140705	0.869385	-0.34082	-0.367676	-0.980784	0.0353811	-0.178775	-0.0696461	-5.08348	0.716678	11.6281	0.116993	0.0936634	-0.11752	0.811768	-0.0671387	-0.593018	-0.418484	0.387498	0.570618	0.590857	9.21	3.37432	0.325907	-0.110895	-0.0162286	0.0316681	-0.991943	0.0498047	-0.0532227	-0.465656	0.486381	0.535287	0.509966	9.62853	1.03556	-0.501868	-0.00217088	0.0194749	-0.0117757	-1.02051	0.335205	0.0354004	-0.481762	0.531719	0.539486	0.440608	9.72726	-0.30978	-1.32508	-0.00473013	0.03612	-0.0305481	-0.977783	0.467773	0.121094	-0.57082	0.503198	0.5255	0.380534	9.74907	-1.751	-0.289265	0.0137432	0.0398092	0.00069687	-0.880371	0.57251	-0.0344238	-0.542229	0.524561	0.570266	0.324994	9.49958	-1.9272	-1.94686	-0.0528786	0.0532829	-0.00206511	-0.94751	0.664795	0.057373	
4	-0.316047	0.181419	0.631776	0.684149	6.44278	7.1961	1.43161	-0.0427415	-0.0766333	0.0803295	-0.862549	-0.388184	-0.198242	-0.586603	0.154429	0.558483	0.565814	8.52666	4.57742	3.30012	-0.0723838	-0.0692419	-0.00167226	-0.747314	-0.169189	-0.429443	-0.852094	-0.374734	-0.277885	0.237255	-6.34336	5.05383	6.1925	0.00803889	-0.066477	-0.0903993	0.858154	-0.328369	-0.397461	-0.366512	-0.700054	-0.177625	0.586552	-9.16496	3.04234	-0.24454	-0.0169273	-0.0209544	0.0182528	0.991455	0.0615234	-0.253906	-0.799162	-0.478559	-0.187119	0.311942	-6.09466	6.36827	4.57608	-0.0128097	-0.0787658	-0.108229	0.869141	-0.334229	-0.365479	-0.98082	0.0361176	-0.178775	-0.0687529	-5.17771	0.689482	11.6212	-0.0524206	0.0198022	-0.092003	0.807373	-0.0671387	-0.594971	-0.418167	0.388898	0.569896	0.590858	9.54108	3.65612	0.69301	-0.00214551	0.018488	0.0143742	-0.989502	0.0454102	-0.0510254	-0.464886	0.487134	0.534554	0.510719	9.95472	1.0277	-0.226984	-0.067226	0.0244397	-0.0173182	-1.01636	0.3396	0.0400391	-0.481795	0.531591	0.539332	0.440914	9.78278	-0.378655	-1.18995	-0.0101184	0.0116013	-0.0216045	-0.982422	0.465576	0.121094	-0.571065	0.502867	0.525015	0.381273	9.8673	-1.65385	-0.52708	-0.0486921	0.0594189	-0.0105958	-0.884521	0.563721	-0.0388184	-0.542706	0.524102	0.570063	0.325291	9.61461	-1.94873	-1.83112	0.0250916	0.0269646	-0.00935718	-0.94751	0.664795	0.0527344	
5	-0.315441	0.183397	0.631552	0.684109	6.5211	7.15642	1.3019	-0.0681103	-0.138699	0.0680347	-0.867188	-0.383789	-0.200439	-0.58625	0.155106	0.558458	0.566019	8.39372	4.48518	3.27689	-0.0531288	-0.0299915	-0.0139682	-0.742676	-0.173584	-0.424805	-0.852636	-0.373502	-0.277299	0.237937	-6.08926	5.32488	6.16808	-0.0668652	-0.0887717	-0.0530914	0.858154	-0.326172	-0.395264	-0.367622	-0.698914	-0.176559	0.587537	-8.96676	2.81854	-0.153739	-0.0151707	-0.0742369	0.0342639	0.998291	0.0595703	-0.258301	-0.79819	-0.478805	-0.185728	0.314872	-5.92282	6.12108	4.60697	0.151609	-0.0962736	-0.0729553	0.866943	-0.332031	-0.367676	-0.980945	0.0371335	-0.178978	-0.0658355	-4.93473	0.0136928	12.2742	-0.00658378	0.054907	-0.145571	0.813721	-0.0627441	-0.595215	-0.418495	0.388769	0.569699	0.590901	9.41353	3.50336	0.912773	0.0167936	0.0395864	-0.00144538	-0.985107	0.043457	-0.046875	-0.465001	0.486883	0.533711	0.511734	9.80958	0.63446	-0.384058	-0.014207	0.0640894	-0.0265781	-1.01611	0.337402	0.0332031	-0.481602	0.531778	0.539249	0.441001	9.70224	-0.357338	-1.31144	-0.0165025	-0.00109454	-0.0188436	-0.977783	0.467773	0.118896	-0.571047	0.502912	0.524457	0.382007	9.73437	-1.54962	-0.559024	-0.0508376	0.0652223	-0.006593	-0.884521	0.563721	-0.0366211	-0.542344	0.524384	0.569678	0.326115	9.54416	-1.84882	-1.92526	-0.0704001	0.0210516	-0.0128088	-0.938721	0.664795	0.057373	
6	-0.314056	0.186231	0.631194	0.68431	7.00066	6.99651	1.24726	-0.0450395	-0.0836784	0.0252073	-0.871826	-0.381836	-0.1875	-0.585868	0.156374	0.557817	0.566698	8.11709	4.30092	3.23644	-0.0747805	0.00431783	-0.00497518	-0.747314	-0.165039	-0.429688	-0.854937	-0.368212	-0.276939	0.238343	-6.39684	5.14353	6.12137	-0.188857	-0.0953892	-0.0621873	0.85791	-0.319824	-0.4021	-0.371052	-0.698002	-0.176335	0.586532	-9.28931	2.97727	-0.352465	-0.135859	0.0135023	0.116631	0.996094	0.0595703	-0.260498	-0.797854	-0.478062	-0.185447	0.31701	-5.47579	6.08698	4.5574	-0.0121515	-0.0179452	-0.0962021	0.871094	-0.329834	-0.372314	-0.98107	0.0352562	-0.180013	-0.0620863	-4.67037	-0.172267	12.166	0.159346	0.0525992	-0.138565	0.813477	-0.0561523	-0.588867	-0.41895	0.388906	0.565292	0.594708	9.03865	3.28553	0.7258	-0.237882	0.185728	0.00836487	-0.980957	0.0476074	-0.0554199	-0.46496	0.486446	0.533408	0.512503	9.59401	0.879841	-0.436952	0.0188675	0.0387819	-0.0325898	-1.01611	0.337402	0.0307617	-0.481414	0.53195	0.539178	0.441086	9.58896	-0.477677	-1.53213	-0.00212271	0.00627178	-0.0229795	-0.978027	0.470215	0.116699	-0.570702	0.503537	0.522991	0.383705	9.44032	-1.78982	-0.462511	-0.0901027	0.0556548	0.00183969	-0.879883	0.557129	-0.0341797	-0.5415	0.525221	0.568885	0.327552	9.3292	-2.02477	-2.00094	-0.0662687	0.0260375	-0.00811699	-0.949951	0.666992	0.0549316	
7	-0.314658	0.187562	0.630533	0.68428	6.86873	7.26272	1.25533	-0.0310695	-0.00346363	0.0629849	-0.865234	-0.379639	-0.18335	-0.585247	0.158244	0.557319	0.567309	8.36935	4.3846	3.42096	-0.0797119	-0.0229977	-0.0102012	-0.749756	-0.162598	-0.422607	-0.855611	-0.366381	-0.275928	0.239914	-6.06286	5.42557	6.30911	-0.0151707	-0.0691354	-0.0658292	0.85791	-0.319824	-0.408936	-0.374177	-0.696854	-0.17723	0.585641	-9.32607	3.54714	-0.366804	-0.122012	0.00138797	0.0353842	1.00073	0.0551758	-0.256104	-0.796958	-0.47827	-0.184858	0.319284	-5.9228	6.61554	4.77976	-0.00371873	-0.0564307	-0.0895322	0.871094	-0.332031	-0.376709	-0.980946	0.033755	-0.182072	-0.0587814	-5.06703	0.44953	12.0393	0.0170219	0.0904618	-0.122034	0.817383	-0.052002	-0.593506	-0.418301	0.390014	0.558839	0.60051	9.3376	3.48193	0.937715	-0.289673	0.128648	-0.0157986	-0.985352	0.0498047	-0.0639648	-0.46472	0.487026	0.532735	0.512868	9.72824	0.900108	-0.367066	-0.0618423	0.017411	0.00259755	-1.01611	0.335205	0.0378418	-0.481599	0.531768	0.538984	0.441341	9.68816	-0.45929	-1.40707	0.00143371	0.0258101	-0.0203019	-0.978027	0.470215	0.116699	-0.570288	0.503972	0.522644	0.384222	9.48251	-1.95044	-0.353674	-0.0683975	0.018779	-0.000727038	-0.884521	0.561523	-0.036377	-0.541643	0.525331	0.568506	0.327798	9.52955	-1.97919	-1.93306	0.0152873	0.0198866	0.00612193	-0.945068	0.6604	0.0551758	
8	-0.315502	0.189118	0.629234	0.684658	6.9583	7.17744	1.36341	-0.0646912	-0.00415485	0.051807	-0.87207	-0.377441	-0.191895	-0.584909	0.15912	0.556361	0.568353	8.45204	4.57199	3.43618	-0.0799761	0.0175818	-0.0271952	-0.745361	-0.160645	-0.422852	-0.85494	-0.365738	-0.276415	0.242707	-6.55688	5.04788	6.46644	0.0261621	0.00403856	-0.110038	0.85791	-0.311035	-0.406982	-0.374062	-0.696674	-0.177365	0.585888	-9.54504	3.60699	-0.574734	0.0590984	-0.0280809	-0.0452317	0.998291	0.0595703	-0.253906	-0.795662	-0.478826	-0.184655	0.321792	-5.90926	6.15675	4.77732	0.113086	-0.0248196	-0.0952454	0.873047	-0.325439	-0.37915	-0.980913	0.0346628	-0.18264	-0.057009	-5.09849	-0.469439	12.129	0.00719419	0.0474767	-0.0775464	0.821777	-0.0517578	-0.586914	-0.416583	0.391632	0.552667	0.606335	9.54401	3.5373	0.709759	-0.283895	0.125593	-0.0167314	-0.980713	0.043457	-0.0681152	-0.463672	0.488291	0.531849	0.513534	9.84872	0.956772	-0.308983	-0.0662913	0.00441487	-0.00595205	-1.01807	0.328613	0.0356445	-0.481599	0.531815	0.53866	0.441678	9.74049	-0.314665	-1.29433	-0.0223486	0.0154277	-0.0166896	-0.977783	0.467773	0.118896	-0.570853	0.503905	0.521428	0.385123	9.7398	-1.4721	-0.522767	-0.0261677	0.0597025	0.0225256	-0.886719	0.561523	-0.0341797	-0.541753	0.525441	0.568135	0.32808	9.57848	-1.82434	-1.96482	-0.0121559	0.0221418	0.000956313	-0.942871	0.6604	0.057373	
9	-0.316162	0.189293	0.627371	0.686014	6.84736	7.09879	1.45186	-0.0868239	0.0555002	0.00935575	-0.87207	-0.377441	-0.198486	-0.584705	0.160109	0.55479	0.569819	8.26962	4.30246	3.34977	-0.0957255	0.0306627	-0.0302006	-0.749756	-0.162598	-0.42041	-0.854208	-0.36659	-0.276815	0.243543	-6.2018	5.14874	6.33713	0.0977095	0.0419875	-0.0716783	0.857666	-0.308838	-0.409424	-0.371037	-0.69736	-0.177059	0.587086	-9.24712	3.1908	0.0681855	0.0713577	0.0514759	-0.0611557	0.998291	0.0595703	-0.253906	-0.794529	-0.479777	-0.184818	0.323079	-5.75653	6.35342	4.815	0.0137818	0.0276728	-0.0626094	0.87085	-0.325439	-0.374512	-0.980676	0.0334274	-0.18458	-0.0555717	-5.00604	-0.18206	12.029	0.0419855	0.0968954	-0.0451446	0.81958	-0.0498047	-0.584961	-0.41663	0.39164	0.547259	0.611183	9.18246	3.37642	0.898258	-0.242918	0.165133	-0.0133382	-0.985596	0.0563965	-0.0705566	-0.463031	0.489177	0.531038	0.514108	9.72778	0.925453	-0.358622	-0.064941	0.00730611	-0.0043164	-1.01367	0.330811	0.0378418	-0.481277	0.532229	0.538236	0.442048	9.65172	-0.294611	-1.33235	-0.0310992	0.00609428	-0.0155931	-0.982422	0.465576	0.121094	-0.570059	0.505203	0.519932	0.386617	9.6174	-1.73146	-0.362383	-0.126264	0.0366789	0.0125851	-0.882568	0.568115	-0.0319824	-0.541167	0.526307	0.567236	0.329215	9.45801	-1.93167	-1.88843	-0.0745533	0.0273621	0.00236929	-0.940674	0.662598	0.0551758	
