40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.0271599	0.216848	0.0347031	-0.97521	-4.70331	-0.667107	9.8362	0.00381406	0.00328394	-0.00107944	0.167236	0.298096	-1.07764	0.0919749	0.245002	0.0235964	-0.964862	-4.82488	-0.0561552	8.7836	-0.00491738	0.0151938	-0.0156139	0.333252	0.161377	-1.02563	0.0676935	0.00308366	-0.570493	-0.818502	0.74109	9.4704	3.45929	-0.00592491	0.00137273	-0.00169017	-0.481689	-0.958984	-0.523438	-0.0104292	0.246183	-0.968285	-0.041353	-0.346986	0.696168	-9.72907	0.000753403	0.00541826	-0.0002079	-0.244385	-0.420654	0.919434	0.0135585	-0.0603301	0.678161	-0.732308	0.678592	-9.68464	0.694775	0.00510607	0.00772708	-0.01307	-0.465088	1.36548	0.0932617	0.0240091	0.0920535	0.995465	-0.000325684	-0.254048	0.198322	-6.3104	0.00224672	0.0113381	-0.0150446	-0.0805664	-0.0678711	1.08594	0.0874593	-0.0763827	0.00665427	-0.993213	1.68491	-0.28944	10.4345	0.0112834	-0.0974433	-0.0163169	-0.487305	0.210449	-0.985107	0.0860594	-0.0387506	0.0431578	-0.9946	1.00073	-1.12219	11.0156	0.00228463	0.0162382	-0.0131088	-0.546387	0.192871	-0.970703	0.0918837	-0.025326	-0.0312884	-0.994956	0.831081	0.61951	10.5628	0.000174727	0.00817695	-0.0193927	-0.515381	0.00830078	-1.05664	0.0120904	-0.0262716	0.00628396	-0.999562	0.654118	-0.172788	10.5046	0.00692393	0.0126481	0.00572205	-0.425781	0.0209961	-0.983154	0.09793	-0.0644551	0.174476	-0.977657	1.03239	-3.38015	9.16308	0.0124521	0.00977903	-0.00158283	-0.546875	0.294189	-0.975098	
1	0.0272247	0.216826	0.0346739	-0.975214	-4.70915	-0.671526	9.83311	-0.000897023	-0.00610745	0.00171638	0.169678	0.296143	-1.07764	0.0919786	0.245052	0.0235394	-0.96485	-4.81585	-0.0408126	8.78718	-0.00593376	0.0158034	-0.0172583	0.335205	0.163574	-1.03271	0.0677096	0.00304347	-0.570477	-0.818512	0.746604	9.48416	3.48911	-0.000699656	0.00310501	-0.000489917	-0.484131	-0.95459	-0.525635	-0.0104406	0.246205	-0.968277	-0.0414043	-0.371142	0.680889	-9.72741	-0.00205608	0.00432817	0.00115419	-0.248779	-0.422852	0.919434	0.0135556	-0.0603129	0.678122	-0.732345	0.659042	-9.6891	0.702908	0.00383298	0.0093821	-0.0117358	-0.467285	1.36108	0.0910645	0.0240346	0.0920042	0.995468	-0.000328924	-0.257237	0.182211	-6.29959	0.00468107	0.013233	-0.0154663	-0.0871582	-0.0634766	1.08154	0.0875014	-0.0784936	0.00633361	-0.993047	1.72287	-0.315473	10.4287	0.0204319	-0.0662888	-0.0167835	-0.49585	0.212402	-0.980957	0.0861206	-0.0387686	0.0432138	-0.994592	0.984711	-1.13619	11.0303	0.00460405	0.0188417	-0.0144804	-0.548584	0.195068	-0.9729	0.0918986	-0.0253416	-0.0312998	-0.994954	0.826907	0.609264	10.5587	0.0043466	0.00827524	-0.0177503	-0.52002	0.010498	-1.05884	0.0120982	-0.0262911	0.00616717	-0.999562	0.649038	-0.149534	10.4764	0.0041608	0.0119819	0.00372128	-0.42749	0.012207	-0.989746	0.0980395	-0.0644606	0.174324	-0.977673	1.02886	-3.35083	9.18761	0.00589859	0.0084436	-0.00322437	-0.549316	0.300781	-0.975098	
2	0.0272785	0.216801	0.0346543	-0.975219	-4.6842	-0.677235	9.82878	0.000943432	-0.00352256	0.00019954	0.171875	0.296143	-1.07983	0.0919738	0.245131	0.0235344	-0.96483	-4.82103	-0.0372727	8.79937	-0.00582846	0.0174551	-0.018469	0.337402	0.161377	-1.03027	0.0677091	0.00304205	-0.570461	-0.818524	0.737658	9.46959	3.47514	-1.10391e-05	0.00553133	-0.00143627	-0.484131	-0.956787	-0.532471	-0.0104489	0.246216	-0.968273	-0.0414172	-0.347039	0.680574	-9.73011	0.00152886	0.00529377	-0.000701352	-0.244385	-0.422852	0.919434	0.0133758	-0.0602921	0.678043	-0.732424	0.663832	-9.65947	0.701863	0.000598424	0.0111234	-0.0113247	-0.47168	1.36328	0.0932617	0.0240549	0.0919502	0.995473	-0.000282463	-0.266047	0.183004	-6.30485	0.000286234	0.01178	-0.0153713	-0.0847168	-0.0742188	1.08838	0.0875549	-0.0796076	0.00579252	-0.992957	1.75076	-0.294653	10.4131	0.0349048	-0.0186563	-0.0150054	-0.491699	0.212402	-0.985107	0.0861853	-0.0387841	0.0431444	-0.994589	0.974069	-1.11514	11.0289	0.00742104	0.019379	-0.0128299	-0.546387	0.195068	-0.966064	0.0919215	-0.0253614	-0.0313983	-0.994948	0.822612	0.633976	10.586	0.00778419	0.00699346	-0.0182443	-0.512939	0.00610352	-1.0564	0.0120831	-0.0263228	0.00624021	-0.999561	0.677715	-0.156237	10.5114	-0.00367823	0.0126681	0.00294143	-0.423584	0.0209961	-0.985352	0.0980869	-0.0644919	0.17442	-0.977649	1.04635	-3.36984	9.16685	-0.00238548	0.00810032	-0.00407894	-0.546875	0.296387	-0.975098	
3	0.0272702	0.216682	0.0345716	-0.975249	-4.68574	-0.685069	9.80334	0.00307216	-0.0094567	-0.00104749	0.176025	0.300537	-1.07983	0.0919885	0.245138	0.0235519	-0.964827	-4.83602	-0.0412429	8.82255	-0.00843153	0.0148554	-0.0171043	0.333008	0.165771	-1.03271	0.0677118	0.00305584	-0.570448	-0.818532	0.74973	9.48715	3.48365	-0.000997467	0.00483765	-0.00147873	-0.481934	-0.956787	-0.523438	-0.0104711	0.246227	-0.968269	-0.0414465	-0.348786	0.693412	-9.73115	-0.00196001	0.00466419	0.000345285	-0.248779	-0.420654	0.919434	0.0133866	-0.0603101	0.678052	-0.732413	0.65896	-9.7065	0.700093	-0.00140136	0.00606269	-0.0118344	-0.465088	1.36108	0.0935059	0.0240895	0.0919042	0.995476	-0.000253546	-0.244728	0.183448	-6.29231	0.0054212	0.0120328	-0.016643	-0.0871582	-0.0656738	1.08813	0.0875741	-0.0796783	0.0050165	-0.992954	1.77974	-0.281689	10.4132	0.0466786	0.0122569	-0.0165195	-0.49585	0.212402	-0.976562	0.0862166	-0.0388035	0.0430947	-0.994587	0.977574	-1.11364	11.0185	0.00889911	0.0175292	-0.0136112	-0.548584	0.190918	-0.9729	0.0919479	-0.0253665	-0.0314043	-0.994945	0.825587	0.641946	10.5465	0.00470522	0.00739011	-0.0172455	-0.52002	0.00830078	-1.06104	0.0120983	-0.0263302	0.00624563	-0.999561	0.654294	-0.1743	10.5117	0.00227426	0.013189	0.00412915	-0.421387	0.0209961	-0.987549	0.0981226	-0.0645275	0.174454	-0.977637	1.02781	-3.39469	9.16929	0.000799637	0.00782912	-0.00429509	-0.546875	0.296387	-0.977295	
4	0.0273301	0.21665	0.0344561	-0.975258	-4.69542	-0.685763	9.80869	0.00466036	-0.0048128	0.000219774	0.169678	0.293945	-1.07983	0.0917823	0.245305	0.0239831	-0.964794	-4.82577	-0.052379	8.81106	-0.0125928	0.0126942	-0.0208347	0.335205	0.165771	-1.03052	0.0677385	0.00313413	-0.57051	-0.818486	0.726694	9.46693	3.48137	0.0043686	0.00634416	-0.00314003	-0.481934	-0.956787	-0.523438	-0.0105136	0.246199	-0.968269	-0.0415921	-0.359818	0.698854	-9.72661	-0.0053761	0.0023391	0.00214438	-0.244385	-0.418457	0.919434	0.0134202	-0.0603357	0.678105	-0.732361	0.692093	-9.66246	0.708733	-0.00523768	0.00576578	-0.0107279	-0.465088	1.36328	0.0957031	0.0241319	0.0918248	0.995483	-0.00015187	-0.244364	0.175174	-6.28699	-0.00402286	0.00977967	-0.0171592	-0.0871582	-0.0678711	1.08374	0.0875923	-0.078896	0.00388786	-0.99302	1.79012	-0.263697	10.4375	0.0761854	0.0606923	-0.016996	-0.493408	0.206055	-0.984863	0.0862818	-0.0388473	0.0431544	-0.994577	1.00971	-1.09624	11.0144	-0.00264685	0.0175778	-0.0132442	-0.546387	0.195068	-0.9729	0.0919772	-0.0253866	-0.0313136	-0.994945	0.830285	0.60208	10.5635	-2.61341e-05	0.00739329	-0.018152	-0.52002	0.00830078	-1.05664	0.01211	-0.0263407	0.00628304	-0.99956	0.670365	-0.168751	10.5143	-0.00368261	0.0126742	0.00293341	-0.427734	0.0144043	-0.989746	0.0981863	-0.0645477	0.17437	-0.977644	1.04573	-3.38678	9.17175	0.00597739	0.00867472	-0.00480573	-0.546875	0.298584	-0.968262	
5	0.0273316	0.216606	0.0343852	-0.97527	-4.69906	-0.673682	9.82779	0.00588473	-0.00732743	0.000256111	0.171631	0.300537	-1.08203	0.0917469	0.245227	0.023991	-0.964816	-4.83268	-0.0403498	8.82306	-0.00693626	0.00808299	-0.0210769	0.337646	0.15918	-1.03027	0.0677465	0.00317828	-0.570581	-0.818436	0.738778	9.4736	3.46733	0.00699762	0.00691627	-0.00322641	-0.486084	-0.95874	-0.527832	-0.0105362	0.246203	-0.968266	-0.0416452	-0.343108	0.689724	-9.73732	-0.00331615	0.00298887	0.00152777	-0.244385	-0.418457	0.923828	0.0134748	-0.0602189	0.678268	-0.732219	0.656146	-9.69268	0.708115	-0.00876689	0.00731841	-0.00654657	-0.465088	1.36108	0.0935059	0.0241703	0.0917826	0.995486	-6.47826e-05	-0.253759	0.188871	-6.31075	-0.00259304	0.010576	-0.0177112	-0.0891113	-0.0700684	1.08813	0.0876156	-0.077742	0.00316252	-0.993111	1.77028	-0.239718	10.4509	0.0802046	0.101176	-0.019091	-0.493408	0.20166	-0.984863	0.086312	-0.0388879	0.043278	-0.994568	0.989803	-1.13115	11.019	0.00313795	0.0171928	-0.0150823	-0.542236	0.197266	-0.968262	0.0920172	-0.025401	-0.0313196	-0.994941	0.824319	0.634018	10.5631	0.00331172	0.00735407	-0.0177845	-0.519775	0.00366211	-1.05884	0.0121187	-0.0263621	0.00622359	-0.99956	0.685154	-0.169148	10.4989	0.00470381	0.0121231	0.00411705	-0.42334	0.0187988	-0.98291	0.0982006	-0.0645746	0.174319	-0.97765	1.0313	-3.37577	9.18711	0.00552028	0.00673652	-0.00421803	-0.549316	0.298584	-0.970459	
6	0.0273425	0.216476	0.0342863	-0.975303	-4.66545	-0.671827	9.82807	0.00504152	-0.00875819	-0.000613887	0.169434	0.29834	-1.07764	0.0916956	0.244897	0.0238907	-0.964908	-4.82723	-0.0422843	8.81787	-0.000611413	-0.00413403	-0.018155	0.335205	0.163574	-1.03516	0.0677466	0.00322522	-0.570653	-0.818385	0.743521	9.48908	3.47972	0.000786567	0.00661394	-0.00183286	-0.483887	-0.961182	-0.520996	-0.0105732	0.2462	-0.96826	-0.041802	-0.347227	0.682461	-9.74535	-0.00527966	0.00267524	0.0013359	-0.242188	-0.418457	0.921631	0.0135455	-0.060185	0.678471	-0.732032	0.664347	-9.67618	0.67428	-0.0124136	0.00778272	-0.00886061	-0.465088	1.36548	0.0979004	0.0242404	0.0917115	0.995491	-4.40759e-05	-0.252353	0.176725	-6.29227	0.00282602	0.0100122	-0.0168102	-0.0849609	-0.0678711	1.08179	0.0877243	-0.0744959	0.00213536	-0.993353	1.67926	-0.238827	10.4157	0.0553958	0.152897	-0.0176264	-0.48291	0.208252	-0.993408	0.0863294	-0.038892	0.0432187	-0.994569	0.971664	-1.14029	11.0278	0.00994222	0.0182217	-0.0147436	-0.544189	0.192871	-0.970703	0.092045	-0.0254441	-0.0312847	-0.994938	0.827665	0.616773	10.5565	0.00252545	0.00689701	-0.0171162	-0.515137	0.00585938	-1.0542	0.0121017	-0.0261512	0.00577953	-0.999568	0.67985	-0.0572104	10.4949	0.0314427	0.0283736	-0.000924589	-0.423584	0.0209961	-0.987549	0.0982088	-0.0645708	0.174213	-0.977668	1.02984	-3.39334	9.14215	0.0100431	0.0093643	-0.00567377	-0.549072	0.296387	-0.975098	
7	0.0272952	0.216443	0.0342701	-0.975312	-4.71139	-0.659213	9.8246	0.00298554	-0.00448889	-0.00423185	0.178223	0.302734	-1.08203	0.0918177	0.244665	0.0244534	-0.964941	-4.80428	-0.0539748	8.76756	-0.0494976	0.0234799	-0.0217771	0.335205	0.163574	-1.03052	0.0677429	0.00328744	-0.570646	-0.81839	0.737857	9.49827	3.46605	-0.00130467	0.00826948	-0.00450771	-0.486084	-0.956787	-0.523438	-0.010601	0.24622	-0.968249	-0.0419114	-0.354675	0.681813	-9.74709	-0.000505274	0.00407919	0.000167763	-0.244385	-0.422852	0.919434	0.0135746	-0.0601967	0.678741	-0.731781	0.66427	-9.68052	0.690774	-0.0160638	0.00824943	-0.011174	-0.47168	1.36328	0.0979004	0.024298	0.091655	0.995494	-6.83417e-06	-0.253485	0.188563	-6.29535	0.00448886	0.0119816	-0.0177363	-0.0827637	-0.0656738	1.09033	0.0877647	-0.0715718	0.00157111	-0.993565	1.58958	-0.169401	10.5204	0.0250503	0.120221	-0.0123466	-0.478027	0.19751	-0.989014	0.0862288	-0.0386392	0.0432358	-0.994586	1.01601	-1.11991	11.0549	-0.00475283	0.0239699	-0.0129924	-0.544189	0.192871	-0.970703	0.0920471	-0.0254551	-0.0313616	-0.994935	0.798655	0.587342	10.609	0.0131367	0.00586083	-0.0201917	-0.52002	0.00830078	-1.06104	0.0118239	-0.0260403	0.00706092	-0.999566	0.630491	-0.163089	10.5152	-0.0524977	0.01729	-0.00965072	-0.425537	0.0144043	-0.987549	0.0980825	-0.0646986	0.175107	-0.977513	0.985007	-3.15441	9.168	-0.107736	0.00693876	-0.00566816	-0.547119	0.302979	-0.966064	
8	0.0273605	0.216369	0.0344908	-0.975319	-4.6487	-0.654323	9.83304	-0.0153614	-0.00501088	0.00614792	0.165283	0.296143	-1.08203	0.0917362	0.243676	0.0244762	-0.965198	-4.79961	-0.077044	8.76241	0.0199442	-0.0305317	-0.0188453	0.334961	0.167969	-1.03296	0.0678526	0.00334429	-0.570895	-0.818208	0.690441	9.43486	3.45848	0.019076	0.0123841	0.00169835	-0.486084	-0.958984	-0.520996	-0.0105785	0.246174	-0.968259	-0.04197	-0.346644	0.700143	-9.73172	-0.00211452	0.00314455	0.00233853	-0.242188	-0.418457	0.919434	0.0137093	-0.0602848	0.678798	-0.731718	0.718319	-9.71899	0.653772	-0.00422293	0.0019185	-0.00887694	-0.462891	1.36084	0.104736	0.0242086	0.0914144	0.995519	1.01361e-05	-0.25851	0.182635	-6.30696	0.00163451	0.0103822	-0.0166297	-0.0805664	-0.0656738	1.09033	0.0877953	-0.0676462	0.00177729	-0.993837	1.67286	-0.169407	10.4677	0.0181754	0.219031	-0.0156928	-0.47583	0.19751	-0.997559	0.0862288	-0.0386392	0.0432358	-0.994586	1.01601	-1.11991	11.0549	-0.00475283	0.0239699	-0.0129924	-0.544189	0.192871	-0.970703	0.0920885	-0.0255186	-0.0315416	-0.994924	0.85216	0.678601	10.5611	0.00311182	0.00657444	-0.0165462	-0.522461	0.010498	-1.05664	0.0115303	-0.0261119	0.00839326	-0.999557	0.691342	-0.308826	10.482	-0.0628343	0.0033314	-0.00244568	-0.427979	0.0229492	-0.98999	0.0979821	-0.0650279	0.177061	-0.977149	1.04936	-3.53861	9.09684	-0.067635	0.00502274	-0.00400494	-0.549316	0.302979	-0.970459	
9	0.0277381	0.216333	0.0345731	-0.975313	-4.67543	-0.758751	9.81825	0.0010389	-0.00544062	0.00985224	0.174072	0.293945	-1.07983	0.0915753	0.243422	0.0235837	-0.9653	-4.78966	0.0111539	8.85209	0.0277508	0.00434804	-0.0141553	0.330811	0.163574	-1.02808	0.0677289	0.00320285	-0.571112	-0.818067	0.788344	9.53714	3.45426	0.00809179	0.00413732	-0.00527054	-0.483887	-0.958984	-0.523438	-0.0105788	0.246159	-0.968256	-0.0421157	-0.351301	0.691502	-9.75424	-0.00326713	0.00185855	0.00202876	-0.242188	-0.422852	0.926025	0.0138235	-0.0601591	0.679083	-0.731462	0.638472	-9.63182	0.705768	-0.0198669	0.00411612	-0.00464394	-0.465088	1.36548	0.0979004	0.0243972	0.0912886	0.995526	7.80102e-05	-0.259272	0.185417	-6.28755	0.0034838	0.00662952	-0.0187013	-0.0849609	-0.0678711	1.09033	0.0883008	-0.0628878	0.00173726	-0.994105	1.34283	-0.164746	10.5191	0.0409016	0.130413	-0.013416	-0.463135	0.199707	-1.00391	0.0859314	-0.0382787	0.042806	-0.994645	0.982941	-1.0735	11.0255	0.0135378	0.0153776	-0.01336	-0.54834	0.186523	-0.968018	0.0921197	-0.0255421	-0.0312956	-0.994928	0.844717	0.582453	10.5615	-0.0017714	0.00811814	-0.0185383	-0.515137	0.00366211	-1.05859	0.0115911	-0.0260538	0.00868258	-0.999556	0.670114	-0.338893	10.4907	0.0112359	0.013074	0.00683504	-0.423584	0.0209961	-0.994385	0.0981222	-0.0650163	0.177361	-0.977081	1.02477	-3.5943	9.11438	0.00239281	0.0124636	0.00155775	-0.549561	0.305176	-0.9729	
