40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.977567	0.00256303	-0.137993	0.159102	2.88813	-0.57268	10.6148	0.00204662	0.0249738	0.0331467	0.112793	-0.076416	-1.06982	0.670972	0.220053	-0.662207	0.250711	9.89162	-0.396471	0.270754	0.0131932	-0.00154661	-0.0145302	-0.909424	-0.190674	-0.287109	0.808662	0.222251	-0.526607	0.139124	9.27439	2.22274	3.46249	-0.00658264	0.00691052	-0.0236427	-0.93335	-0.575195	-0.498047	0.713477	0.115671	-0.656189	0.216763	9.70377	-1.15927	1.13098	-0.00464795	0.0203906	-0.0119425	-1.26709	-0.0263672	-0.371582	0.73826	-0.135451	-0.648596	-0.126284	9.87179	-0.327435	1.24437	0.00596266	0.0105463	-0.0260897	-0.93042	0.0395508	-0.529297	0.685338	-0.145327	-0.567455	-0.43265	9.45122	1.29551	6.31713	0.00907157	0.0143535	-0.015627	-0.850342	-0.00952148	-0.753174	0.461167	0.0444189	-0.886049	0.0163885	7.73287	0.121111	-5.6197	0.0363568	0.0298763	-0.0370653	-1.02075	-0.204834	0.42334	0.0420182	0.687213	-0.725114	0.0135212	0.506792	0.474265	-8.43613	0.00098573	0.00960921	-0.0192956	-0.420898	-0.00952148	1.00439	0.0955852	0.0773949	0.98549	-0.116976	-1.78341	-2.0224	-8.73492	0.0116549	0.0158109	-0.024974	-0.231201	0.317139	1.07275	0.0248685	0.017819	-0.993402	-0.110527	0.425215	2.07346	-8.83081	0.00461541	-0.000615632	-0.00872058	-0.494385	-0.270752	1.04175	-0.147916	-0.0228901	-0.965064	-0.215053	-2.58299	4.05313	-8.32239	0.0246828	0.0234778	-0.0159108	-0.140381	-0.486816	1.1062	
1	0.977536	0.00346475	-0.137617	0.1596	2.85328	-0.312953	10.5598	0.0430125	-0.0015882	0.00737329	0.11499	-0.0783691	-1.06763	0.671062	0.220188	-0.661868	0.251247	9.78279	-0.336198	0.243759	-0.00337157	0.0180138	-0.0102301	-0.907227	-0.188477	-0.291992	0.808835	0.22282	-0.526029	0.139393	9.12963	2.4518	3.46123	0.0249032	0.0284725	-0.0102518	-0.931152	-0.568848	-0.50293	0.713621	0.115964	-0.656029	0.216618	9.70458	-1.06209	1.12837	0.00204692	0.00956183	-0.00982917	-1.26733	-0.0219727	-0.371826	0.738345	-0.134997	-0.648682	-0.125831	9.85157	-0.141211	1.22615	0.0192375	0.00869444	-0.0126654	-0.928467	0.0461426	-0.526855	0.685603	-0.145129	-0.567272	-0.432538	9.39265	1.37397	6.32933	0.00417308	0.0269976	-0.0106785	-0.848389	-0.00732422	-0.744629	0.46112	0.0438582	-0.886118	0.0154723	7.58987	0.158117	-5.44188	-0.0319645	0.0269533	-0.00533814	-1.02051	-0.207031	0.421143	0.0422481	0.68757	-0.724762	0.0134842	0.506555	0.480201	-8.42535	-0.00275559	0.0103218	-0.0192019	-0.423096	-0.0117188	1.00195	0.095066	0.0774963	0.985624	-0.116202	-1.75276	-1.93801	-8.68967	-0.046175	0.0321194	-0.011031	-0.233643	0.31958	1.07275	0.0247119	0.0179492	-0.993424	-0.110343	0.407211	2.07037	-8.81682	0.0128573	0.00731082	-0.00300369	-0.496582	-0.272949	1.04858	-0.147308	-0.0225203	-0.965514	-0.213484	-2.64771	4.16426	-8.48558	0.0623213	0.0354816	-0.0241276	-0.147217	-0.486816	1.1062	
2	0.977532	0.00384118	-0.137696	0.159549	3.00524	-0.226296	10.6258	0.00337054	-0.0101594	-0.0126138	0.11084	-0.0827637	-1.07202	0.670991	0.220107	-0.661988	0.251191	9.94787	-0.444981	0.253482	-0.000550541	0.00996908	-0.0182943	-0.905029	-0.192871	-0.291748	0.809175	0.222189	-0.525934	0.138785	9.31345	2.02767	3.51914	-0.0215892	0.0161884	-0.0100858	-0.931152	-0.571045	-0.502686	0.713856	0.115665	-0.655924	0.216319	9.7106	-1.221	1.14363	-0.00465768	0.0137212	-0.00605427	-1.26489	-0.0263672	-0.367188	0.738541	-0.135157	-0.648329	-0.126331	9.88872	-0.453032	1.17085	-0.00780412	0.0247975	-0.0142627	-0.93457	0.0373535	-0.529297	0.68597	-0.145311	-0.566884	-0.432403	9.47497	1.27737	6.30323	-0.000543172	0.0285795	-0.00136778	-0.850342	-0.0117188	-0.748779	0.460638	0.0437838	-0.886374	0.0153936	7.78559	0.213427	-5.38602	-0.0101342	-0.00676068	-0.0148339	-1.02271	-0.209229	0.416992	0.0422197	0.687534	-0.724804	0.0132118	0.487697	0.491011	-8.42815	-0.00201669	0.0119467	-0.0146261	-0.420898	-0.00976562	1.00903	0.0949277	0.0777612	0.985765	-0.114933	-1.85144	-1.98485	-8.88373	-0.0463083	0.0133604	0.00436352	-0.23584	0.312744	1.07056	0.0246502	0.0180156	-0.99345	-0.110112	0.423308	2.07148	-8.83466	0.015156	0.00696276	-0.00203002	-0.496826	-0.268555	1.04639	-0.147177	-0.0221308	-0.965708	-0.212738	-2.61053	4.06078	-8.63938	0.027188	0.00412527	-0.0205536	-0.149658	-0.480225	1.1084	
3	0.977632	0.00348146	-0.137602	0.159029	3.14227	-0.296801	10.5484	-0.0230359	0.0127237	-0.0175982	0.110596	-0.076416	-1.06543	0.671435	0.219772	-0.661663	0.251151	9.86327	-0.394559	0.185579	-0.01613	0.0485513	-0.0186692	-0.909424	-0.188477	-0.291992	0.809341	0.222722	-0.5254	0.138987	9.1886	2.28597	3.48173	0.0221894	0.0212461	-0.0163879	-0.928955	-0.573242	-0.502686	0.714006	0.115783	-0.655768	0.216236	9.7031	-1.13316	1.11291	0.00155522	0.0145972	-0.00394761	-1.26733	-0.0219727	-0.371826	0.738902	-0.135537	-0.647819	-0.126428	9.8203	-0.306045	1.22131	-0.0319436	0.0287475	-0.00197782	-0.926025	0.0395508	-0.531494	0.686224	-0.145534	-0.56644	-0.432506	9.40977	1.31553	6.33913	-0.0144661	0.0250034	-0.00644949	-0.846191	-0.00732422	-0.755371	0.460426	0.0434724	-0.886503	0.0151736	7.66816	0.144786	-5.35711	0.00655608	-0.00121897	-0.0119182	-1.01611	-0.209229	0.416992	0.0422473	0.687525	-0.724812	0.0131206	0.496371	0.491521	-8.44379	-0.00201075	0.0156093	-0.0162848	-0.418945	-0.00952148	1.00195	0.0951125	0.0783433	0.985855	-0.113608	-1.74805	-1.79811	-8.75262	-0.0436616	0.00732276	0.00716292	-0.238037	0.310303	1.07275	0.0246333	0.0180735	-0.99345	-0.110105	0.418768	2.07158	-8.8458	-0.00042534	0.0124667	-0.000186358	-0.494385	-0.272949	1.04639	-0.147287	-0.0220375	-0.965563	-0.213328	-2.58847	3.89068	-8.40435	-0.0172635	0.0034467	-0.000551565	-0.143066	-0.480225	1.09937	
4	0.977851	0.00306045	-0.136076	0.159	2.93132	-0.395665	10.5626	0.00208339	0.0702855	0.000223779	0.123779	-0.0761719	-1.06982	0.671468	0.219676	-0.661669	0.251133	9.88198	-0.411198	0.422808	-0.00812579	0.00808176	-0.0164481	-0.906982	-0.195068	-0.289307	0.80945	0.22302	-0.52511	0.138967	9.23209	2.26197	3.54829	0.0168143	0.0155502	-0.00571006	-0.935547	-0.572998	-0.507324	0.714193	0.115783	-0.655578	0.216196	9.70885	-1.15452	1.14358	0.000870995	0.0130375	-0.00360915	-1.26465	-0.0307617	-0.375977	0.738984	-0.135715	-0.647666	-0.126543	9.79085	-0.447319	1.22526	-0.0176785	0.0200746	-0.00702679	-0.92627	0.0483398	-0.526855	0.686524	-0.145682	-0.566097	-0.43243	9.41467	1.29402	6.33131	0.00276884	0.02262	-0.00703079	-0.846191	-0.00732422	-0.748779	0.460142	0.0429537	-0.886687	0.0144717	7.67747	0.200081	-5.46906	-0.0351224	-0.00152907	-0.00978589	-1.02075	-0.204834	0.418945	0.0422646	0.687632	-0.72471	0.0131082	0.498578	0.47729	-8.42732	0.00589242	0.0128052	-0.0170049	-0.420898	-0.0117188	0.995117	0.0951287	0.0784502	0.985948	-0.11271	-1.84561	-1.8988	-8.96057	-0.0218207	0.00304483	-0.0171777	-0.233398	0.3125	1.07959	0.0247792	0.0180562	-0.993409	-0.110445	0.420464	2.07396	-8.83191	-0.00980885	0.0154874	0.00163933	-0.494141	-0.277344	1.05103	-0.146996	-0.0223509	-0.965554	-0.213536	-2.56209	4.1459	-8.47268	-0.0126624	0.0162433	0.0137248	-0.138184	-0.486816	1.10864	
5	0.978045	0.0028775	-0.13436	0.159269	2.86549	-0.354347	10.6282	0.00717415	0.0598752	0.00836905	0.117432	-0.0805664	-1.06763	0.6715	0.219664	-0.661646	0.251116	9.85117	-0.433131	0.284536	-0.0128719	0.00478058	-0.0199885	-0.905273	-0.184082	-0.289795	0.809626	0.222834	-0.524931	0.13892	9.20341	2.19539	3.5038	-0.0113238	0.0146679	-0.00503625	-0.931152	-0.572998	-0.505127	0.714242	0.115723	-0.655543	0.216172	9.67233	-1.13689	1.1442	-0.00295511	0.00948811	0.00246823	-1.2605	-0.0263672	-0.378174	0.73915	-0.136061	-0.647377	-0.126678	9.82443	-0.368724	1.30568	-0.0182843	0.0221171	-0.0100099	-0.926025	0.0395508	-0.529297	0.686599	-0.145888	-0.56596	-0.432421	9.40253	1.29507	6.32379	0.00176488	0.0102201	-0.0106559	-0.850586	-0.00292969	-0.749023	0.459755	0.042786	-0.886901	0.0141798	7.69289	0.110718	-5.43624	-0.00650808	0.00385991	-0.017198	-1.01392	-0.211426	0.419189	0.0422121	0.687638	-0.724707	0.0130984	0.489603	0.49647	-8.43177	0.00745583	0.0149646	-0.0179393	-0.420898	-0.0117188	1.00439	0.0951887	0.0784214	0.985871	-0.113343	-1.80881	-1.83061	-8.81242	0.0561631	-0.0050719	-0.0259217	-0.238037	0.310303	1.07056	0.0248834	0.0180348	-0.993405	-0.110463	0.434531	2.07988	-8.83545	0.00631585	0.0141897	0.00360259	-0.498779	-0.272949	1.04175	-0.146873	-0.0225811	-0.965344	-0.214544	-2.55045	4.07982	-8.48463	-0.0245447	0.00459743	0.00804123	-0.147461	-0.482422	1.1062	
6	0.978214	0.00274907	-0.132998	0.159375	2.80132	-0.286508	10.6722	0.00215476	0.0495003	0.00147866	0.119385	-0.0783691	-1.06982	0.671684	0.219687	-0.661342	0.251407	9.92563	-0.457644	0.276089	0.00978471	0.0231188	-0.0151177	-0.90918	-0.192871	-0.294189	0.809801	0.222777	-0.524664	0.139001	9.23536	2.18114	3.4653	0.0089267	0.0197182	-0.00476071	-0.927002	-0.573242	-0.502686	0.714264	0.1159	-0.655481	0.216193	9.70337	-1.14849	1.13812	0.0170159	0.00766564	-0.00438605	-1.27173	-0.0244141	-0.36499	0.73932	-0.135802	-0.647242	-0.126656	9.82363	-0.390268	1.23445	0.00967007	0.0144243	-0.0141407	-0.926025	0.041748	-0.529297	0.686575	-0.146034	-0.56598	-0.432383	9.41691	1.30604	6.3877	-0.00116539	0.00501554	-0.0161717	-0.852783	-0.00512695	-0.748779	0.459247	0.042717	-0.887174	0.013775	7.79517	0.157499	-5.35667	0.00442491	-0.00709772	-0.0240906	-1.01831	-0.207031	0.419189	0.0420799	0.687638	-0.724715	0.0130899	0.501235	0.479764	-8.4233	0.00731358	0.0141315	-0.0173038	-0.423096	-0.0117188	1.00195	0.0950819	0.0782758	0.98582	-0.113982	-1.73576	-1.89993	-8.76266	0.0367709	0.00993827	-0.0302349	-0.233398	0.3125	1.0752	0.0248464	0.0180497	-0.99342	-0.110329	0.427386	2.08764	-8.8164	0.0139867	0.0075928	7.83991e-05	-0.496338	-0.279541	1.04419	-0.146818	-0.022612	-0.965472	-0.214004	-2.54843	4.24198	-8.39048	0.0349467	0.0101908	-0.0101715	-0.147217	-0.486816	1.10864	
7	0.978271	0.00256746	-0.132434	0.159503	2.7916	-0.27987	10.6698	-0.00573844	0.0434872	0.00927429	0.125977	-0.0761719	-1.06543	0.671944	0.219698	-0.661001	0.251599	9.86804	-0.385619	0.273548	0.00616957	0.04823	-0.0201863	-0.905273	-0.186279	-0.289551	0.809855	0.223074	-0.524408	0.139176	9.16925	2.17402	3.4795	0.0288496	0.0232978	-0.00878588	-0.928955	-0.573242	-0.502686	0.714277	0.116065	-0.655425	0.21623	9.67206	-1.11423	1.10429	0.0142058	0.00808772	-0.00707617	-1.26733	-0.0241699	-0.371582	0.739663	-0.13652	-0.646548	-0.127423	9.79767	-0.385647	1.18006	-0.0586477	0.0432921	-0.00941841	-0.930664	0.0461426	-0.531494	0.686545	-0.146202	-0.565932	-0.432437	9.42156	1.28092	6.28087	-0.00873307	0.00776715	-0.0140123	-0.852783	-0.00512695	-0.748779	0.459352	0.0426182	-0.887131	0.0133498	7.6897	0.189213	-5.36523	-0.0182966	0.0178628	-0.0266396	-1.01392	-0.209229	0.416992	0.0419102	0.687628	-0.724735	0.0130746	0.511969	0.490309	-8.43922	0.0111725	0.015047	-0.0170201	-0.418945	-0.00732422	0.999512	0.0950355	0.0783058	0.985764	-0.114483	-1.84064	-1.90453	-8.82567	0.0283552	0.000307089	-0.0155211	-0.229004	0.314941	1.07275	0.0247986	0.018128	-0.993471	-0.109872	0.421979	2.07715	-8.83608	0.0204255	0.00407022	-0.0024492	-0.494629	-0.266357	1.04175	-0.146695	-0.0225287	-0.965526	-0.213851	-2.57619	4.08601	-8.43837	0.0147411	0.016985	-0.0106486	-0.149658	-0.484619	1.10181	
8	0.978316	0.00233863	-0.131748	0.159795	2.76963	-0.372147	10.6722	-0.00243942	0.0158666	0.0102704	0.130371	-0.0739746	-1.06543	0.672076	0.219549	-0.660876	0.251703	9.86884	-0.403996	0.259828	-0.0145646	0.0182048	-0.0122598	-0.907227	-0.190674	-0.289551	0.809924	0.223139	-0.524264	0.139211	9.21965	2.26131	3.51997	-0.0133835	0.00874169	-0.00282518	-0.931152	-0.572998	-0.500488	0.71434	0.116168	-0.655321	0.21628	9.72275	-1.15352	1.16282	0.0095575	0.00806352	-0.00213031	-1.26929	-0.0263672	-0.371582	0.739739	-0.136845	-0.646365	-0.127558	9.86013	-0.366237	1.27925	0.0165313	0.00753917	-0.00690908	-0.926025	0.0439453	-0.531494	0.686719	-0.146232	-0.565774	-0.432357	9.43085	1.30721	6.35271	0.000250199	0.0177675	-0.0118769	-0.846436	-0.000732422	-0.746826	0.458917	0.0428644	-0.887344	0.0133179	7.67876	0.184096	-5.45256	0.0118897	-0.014469	-0.0174445	-1.01392	-0.209229	0.419189	0.0417944	0.68758	-0.724786	0.0131375	0.500995	0.479569	-8.40346	0.00927981	0.0166829	-0.0141677	-0.418701	-0.013916	0.999756	0.095121	0.0783386	0.985713	-0.11483	-1.77018	-1.87931	-8.71392	0.0199564	0.00329516	-0.0208724	-0.23584	0.317139	1.07715	0.0246852	0.0182359	-0.993505	-0.10957	0.423672	2.07492	-8.83055	0.0112818	0.00605221	-0.00315202	-0.496338	-0.275146	1.04419	-0.14669	-0.0224489	-0.96574	-0.212895	-2.57628	4.09976	-8.48626	0.0384212	0.0071	-0.0124651	-0.145264	-0.480225	1.1062	
9	0.978374	0.0023973	-0.131339	0.159776	2.72844	-0.355652	10.6442	0.00890726	0.00820687	-0.00869607	0.124023	-0.0827637	-1.06323	0.672097	0.219646	-0.660811	0.251736	9.90041	-0.418339	0.303619	-0.00499417	0.0177764	-0.0237377	-0.907227	-0.186279	-0.291992	0.809956	0.223421	-0.524053	0.139362	9.20857	2.19993	3.47403	0.0132099	0.00979923	-0.00455459	-0.928955	-0.575195	-0.502686	0.714421	0.116106	-0.655231	0.21632	9.73183	-1.1525	1.16841	-0.00316867	0.0137828	0.00320125	-1.26294	-0.0219727	-0.371826	0.739868	-0.13696	-0.646174	-0.127657	9.7717	-0.361303	1.29767	-0.0129321	0.0170133	-0.00701541	-0.926025	0.0439453	-0.526855	0.686775	-0.146334	-0.565739	-0.43228	9.40837	1.27974	6.29792	0.00552275	0.0132444	-0.0128308	-0.852539	-0.0117188	-0.748779	0.458186	0.0427952	-0.887733	0.0128081	7.75144	0.206011	-5.22671	0.000397856	-0.0197598	-0.0259943	-1.01392	-0.211426	0.427734	0.0417293	0.687523	-0.724844	0.0131284	0.492038	0.4549	-8.43915	0.00534795	0.0171725	-0.0149759	-0.418701	-0.0161133	0.997559	0.095071	0.0783538	0.985718	-0.114812	-1.81893	-1.91156	-8.81925	0.00189101	0.00597384	-0.0204389	-0.233643	0.317139	1.07056	0.0248056	0.0182125	-0.993507	-0.10953	0.420319	2.06209	-8.83575	-0.000740865	0.0169367	0.00302855	-0.494141	-0.275146	1.04639	-0.146731	-0.0224258	-0.96573	-0.212917	-2.5919	3.99424	-8.52159	-0.000549725	0.00343831	-0.00309862	-0.147217	-0.484619	1.1062	
