Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.560786	0.413605	0.358873	0.621015	9.32049	-0.340923	4.2957	-0.075956	0.0491025	-0.00499932	-0.789307	0.42627	-0.299072	1529645322682	-50	92
Throax	00b411e8	0.573696	-0.411366	-0.359262	-0.610395	9.1067	-0.260945	4.1649	-0.0121104	0.0103719	-0.0327341	-0.69165	0.307129	-0.3125	1529645322687	-50	95
LUpArm	00b411d9	0.691506	-0.0366568	0.102392	-0.714137	0.000895797	-1.21354	10.7768	0.0769765	0.0129343	-0.00322807	0.00439453	0.46582	-0.858887	1529645322682	-59	96
LFoArm	00b41148	0.780321	-0.173369	0.108655	-0.590963	0.513847	-3.8285	8.97841	-0.0128443	0.029811	0.0151737	0.103516	0.83667	-0.690674	1529645322687	-71	98
RUpArm	00b411db	-0.733217	0.0297092	-0.0280857	0.678764	0.0810552	-0.740761	9.88311	-0.00605048	0.00602045	-0.0358919	0.0686035	0.45166	-0.864502	1529645322679	-66	99
RFoArm	00b41204	0.708069	0.104654	-0.00550918	-0.698323	0.791687	-0.67227	13.5515	0.0441301	0.00998246	-0.0787656	-0.0246582	0.489746	-0.932129	1529645322685	-59	98
Waist	00b411f7	-0.556201	0.434118	0.462026	0.537321	9.79101	0.217251	1.98878	0.017287	0.0561608	-0.0298625	-0.891357	0.351807	-0.205322	1529645322683	-51	96
Lthigh	00b411f4	0.441439	-0.506182	-0.535595	-0.511908	9.64488	1.18922	-0.718432	-0.00192715	0.0223871	-0.00699334	-1.01782	0.278076	0.0925293	1529645322682	-49	95
Lshank	00b4111b	0.493617	-0.490116	-0.567862	-0.440069	9.7269	0.249693	-1.18736	-0.00410914	0.00246284	-0.00662204	-1.03589	0.301025	0.0788574	1529645322682	-56	100
Rthigh	00b411c8	-0.383989	0.545623	0.494669	0.556912	9.65834	1.43114	-0.718049	-0.0140991	0.00231493	0.0103007	-0.982666	0.257568	0.171143	1529645322685	-52	100
Rshank	00b411ee	0.403171	-0.549738	-0.472771	-0.558327	9.83234	0.892493	-0.647687	0.000380144	0.0191504	0.00923466	-1.05029	0.314941	0.158447	1529645322685	-62	95
