40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.08101	-0.274384	0.0135528	0.958106	-5.52815	0.738323	9.34335	0.0213655	-0.000681764	-0.0040861	0.32251	0.193604	-1.07983	0.0387945	0.172775	-0.0216437	-0.983959	-3.28614	0.682938	9.48292	-0.00423757	0.0191279	-0.012463	0.156494	0.0603027	-1.05933	0.037262	0.215268	-0.352294	-0.910033	-3.79958	6.6103	6.91103	0.0400753	0.000824795	0.0031657	0.043457	-0.635742	-0.934814	-0.218216	0.573219	-0.124246	-0.779977	-9.2782	-0.535737	3.00455	-0.000270447	0.0157229	-0.00222563	0.838135	-0.026123	-0.717041	-0.223557	-0.133456	-0.299043	0.918033	-3.623	-4.75362	7.64242	-0.0134906	-0.00277498	-0.00867646	0.175537	0.768555	-0.8396	0.839342	0.170753	0.272739	-0.438135	-7.25647	0.151605	10.0464	-0.00986775	0.020442	-0.00413966	0.830322	0.36377	-0.670166	-0.0259313	0.0846785	0.0445957	0.995072	2.54976	0.560065	10.1525	-0.00845701	-0.00732202	-0.0121386	-0.598145	0.0927734	-0.914062	0.222835	0.834432	0.3574	-0.355434	-6.79385	2.02228	-5.22384	0.00685338	0.0149237	-0.0186746	0.919434	0.147461	0.587891	0.035363	-0.0653588	0.151097	-0.985722	2.15373	-2.69107	9.98992	0.00896389	0.00868438	-0.0127195	-0.593506	0.326416	-0.798584	0.0133184	0.00784447	-0.212078	0.977131	0.961167	-4.10818	9.59374	0.00767305	0.00459723	0.0112472	-0.454102	0.380371	-0.868408	-0.0484718	-0.0547024	0.337295	-0.938558	1.53358	-6.01419	7.61644	0.0446127	0.0172622	-0.00591326	-0.609863	0.507812	-0.860107	
1	-0.0809207	-0.274538	0.0138648	0.958065	-5.5132	0.757437	9.30749	0.012069	0.00471364	-0.00184021	0.32251	0.193604	-1.07983	0.0387867	0.172875	-0.0217603	-0.983939	-3.22005	0.675895	9.54524	0.00152867	0.0244098	-0.0190653	0.158936	0.0559082	-1.06152	0.0371265	0.215081	-0.353665	-0.909551	-3.91938	7.05894	6.99984	0.0422124	-0.000719097	0.00522877	0.0456543	-0.638184	-0.934814	-0.218221	0.573263	-0.12416	-0.779957	-9.39095	-0.563266	2.9704	-0.00374685	0.00848448	-0.00398507	0.840576	-0.0283203	-0.712646	-0.223628	-0.133412	-0.29919	0.917974	-3.60354	-4.78342	7.70147	-0.00831575	0.0135341	-0.0113542	0.177246	0.779541	-0.851074	0.839472	0.170592	0.272792	-0.437915	-7.29611	0.153382	10.0542	0.00456164	0.0203752	-0.0134984	0.828369	0.361572	-0.672119	-0.026093	0.0852472	0.0449562	0.995003	2.85143	0.45561	10.1506	0.0304543	0.0191374	-0.0104624	-0.596436	0.0991211	-0.918701	0.223188	0.834131	0.357973	-0.355342	-6.92906	2.13784	-5.23893	-0.00485409	0.00986899	-0.0305925	0.921875	0.140869	0.592773	0.0354622	-0.065329	0.15135	-0.985681	2.09693	-2.74348	10.011	-0.0103097	0.00513235	-0.01747	-0.58667	0.328857	-0.793945	0.0132621	0.00808904	-0.21205	0.977135	1.00554	-4.27285	9.54888	0.00223028	0.0122217	0.00198876	-0.45874	0.382324	-0.86377	-0.0484082	-0.0546475	0.337014	-0.938665	1.50909	-5.9497	7.65891	0.0257932	0.013388	-0.000305451	-0.614746	0.516602	-0.860107	
2	-0.0808658	-0.274711	0.0139372	0.958019	-5.57336	0.719563	9.28118	0.00808449	0.00983765	-0.00421496	0.324707	0.195801	-1.07544	0.0386438	0.173162	-0.0222014	-0.983885	-3.36259	0.527035	9.57265	-0.00516767	0.0308511	-0.0228982	0.154541	0.0581055	-1.05908	0.0371922	0.215127	-0.352981	-0.909803	-3.95267	7.07231	7.01956	-0.0546162	0.00662598	-0.00964591	0.043457	-0.635986	-0.93042	-0.218345	0.573108	-0.124448	-0.779991	-9.34989	-0.506129	3.08076	0.0184176	0.00203901	0.00345007	0.831299	-0.0239258	-0.717041	-0.223341	-0.13365	-0.298976	0.91808	-3.82217	-4.79076	7.56226	0.0317191	0.0146655	-0.0197845	0.177734	0.770752	-0.848877	0.839361	0.170386	0.27307	-0.438036	-7.32633	0.173615	10.0664	0.00185944	0.0173527	-0.0241088	0.83252	0.361572	-0.672119	-0.0263319	0.0848917	0.0454475	0.995005	2.75289	0.438012	9.98291	0.0572428	0.0421465	-0.00328904	-0.596191	0.0927734	-0.91626	0.222911	0.83409	0.357933	-0.355651	-6.88867	2.07177	-5.16293	0.037053	-0.00134475	-0.0216515	0.919678	0.143066	0.590332	0.0354685	-0.0654647	0.151558	-0.98564	2.19292	-2.72436	9.95724	-0.0114295	-0.00104821	-0.0221408	-0.582031	0.328857	-0.793945	0.0133032	0.00790293	-0.212058	0.977135	0.880578	-4.13498	9.41996	-0.000277043	0.0297519	0.00308142	-0.452148	0.382568	-0.873047	-0.0483534	-0.0546552	0.337332	-0.938553	1.44984	-6.00309	7.57847	-0.0129949	0.0055933	-0.00528312	-0.612305	0.512207	-0.85791	
3	-0.0807618	-0.27467	0.014056	0.958038	-5.56421	0.779546	9.30505	0.00283795	-0.013049	-0.00171764	0.328857	0.197998	-1.07983	0.0388266	0.172637	-0.0216144	-0.983983	-3.31642	0.60332	9.46079	-0.022628	-0.0187565	-0.0157431	0.154541	0.0583496	-1.05444	0.0375198	0.21526	-0.350953	-0.910542	-3.78589	6.44679	6.92618	-0.0468297	0.00352877	-0.00369144	0.0476074	-0.627197	-0.9375	-0.218253	0.573076	-0.124099	-0.780095	-9.27065	-0.561427	3.00715	-0.023252	-0.000625155	-0.00258752	0.838379	-0.0305176	-0.719238	-0.223331	-0.133594	-0.298444	0.918263	-3.72009	-4.61249	7.57593	0.0418343	-0.00681572	-0.0118514	0.177734	0.768555	-0.844238	0.839691	0.170147	0.273201	-0.437413	-7.21006	0.209865	9.9351	-0.00390613	0.0279611	-0.000260664	0.834717	0.361572	-0.667969	-0.0265996	0.0835154	0.0439311	0.995182	2.47867	0.513245	10.0688	-0.0452217	0.0263586	-0.00197033	-0.598389	0.097168	-0.922852	0.222295	0.834188	0.357869	-0.355873	-6.85038	2.04712	-5.25966	0.0219819	0.0155774	-0.0178813	0.924072	0.143066	0.587891	0.0353407	-0.0656716	0.151866	-0.985584	2.12226	-2.71149	9.93227	-0.00748555	0.00348819	-0.0308427	-0.588867	0.328613	-0.791748	0.0132584	0.00798354	-0.212164	0.977112	0.975305	-4.14776	9.57002	-0.00699635	0.00285471	0.00456263	-0.456543	0.382568	-0.868408	-0.0483879	-0.0547044	0.337417	-0.938518	1.49275	-6.07954	7.61525	0.00141851	0.00641706	-0.00696321	-0.612305	0.514648	-0.85791	
4	-0.0810358	-0.274429	0.0140924	0.958083	-5.48905	0.692844	9.28814	-0.00207732	-0.0119792	0.0101278	0.322266	0.197998	-1.07983	0.0388114	0.172064	-0.0215268	-0.984086	-3.24123	0.615702	9.66074	-0.02229	0.00665258	-0.0238686	0.158936	0.0559082	-1.06152	0.0373198	0.214992	-0.35244	-0.910039	-3.89229	6.87705	6.94418	0.0634213	-0.00174987	0.00866108	0.0412598	-0.631592	-0.93042	-0.218523	0.572747	-0.124254	-0.780236	-9.28324	-0.527513	3.08099	0.0246179	-0.00650211	-0.00309644	0.838379	-0.0283203	-0.714844	-0.223748	-0.132824	-0.301137	0.917394	-3.70483	-4.97565	7.63807	-0.0939226	0.0203031	-0.0096466	0.179688	0.777344	-0.8396	0.84	0.169799	0.273667	-0.436664	-7.35951	0.102884	10.0667	-0.00046428	0.0328664	-0.00823925	0.835205	0.355225	-0.66333	-0.0269202	0.0804472	0.0424055	0.995492	2.82564	0.478517	9.91986	-0.0862808	0.231983	-0.00959487	-0.587891	0.101562	-0.925049	0.221794	0.834353	0.357657	-0.356011	-6.81641	2.02492	-5.21755	0.0245346	0.0201147	-0.00819978	0.91748	0.147461	0.585693	0.0346292	-0.0657644	0.152156	-0.985558	2.20794	-2.77798	9.9938	-0.0098218	0.0152437	-0.0554601	-0.58667	0.328613	-0.791748	0.0131129	0.00805879	-0.212664	0.977004	0.965646	-4.26346	9.49054	-0.0105448	0.00898919	0.00918488	-0.454346	0.384766	-0.864014	-0.0483405	-0.0547433	0.337268	-0.938571	1.50664	-6.01346	7.58716	0.0104492	0.0077396	-0.00288914	-0.609863	0.512451	-0.855469	
5	-0.0810356	-0.274454	0.0141823	0.958075	-5.45094	0.719273	9.28887	0.00345469	-0.00229658	0.00292824	0.322266	0.197998	-1.07983	0.0387244	0.171287	-0.0209853	-0.984236	-3.22588	0.60364	9.44388	-0.0241542	-0.0141778	-0.0273821	0.149902	0.0603027	-1.06152	0.0375161	0.214868	-0.351577	-0.910394	-3.85427	6.87438	6.96037	-0.0552544	-0.00780744	-0.00468908	0.043457	-0.631592	-0.939453	-0.218877	0.572568	-0.124534	-0.780224	-9.39638	-0.447714	3.06978	0.0237834	0.00374923	0.000665831	0.838379	-0.0283203	-0.721436	-0.223969	-0.132524	-0.301536	0.917252	-3.66257	-4.99345	7.66585	-0.040993	-0.011061	-0.00404026	0.181885	0.772949	-0.842041	0.83998	0.170227	0.273972	-0.436344	-7.36987	0.452181	10.131	0.0063817	0.0434184	-0.0241881	0.834961	0.359619	-0.665771	-0.0272495	0.0808689	0.039816	0.995556	2.16925	0.435797	10.3423	-0.0619055	-0.135919	0.00766273	-0.592529	0.110107	-0.927246	0.221868	0.834161	0.358033	-0.356038	-6.95848	2.08624	-5.15129	0.00308687	0.00499859	-0.0327028	0.91748	0.143066	0.585693	0.0343164	-0.0658126	0.152448	-0.98552	2.14093	-2.89709	10.0346	0.000631147	0.0039868	-0.0235881	-0.588867	0.326416	-0.791748	0.0130366	0.00826742	-0.212213	0.977101	0.992147	-4.29999	9.5528	0.0242926	0.00750172	0.00131069	-0.449951	0.386963	-0.87085	-0.0483192	-0.054703	0.337269	-0.938575	1.54266	-6.04183	7.61074	0.00123554	0.0117238	-0.00369367	-0.60791	0.514648	-0.862305	
6	-0.0812372	-0.274901	0.0143822	0.957926	-5.56502	0.709259	9.28826	0.00992564	0.0168615	0.00616734	0.320068	0.197998	-1.07983	0.0385401	0.170933	-0.0208508	-0.984308	-3.23921	0.580335	9.5733	-0.00870543	-0.00588966	-0.0182773	0.154541	0.0561523	-1.05444	0.0370037	0.214809	-0.350865	-0.910704	-3.75683	6.76478	6.96647	-0.0112948	0.00274026	-0.028456	0.0412598	-0.631592	-0.935059	-0.218814	0.57255	-0.124485	-0.780263	-9.2268	-0.415656	3.18684	-0.0110604	0.00813857	0.000928154	0.831543	-0.0283203	-0.719238	-0.223918	-0.132455	-0.300803	0.917515	-3.70922	-4.78745	7.69502	0.0314002	0.00229083	-0.0170901	0.177734	0.770752	-0.842041	0.840073	0.169347	0.27497	-0.435879	-7.39729	0.0599096	10.0333	-0.0127924	0.0390512	-0.0258497	0.83252	0.365967	-0.667969	-0.0270637	0.0863965	0.0390166	0.995129	3.06909	0.284763	10.248	-0.0187099	-0.120835	-0.0114195	-0.603271	0.110107	-0.918945	0.220975	0.833999	0.358609	-0.356392	-6.92683	2.08242	-5.2186	0.0296303	0.0105598	-0.0423949	0.915283	0.147217	0.587891	0.0349808	-0.0660574	0.152614	-0.985455	2.28661	-2.89417	9.95933	-0.00261311	-0.00899726	0.014234	-0.589111	0.331055	-0.791748	0.0128917	0.00808129	-0.21205	0.97714	0.933727	-4.0213	9.44243	0.000306553	0.0238241	0.0130373	-0.454346	0.382568	-0.866211	-0.0482185	-0.0546702	0.337257	-0.938586	1.46552	-6.03886	7.58376	0.00846182	0.00965934	-0.000558485	-0.609619	0.505615	-0.857666	
7	-0.0812443	-0.275206	0.0145929	0.957835	-5.53426	0.765915	9.29882	0.00883099	0.00546151	0.00116953	0.326904	0.193848	-1.07983	0.0388997	0.170383	-0.0210632	-0.984384	-3.23089	0.630609	9.4751	-0.00688783	-0.00628102	-0.00432685	0.150146	0.0537109	-1.06372	0.0368151	0.215081	-0.350898	-0.910635	-3.76981	6.52757	6.92193	0.0284233	0.00998772	0.000839258	0.0500488	-0.635986	-0.94165	-0.218539	0.572873	-0.123915	-0.780194	-9.18275	-0.504841	3.06988	-0.0324803	0.0152023	-0.00698468	0.835938	-0.026123	-0.714844	-0.224105	-0.132285	-0.300677	0.917535	-3.65473	-4.79651	7.58134	0.00436347	-0.00220644	-0.00293061	0.175293	0.775146	-0.8396	0.840503	0.168335	0.275788	-0.434925	-7.31548	0.0838624	9.91146	-0.0390881	0.0310079	0.00228305	0.832764	0.359619	-0.663574	-0.0276395	0.0887142	0.0378626	0.994953	2.53905	0.439401	10.1228	-0.0268176	-0.118358	0.0119975	-0.605225	0.103516	-0.916504	0.221075	0.833792	0.359304	-0.356114	-6.81505	1.99227	-5.18118	-0.0182582	0.0277875	-0.0288837	0.915283	0.145264	0.587891	0.0363484	-0.0661454	0.1521	-0.985479	2.21127	-2.78553	9.92527	0.0369575	0.00120841	0.027692	-0.584229	0.328857	-0.791748	0.0126578	0.00834963	-0.21272	0.976996	0.957083	-4.24555	9.57212	-0.0361517	-0.00920661	0.00764282	-0.452148	0.384766	-0.87085	-0.0481277	-0.0545771	0.3367	-0.938796	1.50012	-5.9983	7.62069	0.0262234	0.0148809	-0.00145375	-0.616699	0.512207	-0.864746	
8	-0.0813506	-0.27548	0.0147677	0.957745	-5.57434	0.738358	9.3049	0.00709608	0.00702867	0.0026091	0.324707	0.193604	-1.07764	0.0391584	0.169992	-0.0210473	-0.984442	-3.23499	0.628776	9.5354	-0.0142815	-0.000194591	-0.0140028	0.154297	0.0605469	-1.0498	0.0370289	0.214866	-0.35218	-0.910182	-3.94681	6.96679	6.97134	0.0368903	0.00119484	0.0187265	0.0437012	-0.637939	-0.939453	-0.218373	0.573055	-0.123674	-0.780145	-9.27818	-0.699006	3.00211	-0.0236173	0.0172542	-0.00231957	0.835938	-0.026123	-0.717041	-0.22445	-0.131983	-0.300651	0.917503	-3.58259	-4.85101	7.64496	-0.0176047	-0.00656597	-0.00119398	0.177734	0.772949	-0.844238	0.840947	0.16759	0.276299	-0.434028	-7.37723	0.0112379	9.91014	-0.0157297	0.0265767	-0.00290731	0.837158	0.357422	-0.661377	-0.0275775	0.0942126	0.0376567	0.994457	2.88671	0.334381	10.1872	0.0104386	-0.218807	-0.0121302	-0.614258	0.112061	-0.901855	0.221404	0.833539	0.359812	-0.355988	-6.83175	1.93166	-5.27725	-0.0178763	0.00714424	-0.0196797	0.91748	0.147461	0.587891	0.0369106	-0.0658742	0.151612	-0.985552	2.13111	-2.69405	9.97012	0.0183835	0.0197861	-0.00968235	-0.595947	0.328613	-0.785156	0.0125339	0.00842959	-0.213079	0.976918	1.02645	-4.44512	9.55043	-0.00213666	0.0172539	0.00857596	-0.449951	0.386963	-0.864014	-0.0480817	-0.0545154	0.336584	-0.938844	1.48207	-6.08983	7.63416	0.00166532	0.0102892	-0.00375523	-0.609863	0.507812	-0.857666	
9	-0.0812937	-0.275745	0.0147319	0.957674	-5.53129	0.753832	9.29269	-0.00172746	0.0068329	-0.000709496	0.324707	0.195801	-1.07983	0.0391527	0.169643	-0.0211273	-0.984501	-3.24555	0.594071	9.52137	-0.00278567	-0.0125221	-0.0196086	0.147949	0.0559082	-1.05664	0.0374817	0.214871	-0.351029	-0.910606	-3.91496	6.64042	6.96077	-0.056517	0.0119373	0.00765221	0.0478516	-0.633789	-0.944092	-0.218371	0.573205	-0.124062	-0.779973	-9.31615	-0.649553	3.03852	0.0124748	0.0152582	0.00720721	0.836182	-0.0305176	-0.717041	-0.224821	-0.131762	-0.300342	0.917545	-3.65286	-4.85889	7.66965	0.00865626	-0.0123994	0.00135057	0.17749	0.775146	-0.842041	0.841127	0.167521	0.276268	-0.433725	-7.36537	0.182861	9.98653	0.00842519	0.017708	-0.00254333	0.836914	0.365967	-0.663818	-0.0275708	0.099389	0.0385175	0.993921	2.94928	0.370912	10.113	0.0283438	-0.162882	-0.0119821	-0.618408	0.107666	-0.899658	0.222226	0.833271	0.360102	-0.35581	-6.85807	2.0708	-5.25741	-0.0446102	0.00759669	-0.0100389	0.919434	0.147461	0.587891	0.0365392	-0.0656313	0.151444	-0.985607	2.07197	-2.74966	10.0289	0.0121724	0.0201731	-0.0394563	-0.595947	0.328613	-0.796387	0.0124651	0.00818071	-0.212027	0.97715	0.925622	-4.18434	9.49559	0.0460895	0.0212632	0.00724512	-0.454346	0.384766	-0.868408	-0.048154	-0.0545298	0.336528	-0.938859	1.50675	-6.00461	7.58733	0.00800582	0.0118853	-0.00883908	-0.612061	0.51001	-0.862305	
