Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.559161	-0.357977	-0.360701	-0.655047	9.0825	0.354264	5.20888	0.0160749	-0.037699	0.00417934	-0.782227	0.37915	-0.378174	1529649212657	-53	80
Throax	00b411e8	0.500493	-0.490188	-0.323566	-0.636025	9.5044	-0.894327	3.12888	0.0583723	0.00834214	-0.0145682	-0.707275	0.375488	-0.185303	1529649212663	-49	84
LUpArm	00b411d9	0.628503	-0.0144633	0.0309015	-0.777059	0.679821	-0.925919	10.7962	-0.0266992	0.0279275	0.011691	-0.131592	0.388428	-0.904541	1529649212659	-58	85
LFoArm	00b41148	0.727752	-0.205296	0.0788508	-0.649626	1.82133	-4.03316	9.02343	-0.107274	0.0314095	0.0528943	-0.0622559	0.859375	-0.682129	1529649212660	-72	86
RUpArm	00b411db	0.694056	-0.035301	0.0161842	-0.718873	0.429692	-0.746326	9.87837	0.240094	0.0105098	0.0373537	-0.0117188	0.447021	-0.864746	1529649212660	-66	87
RFoArm	00b41204	0.449824	-0.0105584	0.0958242	-0.887899	0.920043	0.345473	13.6497	0.0635786	0.0150521	-0.000821556	-0.0754395	0.411621	-0.970459	1529649212656	-60	87
Waist	00b411f7	0.516739	-0.457183	-0.477091	-0.54438	9.85884	0.2465	1.56909	0.138017	-0.0921341	-0.0343924	-0.904541	0.358154	-0.145996	1529649212660	-49	84
Lthigh	00b411f4	0.374173	-0.555644	-0.491183	-0.556771	9.69004	0.914837	-0.710868	0.0555812	-4.2997e-05	-0.0175735	-0.993408	0.318848	0.182861	1529649212660	-51	83
Lshank	00b4111b	0.504006	-0.479641	-0.557147	-0.453331	9.80426	0.0688055	-0.778627	0.042302	0.0163043	-0.0112131	-1.02808	0.335938	0.0114746	1529649212662	-64	91
Rthigh	00b411c8	0.203645	-0.675825	-0.289211	-0.646642	9.7101	0.852443	-0.772446	0.0235105	0.00118443	-0.00140381	-0.922852	0.223389	0.420654	1529649212659	-57	99
Rshank	00b411ee	0.35677	-0.594473	-0.43271	-0.576264	9.8124	0.743288	-0.94553	0.036323	-0.0111171	-0.00314459	-1.04175	0.326172	0.229004	1529649212662	-81	85
