Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.474815	-0.41668	-0.317202	-0.707327	9.1828	0.960684	4.80235	0.033715	-0.0609284	0.00569764	-0.838135	0.34082	-0.2854	1529649916405	-50	78
Throax	00b411e8	0.820142	-0.133959	-0.551436	-0.073084	9.29023	-1.19517	3.66853	0.0348967	0.0254734	0.0160334	-0.678955	0.432129	-0.196777	1529649916412	-49	82
LUpArm	00b411d9	0.615583	0.0138485	-0.0760931	-0.784268	0.868577	1.72153	10.9427	-0.113882	0.0503716	0.0281075	-0.2146	0.214844	-0.972656	1529649916408	-56	83
LFoArm	00b41148	0.683787	-0.140043	-0.00197591	-0.716114	2.08311	-2.00562	9.78188	-0.0415025	0.0240078	0.0605916	-0.186279	0.707764	-0.791992	1529649916410	-78	84
RUpArm	00b411db	0.707664	-0.0593309	0.012286	-0.703946	0.775386	-0.94382	9.82711	0.00537099	0.0344505	0.01211	-0.0483398	0.486328	-0.841797	1529649916410	-57	85
RFoArm	00b41204	0.500868	0.0672254	0.0120307	-0.862825	1.5586	0.255012	13.5986	0.00442492	0.0482604	-0.0107818	-0.151611	0.428711	-0.953857	1529649916404	-54	85
Waist	00b411f7	0.743359	-0.0707884	-0.656392	-0.107499	9.87025	0.484632	1.61856	0.144379	-0.04504	-0.0156457	-0.905029	0.368896	-0.118408	1529649916409	-49	82
Lthigh	00b411f4	0.256599	-0.692488	-0.347403	-0.577865	9.48714	0.737734	-1.54	0.117999	0.000952811	-0.0259489	-0.942627	0.361328	0.34082	1529649916411	-50	81
Lshank	00b4111b	0.647853	-0.11231	-0.749468	-0.0772667	9.83485	-0.0633134	-1.32708	0.0535186	0.00375728	-0.00633629	-0.97998	0.404297	0.0751953	1529649916412	-54	89
Rthigh	00b411c8	0.146778	-0.725363	-0.20482	-0.640588	9.75746	0.814679	-0.887188	-0.0512263	-3.58363e-05	-0.0124285	-0.87793	0.169189	0.52002	1529649916409	-52	97
Rshank	00b411ee	0.24167	-0.664517	-0.303796	-0.63853	9.85579	0.769009	-0.797798	-0.00850229	-0.0190105	-0.0191238	-1.02124	0.322021	0.283691	1529649916412	-67	83
