40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.439185	0.0600867	-0.895881	-0.0300741	-7.30988	0.0822427	-5.27076	-0.0217733	-0.00813938	0.0365627	0.608398	-0.106201	0.914795	0.0699773	-0.871167	0.422987	0.239277	-4.38476	1.05578	-8.56269	-0.010468	-0.0092866	-0.00695822	0.25293	-0.286133	1.14551	0.0132971	0.00599008	-0.989178	-0.145993	0.0824907	2.64267	-8.61547	-0.042139	0.0165619	0.0262701	-0.424561	-0.27832	0.939453	-0.0246805	-0.237073	0.894684	-0.377794	1.98103	-6.71479	-6.84831	-0.0953542	-0.0241639	0.0217334	-0.612305	0.647461	0.601074	0.0193165	0.203276	-0.978927	-0.00265502	0.420805	0.0304739	-9.92729	0.164753	0.00805187	-0.0239439	-0.436035	-0.22168	1.03125	-0.124622	-0.323265	-0.692414	-0.632876	2.21463	8.49197	-1.43034	-0.00154116	0.0134425	-0.0341671	-0.678467	-0.838623	0.444824	-0.255009	-0.204093	-0.936744	0.125804	-4.5464	-1.31071	-7.70686	-0.0251891	0.0373512	-0.059773	0.163086	0.0500488	1.06763	0.786392	-0.147776	-0.544693	-0.251117	9.62803	0.514048	3.70915	-0.00517438	0.0278027	-0.000685959	-0.891357	0.101318	-0.593994	0.0993569	0.199855	0.968292	-0.112232	-2.02725	-2.005	-8.69031	0.034119	0.00348769	-0.0246921	-0.179932	0.364014	1.02539	0.804492	-0.0429876	-0.592234	0.0142939	9.59809	-0.917583	2.97166	-0.000159193	0.0149777	0.0137067	-0.856445	0.0856934	-0.645508	-0.0654075	0.150361	-0.935609	-0.312649	-2.06584	5.48792	-7.80173	0.00083571	0.0175063	-0.00516272	-0.227295	-0.783691	0.910645	
1	-0.439981	0.0618667	-0.895428	-0.0282592	-7.26242	-0.0597915	-5.21862	0.0148199	-0.0179893	-0.0613385	0.610107	-0.0974121	0.9104	0.0700601	-0.871235	0.423054	0.238884	-4.40757	1.148	-8.45629	-0.0158676	0.0238881	-0.0256783	0.25293	-0.281982	1.14771	0.0128973	0.00529059	-0.988648	-0.149599	0.32307	2.74386	-8.42942	-0.136763	0.00485683	-0.00308785	-0.418213	-0.282715	0.939697	-0.0242788	-0.237178	0.895403	-0.376045	2.07876	-6.47983	-7.06732	-0.0810662	-0.0314223	0.00427573	-0.621338	0.649414	0.612061	0.0187736	0.203274	-0.978942	-0.000196746	0.409586	0.495742	-9.90743	0.0531954	-0.00298788	-0.0142265	-0.432129	-0.215088	1.03369	-0.124688	-0.323342	-0.692587	-0.632634	2.27907	8.36673	-1.3335	0.0369067	0.00694463	-0.0113955	-0.68042	-0.843018	0.447021	-0.25428	-0.203737	-0.937063	0.125479	-4.48475	-1.1548	-7.98355	0.0230828	0.0492721	-0.0206484	0.165039	0.0522461	1.06763	0.786657	-0.147989	-0.54439	-0.25082	9.61572	0.380187	3.76726	0.00279349	0.0273625	0.00309726	-0.895508	0.097168	-0.60083	0.0990325	0.199817	0.968248	-0.112969	-2.02697	-2.05475	-8.71966	0.0367333	0.0158478	-0.0281289	-0.177734	0.368408	1.02759	0.804581	-0.0427308	-0.592116	0.0148987	9.54448	-0.928641	3.07107	0.0264713	0.0162255	0.0149629	-0.861084	0.0876465	-0.650146	-0.0653719	0.150383	-0.935665	-0.312478	-1.99512	5.45687	-7.81643	0.0028343	0.00474121	-0.00558087	-0.222656	-0.788086	0.910645	
2	-0.439306	0.0622335	-0.895744	-0.0279349	-7.25763	-0.0347259	-5.24576	0.00979867	0.039704	-0.00564559	0.610352	-0.0996094	0.908203	0.0693489	-0.871319	0.422668	0.239468	-4.37631	0.984622	-8.55915	-0.022606	0.00326802	-0.0288024	0.25293	-0.28418	1.14551	0.0127082	0.00455519	-0.988331	-0.151722	0.238115	2.77662	-8.5737	-0.0865581	-0.0291239	0.0212336	-0.420166	-0.284912	0.9375	-0.0241842	-0.23701	0.895811	-0.375184	2.32039	-6.35629	-7.09218	-0.0144738	0.0102857	0.014783	-0.616943	0.649658	0.605469	0.0193562	0.203258	-0.978932	-0.00192795	0.339717	0.117354	-9.72497	-0.105567	0.0242198	-0.0184751	-0.434082	-0.219482	1.03125	-0.124589	-0.323864	-0.692371	-0.632623	2.10098	8.31301	-1.32456	0.00177549	0.00227262	0.00596127	-0.685059	-0.834473	0.451172	-0.253996	-0.203148	-0.937417	0.124363	-4.62518	-1.21583	-7.93576	-0.0232774	0.0375715	-0.0139305	0.158936	0.0478516	1.06543	0.78673	-0.147833	-0.544462	-0.250526	9.66753	0.405043	3.7992	0.0288021	0.014508	-0.0126728	-0.886963	0.101562	-0.598633	0.0987992	0.199829	0.968243	-0.113194	-1.99982	-2.05548	-8.65094	0.0288544	0.0227517	-0.0266824	-0.186768	0.36377	1.02539	0.804575	-0.042752	-0.592122	0.0149076	9.58555	-0.956894	3.00107	7.48268e-05	0.0103984	0.00221733	-0.863037	0.0810547	-0.647705	-0.0655234	0.150375	-0.935763	-0.312157	-2.02383	5.50252	-7.79803	0.0148536	0.00706322	-0.00923539	-0.220215	-0.790283	0.908447	
3	-0.438257	0.0618791	-0.896269	-0.0283511	-7.27823	0.0128023	-5.33173	-0.0118733	0.040162	0.0263088	0.614746	-0.101807	0.912598	0.0695263	-0.871143	0.422883	0.23968	-4.22963	0.896931	-8.51223	-0.0164338	-0.00141705	-0.00485084	0.255127	-0.286133	1.14307	0.0128494	0.00493592	-0.988574	-0.150103	0.411227	2.43435	-8.60479	0.130363	0.0259288	-0.00875867	-0.426758	-0.27832	0.941895	-0.0241976	-0.236842	0.895939	-0.374985	2.09958	-6.44322	-6.9923	-0.0090439	0.00635185	0.00341074	-0.623535	0.649414	0.612061	0.0194108	0.203328	-0.978911	-0.00365458	0.323191	-0.0784945	-9.64242	-0.0388026	-0.00611463	-0.0158672	-0.436035	-0.226074	1.03589	-0.124487	-0.324314	-0.692058	-0.632755	2.11413	8.23293	-1.36882	0.0041168	0.00774193	-0.00234655	-0.682617	-0.843018	0.451416	-0.253157	-0.20316	-0.937659	0.124234	-4.4255	-1.32607	-7.76516	0.0170836	0.0379832	-0.0220913	0.158447	0.0544434	1.06323	0.786861	-0.147655	-0.544268	-0.250639	9.58739	0.463391	3.81642	0.00555994	0.0193611	-0.0129338	-0.888916	0.097168	-0.60083	0.0985236	0.199652	0.968278	-0.113441	-2.00089	-2.03631	-8.68384	0.0187978	0.000197429	-0.0190546	-0.184814	0.37085	1.02539	0.804543	-0.0426979	-0.592166	0.0150876	9.6086	-0.939261	2.91317	0.00868122	0.00731548	0.00526973	-0.863037	0.083252	-0.645508	-0.0654751	0.150464	-0.935773	-0.312095	-2.06821	5.52	-7.83808	0.00536183	0.00906232	-0.00808848	-0.222412	-0.790283	0.912842	
4	-0.438288	0.0618011	-0.896263	-0.0282319	-7.27033	0.0407678	-5.36074	0.0140498	-0.00282308	0.00247547	0.608154	-0.101807	0.914795	0.0695636	-0.871157	0.422999	0.239413	-4.26185	0.9271	-8.49566	0.00732009	0.031419	-0.0149523	0.250732	-0.281982	1.14771	0.0121952	0.00459213	-0.988849	-0.148348	0.340417	2.74069	-8.31067	0.0467823	-0.0281128	-0.0174632	-0.42041	-0.273926	0.939453	-0.0241976	-0.236842	0.895939	-0.374985	2.09958	-6.44322	-6.9923	-0.0090439	0.00635185	0.00341074	-0.623535	0.649414	0.612061	0.0192945	0.203373	-0.978906	-0.00304541	0.383574	0.0534239	-9.65988	0.0384948	0.00908532	-0.024412	-0.433838	-0.223877	1.03125	-0.124593	-0.324574	-0.69258	-0.632029	2.11189	8.22251	-1.43509	0.0589258	-0.00423677	-0.0265386	-0.685059	-0.83667	0.444824	-0.253157	-0.20316	-0.937659	0.124234	-4.4255	-1.32607	-7.76516	0.0170836	0.0379832	-0.0220913	0.158447	0.0544434	1.06323	0.786867	-0.147606	-0.544147	-0.250912	9.61835	0.489565	3.75107	-0.00237892	0.0139697	-0.0167913	-0.887207	0.10376	-0.605713	0.0985974	0.199701	0.968264	-0.113415	-2.0024	-2.07372	-8.67427	0.00477695	0.0029445	-0.0185115	-0.180176	0.373047	1.02979	0.804716	-0.0425735	-0.59194	0.0150635	9.53674	-0.85856	3.02627	-0.00796765	0.0199286	-0.000834766	-0.852051	0.0878906	-0.641113	-0.0655205	0.150272	-0.935754	-0.312235	-2.01488	5.42188	-7.80917	0.00505535	0.000955357	0.00430341	-0.220459	-0.783447	0.910645	
5	-0.438891	0.0618315	-0.895969	-0.0281362	-7.30591	0.0515313	-5.30296	0.00356138	-0.00409656	-0.0141712	0.605713	-0.0976562	0.914795	0.0704645	-0.871141	0.423333	0.238616	-4.32319	0.963724	-8.48066	0.00970024	0.0343567	-0.0192933	0.25708	-0.277588	1.14526	0.012606	0.00438611	-0.989063	-0.14689	0.14233	2.62119	-8.51458	0.0522931	0.0165116	0.0341377	-0.424805	-0.269531	0.94165	-0.024653	-0.236414	0.896035	-0.374997	2.03571	-6.39722	-6.96426	-0.0592842	0.00943569	0.0123214	-0.616943	0.651855	0.609863	0.0185375	0.203366	-0.978927	-0.0010206	0.498997	0.0407747	-9.69523	0.0983609	-0.000884292	-0.006985	-0.434326	-0.210693	1.03589	-0.124894	-0.324761	-0.692938	-0.631481	2.18757	8.30635	-1.34671	0.0169854	-0.00222834	-0.0277543	-0.684814	-0.838623	0.451172	-0.251923	-0.203199	-0.937881	0.124995	-4.50567	-1.29711	-7.78327	0.0193846	0.0128091	-0.0250094	0.156494	0.0522461	1.06104	0.786773	-0.148143	-0.543934	-0.251352	9.60745	0.388803	3.74038	-0.0256518	0.0167299	-0.0186772	-0.886963	0.101562	-0.605713	0.0989633	0.199876	0.968255	-0.112866	-2.01323	-2.04002	-8.64553	-0.0215872	0.00507724	-0.0104466	-0.180176	0.37085	1.02759	0.804743	-0.0429091	-0.591883	0.0149061	9.56857	-0.962657	2.9951	-0.00987076	0.0151302	0.00742221	-0.858643	0.0834961	-0.643311	-0.0655354	0.150057	-0.935704	-0.312484	-2.0133	5.49377	-7.81007	-0.019777	0.00153287	0.00106598	-0.224854	-0.785889	0.910645	
6	-0.438953	0.062124	-0.895935	-0.0276108	-7.26367	-0.0170776	-5.27637	0.0291207	-0.00413994	-0.0390799	0.612549	-0.0996094	0.9104	0.0709846	-0.871191	0.423333	0.238278	-4.52389	1.04269	-8.42986	0.0409749	0.0200955	-0.0339488	0.254883	-0.279785	1.14526	0.0122803	0.00387574	-0.988968	-0.147566	-0.0448727	2.81476	-8.4874	-0.0526444	-0.0273492	0.0288719	-0.424805	-0.271729	0.937012	-0.0247111	-0.236245	0.896164	-0.374789	2.03794	-6.46139	-7.11055	0.0111817	0.00489323	0.00375921	-0.614502	0.647461	0.609863	0.018157	0.203539	-0.978898	-0.000135798	0.269775	0.190682	-9.90822	0.0256594	-0.00710502	-0.0214435	-0.429932	-0.212891	1.03369	-0.125088	-0.324862	-0.693087	-0.631228	2.20014	8.40503	-1.41859	0.00347378	0.00501078	-0.0165458	-0.682617	-0.84082	0.449219	-0.251455	-0.203425	-0.937952	0.125039	-4.6381	-1.14998	-7.81353	0.026946	0.0259508	-0.00430582	0.154297	0.0500488	1.06543	0.786749	-0.148306	-0.543874	-0.251462	9.62613	0.440598	3.74798	-0.00966291	0.0162056	-0.0156436	-0.893555	0.101562	-0.605713	0.0991307	0.199957	0.968268	-0.112459	-2.01265	-2.05977	-8.72795	-0.0258092	0.00298002	-0.01334	-0.186523	0.356934	1.02563	0.80481	-0.0431084	-0.59178	0.0147814	9.57442	-0.932398	2.98459	-0.0171473	0.0221207	0.0041088	-0.851807	0.0791016	-0.645508	-0.0654772	0.149994	-0.935653	-0.312679	-2.0253	5.44669	-7.77195	-0.0144146	0.00713654	-0.000375268	-0.220459	-0.783447	0.908203	
7	-0.439254	0.0625165	-0.895765	-0.0274252	-7.28681	0.000561526	-5.31203	0.00551979	-0.0191213	-0.0179823	0.614502	-0.0974121	0.908203	0.0705431	-0.871398	0.423014	0.238221	-4.18024	0.995097	-8.46944	-0.0334691	0.0547508	-0.0294579	0.25293	-0.281982	1.14526	0.0126586	0.00431158	-0.988762	-0.148896	0.228851	2.5682	-8.59899	-0.0409904	0.031508	-0.0221244	-0.426758	-0.280518	0.941895	-0.0247945	-0.236307	0.895975	-0.375197	2.19296	-6.29015	-7.13666	0.0261013	0.0105166	-0.00463975	-0.616943	0.649658	0.609863	0.0183939	0.203388	-0.978925	-0.00115981	0.357346	0.181044	-9.68697	-0.0825005	0.0141079	-0.0161564	-0.431885	-0.217285	1.03589	-0.125327	-0.324939	-0.692528	-0.631754	2.09021	8.26715	-1.26636	-0.0231697	0.0120568	-0.0103498	-0.68042	-0.845215	0.451416	-0.251022	-0.2033	-0.938155	0.124587	-4.41981	-1.20577	-7.90457	0.0217954	0.0426665	-0.0111713	0.154297	0.0544434	1.06323	0.786832	-0.148439	-0.543694	-0.25151	9.64604	0.467023	3.76503	0.00274965	0.0261051	-0.0129457	-0.895752	0.101562	-0.603271	0.099295	0.200124	0.968212	-0.112505	-2.02194	-2.02863	-8.69895	0.0229163	0.001013	-0.0215158	-0.17334	0.373047	1.03198	0.804894	-0.0431517	-0.591664	0.0147604	9.56857	-0.944463	2.97096	-0.00293782	0.0227019	0.00352886	-0.86084	0.0854492	-0.645508	-0.065522	0.149843	-0.935707	-0.312579	-2.03026	5.55561	-7.81538	0.00913757	0.0020625	-0.00265396	-0.222656	-0.783447	0.912842	
8	-0.439646	0.0624689	-0.895578	-0.0273805	-7.26322	-0.0231054	-5.25865	-0.00428997	-0.0131193	0.0106206	0.612549	-0.0996094	0.9104	0.0702704	-0.871423	0.42314	0.237983	-4.36591	0.92412	-8.51948	-0.0235264	0.0192747	-0.0150634	0.246094	-0.277588	1.14526	0.0123243	0.00523389	-0.988855	-0.148277	0.469857	2.58526	-8.3091	0.0925777	0.0092643	-0.0602424	-0.42041	-0.280518	0.944092	-0.0246568	-0.236199	0.895921	-0.375404	2.0566	-6.4051	-6.94844	0.0201579	0.00351522	0.0119573	-0.618896	0.647461	0.605469	0.0185747	0.203663	-0.978862	-0.00235773	0.23413	0.11521	-9.76754	-0.0971434	0.00275766	-0.0393148	-0.434082	-0.219482	1.03369	-0.12522	-0.32505	-0.692662	-0.631571	2.12604	8.24818	-1.33018	0.025418	0.0126214	-0.00981716	-0.689209	-0.84082	0.453369	-0.250868	-0.203314	-0.938165	0.124804	-4.56586	-1.27841	-7.90385	0.0415534	0.0211034	-0.0142021	0.154297	0.0522461	1.06323	0.787016	-0.148631	-0.543357	-0.251549	9.60045	0.467232	3.7794	-0.0111273	0.0280091	-0.00830307	-0.891357	0.101562	-0.598633	0.0993792	0.200106	0.968182	-0.112718	-2.00021	-2.04195	-8.70762	0.0231778	-0.00175367	-0.0260593	-0.177734	0.368408	1.03223	0.805195	-0.0425594	-0.591283	0.01531	9.51049	-0.907156	3.01412	0.0229126	0.0184353	0.00584535	-0.856445	0.0856934	-0.643311	-0.0655739	0.1498	-0.935774	-0.31239	-2.00323	5.45569	-7.76916	0.0270043	0.00703961	-0.00474778	-0.227295	-0.783691	0.910645	
9	-0.439971	0.0623697	-0.895424	-0.0274135	-7.27255	-0.0224661	-5.22975	0.00843729	-0.0143475	0.00123107	0.614502	-0.0952148	0.912598	0.0706007	-0.871164	0.423714	0.237814	-4.29153	0.957436	-8.47001	0.031963	0.00988248	-0.0112038	0.248535	-0.281982	1.14062	0.0124975	0.0058363	-0.989119	-0.146469	0.111172	2.63173	-8.48695	0.149754	0.0264674	-0.0504757	-0.428955	-0.271729	0.946289	-0.024607	-0.236007	0.896031	-0.375265	2.27785	-6.59832	-6.9812	0.00723139	0.00536675	0.00807951	-0.619385	0.654053	0.609619	0.0190103	0.204397	-0.978697	-0.00357634	0.429077	0.0313492	-9.60632	-0.0434353	0.012583	-0.0525422	-0.436035	-0.226074	1.03589	-0.125268	-0.325461	-0.692569	-0.631452	2.16259	8.17381	-1.41682	0.00561209	-0.00498544	-0.00655759	-0.684814	-0.84082	0.451172	-0.250536	-0.202778	-0.938424	0.124392	-4.4388	-1.17427	-7.92443	0.00656508	0.0351063	-0.026183	0.156494	0.0522461	1.06958	0.787196	-0.148693	-0.543101	-0.251503	9.66064	0.377077	3.72699	0.0252237	0.0322689	-0.00994466	-0.88916	0.101562	-0.60083	0.0992145	0.199784	0.968091	-0.114205	-2.01067	-2.0558	-8.65677	0.0495715	0.00220815	-0.0336513	-0.182373	0.37085	1.02319	0.805225	-0.0424755	-0.591245	0.0154148	9.59668	-0.955798	3.02449	0.00517763	0.0124673	0.00336015	-0.86084	0.0834961	-0.647705	-0.065562	0.149737	-0.935841	-0.312222	-2.03643	5.49865	-7.84426	-0.00364553	0.00771817	-0.00594581	-0.218018	-0.787842	0.91748	
