Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.590529	-0.407117	-0.367051	-0.592288	9.02595	0.129489	4.90133	-0.026214	0.0939643	0.00375968	-0.792725	0.408936	-0.318115	1529648715532	-55	82
Throax	00b411e8	0.674071	-0.364762	-0.468824	-0.439069	9.47544	-0.89094	2.53902	-0.0299152	-0.0465703	0.0147633	-0.7229	0.388916	-0.12915	1529648715540	-49	85
LUpArm	00b411d9	0.165187	-0.0429602	0.0115015	-0.985259	0.611849	0.0467734	10.857	0.191692	-0.105711	0.102433	-0.152344	0.330566	-0.94165	1529648715535	-60	86
LFoArm	00b41148	0.57211	-0.168131	0.117032	-0.794182	1.33569	-3.75663	9.36094	0.165088	-0.102866	0.00460264	-0.0837402	0.84375	-0.686279	1529648715535	-63	88
RUpArm	00b411db	0.693789	-0.076337	0.0310647	-0.715447	0.851659	-0.988374	9.69256	-0.244869	-0.0894431	-0.057096	-0.097168	0.505859	-0.82373	1529648715536	-64	88
RFoArm	00b41204	0.43745	-0.0442075	0.162799	-0.883278	1.29892	-0.412024	13.3176	-0.299633	-0.0785194	-0.00653576	-0.173584	0.498047	-0.915039	1529648715532	-59	88
Waist	00b411f7	0.546338	-0.45603	-0.508659	-0.48458	9.83512	-0.0549335	1.17963	0.0472192	-0.0324585	0.014519	-0.899658	0.392578	-0.0808105	1529648715535	-49	86
Lthigh	00b411f4	0.405665	-0.593295	-0.430624	-0.545894	9.76813	0.784883	-0.298572	-0.025516	0.0412401	0.00992812	-0.984131	0.35376	0.172852	1529648715538	-51	85
Lshank	00b4111b	0.451677	-0.544988	-0.518523	-0.479698	9.74746	-0.0687259	-0.766484	-0.0202323	0.0526795	0.00293937	-0.993408	0.393311	0.0195312	1529648715538	-48	93
Rthigh	00b411c8	0.260883	-0.674264	-0.295707	-0.624392	9.82393	0.454833	-0.0725497	-0.0175829	-0.00881197	0.0131986	-0.935059	0.247314	0.356201	1529648715535	-53	100
Rshank	00b411ee	0.237278	-0.666121	-0.282944	-0.648016	9.84634	0.36761	-0.493064	0.014174	0.0541627	0.0456255	-1.03491	0.37915	0.187012	1529648715538	-51	86
