40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.569158	-0.372327	-0.371048	-0.632262	9.1036	0.981659	4.5269	0.0925285	-0.183728	0.0324791	-0.848145	0.333008	-0.408203	-0.49204	0.475239	0.452399	0.572171	9.38718	0.702002	1.74606	-0.0418481	-0.0488406	0.0170244	-0.855225	0.268799	-0.0705566	-0.735969	0.0165183	0.0616619	0.673999	1.44784	0.0636831	10.7135	0.122949	-0.103423	0.125919	-0.140625	0.263428	-1.0061	-0.789986	0.162581	-0.0457328	0.589404	1.17378	-2.90302	9.98743	-0.133923	-0.146752	0.102057	0.0898438	0.74707	-0.768311	-0.747066	0.131429	0.00855066	0.651572	1.93557	-1.78897	9.15866	-0.0795864	-0.106506	0.0308398	-0.0822754	0.571777	-0.82373	-0.518566	-0.137852	0.0639726	0.841424	1.38451	1.00973	13.712	-0.00904777	-0.0878593	0.0565849	-0.10498	0.335693	-1.04321	-0.404431	0.570439	0.588474	0.405874	8.85786	0.413399	-2.67242	-0.00387986	-0.190125	0.00370216	-0.894043	0.376465	0.332764	-0.733362	0.12289	0.0823678	0.663547	4.66598	-0.290371	11.3438	-0.0157904	0.037432	0.00753554	-0.248291	0.450684	-0.931885	-0.330858	0.63146	0.680158	0.170809	6.8921	-1.51197	-6.89246	0.291645	-0.0149074	-0.182092	-0.683594	0.589355	0.656006	-0.656801	0.23373	0.0873768	0.711582	5.09581	-2.16439	9.52434	0.192658	0.0198497	0.0463244	-0.44751	0.593262	-0.775146	-0.17853	0.584192	0.741622	0.277207	6.22487	1.66282	-7.99411	0.168541	0.075316	-0.0154616	-0.756836	0.245361	0.843262	
1	0.568857	-0.373566	-0.373563	-0.630318	9.38058	0.975737	4.60195	0.0412844	-0.116425	0.0156571	-0.846191	0.335205	-0.408203	-0.490625	0.476736	0.452473	0.572082	9.69962	0.464688	1.11013	-0.0221624	-0.0896934	-0.023661	-0.855469	0.273193	-0.0683594	-0.736377	0.0139074	0.0675944	0.673043	2.18545	2.25497	10.7899	0.0852043	-0.0566192	0.00705714	-0.146729	0.254883	-1.0105	-0.790366	0.159975	-0.0428783	0.589824	1.59509	-2.50377	9.77484	0.209058	-9.95526e-05	-0.0355926	0.0837402	0.736084	-0.774658	-0.748028	0.131202	0.0109884	0.650476	2.14085	-1.97918	9.52421	0.124484	-0.0491132	0.0246951	-0.0822754	0.56958	-0.828369	-0.520309	-0.13676	0.0647008	0.84047	1.28549	1.78522	12.9011	-0.0693313	-0.0370697	0.0665469	-0.107178	0.337891	-1.04126	-0.400921	0.572506	0.592258	0.400912	8.92525	-0.0120312	-3.67738	0.136868	-0.32169	-0.0480021	-0.891846	0.374268	0.336914	-0.732685	0.120012	0.077489	0.665406	3.68976	-0.883798	10.3082	-0.110042	0.27215	-0.0719542	-0.241943	0.455078	-0.929688	-0.334865	0.630516	0.677569	0.176679	6.56014	-1.91037	-6.55507	-0.0252958	0.31492	-0.0062365	-0.694824	0.58252	0.635986	-0.658973	0.232014	0.0859367	0.710309	5.52447	-0.893836	9.33895	-0.0157852	0.123976	0.119694	-0.442871	0.593262	-0.777588	-0.181782	0.582713	0.741602	0.278257	6.91996	2.29073	-7.77569	0.0643015	0.16416	-0.01733	-0.763672	0.251709	0.836426	
2	0.566846	-0.375346	-0.377201	-0.628904	9.47543	0.889814	4.47959	0.0607938	-0.234904	-0.0745	-0.852539	0.330566	-0.393311	-0.490065	0.477582	0.454532	0.570221	10.572	0.640547	1.35888	0.0434888	-0.0924099	-0.0196282	-0.853027	0.269043	-0.0563965	-0.736154	0.017132	0.0661055	0.67336	1.84166	0.620767	11.2188	-0.0315332	-0.0620012	-0.0242021	-0.146973	0.25708	-1.0105	-0.790083	0.159744	-0.0424349	0.590296	1.66098	-2.22931	9.6902	0.0336697	-0.00367728	-0.0493248	0.0834961	0.740479	-0.772705	-0.748348	0.13516	0.0115551	0.649286	2.44945	-1.91599	9.59823	-0.169252	-0.151028	0.055122	-0.0932617	0.571777	-0.82373	-0.521273	-0.135153	0.067394	0.83992	1.7776	1.44697	13.4124	0.206282	-0.0950238	0.0305574	-0.106934	0.333496	-1.03906	-0.398498	0.573839	0.594072	0.39873	9.77383	0.161613	-3.31687	0.000260705	-0.109367	-0.0219366	-0.889404	0.37207	0.352051	-0.732511	0.11769	0.0786028	0.665882	2.06804	-0.716802	8.88134	0.169987	-0.046468	-0.0095245	-0.237305	0.446289	-0.927246	-0.334866	0.630173	0.676632	0.181426	1.74126	-2.84296	-5.39651	-0.160463	0.0416368	-0.0989292	-0.699219	0.577881	0.64502	-0.658941	0.234699	0.0813165	0.710001	3.70679	-1.63425	7.68134	-0.184554	-0.00639901	0.0341706	-0.438965	0.604248	-0.768555	-0.183465	0.583017	0.740105	0.280494	2.85719	1.89862	-7.05074	-0.00929987	0.0803474	0.0545958	-0.763428	0.24292	0.832031	
3	0.563523	-0.378292	-0.38384	-0.626102	9.28446	1.15773	3.89321	0.0913009	-0.331663	-0.0545479	-0.856934	0.328369	-0.384521	-0.490516	0.477784	0.454097	0.570011	9.77103	0.560458	1.57599	-0.0477755	0.0653942	0.0163837	-0.855225	0.270996	-0.065918	-0.735108	0.0183499	0.0676866	0.674313	1.94533	1.10022	11.1156	-0.0923931	-0.0599341	-0.0521067	-0.148926	0.25708	-1.00586	-0.78821	0.163937	-0.0426396	0.591635	1.3583	-3.22706	10.0747	-0.111613	-0.0333615	-0.0623407	0.0742188	0.749268	-0.772705	-0.748213	0.135739	0.014365	0.649265	2.33859	-1.40182	9.8721	0.0225828	-0.0633306	-0.0504916	-0.095459	0.573975	-0.82373	-0.522431	-0.131463	0.0685138	0.839696	1.6122	1.88836	14.1528	-0.115593	-0.137677	0.0259577	-0.124268	0.335693	-1.03687	-0.397718	0.57467	0.594173	0.398162	9.08224	0.244689	-2.71906	-0.0587636	-0.0406783	0.00447576	-0.885498	0.380615	0.349609	-0.734239	0.121787	0.0827111	0.662737	4.03913	-0.335284	10.7863	-0.0219587	-0.222918	0.127617	-0.244141	0.452881	-0.931885	-0.334572	0.629482	0.679085	0.175093	7.40202	-1.58274	-6.52211	0.201088	-0.205207	0.0193059	-0.687988	0.584961	0.640625	-0.657393	0.234632	0.0876262	0.710707	4.69289	-1.57603	8.80005	0.260065	-0.181585	-0.177962	-0.445068	0.591064	-0.761475	-0.183725	0.583618	0.740381	0.278336	5.9314	2.87172	-7.13958	0.0123195	-0.0618256	0.0312405	-0.761719	0.25415	0.831787	
4	0.562315	-0.38041	-0.387176	-0.623847	9.68271	1.20595	3.87058	0.0347439	-0.10433	0.0167175	-0.858887	0.321533	-0.373779	-0.490471	0.47726	0.45197	0.572175	9.36344	0.362832	1.39203	-0.0754331	0.0741093	-0.0413965	-0.855225	0.270996	-0.065918	-0.733945	0.0205841	0.0628614	0.67598	1.64103	0.700664	10.7318	-0.165787	0.128725	-0.0805762	-0.14917	0.27002	-1.00171	-0.78735	0.165448	-0.0453497	0.592157	1.35132	-3.34633	9.89218	-0.142586	0.0957604	0.00888416	0.076416	0.749268	-0.763916	-0.747625	0.136959	0.0131682	0.649712	2.28869	-2.09485	9.65908	0.0390802	0.0769613	-0.0518378	-0.0979004	0.578369	-0.821533	-0.520531	-0.133627	0.071196	0.840311	1.32656	2.45583	14.275	0.0730598	0.0703331	-0.103637	-0.119873	0.329102	-1.04321	-0.397174	0.575432	0.593463	0.398662	8.44591	0.119641	-3.48675	0.0203945	-0.0256349	-0.00485697	-0.889893	0.378662	0.354004	-0.734843	0.124856	0.0831913	0.661434	3.73843	-0.267019	11.2972	0.00876097	-0.013355	0.0166001	-0.252441	0.444092	-0.929443	-0.332999	0.629711	0.679953	0.173899	8.65972	-2.1831	-7.42571	0.022135	-0.0462411	-0.0424027	-0.683105	0.58252	0.654053	-0.657393	0.234632	0.0876262	0.710707	4.69289	-1.57603	8.80005	0.260065	-0.181585	-0.177962	-0.445068	0.591064	-0.761475	-0.180587	0.586742	0.738574	0.278624	6.26167	1.58124	-7.79796	-0.0778475	-0.103361	0.0913424	-0.754639	0.251953	0.831787	
5	0.562407	-0.380504	-0.386939	-0.623853	9.2969	1.08288	4.14072	-0.0135403	0.0116573	-0.0115558	-0.863525	0.325928	-0.375977	-0.489762	0.476792	0.451683	0.573398	9.92511	0.728494	1.44154	-0.0339017	0.0524303	-0.0823486	-0.859375	0.264404	-0.0703125	-0.732886	0.017614	0.0604552	0.677431	1.72593	0.925331	10.7966	0.0283282	0.16191	-0.0766485	-0.146973	0.27002	-1.00391	-0.786975	0.165073	-0.0506337	0.592332	1.25659	-3.38021	9.72259	-0.0644105	0.212117	0.000238091	0.0898438	0.749268	-0.766113	-0.746445	0.136138	0.00998417	0.651296	1.88349	-2.18153	9.46205	-0.118515	0.126456	-0.0483337	-0.0935059	0.580566	-0.82373	-0.518993	-0.135637	0.0677641	0.841223	1.30026	1.11535	14.0804	0.0964644	0.174578	-0.132492	-0.111328	0.333496	-1.04102	-0.394526	0.577494	0.593165	0.398756	9.31409	0.327364	-2.97855	-0.129977	-0.122771	-0.0141955	-0.887695	0.380615	0.355957	-0.734129	0.125392	0.0819736	0.662278	3.31968	-0.389285	9.97239	-0.0848265	0.0309816	-0.0872114	-0.248535	0.455078	-0.922607	-0.336001	0.632462	0.677118	0.169132	5.53236	-1.02168	-5.96172	0.095249	-0.0151389	0.297552	-0.679199	0.596436	0.644775	-0.651381	0.236299	0.0890674	0.715494	4.70102	-2.63318	9.08001	0.0445777	0.0402834	-0.124959	-0.467285	0.59082	-0.766113	-0.173715	0.588432	0.737119	0.283241	6.33878	3.12771	-7.42228	-0.536956	-0.113433	-0.0954666	-0.749512	0.232178	0.848145	
6	0.561979	-0.380563	-0.386907	-0.624224	9.42423	1.23967	4.27051	-0.0291588	-0.00802312	-0.0334506	-0.865723	0.325928	-0.371826	-0.489665	0.475731	0.451925	0.574171	9.95042	0.77074	1.65803	0.013376	0.0782934	-0.1001	-0.857422	0.266602	-0.0703125	-0.732355	0.0177692	0.0564634	0.678345	1.983	1.42343	11.0507	-0.228712	0.232315	-0.0731459	-0.136475	0.27832	-0.999756	-0.787006	0.161693	-0.0540827	0.592919	1.00043	-2.79271	9.37207	-0.0269291	0.182811	0.0317167	0.0964355	0.751465	-0.761719	-0.746159	0.132912	0.00975196	0.652292	2.15957	-2.15122	9.78702	0.17716	0.201762	-0.0871229	-0.0869141	0.578369	-0.832764	-0.518029	-0.137128	0.0661744	0.841703	1.27091	1.9655	13.5438	-0.0300388	0.168657	-0.130776	-0.109131	0.331299	-1.04102	-0.394697	0.577418	0.591228	0.401563	9.32391	0.426581	-3.02947	-0.0661098	0.0927943	-0.0114877	-0.88501	0.369873	0.354248	-0.733143	0.127138	0.0811649	0.663136	2.77643	-0.221526	9.58871	-0.156084	-0.0246428	-0.0982633	-0.250732	0.457275	-0.929688	-0.333745	0.635693	0.675151	0.169352	4.67438	-1.03665	-6.07638	-0.234778	-0.095086	0.220233	-0.676758	0.596436	0.651611	-0.651319	0.234785	0.0907097	0.715843	5.39864	-3.01871	9.35981	0.171801	0.020302	-0.0598054	-0.456055	0.584229	-0.770508	-0.167824	0.587826	0.737178	0.287864	6.79957	1.07742	-7.67346	-0.5386	-0.110885	-0.241213	-0.746826	0.225586	0.852783	
7	0.560751	-0.381693	-0.3863	-0.625013	9.43264	0.967015	4.25341	-0.0701363	-0.0424124	-0.0339998	-0.865723	0.328125	-0.373779	-0.490314	0.473843	0.449496	0.577078	10.0548	0.585713	1.82971	-0.101765	0.195029	-0.0384414	-0.852783	0.262207	-0.0773926	-0.731778	0.0175274	0.0526397	0.679281	1.06883	0.569026	10.8755	-0.194648	0.240806	-0.0809331	-0.134277	0.27832	-0.997314	-0.786881	0.161909	-0.0567	0.592781	0.770973	-3.09908	9.33993	-0.139668	0.159397	0.0325846	0.0961914	0.758057	-0.759766	-0.745118	0.132471	0.00464704	0.653627	1.86516	-2.17335	9.4775	-0.222646	0.155305	-0.0138058	-0.0849609	0.580566	-0.819092	-0.516436	-0.139424	0.0625649	0.842579	1.34829	0.664679	13.9069	0.140259	0.171817	-0.12092	-0.111328	0.335693	-1.04321	-0.394832	0.577597	0.589594	0.40357	9.60527	0.00563091	-3.43698	-0.129425	0.154537	0.0085357	-0.887451	0.374268	0.354004	-0.731542	0.130871	0.0806669	0.664238	4.29683	-1.72437	10.3101	-0.0333799	-0.0856477	-0.0649671	-0.257568	0.463623	-0.92041	-0.330711	0.637047	0.676135	0.166257	6.0932	-2.42502	-6.76776	0.0787234	-0.204097	-0.0458952	-0.677002	0.598633	0.658203	-0.650251	0.231785	0.0944379	0.717308	4.00931	0.277774	9.47698	0.0827905	-0.00859176	-0.139	-0.461914	0.568848	-0.772461	-0.168098	0.585699	0.739658	0.285668	5.21723	3.65978	-7.36219	0.191053	-0.0637633	0.0175018	-0.751221	0.21875	0.848389	
8	0.560572	-0.380891	-0.385603	-0.626093	9.53648	1.25304	4.20882	-0.0224295	0.100801	0.00388515	-0.861084	0.321533	-0.371582	-0.491118	0.472477	0.44587	0.580319	9.4752	0.261294	1.75342	-0.091825	0.184342	-0.00547845	-0.852783	0.262207	-0.0820312	-0.729402	0.0128795	0.047335	0.682324	1.44214	1.08989	10.8802	-0.134299	0.221852	-0.127128	-0.119385	0.284668	-1.00659	-0.787217	0.159199	-0.0595409	0.59279	0.95711	-3.27382	9.18099	0.120029	0.156837	0.0329065	0.0983887	0.758057	-0.76416	-0.744733	0.126627	0.00288145	0.655233	1.62671	-1.34759	9.53737	0.130874	0.228539	-0.0715932	-0.0756836	0.56958	-0.825928	-0.515169	-0.141952	0.0578961	0.843267	1.06527	1.31161	13.3292	-0.26954	0.18376	-0.0970348	-0.098877	0.342041	-1.04126	-0.393986	0.578402	0.588235	0.405223	8.68247	0.14506	-2.9359	-0.0368096	-0.0621604	-0.0133062	-0.891846	0.374268	0.351807	-0.731337	0.129229	0.0864841	0.664053	3.2579	0.122977	11.4392	0.239792	-0.0877552	-0.0346124	-0.259033	0.450684	-0.929443	-0.331042	0.6365	0.678204	0.15912	8.1795	-2.72811	-7.29178	0.313327	-0.178642	0.0882328	-0.665527	0.605469	0.658203	-0.647363	0.231135	0.0924207	0.720386	5.51213	-1.94294	9.23089	0.0131818	0.139176	-0.123586	-0.466553	0.573242	-0.774902	-0.160071	0.589546	0.73586	0.292101	6.61047	0.817611	-7.58497	-0.295153	-0.0816596	0.0651243	-0.746094	0.205566	0.859863	
9	0.56321	-0.380103	-0.381202	-0.626899	9.26355	1.04525	4.56295	-0.0730615	0.170067	0.112087	-0.857178	0.330322	-0.375977	-0.49238	0.470711	0.442986	0.582886	9.52202	0.588944	1.78733	-0.0559368	0.136382	-0.0188351	-0.846436	0.266602	-0.0869141	-0.727356	0.00883921	0.0450755	0.684722	1.26867	0.672374	10.4075	0.0956669	0.1623	-0.137538	-0.117188	0.275879	-1.00195	-0.786617	0.155957	-0.0628263	0.594108	0.94283	-2.78576	9.0427	-0.128928	0.223584	-0.0509965	0.107422	0.755859	-0.755371	-0.74432	0.127343	-0.000691845	0.655569	1.50065	-1.60327	9.19672	-0.235979	0.187539	-0.0183314	-0.0759277	0.576172	-0.825928	-0.514419	-0.145162	0.0537728	0.843451	0.852225	0.846758	12.9304	0.0542945	0.211253	-0.0855354	-0.090332	0.344238	-1.0415	-0.393605	0.579212	0.586584	0.406826	9.17056	-0.0223999	-3.13453	-0.0781557	0.138479	0.00231467	-0.889404	0.37207	0.356201	-0.730659	0.130943	0.0802476	0.665246	4.63667	-0.832205	10.3833	-0.35757	0.193893	-0.0548807	-0.255371	0.463623	-0.925049	-0.329094	0.640568	0.675241	0.159434	6.59197	-2.65947	-6.82833	-0.249825	0.00411964	0.0817837	-0.65625	0.605713	0.658203	-0.645221	0.229476	0.0918913	0.722901	4.47948	-1.35604	8.80622	-0.0867659	0.0671533	-0.144143	-0.4646	0.575439	-0.772705	-0.161177	0.593205	0.733723	0.28945	4.87895	2.58125	-7.42214	-0.196989	-0.0835455	0.195538	-0.735107	0.210205	0.857666	
