40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.0143748	0.22247	-0.406612	-0.885984	-3.65088	8.39995	5.67101	0.0387457	0.0091836	-0.0234307	0.0913086	-0.754883	-0.730957	0.0430408	-0.180636	-0.809415	-0.557105	2.5755	8.74542	-3.67367	-0.0040314	0.0262831	0.00695935	-0.52832	-0.848877	0.411377	0.746039	-0.145822	-0.641552	-0.102824	9.64502	-1.55343	1.15407	0.0368874	-0.004483	0.0413648	-1.0376	0.081543	-0.480957	0.707273	0.357398	-0.499573	0.349941	9.19633	1.91568	2.74389	0.0415734	-0.00652111	-0.0737727	-0.85083	-0.505615	-0.378418	-0.233073	0.486374	-0.173624	-0.823997	-8.65841	0.796396	4.51859	0.161898	0.0932717	-0.0334675	0.675049	-0.288574	-0.735596	0.450117	0.38053	0.489139	-0.642911	-9.19107	-2.75357	3.48101	0.139873	0.0345548	0.10099	0.79126	0.568115	-0.2771	0.111671	-0.343968	-0.801677	-0.475952	4.58672	6.60173	-4.90209	-0.0770083	-0.0127789	-0.0375899	-0.759521	-0.442383	0.552734	0.951068	-0.0914452	-0.181729	-0.232555	4.47697	-0.842751	10.0422	-0.0367774	0.026913	-0.0162721	-0.115723	0.227783	-1.02417	0.730257	-0.0295972	-0.682242	0.0198629	9.9181	-0.513186	0.782599	0.142913	0.037576	-0.0144006	-1.01172	0.0524902	-0.374756	0.272163	-0.374522	-0.607875	-0.645096	8.17326	6.05838	-0.0678995	0.0499007	0.0351693	0.00831632	-1.03516	-0.249756	0.0803223	0.35471	-0.217433	-0.626553	-0.659041	7.061	6.94283	1.10358	-0.114636	-0.0584687	0.0378096	-1.06738	-0.356689	-0.19751	
1	-0.0113767	0.223069	-0.407596	-0.885425	-3.83379	7.53732	5.71711	0.044816	0.0662773	0.122231	0.0871582	-0.761475	-0.724365	0.0433389	-0.18136	-0.808716	-0.557861	2.8013	8.72567	-3.83429	-0.0457551	0.0261758	0.0106216	-0.532715	-0.848877	0.413818	0.74582	-0.148191	-0.641113	-0.103765	9.93158	-0.571139	1.45154	-0.202593	0.0186828	0.0395012	-1.03125	0.0878906	-0.47876	0.708693	0.355675	-0.500685	0.347224	9.63251	1.56736	2.68722	-0.147011	0.00968031	-0.0200403	-0.85083	-0.503418	-0.383057	-0.233126	0.48752	-0.174921	-0.82303	-8.65132	1.07826	4.39366	0.0200761	0.0614922	-0.000769308	0.672852	-0.288574	-0.730957	0.452021	0.382383	0.489209	-0.640418	-9.35379	-2.27947	2.91529	-0.113863	0.0279313	0.0465736	0.798096	0.557129	-0.276855	0.11014	-0.343895	-0.800575	-0.47821	4.78603	6.69378	-5.12324	-0.100678	-0.0018564	-0.0403485	-0.75708	-0.44873	0.550781	0.951076	-0.0913476	-0.180555	-0.233474	4.50608	-1.13915	10.0958	-0.0140887	0.0595522	-0.0555309	-0.115967	0.22998	-1.02881	0.730904	-0.0303689	-0.68152	0.0196773	9.83526	-0.841115	0.59758	-0.0758978	0.0493052	0.00552961	-1.01416	0.0524902	-0.37915	0.272289	-0.374254	-0.605742	-0.647201	8.13983	5.76324	-0.169106	-0.127843	0.0869369	0.00559438	-1.04395	-0.247803	0.0734863	0.351918	-0.221963	-0.623543	-0.661877	7.36541	6.91952	1.18957	-0.275389	-0.120104	0.0161775	-1.07202	-0.352295	-0.19751	
2	-0.0097666	0.224118	-0.408516	-0.884754	-3.66764	7.75689	5.80012	0.0658297	0.134447	0.0921669	0.0895996	-0.763672	-0.724365	0.0429677	-0.181296	-0.808664	-0.557986	2.72267	8.81223	-3.70991	-0.0224037	-0.00558987	-0.0393755	-0.530762	-0.84668	0.413574	0.746053	-0.149742	-0.640351	-0.10456	9.77147	-1.4698	1.11349	-0.13595	0.0579872	0.0426281	-1.03125	0.0964355	-0.483643	0.709183	0.355769	-0.500243	0.346763	9.3543	1.57979	2.31089	-0.018591	0.0351703	-0.0559525	-0.85083	-0.507812	-0.380615	-0.232742	0.487865	-0.174423	-0.823041	-8.78016	1.16624	4.50451	-0.0518061	0.0230147	-0.0107785	0.670654	-0.288574	-0.733154	0.453129	0.381661	0.48967	-0.639712	-9.40524	-2.51273	3.00823	-0.10813	-0.0236718	0.0199357	0.795654	0.565918	-0.274902	0.109415	-0.343711	-0.800166	-0.479193	4.70797	6.77664	-4.89839	-0.0821308	0.00179175	-0.0540395	-0.755127	-0.446533	0.546631	0.950998	-0.0913731	-0.180559	-0.233778	4.49393	-0.905938	9.86989	-0.00280527	0.0177747	-0.0416133	-0.118164	0.234375	-1.02417	0.731304	-0.0303417	-0.681084	0.0199425	9.63136	-1.00649	0.472853	0.0214917	0.0546382	-0.00435451	-1.00928	0.0480957	-0.37915	0.272359	-0.374285	-0.604493	-0.64832	7.96198	5.55559	-0.299964	-0.115053	0.0740305	0.0207283	-1.04419	-0.243408	0.0754395	0.350239	-0.224416	-0.621303	-0.664042	7.45361	6.62577	1.21979	-0.323231	-0.104803	0.00754859	-1.07422	-0.354492	-0.195312	
3	-0.00745815	0.227336	-0.409242	-0.88362	-4.14123	7.72684	5.81532	0.0265874	0.159446	0.033419	0.0981445	-0.761475	-0.726562	0.0434044	-0.180144	-0.808549	-0.558491	2.8417	8.61938	-3.64437	-0.0211323	0.0855185	-0.0311223	-0.530273	-0.855225	0.40918	0.747196	-0.146969	-0.639849	-0.1034	9.79764	-0.76818	1.49101	0.169963	0.0401807	-0.0467163	-1.0332	0.0856934	-0.483398	0.709656	0.356373	-0.499891	0.345681	9.53112	1.68354	2.76275	-0.0553837	0.00408166	-0.0415021	-0.850586	-0.51001	-0.389404	-0.231421	0.487265	-0.173177	-0.824031	-8.52825	0.21784	4.4013	-0.00640545	-0.0400599	0.024915	0.672607	-0.286377	-0.740234	0.452863	0.380483	0.489637	-0.640627	-9.04181	-2.34918	3.25553	-0.00964104	-0.0148033	-0.0836356	0.795654	0.561523	-0.276855	0.107977	-0.342656	-0.799977	-0.480589	4.67303	6.55908	-4.74863	-0.0253628	0.000936322	-0.0847149	-0.75708	-0.453125	0.546631	0.950789	-0.091974	-0.180927	-0.234107	4.45693	-1.38331	10.2844	-0.0211337	-0.00754876	-0.0260523	-0.118164	0.234375	-1.03125	0.732363	-0.029605	-0.679959	0.0205795	9.9692	-0.667722	0.799337	0.0293854	0.071794	-0.0250201	-1.01392	0.050293	-0.374756	0.272179	-0.374811	-0.603191	-0.649305	8.10211	5.09265	-0.0619194	-0.0207161	0.00585189	0.0175844	-1.04395	-0.249756	0.0710449	0.34927	-0.226622	-0.619171	-0.665793	7.40355	6.12762	1.2121	-0.00366726	-0.0128715	0.0217313	-1.07422	-0.350098	-0.199951	
4	-0.00506281	0.23043	-0.409208	-0.882851	-4.37807	7.52769	5.92481	0.000191201	0.148436	0.0393813	0.100342	-0.759277	-0.728516	0.0443158	-0.17879	-0.808811	-0.558475	2.56003	8.81878	-3.62621	0.0174434	0.0277796	-0.0542046	-0.526123	-0.851074	0.404297	0.74806	-0.148207	-0.638317	-0.104844	9.75159	-1.69048	1.34685	-0.0718071	0.0620495	0.0193753	-1.02905	0.0942383	-0.483643	0.709684	0.359471	-0.497332	0.346107	9.37086	1.63292	2.44747	0.0429047	0.0098252	-0.0517619	-0.848389	-0.512207	-0.38501	-0.231287	0.485876	-0.172664	-0.824996	-8.81273	1.06881	4.5478	-0.0940944	-0.068971	0.00210419	0.666504	-0.292969	-0.744629	0.451865	0.377397	0.49221	-0.641185	-9.35911	-2.92147	3.14141	-0.0370836	0.00382428	-0.106054	0.793457	0.568115	-0.274902	0.106396	-0.34221	-0.800203	-0.480881	4.63941	6.62944	-4.66292	-0.0250079	-0.0486335	-0.0483626	-0.748535	-0.450928	0.548828	0.950614	-0.091694	-0.182355	-0.233821	4.53438	-1.5651	9.66081	0.0588251	-0.0342281	0.0135319	-0.120361	0.232178	-1.03125	0.73333	-0.0296614	-0.678921	0.0203308	9.83865	-0.956523	0.818967	0.0126579	0.0663455	-0.0255339	-1.01636	0.0524902	-0.388184	0.274094	-0.373344	-0.605002	-0.647656	8.14482	6.05358	0.133571	0.115607	0.0802935	0.00803377	-1.03979	-0.243164	0.0778809	0.350779	-0.227665	-0.616058	-0.667529	7.15539	5.9056	1.46269	-0.0702021	0.137735	0.0719644	-1.07471	-0.341309	-0.20459	
5	-0.00224677	0.232166	-0.41033	-0.881886	-4.59401	7.52218	5.916	0.0577417	0.0987537	0.0891747	0.102783	-0.763428	-0.722168	0.0453911	-0.17841	-0.809028	-0.558196	2.64646	8.60495	-3.6297	0.00928179	0.0742164	0.00966361	-0.52832	-0.851074	0.406738	0.749558	-0.144625	-0.637718	-0.102776	9.90985	-0.399756	1.36544	0.124205	0.0671949	-0.0149065	-1.02905	0.0942383	-0.48584	0.709792	0.35962	-0.497127	0.346026	9.74149	1.18798	2.62736	0.00475391	0.0152888	-0.019338	-0.850586	-0.51001	-0.38501	-0.230309	0.484869	-0.16934	-0.826549	-8.70166	0.0585098	4.47804	-0.0647664	-0.0779551	-0.0421292	0.664062	-0.288574	-0.735596	0.451359	0.376608	0.492866	-0.641501	-9.24208	-3.02718	3.10746	-0.0296901	0.0118033	-0.106229	0.79541	0.572266	-0.275146	0.106404	-0.342155	-0.800377	-0.480629	4.52899	6.58045	-4.92476	0.0379612	0.00503754	-0.0232239	-0.752197	-0.46167	0.544678	0.950478	-0.0910825	-0.183189	-0.233959	4.77935	-0.705521	10.0871	0.0635082	-0.0355079	-0.0453563	-0.130859	0.225586	-1.02417	0.734664	-0.028675	-0.67754	0.019651	9.99707	-0.823676	0.782095	0.01517	0.0806801	-0.0556568	-1.00903	0.043457	-0.387939	0.274912	-0.373472	-0.602354	-0.649701	7.96028	5.38403	0.0245429	-0.149216	0.0904226	0.0483071	-1.0376	-0.245361	0.064209	0.352386	-0.226735	-0.616951	-0.666173	7.35227	6.13802	1.18701	0.172215	0.0863344	0.056842	-1.07471	-0.343506	-0.208984	
6	-4.10967e-05	0.232201	-0.411962	-0.881119	-4.40067	7.65209	6.00607	0.0515552	0.023861	0.0763257	0.103027	-0.767822	-0.719971	0.0458491	-0.178592	-0.808901	-0.558285	2.75149	8.70541	-3.62896	-0.0127531	-0.00236104	-0.00167517	-0.534912	-0.848877	0.406738	0.750304	-0.14321	-0.637324	-0.101748	9.56208	-1.15386	1.76743	0.136376	0.0278911	-0.0278746	-1.03101	0.0834961	-0.487793	0.708976	0.36319	-0.494598	0.34759	8.99284	2.17163	1.81228	0.156158	0.00772122	-0.0620673	-0.845703	-0.518799	-0.380371	-0.232332	0.482649	-0.170067	-0.827133	-8.76078	0.829557	4.58188	0.0652637	-0.0932321	-0.0459212	0.657227	-0.28418	-0.737793	0.44981	0.375562	0.494294	-0.642104	-9.23651	-2.9009	2.92626	-0.0374111	0.0360786	-0.109665	0.788818	0.57666	-0.273193	0.106203	-0.341553	-0.800622	-0.480694	4.67819	6.46989	-4.65062	-0.00243206	0.0340591	-0.0492671	-0.754639	-0.455322	0.548828	0.950394	-0.0920195	-0.183169	-0.233952	4.28329	-1.20783	9.76433	-0.000370685	0.026638	-0.0198504	-0.12915	0.236572	-1.02417	0.735588	-0.0281591	-0.676567	0.0193614	9.54245	-0.631437	0.982782	0.00926198	0.0572878	-0.0532106	-1.00903	0.0458984	-0.392334	0.275876	-0.373059	-0.602422	-0.649467	7.95764	5.39966	-0.128009	0.109668	0.0402442	0.00636791	-1.04443	-0.241211	0.0710449	0.354359	-0.226156	-0.616534	-0.665709	7.03933	6.7612	1.16834	-0.0649794	0.0686219	0.0389098	-1.07251	-0.339111	-0.206787	
7	0.000377189	0.231505	-0.411711	-0.881419	-4.46188	7.89594	6.03033	-0.0363454	-0.0617549	0.00800651	0.0986328	-0.770264	-0.717773	0.0461735	-0.179743	-0.808263	-0.558812	2.8875	8.5489	-3.31036	-0.0681125	0.0296741	0.0242836	-0.534912	-0.848877	0.404297	0.750377	-0.142843	-0.637176	-0.102649	9.43792	-0.250665	1.8573	-0.141254	0.00892906	-0.00139328	-1.0332	0.0856934	-0.492432	0.709278	0.36271	-0.495495	0.346195	9.55817	2.11569	2.15048	-0.119025	-0.0602174	-0.0423465	-0.8479	-0.518799	-0.378174	-0.233173	0.480015	-0.170093	-0.828423	-7.90545	0.678939	4.74888	0.0382111	-0.130636	-0.0123759	0.65332	-0.290771	-0.74707	0.447444	0.374471	0.493969	-0.644639	-8.65279	-3.1255	3.28212	0.151061	-0.0184533	-0.151435	0.788818	0.574463	-0.277344	0.106819	-0.341093	-0.799816	-0.482224	4.33694	6.52933	-4.47636	-0.0476783	0.0751443	-0.0159786	-0.750244	-0.459473	0.540527	0.950595	-0.0909242	-0.182666	-0.233955	4.47319	-1.1487	10.0376	0.0414728	0.0562621	-0.0150014	-0.120361	0.232178	-1.02881	0.735973	-0.0271502	-0.676194	0.0191837	9.9215	-0.643581	1.0959	0.0422439	0.0195548	-0.0472882	-1.01367	0.043457	-0.387939	0.276818	-0.372068	-0.602708	-0.649369	8.03751	5.60026	0.1143	-0.0140038	0.0579163	-0.00443383	-1.04199	-0.243164	0.0686035	0.355197	-0.22614	-0.615976	-0.665785	7.11656	6.18044	1.40821	0.0296864	0.0410023	0.0246406	-1.07031	-0.339111	-0.211426	
8	0.000656021	0.229101	-0.408761	-0.883418	-4.02307	7.32743	5.85137	-0.157457	-0.101361	0.0309195	0.09375	-0.759277	-0.72876	0.047153	-0.179587	-0.807123	-0.560426	2.60979	8.35271	-3.58887	-0.0414255	0.0546596	-0.00263937	-0.537354	-0.844482	0.406494	0.750055	-0.141731	-0.637509	-0.104462	9.60828	0.158641	2.06041	-0.0156595	0.0233929	-0.128482	-1.0354	0.0793457	-0.494629	0.708901	0.364338	-0.49747	0.342405	9.05135	2.70024	2.12384	-0.360221	-0.162736	-0.0919474	-0.843262	-0.523193	-0.378174	-0.235092	0.476616	-0.17116	-0.829622	-7.98646	0.856305	4.9272	0.0832772	-0.123317	-0.0273858	0.648926	-0.290771	-0.744629	0.445259	0.372528	0.494428	-0.646922	-8.65526	-3.3315	3.57664	-0.0166003	0.00251434	-0.168427	0.78418	0.581055	-0.279541	0.107492	-0.34066	-0.798792	-0.484075	4.49296	6.63648	-4.89596	-0.0276465	0.116519	0.00686079	-0.750244	-0.46167	0.542725	0.950741	-0.0899735	-0.181894	-0.234331	4.2774	-1.01047	10.1016	0.0134584	0.055685	-0.0306936	-0.11377	0.22998	-1.02881	0.736468	-0.0267147	-0.675697	0.0182958	9.80641	-0.811602	1.19939	-0.0227338	0.0545758	-0.0590497	-1.00684	0.0437012	-0.392334	0.277378	-0.371408	-0.601291	-0.650819	8.25429	5.4354	-0.168589	-0.029384	0.0831407	0.00915752	-1.04199	-0.243164	0.0527344	0.356042	-0.224728	-0.616884	-0.664971	7.55698	6.5124	1.24336	0.0633887	0.0588855	-0.0206845	-1.07251	-0.339111	-0.213623	
9	0.000888514	0.226926	-0.407682	-0.884477	-3.561	7.10372	5.73469	-0.0120508	-0.0584237	0.0181555	0.0895996	-0.763672	-0.724365	0.0464685	-0.180239	-0.807221	-0.560133	2.84311	8.57355	-3.51738	0.00421866	-0.0644336	-0.00806996	-0.536865	-0.853271	0.40918	0.749391	-0.143524	-0.637005	-0.109719	9.73108	-1.74395	1.41915	-0.0759285	0.0204947	-0.115143	-1.0332	0.0771484	-0.487793	0.708263	0.364522	-0.499378	0.340748	9.48698	1.21386	2.91265	0.17364	-0.0429631	0.00946608	-0.845459	-0.525391	-0.375977	-0.235051	0.475376	-0.170063	-0.830571	-8.28994	1.12302	5.07842	-0.0638948	-0.133582	-0.0184087	0.648926	-0.290771	-0.749268	0.442257	0.371728	0.494461	-0.649411	-9.14143	-3.84091	3.52901	0.122349	0.0147457	-0.144562	0.777344	0.5896	-0.28418	0.106619	-0.341416	-0.798122	-0.484839	4.83182	6.46822	-4.83845	-0.0450845	0.00432685	-0.01384	-0.752197	-0.46167	0.542725	0.950787	-0.0895803	-0.181613	-0.234513	4.56618	-0.763327	10.2659	0.0471783	0.0479073	-0.0352326	-0.120361	0.232178	-1.02661	0.736944	-0.0261591	-0.675236	0.0169143	10.3645	-0.632864	1.14657	0.00855755	0.0131685	-0.0626887	-1.00439	0.0412598	-0.392334	0.277546	-0.371067	-0.600463	-0.651707	8.21214	5.45399	-0.0261002	-0.0709654	0.081747	-0.000308529	-1.04175	-0.247559	0.0595703	0.354964	-0.22558	-0.614038	-0.667886	7.25283	6.30499	1.39459	-0.221367	0.0174488	-0.0274403	-1.07715	-0.334717	-0.213867	
