Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.497128	-0.49396	-0.43598	-0.564613	10.2558	-0.122253	1.6763	-0.0605863	-0.2466	0.010432	-0.842041	0.402344	-0.0771484	1529730925875	-51	99
Throax	00b411e8	0.618883	-0.332134	-0.320952	-0.635344	7.91772	0.137286	5.92281	-0.0584933	-0.476209	-0.0166587	-0.611328	0.306396	-0.45166	1529730925878	-49	99
LUpArm	00b411d9	0.775992	0.153024	-0.278677	-0.544756	2.8651	4.37277	8.91348	0.181461	0.109334	0.151583	-0.218994	-0.266357	-1.00098	1529730925881	-52	99
LFoArm	00b41148	0.742798	-0.0117591	-0.153723	-0.651523	3.11888	1.59163	10.6847	-0.21084	0.117044	-0.0632888	-0.123047	0.312256	-0.958984	1529730925879	-53	99
RUpArm	00b411db	0.690903	-0.0719059	-0.00772285	-0.719321	0.922412	-0.403509	9.83552	-0.325151	0.0867853	-0.155937	-0.0783691	0.473145	-0.853271	1529730925883	-61	99
RFoArm	00b41204	0.78858	0.1075	-0.179752	-0.578165	0.982302	3.05471	13.2487	0.5442	0.0998152	0.00116995	0.0505371	0.164795	-1.05347	1529730925883	-54	99
Waist	00b411f7	0.481276	-0.475613	-0.549206	-0.490448	10.3374	0.695742	-1.57372	-0.0380416	-0.0601239	-9.62361e-05	-0.94751	0.309814	0.0361328	1529730925881	-49	99
Lthigh	00b411f4	0.545968	-0.466852	-0.53082	-0.449665	10.2322	0.0644991	0.828122	-0.396763	0.124194	0.0119559	-0.980713	0.412109	-0.0571289	1529730925878	-50	99
Lshank	00b4111b	0.561935	-0.450898	-0.512345	-0.467358	9.89368	-0.237749	1.01315	-0.123869	0.0536704	-0.0127983	-0.984131	0.394775	-0.114258	1529730925881	-51	99
Rthigh	00b411c8	0.476837	-0.532375	-0.514532	-0.473772	9.52172	-0.617139	-0.862904	-0.133978	-0.0175097	-0.0143084	-0.949219	0.413818	0.124268	1529730925878	-52	99
Rshank	00b411ee	0.539684	-0.471442	-0.559566	-0.416378	9.81216	-0.486348	-0.856812	-0.000304117	0.159001	0.0183533	-1.01904	0.485107	-0.010498	1529730925878	-49	99
