40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.53315	0.44618	0.469702	0.544109	9.34633	0.169769	1.82178	-0.0163681	0.0692712	0.0381452	-0.835205	0.405029	-0.148193	-0.682904	0.322339	0.3563	0.550263	8.18066	-0.538361	5.05181	-0.113641	-0.00963239	-0.0525676	-0.57373	0.341309	-0.483398	-0.822703	0.098653	0.245832	0.502985	5.23625	1.6797	8.80554	0.0326105	0.0956075	-0.00219263	-0.421875	0.157959	-0.938721	-0.118127	-0.17428	-0.0192754	0.977395	-3.44659	-0.190191	9.11676	-0.0196084	-0.0802883	-0.0825529	-0.0217285	0.144531	-0.997803	-0.580654	0.237921	0.196741	0.753344	5.99067	0.336678	7.36188	-0.080642	0.0269369	-0.0489825	-0.594482	0.356201	-0.696045	-0.974368	-0.2224	-0.0220129	0.0257017	-2.66036	3.26086	12.4722	0.0580425	-0.0066098	-0.0317512	0.670898	-0.325195	-0.739502	-0.487446	0.516729	0.592389	0.380083	9.07728	-0.485325	-2.19451	-0.0555905	-0.109711	0.0210541	-0.871582	0.444092	0.128906	-0.924302	0.112674	0.267056	0.248299	6.10539	-1.25151	9.47568	-0.0963775	-0.0638608	-0.120382	-0.240723	0.272705	-0.975342	-0.117485	0.0435649	0.986359	0.10675	2.64974	1.41271	-8.62295	0.0195214	-0.0769077	0.141574	-0.614746	-0.176025	0.884277	-0.510511	0.519189	0.570802	0.379482	9.18728	-2.0327	-1.39131	0.0828562	0.0779325	-0.00316558	-0.901367	0.493408	0.133789	-0.645132	0.424285	0.567875	0.285141	9.03654	-2.94878	-0.025958	0.262524	0.0481378	0.0429629	-0.924316	0.591797	-0.22168	
1	-0.533366	0.447362	0.468068	0.544334	9.66548	-0.0334615	1.83439	-0.069105	-0.0105313	0.0397813	-0.830811	0.405029	-0.150391	-0.681473	0.322501	0.357245	0.551329	8.62492	-0.50488	5.22958	-0.0299282	-0.019231	-0.0963468	-0.579834	0.33252	-0.483154	-0.821827	0.101505	0.241944	0.505727	5.56718	1.02784	8.4753	-0.223367	0.0690816	-0.0802969	-0.405029	0.170654	-0.93457	-0.116082	-0.174098	-0.0184126	0.977689	-3.42567	0.243325	8.94724	0.0789435	0.0248149	-0.0677292	-0.0236816	0.140137	-1.00415	-0.579614	0.239722	0.195025	0.75402	5.91537	0.421894	7.58367	-0.121941	-0.0182299	-0.0222872	-0.594727	0.362793	-0.689209	-0.974339	-0.222176	-0.0229101	0.0278673	-2.6655	3.0764	12.4442	-0.0196206	0.0325481	-0.128765	0.677246	-0.322998	-0.739502	-0.485856	0.51873	0.591343	0.38102	9.75657	-1.15182	-2.07226	-0.0831531	0.0168062	-0.0106749	-0.87793	0.441895	0.131104	-0.923358	0.115534	0.266612	0.250959	5.8111	-1.49698	9.10494	-0.134967	0.0444675	-0.0914942	-0.245361	0.279053	-0.977783	-0.117918	0.0461637	0.986017	0.108322	3.06282	1.43495	-9.07472	-0.0762572	0.0121762	0.0900659	-0.619629	-0.176025	0.877686	-0.511687	0.51793	0.571476	0.378603	9.67936	0.187253	-1.32415	0.0196548	0.00671369	-0.00141606	-0.901123	0.489014	0.122559	-0.647374	0.422039	0.568532	0.282066	9.95918	-1.41218	-0.227356	0.026872	0.0217556	0.0321489	-0.926514	0.5896	-0.226074	
2	-0.532093	0.44912	0.467744	0.544411	10.2147	-0.0672995	1.70805	-0.0662047	-0.0614011	0.00176637	-0.831055	0.407227	-0.145996	-0.680712	0.322431	0.357334	0.552252	8.95773	-0.512496	5.80899	-0.0309033	0.0308723	-0.0512965	-0.575439	0.334717	-0.485596	-0.820674	0.0996847	0.244738	0.506616	5.89261	0.668592	8.84334	0.244825	-0.100078	-0.0792769	-0.419922	0.160156	-0.945557	-0.115322	-0.176481	-0.0161439	0.977392	-3.43926	0.463538	9.07053	0.104942	0.109903	0.00740578	-0.0234375	0.133545	-1.00415	-0.578115	0.243452	0.193745	0.754306	5.92861	0.353531	7.94248	-0.137584	-0.111015	-0.037289	-0.599609	0.373779	-0.686768	-0.974566	-0.220514	-0.0250618	0.0310849	-2.60383	3.02896	12.5885	-0.0766051	0.063812	-0.169767	0.672607	-0.318848	-0.739746	-0.485545	0.518476	0.590663	0.382813	10.0189	-0.456083	-2.24008	-0.0441585	0.0605821	-0.0480946	-0.875488	0.439697	0.131104	-0.922825	0.118945	0.264322	0.253731	6.12337	-2.16449	9.31834	-0.157635	0.062911	-0.0727974	-0.245605	0.283447	-0.970947	-0.11817	0.0487176	0.985884	0.108143	2.17254	1.14422	-9.07191	0.0188939	-0.00880569	0.084074	-0.617432	-0.171631	0.884277	-0.508803	0.521485	0.570006	0.379824	9.76743	-1.52023	-1.88358	-0.176188	-0.0465019	0.0603597	-0.903564	0.491211	0.133789	-0.646367	0.424016	0.567458	0.283568	9.69463	-2.5447	0.11367	-0.141981	0.0131524	0.00659125	-0.926514	0.593994	-0.223877	
3	-0.531173	0.450477	0.467477	0.544418	9.85176	-0.0772338	1.55849	-0.0440882	-0.0407353	0.00294702	-0.837646	0.407227	-0.143799	-0.680509	0.322253	0.356078	0.553416	8.45231	-0.34443	5.61735	-0.0538747	0.0666016	-0.0436954	-0.577881	0.341309	-0.488281	-0.819563	0.096753	0.251504	0.505669	5.68549	1.76411	9.52667	0.143809	-0.169299	-0.0361715	-0.43042	0.151611	-0.943115	-0.114737	-0.179035	-0.0128618	0.977045	-3.48528	0.241674	9.17274	0.164595	0.0724891	-0.0116371	-0.0163574	0.126953	-1.00635	-0.576962	0.245306	0.194184	0.754475	5.99032	0.317681	8.17618	-0.0859803	-0.139306	-0.0731685	-0.601562	0.366943	-0.682373	-0.975056	-0.217857	-0.0262156	0.0334249	-2.80041	3.17485	12.6107	-0.113594	0.0114212	-0.0965697	0.680908	-0.307861	-0.744385	-0.486149	0.519108	0.588511	0.3845	9.30021	-0.637596	-2.05954	-0.059905	0.0922271	0.0399852	-0.87793	0.441895	0.131104	-0.92309	0.11669	0.265214	0.252882	6.08	-1.51556	9.19125	0.146254	-0.00540451	-0.0141649	-0.245361	0.279053	-0.975586	-0.11842	0.0501376	0.985971	0.106415	2.47189	1.61142	-8.83383	0.0585954	0.0116431	0.0475742	-0.61499	-0.171631	0.886475	-0.509095	0.522061	0.569478	0.379432	9.19764	-1.68744	-1.91297	0.049805	0.0362583	0.0231325	-0.901611	0.497803	0.135986	-0.645745	0.424757	0.567569	0.283654	9.43578	-2.50803	-0.0553472	-0.0347034	-0.0180442	0.00489427	-0.924072	0.585205	-0.219238	
4	-0.530463	0.451057	0.46756	0.544559	9.79797	0.0197109	1.58177	-0.0197076	-0.020993	-0.0161683	-0.833496	0.411621	-0.135254	-0.680436	0.321988	0.35574	0.553877	8.19282	-0.392213	5.45339	-0.0252272	0.053816	-0.0470844	-0.580078	0.339111	-0.480957	-0.818914	0.0990509	0.251542	0.506255	5.69101	1.79315	9.53892	-0.162843	-0.094535	-0.0198572	-0.42627	0.156006	-0.945557	-0.11297	-0.177955	-0.0109676	0.977471	-3.5203	0.118783	9.42016	0.0309518	-0.0824357	-0.0647797	-0.0183105	0.120361	-1.00391	-0.574676	0.247542	0.195745	0.755085	5.89082	0.112976	8.3993	-0.00773337	-0.0795441	-0.0981377	-0.610352	0.366943	-0.679932	-0.975417	-0.216448	-0.0246774	0.0332169	-2.84534	3.37375	12.4654	-0.00636661	-0.068588	0.0288998	0.674316	-0.307861	-0.744385	-0.487107	0.519554	0.587531	0.384186	9.30704	-1.09895	-2.17915	0.0579082	0.0237794	0.0176092	-0.873779	0.446289	0.133057	-0.923161	0.115818	0.265229	0.25301	5.85156	-1.23089	9.04652	0.0711488	0.0346266	-0.0497302	-0.240967	0.274902	-0.973145	-0.11842	0.0501376	0.985971	0.106415	2.47189	1.61142	-8.83383	0.0585954	0.0116431	0.0475742	-0.61499	-0.171631	0.886475	-0.509286	0.522074	0.5692	0.379575	9.57799	-0.454742	-1.69505	-0.0569736	0.0205746	0.0127765	-0.903564	0.493408	0.138428	-0.645245	0.425413	0.567292	0.284363	9.60872	-2.21111	-0.0901931	-0.086724	0.00870405	-0.0131395	-0.928955	0.593994	-0.214844	
5	-0.530291	0.450933	0.467624	0.544774	9.85901	-0.00774723	1.62218	-0.00457171	-9.57642e-05	-0.0286794	-0.837402	0.405029	-0.141602	-0.680504	0.32206	0.355349	0.554002	8.30413	-0.521067	5.39658	-0.0172734	0.0209876	-0.00187104	-0.577881	0.336914	-0.488037	-0.818237	0.105517	0.247189	0.508185	5.91171	0.881674	9.12204	-0.293538	0.0469151	0.0110367	-0.430664	0.171143	-0.936768	-0.112435	-0.176137	-0.0118924	0.977851	-3.49076	0.0809553	9.41827	-0.0792353	-0.131173	-0.0607111	-0.020752	0.122559	-1.0061	-0.574545	0.244092	0.198745	0.755524	5.80534	0.0970435	8.09001	0.210568	0.0835544	-0.0804845	-0.603516	0.360352	-0.682373	-0.975223	-0.217579	-0.0232866	0.032513	-2.78963	3.36411	12.483	0.0997245	-0.0827762	0.0619049	0.670166	-0.312256	-0.746338	-0.487956	0.519068	0.587301	0.384115	9.55209	-0.683089	-2.20258	0.0661528	0.0704716	-0.00317999	-0.880127	0.441895	0.128906	-0.922814	0.118437	0.262718	0.255669	5.65479	-1.27221	9.17551	-0.191898	0.0918529	-0.079602	-0.239014	0.283447	-0.968506	-0.119441	0.0531817	0.985613	0.107107	2.39209	1.26614	-8.68459	-0.0238352	0.0109545	0.079705	-0.619873	-0.169434	0.88208	-0.509286	0.522074	0.5692	0.379575	9.57799	-0.454742	-1.69505	-0.0569736	0.0205746	0.0127765	-0.903564	0.493408	0.138428	-0.643998	0.427301	0.566036	0.286852	9.64376	-1.88726	-0.3709	-0.156712	0.0367344	-0.0213625	-0.924072	0.587402	-0.217041	
6	-0.53083	0.449991	0.467944	0.544753	9.93683	0.0433933	1.75746	0.0521849	0.0195702	-0.00808095	-0.833252	0.407227	-0.139648	-0.681073	0.322912	0.354581	0.553299	8.53571	-0.435223	5.59763	-0.0391038	0.0160691	0.0421156	-0.577881	0.339111	-0.488037	-0.818906	0.1045	0.246252	0.507773	5.69259	0.91217	9.02217	0.114901	0.0589384	0.0186018	-0.422119	0.168701	-0.941162	-0.112098	-0.172556	-0.0141051	0.978499	-3.32814	0.0540635	9.40422	-0.0872507	-0.114888	-0.0234371	-0.0275879	0.124756	-1.00391	-0.574519	0.24079	0.199774	0.756332	5.83677	0.502887	7.71382	0.0195813	0.0820444	-0.0707206	-0.605469	0.355957	-0.686768	-0.974829	-0.219755	-0.0212042	0.0310773	-2.82169	3.30716	12.5301	0.0728775	-0.0381154	0.0452917	0.668213	-0.312256	-0.748535	-0.489614	0.518619	0.585655	0.385124	9.5537	-0.759781	-1.98882	-0.00364622	0.109149	0.0171918	-0.869141	0.441895	0.124512	-0.922415	0.120656	0.261351	0.257464	5.88618	-2.07407	8.78231	-0.0330737	0.025418	-0.0595797	-0.237305	0.292236	-0.978027	-0.119513	0.054301	0.985497	0.107539	2.09425	1.18906	-8.68223	-0.0476127	0.00245747	0.071247	-0.626709	-0.169434	0.879639	-0.506711	0.525371	0.567179	0.381493	9.64664	-1.31826	-1.96833	-0.0920614	0.0191483	0.0100147	-0.903564	0.493408	0.143066	-0.640911	0.431204	0.563922	0.292042	9.67428	-1.94777	-0.156923	-0.318027	0.0374396	-0.0654612	-0.926514	0.591797	-0.212646	
7	-0.532195	0.449018	0.468421	0.543813	9.9764	0.1532	1.80871	0.0779989	0.0160862	0.0253402	-0.833008	0.402832	-0.143799	-0.681342	0.32469	0.353638	0.55253	8.52348	-0.521632	5.67232	-0.0752143	-0.00868672	0.0444077	-0.571533	0.341309	-0.47876	-0.819293	0.104516	0.246365	0.50709	5.59355	1.52602	9.3322	-0.072279	-0.0149192	0.030495	-0.422119	0.168701	-0.936768	-0.111875	-0.170523	-0.0138457	0.978884	-3.27834	-0.0108103	9.36346	0.0343462	-0.0655059	-0.00886438	-0.0341797	0.126953	-1.00195	-0.573254	0.242996	0.197552	0.75717	5.92538	0.166802	7.67075	-0.162309	-0.0347501	-0.0189215	-0.605469	0.35376	-0.68457	-0.974807	-0.219808	-0.0218697	0.0309495	-2.81109	3.26898	12.5916	-0.00813922	0.0610898	-0.039657	0.662109	-0.321045	-0.741699	-0.491004	0.518562	0.583818	0.386219	9.81051	-1.01015	-2.15315	-0.0151319	0.0882286	0.0183054	-0.880127	0.444092	0.118164	-0.922427	0.118016	0.263087	0.256877	5.6994	-1.49191	9.05417	0.151995	-0.04537	-0.0337021	-0.241211	0.28125	-0.975586	-0.118133	0.0553358	0.985699	0.106673	1.82886	1.44336	-8.74685	0.0120636	-0.0794867	-0.0224412	-0.626709	-0.169434	0.884277	-0.504231	0.527381	0.565285	0.384801	9.52626	-0.51281	-1.53798	-0.247982	0.0210496	-0.0249852	-0.901367	0.497803	0.149658	-0.635422	0.437742	0.560503	0.300761	9.70531	-2.42302	-0.172881	-0.464989	0.0475319	-0.0933582	-0.928955	0.593994	-0.196533	
8	-0.53378	0.44883	0.467771	0.542975	9.75887	0.112874	1.79236	0.0189303	0.0371879	0.0613793	-0.835449	0.407227	-0.148193	-0.680988	0.32766	0.351411	0.552635	8.27631	-0.597951	5.47235	-0.160501	0.00873821	0.0410828	-0.576172	0.354492	-0.476807	-0.818864	0.109179	0.244643	0.507632	5.47956	1.18141	9.3791	-0.19353	-0.0359963	0.0259059	-0.422119	0.17749	-0.932373	-0.110649	-0.168787	-0.0117703	0.979351	-3.34252	-0.0469929	9.3136	0.0867552	-0.0805472	-0.0504416	-0.0429688	0.124512	-0.999512	-0.57276	0.244866	0.197155	0.757045	5.93805	0.0264326	7.92594	-0.0198607	-0.0447973	-0.00870503	-0.603271	0.355957	-0.679932	-0.974956	-0.218871	-0.023753	0.0315008	-2.85603	3.25723	12.4597	-0.0282497	0.080068	-0.0631989	0.676758	-0.310059	-0.744385	-0.49205	0.518502	0.582204	0.387403	9.2819	-0.778338	-1.90996	-0.0256954	0.0823388	0.0125305	-0.873535	0.441895	0.116211	-0.921117	0.119091	0.265693	0.258395	5.85626	-1.20495	9.09516	-0.104025	-0.10726	-0.106447	-0.25	0.285645	-0.970947	-0.115389	0.0551455	0.985983	0.107157	2.35898	1.35619	-8.69637	-0.0188466	-0.102145	-0.0292826	-0.617676	-0.164795	0.890869	-0.499927	0.530897	0.562815	0.38918	9.2096	-1.72203	-1.94881	-0.228626	-0.00287978	-0.0171354	-0.898926	0.489014	0.154541	-0.630918	0.442746	0.557741	0.307967	9.16173	-3.09982	-0.16671	-0.207885	0.026533	-0.0759261	-0.93335	0.593994	-0.189697	
9	-0.535083	0.449979	0.465334	0.542834	9.15448	-0.125709	1.69036	-0.0717448	0.0335621	0.102274	-0.831543	0.418213	-0.14624	-0.679618	0.331605	0.349429	0.553224	8.00588	-0.734993	5.04581	-0.179082	-0.0347937	0.00346863	-0.576172	0.354492	-0.472168	-0.818529	0.112368	0.241487	0.508987	5.32411	0.933675	8.92742	-0.177131	0.0761543	-0.0204819	-0.420166	0.181641	-0.930176	-0.10803	-0.166067	-0.0106464	0.980121	-3.06522	-0.0292335	9.30445	0.0293698	-0.110187	-0.116455	-0.0427246	0.115723	-1.0061	-0.572409	0.245632	0.196901	0.757128	6.05674	0.22391	7.81701	-0.0551377	0.0127761	-0.0269993	-0.607666	0.358154	-0.679932	-0.974947	-0.218625	-0.0254093	0.0321749	-2.91275	3.18392	12.3809	0.015392	0.0586013	-0.0582447	0.67041	-0.31665	-0.739746	-0.492426	0.51898	0.581838	0.386835	9.01859	-0.486321	-2.24503	0.0367582	-0.0115173	0.0158338	-0.867676	0.452881	0.115967	-0.919779	0.122362	0.266704	0.260581	5.96368	-1.68062	9.10932	-0.117872	-0.0344893	-0.0738761	-0.252197	0.287842	-0.970947	-0.114031	0.0561487	0.986026	0.107692	3.01375	1.3294	-8.84302	-0.00928008	-0.0339015	0.0369987	-0.615234	-0.166992	0.888672	-0.5	0.530195	0.562782	0.39009	8.8805	-1.7503	-1.74867	0.0893426	0.046582	-0.0164971	-0.90332	0.486816	0.154541	-0.631629	0.441949	0.557499	0.308092	8.98234	-3.53534	0.0177307	0.159242	0.0494636	0.0143344	-0.933105	0.5896	-0.191895	
