40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.277916	-0.0566673	0.00182956	0.958931	-1.08844	0.509734	10.9691	-0.00246915	-0.010543	-0.006613	-0.203369	0.165771	-1.13696	-0.188554	-0.383115	-0.0409819	0.903322	-7.02081	0.741561	7.10998	-0.0280902	0.0590345	-0.0133742	0.675049	-0.0158691	-0.902344	-0.254226	-0.959778	-0.0879647	0.0803638	-1.62318	4.17425	-7.68707	-0.00928149	0.00357734	0.0133981	0.474121	-0.207031	0.987793	0.484451	-0.430834	-0.509536	0.565741	-0.0130205	-9.74182	1.0317	-0.00150956	0.00877814	0.010086	-0.0673828	1.06274	-0.604248	0.170629	-0.980214	-0.0976073	0.0232336	-0.182221	-3.26842	-9.15508	0.0311849	-0.0143681	-0.00370173	0.324951	0.845947	1.23193	-0.168389	-0.984525	0.0443535	-0.0197159	0.250017	2.13641	-6.08917	-0.00703521	0.0209251	-0.0150836	0.415771	-0.630371	0.919678	-0.0379832	0.0471602	0.00854696	0.998128	1.31304	0.0655497	10.5033	-0.0217646	0.0107172	-0.00462003	-0.473389	0.0478516	-0.974609	-0.186956	0.019711	-0.0510594	0.980843	0.415501	-1.33639	11.0805	-0.0102325	-0.00197515	-0.0449083	-0.479492	0.243652	-1.01611	-0.107719	0.983883	0.127528	0.0640851	1.58123	-1.61175	-9.17635	-0.168694	-0.103183	-0.0516329	0.289795	0.290283	1.22729	0.144585	0.0713808	0.0965304	0.982182	1.16538	2.07843	10.2807	0.0138182	0.0290084	0.0348474	-0.535156	-0.340332	-0.908691	-0.00863403	0.98517	-0.170051	0.0211562	0.643602	0.00338863	-9.76303	0.351515	0.039673	0.020316	0.397949	-0.159912	1.03101	
1	-0.277941	-0.0567181	0.0013979	0.958921	-1.23171	0.402807	10.9597	-0.0193935	0.00204677	0.00341768	-0.20166	0.176758	-1.13501	-0.188728	-0.384881	-0.0419023	0.902492	-7.15245	0.691048	6.8531	-0.0218975	0.0559848	-0.00575205	0.683838	-0.0158691	-0.897705	-0.253828	-0.959926	-0.0876438	0.0802008	-1.66283	4.2673	-7.72009	0.025029	0.00988125	0.0110582	0.463379	-0.20459	0.98999	0.484529	-0.430869	-0.509484	0.565694	-0.0315582	-9.7499	1.01792	0.000836052	0.00886394	-0.00454914	-0.067627	1.06714	-0.604492	0.171054	-0.980155	-0.0974867	0.0231006	-0.193691	-3.27075	-9.1426	0.0100772	0.0225498	-0.0123547	0.324707	0.852539	1.23193	-0.168389	-0.984525	0.0443535	-0.0197159	0.250017	2.13641	-6.08917	-0.00703521	0.0209251	-0.0150836	0.415771	-0.630371	0.919678	-0.0378667	0.047082	0.0081939	0.998139	1.18778	-0.055363	10.4709	-0.00528387	0.0105644	-0.0121284	-0.475586	0.0478516	-0.970459	-0.185546	0.0205998	-0.0514123	0.981073	0.461564	-1.36543	10.9722	-0.0125441	-0.0135681	-0.0443689	-0.479736	0.250244	-1.00684	-0.111214	0.983826	0.126157	0.0616579	1.43259	-1.74363	-8.89031	0.055816	-0.00550982	0.0210628	0.299072	0.292725	1.2229	0.144724	0.0714189	0.0963582	0.982176	1.29555	1.99797	10.0708	0.00158129	0.00994633	-0.0135475	-0.528564	-0.342285	-0.899414	-0.013928	0.984818	-0.171217	0.0249924	0.706329	-0.141956	-9.73263	-0.0281847	0.0290086	0.00469898	0.388672	-0.151123	1.0376	
2	-0.277938	-0.0566416	0.00122681	0.958927	-1.21484	0.337069	10.9563	-0.0149277	-0.00679114	-0.00112536	-0.20166	0.176758	-1.1394	-0.188844	-0.384805	-0.0422824	0.902483	-7.11327	0.688316	6.9052	-0.0417177	0.0143839	-0.0201172	0.679688	-0.0180664	-0.897461	-0.253391	-0.960065	-0.0873638	0.0802275	-1.63817	4.27551	-7.69717	0.0214463	-0.00109084	0.0101286	0.465576	-0.20459	0.98999	0.484618	-0.43083	-0.509519	0.565616	-0.0206339	-9.7824	1.03202	0.00221864	0.00913769	-0.0100762	-0.067627	1.06714	-0.602295	0.171385	-0.980086	-0.097616	0.0230193	-0.175826	-3.27587	-9.16314	0.0131854	0.00805825	-0.0145691	0.326904	0.848145	1.22949	-0.168638	-0.984502	0.0438072	-0.0199635	0.259784	2.146	-6.08984	-0.00295342	0.0106244	-0.0144307	0.411133	-0.623779	0.915039	-0.0380304	0.0470675	0.00740482	0.99814	1.0965	-0.00419287	10.2328	-0.0223135	0.00897447	-0.000165424	-0.473877	0.0566406	-0.968506	-0.185487	0.0213019	-0.0510265	0.98109	0.112783	-1.40349	10.942	0.0253114	-0.0428438	-0.0245327	-0.482178	0.252441	-1.01147	-0.110682	0.984021	0.125624	0.0605926	1.36269	-1.88219	-8.73075	-0.0145373	-0.0385638	0.0176161	0.30127	0.292725	1.23193	0.144565	0.0715867	0.0970869	0.982115	1.29815	2.09591	10.1081	0.0605062	0.00965166	0.0137921	-0.532959	-0.342285	-0.910889	-0.013631	0.98474	-0.171583	0.0256917	0.691073	-0.198261	-9.6662	-0.00539165	0.0331436	0.0106583	0.388672	-0.15332	1.04224	
3	-0.277838	-0.0566585	0.00145334	0.958955	-1.28276	0.256691	10.9624	0.0209569	-0.0049639	-0.00834904	-0.203857	0.176758	-1.1416	-0.189252	-0.384695	-0.0429677	0.902412	-7.1457	0.757113	6.7532	-0.0342151	0.0293276	-0.000824389	0.681396	-0.0114746	-0.890625	-0.252365	-0.960336	-0.0872169	0.0803745	-1.6213	4.24604	-7.71319	0.05689	-0.000596457	-0.00261111	0.469727	-0.202637	0.987793	0.485158	-0.430538	-0.509299	0.565573	-0.00678807	-9.72908	1.03342	0.0267145	0.0174493	-0.0171146	-0.0717773	1.06055	-0.606445	0.172823	-0.979836	-0.0976331	0.0228387	-0.169242	-3.30089	-9.15428	0.0659547	0.0244764	-0.0220037	0.32666	0.856934	1.22729	-0.168324	-0.984568	0.0436612	-0.0196769	0.252581	2.13789	-6.08564	0.015281	-0.00435928	-0.0143532	0.415771	-0.630371	0.91748	-0.0380304	0.0470675	0.00740482	0.99814	1.0965	-0.00419287	10.2328	-0.0223135	0.00897447	-0.000165424	-0.473877	0.0566406	-0.968506	-0.184912	0.0234977	-0.0512421	0.981137	0.567889	-1.28421	11.1918	-0.028472	-0.0639367	-0.0791059	-0.481934	0.250244	-1.01392	-0.107583	0.984468	0.125489	0.0591634	1.43916	-1.66801	-8.92956	-0.113921	-0.068178	-0.00141433	0.304199	0.276611	1.23218	0.144359	0.0720774	0.0971673	0.982102	0.697806	2.45399	10.1705	0.0136904	-0.0228272	0.0240248	-0.533203	-0.337891	-0.904297	-0.0148987	0.98464	-0.172126	0.0252002	0.718507	-0.16829	-9.6707	0.047987	-0.0243751	0.0198964	0.393066	-0.148926	1.03076	
4	-0.277476	-0.0566276	0.0019042	0.95906	-1.35906	0.323413	10.9718	0.0353252	-0.0174943	-0.0279175	-0.204102	0.181152	-1.14575	-0.189592	-0.385843	-0.0435323	0.901823	-7.18992	0.644652	6.98829	-0.0172645	0.0718766	-0.0157754	0.686035	-0.0180664	-0.897461	-0.25169	-0.960509	-0.0871393	0.0805019	-1.54779	4.27355	-7.6981	0.0610088	-0.0026129	0.000126252	0.469727	-0.204834	0.985596	0.485797	-0.430567	-0.509089	0.565192	0.0732892	-9.76399	0.921151	0.00506697	0.0310658	-0.0137966	-0.0673828	1.06274	-0.61084	0.174172	-0.979602	-0.0976	0.0227638	-0.157363	-3.3292	-9.22714	0.108535	0.0255647	-0.0207977	0.324463	0.854736	1.2251	-0.168301	-0.984573	0.0437168	-0.019462	0.248451	2.12793	-6.08274	0.00771178	-0.0029718	-0.0164072	0.411133	-0.623779	0.919434	-0.0387819	0.0457967	0.00674418	0.998175	1.09821	-0.00388007	10.665	-0.00919678	0.0394263	0.0150267	-0.47998	0.0500488	-0.976807	-0.183971	0.024676	-0.050471	0.981325	0.00629461	-1.25473	11.055	0.0472949	-0.0826566	-0.0993142	-0.488281	0.24585	-1.01147	-0.106322	0.984798	0.124662	0.0576837	1.3588	-1.88376	-8.83912	-0.0822745	-0.118785	0.0427512	0.308838	0.276855	1.22998	0.14551	0.0732971	0.0971299	0.981845	1.41026	2.15357	10.1046	0.00354971	-0.0466141	-0.0397442	-0.537354	-0.342529	-0.90625	-0.0148101	0.9846	-0.172394	0.0249671	0.681154	-0.325427	-9.7381	-0.00703256	-0.0089121	0.0146868	0.390625	-0.148926	1.04224	
5	-0.276143	-0.0555605	0.00346526	0.959503	-1.16303	0.512128	10.9615	0.03415	-0.0411406	-0.0350524	-0.212402	0.172119	-1.13721	-0.189339	-0.38723	-0.0447211	0.901223	-7.08985	0.490366	6.87015	-0.0506197	0.0949944	-0.0342626	0.690186	-0.0114746	-0.893066	-0.25008	-0.960959	-0.0867869	0.080531	-1.70679	4.07387	-7.74266	0.0254007	0.0132966	0.00949175	0.471924	-0.200439	0.987549	0.486138	-0.430524	-0.508904	0.565098	0.0589824	-9.68822	1.11426	0.0147233	0.012935	-0.0085916	-0.0698242	1.06714	-0.606689	0.178239	-0.978801	-0.0976164	0.0254918	-0.174769	-3.37737	-9.07851	0.117314	-0.0578064	0.002891	0.333008	0.861572	1.21826	-0.171303	-0.984078	0.0435564	-0.0186619	0.246243	2.19052	-6.05591	-0.100273	-0.0127463	-0.0193787	0.413818	-0.632568	0.91333	-0.0387944	0.0448391	0.00691885	0.998217	1.16897	-0.312007	10.6258	0.0519772	0.064242	-0.0187078	-0.478027	0.0544434	-0.972656	-0.182763	0.0301518	-0.0528108	0.981274	0.712599	-1.36181	10.9068	-0.113789	-0.128165	-0.0958245	-0.499268	0.25	-1.00439	-0.0964915	0.985952	0.125176	0.054028	1.20995	-1.57286	-8.8779	-0.246355	-0.12916	-0.0196208	0.321289	0.256348	1.23022	0.144296	0.0748023	0.0976244	0.981862	1.13404	2.76254	10.0857	-0.0193262	-0.054026	0.00600116	-0.539795	-0.340332	-0.901855	-0.0148101	0.9846	-0.172394	0.0249671	0.681154	-0.325427	-9.7381	-0.00703256	-0.0089121	0.0146868	0.390625	-0.148926	1.04224	
6	-0.276405	-0.0544573	0.00390253	0.959489	-1.03521	0.484171	10.9884	0.00187295	-0.0617256	0.0122186	-0.216797	0.169922	-1.1394	-0.188966	-0.389095	-0.0449491	0.900487	-7.16787	0.353495	6.89111	0.0267944	0.0861535	-0.030319	0.69043	-0.0180664	-0.883545	-0.249617	-0.961086	-0.0866243	0.0806242	-1.62433	4.12339	-7.79566	0.0273194	-0.00325318	0.00114403	0.471924	-0.200439	0.987549	0.486525	-0.430415	-0.508946	0.56481	0.0935748	-9.79305	1.10718	-0.00369799	0.0150376	-0.0177381	-0.0788574	1.06714	-0.611084	0.177676	-0.978873	-0.0974109	0.0273971	-0.2464	-3.41301	-9.12818	-0.0269707	-0.0630902	0.00928561	0.337402	0.861572	1.21362	-0.173892	-0.983633	0.0436342	-0.0180107	0.203838	2.23218	-6.10441	-0.106212	-0.00567478	-0.0167933	0.418213	-0.636719	0.911133	-0.0384332	0.0440182	0.00704206	0.998266	1.10007	0.0112534	10.3198	-0.00134744	0.0323628	-0.0428484	-0.478027	0.0522461	-0.977051	-0.181432	0.0330357	-0.0516043	0.981493	0.400181	-1.09399	11.3027	0.0667176	-0.107307	-0.0816929	-0.507812	0.247803	-0.999756	-0.0978059	0.986254	0.123493	0.0498604	1.24069	-1.60477	-9.04539	0.122804	-0.150153	0.0630636	0.325684	0.260986	1.23242	0.144761	0.0758551	0.0965553	0.981818	1.60036	2.20284	9.98297	-0.00918686	-0.020498	-0.00590604	-0.541992	-0.340332	-0.897217	-0.0122947	0.98472	-0.172039	0.0240502	0.64238	-0.145958	-9.71212	0.103704	0.0261295	0.00805591	0.391113	-0.157715	1.04248	
7	-0.276712	-0.0533827	0.0041983	0.95946	-1.00843	0.411909	10.9603	-0.000638923	-0.0428874	0.0184484	-0.208252	0.176758	-1.1416	-0.187734	-0.390433	-0.0452861	0.900148	-7.10331	0.777753	6.83129	-0.0156667	0.0700809	-0.0700929	0.698975	-0.0158691	-0.885986	-0.249782	-0.961047	-0.0865993	0.080616	-1.73339	4.09973	-7.72923	-0.0193455	0.00386629	0.00239855	0.467529	-0.200439	0.983154	0.486688	-0.43054	-0.508845	0.564665	0.0562376	-9.73539	1.14545	0.00406852	0.0166527	0.00448765	-0.0720215	1.06274	-0.61084	0.177676	-0.978873	-0.0974109	0.0273971	-0.2464	-3.41301	-9.12818	-0.0269707	-0.0630902	0.00928561	0.337402	0.861572	1.21362	-0.175995	-0.983257	0.0437777	-0.0177353	0.205987	2.2874	-6.0408	-0.0651428	0.00960573	-0.0112016	0.416016	-0.634766	0.898193	-0.0371378	0.0434895	0.00743662	0.998336	1.15369	-0.102933	10.441	0.0439473	0.0427079	-0.0703288	-0.473389	0.0500488	-0.976807	-0.180791	0.0365307	-0.0542329	0.981345	1.02925	-1.93605	10.8476	-0.15224	-0.0843184	-0.0144705	-0.519043	0.256348	-1.0022	-0.0978059	0.986254	0.123493	0.0498604	1.24069	-1.60477	-9.04539	0.122804	-0.150153	0.0630636	0.325684	0.260986	1.23242	0.145394	0.0767641	0.0950485	0.981801	0.947989	3.03804	10.178	-0.104019	-0.0420175	-0.0310441	-0.541992	-0.338135	-0.899658	-0.0185575	0.984403	-0.172948	0.0263597	0.720733	-0.0463195	-9.8061	0.357995	0.0621327	0.0593909	0.385742	-0.137939	1.04199	
8	-0.277403	-0.0522599	0.00488136	0.959319	-1.05409	0.279293	11.012	0.0200055	-0.0639173	0.0296508	-0.219238	0.174316	-1.13721	-0.186973	-0.391663	-0.0463015	0.899721	-7.21809	0.508088	6.83569	-0.0149059	0.0717233	-0.0518138	0.696777	-0.0136719	-0.885986	-0.250809	-0.960826	-0.0862726	0.0804111	-1.61641	4.16472	-7.73646	-0.0290624	-0.000765051	0.0169244	0.463379	-0.200195	0.987549	0.486642	-0.430856	-0.50872	0.564576	0.0267985	-9.71691	1.05374	-0.00702068	0.0156449	0.00561585	-0.0651855	1.06055	-0.606445	0.17634	-0.979088	-0.0975223	0.027929	-0.276313	-3.39388	-9.0838	-0.0343088	-0.0141213	-0.00347112	0.341553	0.861572	1.21362	-0.176811	-0.983105	0.0438645	-0.0178271	0.226641	2.28183	-6.07159	-0.0264364	0.0185066	-0.0111268	0.418457	-0.643311	0.907227	-0.0362645	0.0436356	0.00721355	0.998363	1.08514	-0.0773	10.3622	-0.00312396	-0.0196193	-0.0521107	-0.479736	0.0456543	-0.976807	-0.181217	0.0379924	-0.0530914	0.981274	0.664908	-1.51813	10.9976	0.071238	-0.0440787	0.016472	-0.516602	0.251953	-0.992676	-0.0941944	0.986861	0.12295	0.0460048	0.974497	-1.69814	-8.84589	-0.209582	-0.0592326	-0.0533258	0.344971	0.247559	1.22827	0.147971	0.0767858	0.0918771	0.981716	1.6549	1.86018	10.002	-0.0715168	-0.00541768	-0.0920478	-0.539551	-0.342529	-0.904053	-0.0302394	0.983156	-0.177697	0.0302272	0.686386	-0.345811	-9.76593	0.496575	0.0997778	0.229457	0.384766	-0.113525	1.04858	
9	-0.277457	-0.0513735	0.00682736	0.959339	-1.09801	0.204061	10.9486	0.0816461	-0.0530712	-0.0029715	-0.216553	0.163574	-1.13501	-0.186061	-0.392366	-0.0462091	0.899608	-7.20743	0.71064	6.77488	0.0100706	0.0407044	-0.0430131	0.698975	-0.0114746	-0.883789	-0.250433	-0.960948	-0.0860792	0.0803233	-1.73339	4.19866	-7.74236	0.0259428	0.00638379	0.00623711	0.471924	-0.198242	0.989746	0.486703	-0.431176	-0.50853	0.564451	-0.022335	-9.77344	1.10202	0.00117472	0.0234555	0.0050493	-0.067627	1.06494	-0.611084	0.174925	-0.979366	-0.0973302	0.0277373	-0.300016	-3.35266	-9.16778	-0.0485946	0.025748	-0.00946323	0.342041	0.852783	1.22046	-0.177296	-0.983008	0.0440607	-0.0179118	0.226181	2.3216	-6.04624	0.00623611	0.0158456	-0.00893252	0.418701	-0.647705	0.903076	-0.0351653	0.0437165	0.00740183	0.998397	1.09314	-0.132892	10.5636	0.0225836	0.0219057	-0.0572576	-0.473145	0.0437012	-0.974609	-0.182619	0.0403216	-0.0542521	0.980857	1.08619	-1.43418	10.9212	-0.0857975	-0.0639222	0.0324942	-0.516846	0.256348	-0.995117	-0.0845714	0.987601	0.124015	0.0459493	1.12864	-1.19106	-9.18495	-0.33243	-0.0490571	-0.0749094	0.338623	0.229248	1.23511	0.149984	0.0771778	0.0917601	0.981391	1.13054	2.00888	10.3253	-0.0249628	-0.0181038	-0.0743063	-0.537598	-0.335938	-0.897461	-0.0393523	0.981871	-0.182321	0.0337636	0.762142	-0.784555	-9.63569	0.297883	0.0665341	0.176184	0.377686	-0.104736	1.05054	
