Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.667748	0.301481	0.57748	0.360193	9.95891	-0.026511	2.21475	0.0842061	-0.0573893	0.00159879	-0.824219	0.407715	-0.199951	1529733120943	-50	92
Throax	00b411e8	-0.77933	0.240478	0.376781	0.439149	7.906	-0.234194	6.2058	0.0216536	0.0256008	0.0142539	-0.527344	0.323486	-0.553711	1529733120945	-49	92
LUpArm	00b411d9	-0.705724	-0.117949	0.0159953	0.698416	-1.11335	1.77705	10.6812	0.0671731	-0.0535997	0.0874933	0.0888672	0.172119	-0.986084	1529733120945	-72	92
LFoArm	00b41148	-0.82279	-0.00964776	-0.049605	0.566094	-1.11506	-0.415523	9.51624	0.0745798	-0.0354484	-0.0238073	0.227539	0.520752	-0.856689	1529733120942	-62	92
RUpArm	00b411db	-0.74484	-0.0167678	-0.0204884	0.666718	-0.492083	0.220749	9.80237	0.0253689	-0.0167718	-0.0147575	0.143311	0.388184	-0.871338	1529733120923	-68	92
RFoArm	00b41204	-0.970062	-0.115524	0.0258301	0.212055	-0.666568	3.23692	12.9362	-0.0111879	0.0116204	0.00263204	0.19873	0.128174	-1.02271	1529733120942	-58	93
Waist	00b411f7	-0.442212	0.514064	0.603828	0.419021	9.48071	0.361325	-1.92152	0.0356814	-0.10197	-0.0148695	-0.908447	0.357178	0.158691	1529733120943	-49	92
Lthigh	00b411f4	-0.592458	0.393608	0.62894	0.313848	9.89597	-0.521831	0.206917	-0.0287072	0.015214	-0.0248989	-0.976318	0.40625	-0.11084	1529733120945	-51	93
Lshank	00b4111b	-0.552515	0.41433	0.570994	0.443874	9.88931	0.182864	0.471511	-0.0374242	0.0239222	-0.0542192	-1.01367	0.321777	-0.164551	1529733120921	-51	92
Rthigh	00b411c8	-0.460359	0.530559	0.527402	0.477938	9.65493	0.291678	-0.796726	0.00575736	0.0225627	-0.0191736	-0.959229	0.380615	0.0793457	1529733120942	-50	92
Rshank	00b411ee	-0.520734	0.47967	0.541768	0.453035	9.8535	-0.0584907	-0.319724	0.0262984	-0.00419648	-0.0313948	-1.0249	0.409912	-0.191406	1529733120921	-52	94
