40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.576205	-0.615368	0.138985	-0.519609	4.84198	-8.38119	2.0063	-0.0124845	-0.0413086	0.0543809	-0.217285	0.959961	0.208008	0.614532	-0.631448	-0.00104375	-0.472887	5.96961	-7.63142	1.92745	-0.00958241	-0.00880905	-0.00379026	-0.176025	0.869385	0.11377	0.242345	0.067294	0.640233	-0.725839	-4.06566	-8.96563	1.68048	-0.0154564	-0.00486391	-0.0117496	-0.0224609	0.925293	-0.0585938	-0.0841646	0.126088	0.381409	-0.911891	-1.5698	-7.09157	6.67094	-0.0252068	-0.0281862	-0.0104229	-0.173584	0.670166	-0.742676	0.187438	0.130688	0.662408	-0.713445	-4.20643	-8.74201	1.03188	-0.114443	-0.000900762	-0.0443193	0.0847168	0.98291	-0.0383301	0.653587	0.0763871	0.749316	-0.0742539	-8.46509	-0.280503	-1.08221	-0.0004508	0.031385	-0.0280213	0.637939	0.138428	0.731201	0.493902	-0.627962	-0.241211	-0.550946	9.29586	-3.34496	0.813534	0.0169887	0.0268899	-0.00908345	-0.720703	0.683105	0.095459	0.361881	-0.544786	-0.537294	-0.532508	9.37941	1.84122	-1.57143	0.0426585	0.000863297	-0.0092637	-1.02612	0.230957	0.254639	0.359736	-0.540888	-0.530165	-0.544937	9.50488	1.82682	-1.35987	0.00266365	0.00581362	-0.0103275	-1.04761	0.1875	0.23877	0.324999	-0.591869	-0.503424	-0.539103	9.34844	1.67075	-1.87939	-0.00650926	0.0258071	0.0154269	-0.974609	0.231445	0.324463	0.395393	-0.541956	-0.520377	-0.528351	9.65874	1.16057	-1.16967	0.00447723	0.00502475	0.00200603	-1.05444	0.306152	0.181396	
1	0.575955	-0.616192	0.139309	-0.518822	4.9602	-8.54155	2.00329	-0.03852	-0.0200249	0.00429299	-0.215088	0.958008	0.208252	0.614535	-0.631689	-0.00149835	-0.47256	5.896	-7.48201	1.91599	-0.00513971	0.00625365	-0.0248267	-0.173584	0.867188	0.111572	0.242469	0.0667085	0.640154	-0.725921	-4.11338	-9.05784	1.50942	6.86823e-05	-0.0186531	-0.0126576	-0.0161133	0.925049	-0.0585938	-0.0838231	0.125636	0.38113	-0.912101	-1.59677	-7.07634	6.50867	0.0622543	-0.0199531	-0.00145823	-0.169189	0.672363	-0.747314	0.187297	0.130211	0.661356	-0.714544	-4.03606	-8.77957	0.92121	0.0850072	-0.0258096	-0.0152203	0.0825195	0.980957	-0.0429688	0.65347	0.0758629	0.7494	-0.0749754	-8.49801	-0.313516	-1.34232	0.000409421	0.00858806	-0.0537645	0.637695	0.142822	0.733154	0.493419	-0.628442	-0.240799	-0.551012	9.20241	-3.37873	0.918676	-0.0133625	0.0124536	-0.0112274	-0.722656	0.680908	0.102051	0.362175	-0.544768	-0.537214	-0.532409	9.28779	1.73291	-1.60047	0.00411148	0.0204983	-0.0061844	-1.02173	0.233154	0.256836	0.359526	-0.541256	-0.529924	-0.544944	9.45991	1.78467	-1.42652	-0.0207399	-0.00369167	-0.0105816	-1.04541	0.189697	0.243164	0.325097	-0.592007	-0.503187	-0.539113	9.27684	1.69219	-2.13243	0.000787811	0.0124448	0.0143376	-0.981201	0.229248	0.326904	0.395373	-0.542137	-0.520349	-0.528209	9.70981	1.27435	-1.38023	-0.00331106	0.00379149	0.0015447	-1.06323	0.301758	0.186035	
2	0.575801	-0.616543	0.139151	-0.518618	4.91309	-8.69395	1.9607	0.00590444	-0.0203278	-0.00786404	-0.212891	0.957764	0.2146	0.614624	-0.63144	-0.00118281	-0.472778	5.77952	-7.7484	1.90965	-0.00785537	0.0672453	-0.0179492	-0.173584	0.867188	0.118652	0.242634	0.0661759	0.639925	-0.726116	-4.07508	-9.29843	1.67417	0.00397096	0.00137069	-0.00901445	-0.0246582	0.923096	-0.060791	-0.0832355	0.125607	0.380562	-0.912396	-1.64891	-6.80286	6.95174	0.00832898	-0.00153876	0.0274243	-0.17334	0.667969	-0.744873	0.187526	0.130199	0.660934	-0.714877	-4.2525	-8.53791	0.768068	-0.0213154	-0.00863338	-0.0093664	0.0866699	0.985352	-0.0429688	0.653351	0.0752178	0.749512	-0.0755354	-8.49777	-0.177934	-1.38318	-0.0265439	0.0122076	-0.0373229	0.635498	0.14502	0.730957	0.493283	-0.628878	-0.241175	-0.550472	9.13073	-3.52713	0.873877	0.0388065	-0.0340833	-0.0126135	-0.722656	0.680908	0.104004	0.361982	-0.545063	-0.536627	-0.53283	9.20178	1.70792	-1.76966	-0.0297447	0.0160273	-0.0132332	-1.02393	0.233154	0.254639	0.35931	-0.541468	-0.529742	-0.545053	9.40175	1.90483	-1.55793	-5.44749e-05	0.003379	-0.0168246	-1.04785	0.191895	0.243164	0.324556	-0.592465	-0.502745	-0.539347	9.323	1.51246	-1.97022	-0.0259272	-0.00494398	0.00524301	-0.977051	0.233643	0.32666	0.3953	-0.542198	-0.520073	-0.528474	9.69089	1.15192	-1.29739	-0.000996913	0.0156311	-0.00456136	-1.05859	0.299561	0.177002	
3	0.576224	-0.616011	0.138857	-0.51886	4.96579	-8.69587	2.02075	0.0328716	0.0115956	-0.00308618	-0.219238	0.955566	0.212402	0.614507	-0.631801	-0.000784931	-0.47245	5.97068	-7.75143	2.10582	-0.0458183	0.00407389	0.0134237	-0.173584	0.867188	0.118652	0.242644	0.066116	0.639697	-0.72632	-3.92792	-8.87348	1.68548	0.0257163	-0.00433083	-0.00653258	-0.0246582	0.929688	-0.0632324	-0.0832874	0.125617	0.380368	-0.912471	-1.70227	-6.95382	6.83746	-0.00322101	0.00857157	-0.00176367	-0.173584	0.674561	-0.745117	0.187526	0.130199	0.660934	-0.714877	-4.2525	-8.53791	0.768068	-0.0213154	-0.00863338	-0.0093664	0.0866699	0.985352	-0.0429688	0.653278	0.0751947	0.749663	-0.0746954	-8.44318	-0.278153	-1.13567	0.0107881	0.0254019	0.00801154	0.641846	0.147217	0.733154	0.493557	-0.629116	-0.242361	-0.549432	9.34225	-3.44116	0.84096	0.0788263	-0.0585645	-0.0186465	-0.716309	0.683105	0.108154	0.361775	-0.545111	-0.536688	-0.53286	9.35848	1.62019	-1.74719	-0.00394959	0.00361644	-0.0278835	-1.02783	0.224609	0.252441	0.359707	-0.541164	-0.529895	-0.544944	9.61862	1.69093	-1.43702	0.0335183	0.0186002	-0.0174996	-1.0498	0.1875	0.236572	0.324929	-0.59224	-0.50335	-0.538805	9.54018	1.49164	-1.79064	0.0686571	0.0133095	-0.00254774	-0.977051	0.233643	0.329102	0.395719	-0.541949	-0.520569	-0.527925	9.77822	1.13312	-1.08531	0.0581005	-0.00408205	-0.00020601	-1.06763	0.301758	0.179199	
4	0.576386	-0.615271	0.137229	-0.51999	4.82874	-8.59117	2.00139	0.0723379	-0.00312492	-0.0750242	-0.217285	0.962158	0.205811	0.615166	-0.630581	-7.2054e-05	-0.473221	5.97647	-7.52936	1.91412	0.012428	0.0718464	-0.00567694	-0.175781	0.86499	0.111572	0.242808	0.0659054	0.640219	-0.725824	-4.14024	-8.84936	1.75558	-0.00644207	0.00161998	0.00273741	-0.0202637	0.923096	-0.0585938	-0.0825566	0.125757	0.380658	-0.912397	-1.62453	-6.93411	6.56746	-0.00257207	0.00398386	0.0332261	-0.168945	0.667969	-0.74707	0.187773	0.129756	0.662394	-0.713539	-4.15698	-8.74627	1.02195	-0.0574321	0.0130747	-0.0086721	0.0822754	0.987305	-0.0361328	0.653145	0.0748018	0.749843	-0.0744432	-8.52455	-0.288212	-1.25827	-0.0242069	0.0231747	-0.0210893	0.635742	0.142822	0.737549	0.494069	-0.629412	-0.243513	-0.548122	9.22766	-3.36483	0.743007	0.0592012	-0.041344	-0.00380016	-0.714355	0.6875	0.104004	0.362244	-0.544668	-0.537656	-0.532016	9.42529	1.75883	-1.50352	0.0715146	0.00411593	-0.022229	-1.02173	0.231201	0.247559	0.359959	-0.54099	-0.530021	-0.544827	9.52174	1.88559	-1.24469	0.032111	0.0145463	-0.0168555	-1.05005	0.191895	0.243164	0.325658	-0.591709	-0.503815	-0.538515	9.37201	1.73486	-1.92368	0.0837099	0.0371573	-0.0017641	-0.981445	0.233643	0.322266	0.396005	-0.541794	-0.521199	-0.527248	9.67395	1.1908	-1.34761	0.0322987	-0.0100158	-0.00638267	-1.06104	0.301758	0.179199	
5	0.57697	-0.61449	0.13494	-0.520863	4.91522	-8.05498	2.00802	0.0749055	-0.020303	-0.0427223	-0.223877	0.959961	0.205811	0.615138	-0.630477	0.000781581	-0.473396	5.91703	-7.52047	2.03029	-0.0365291	0.0696128	0.0152306	-0.169189	0.867188	0.11377	0.243124	0.0657911	0.639719	-0.726169	-4.06505	-8.96706	1.57361	0.0318569	-0.0202469	0.00271293	-0.0268555	0.931885	-0.0610352	-0.0824212	0.125753	0.380079	-0.912651	-1.582	-6.80886	6.84286	0.0202536	-0.00153621	0.00785611	-0.169434	0.676758	-0.749512	0.188559	0.130295	0.66242	-0.71321	-4.20653	-8.64289	0.952014	0.00279	0.007316	0.0286766	0.0847168	0.985107	-0.0361328	0.65303	0.0745298	0.750006	-0.0740828	-8.27333	-0.211681	-1.05619	-0.00558791	0.0167508	-0.0167937	0.64209	0.140625	0.733398	0.495003	-0.629124	-0.244652	-0.547102	9.25947	-3.39764	0.887618	0.0719589	-0.0141773	-0.00613231	-0.714111	0.683105	0.0998535	0.363068	-0.543912	-0.538377	-0.531499	9.30791	1.66512	-1.75637	0.0123276	0.0139438	-0.0238989	-1.01953	0.231201	0.25	0.360235	-0.540709	-0.530598	-0.544362	9.5152	1.78971	-1.50282	0.0319794	0.00845562	-0.0212004	-1.04297	0.189697	0.243164	0.325973	-0.591414	-0.504129	-0.538354	9.32206	1.56446	-2.09231	0.0211333	0.00510385	0.00112526	-0.979004	0.229248	0.331543	0.396059	-0.541849	-0.521471	-0.526882	9.73551	1.22692	-1.40677	0.0203434	-0.00335005	-0.0010268	-1.06567	0.306152	0.186035	
6	0.5773	-0.614344	0.134526	-0.520777	4.97722	-7.97374	2.04398	0.0398189	-0.0226534	-0.0019764	-0.223877	0.959961	0.20166	0.61489	-0.629888	0.00223227	-0.474496	5.8796	-7.58679	2.03587	-0.0191969	0.0620268	-0.0204449	-0.169189	0.86499	0.111572	0.243183	0.0657115	0.639603	-0.726259	-4.09642	-9.17816	1.5991	0.00687703	0.0133635	0.00281432	-0.0268555	0.925293	-0.0585938	-0.0824884	0.125535	0.3803	-0.912583	-1.61905	-6.95761	6.88355	-0.0120543	-0.0102396	-0.0131904	-0.171387	0.670166	-0.744873	0.188475	0.130035	0.663345	-0.712419	-4.25378	-8.86065	0.774644	-0.0541858	0.0179957	-0.0393861	0.0825195	0.98291	-0.0383301	0.652942	0.074563	0.750064	-0.0742378	-8.35949	-0.194125	-1.07437	0.0151023	0.0214734	-0.0218652	0.635742	0.138428	0.733398	0.495273	-0.629097	-0.245171	-0.546656	9.28091	-3.39368	0.938461	0.0627716	-0.0237804	-0.0126451	-0.716309	0.683105	0.101807	0.363021	-0.543897	-0.53848	-0.531443	9.36701	1.79888	-1.70012	0.0103345	0.00791974	-0.0229293	-1.02368	0.226807	0.252441	0.360358	-0.540604	-0.530769	-0.544218	9.50324	1.89683	-1.40549	0.0277094	0.00432495	-0.0210341	-1.04517	0.1875	0.245605	0.325942	-0.591402	-0.5043	-0.538226	9.39194	1.6195	-2.03199	0.0158001	-0.000200622	-0.00344261	-0.976807	0.231445	0.326904	0.396159	-0.54177	-0.52156	-0.526801	9.78297	1.28418	-1.3676	0.0158588	0.00774232	-0.00500462	-1.052	0.306152	0.181396	
7	0.576957	-0.614657	0.135411	-0.520559	4.91949	-8.15047	2.08439	-0.0609671	0.022646	0.02188	-0.226074	0.957764	0.203857	0.614044	-0.631166	0.00311732	-0.473888	5.94233	-7.72744	1.98422	-0.0678507	0.00495333	0.00672242	-0.176025	0.869385	0.116211	0.243017	0.0658778	0.639654	-0.726255	-4.1101	-8.97747	1.53808	0.0053115	0.0108235	-0.0124131	-0.0246582	0.92749	-0.0541992	-0.0830353	0.125634	0.380074	-0.912614	-1.60006	-7.16779	6.46858	0.0476385	0.0254602	-0.00629708	-0.173584	0.674561	-0.751709	0.188179	0.130341	0.662799	-0.71295	-4.17292	-8.73284	1.04208	0.0400644	0.0251595	-0.0166069	0.0847168	0.985352	-0.0405273	0.652846	0.074779	0.75013	-0.0741941	-8.59407	-0.345044	-1.27303	0.0141316	0.00996461	-0.0106119	0.631104	0.147217	0.733154	0.495291	-0.629354	-0.245541	-0.546178	9.35981	-3.49824	0.792003	0.0248564	0.000642176	-0.0117521	-0.718506	0.683105	0.101807	0.362718	-0.543982	-0.538307	-0.531738	9.34137	1.71311	-1.60622	-0.00415944	0.0192579	-0.022186	-1.02197	0.235352	0.259277	0.360092	-0.540734	-0.530731	-0.544302	9.50289	1.88992	-1.38142	-2.21827e-05	-0.00111757	-0.0235813	-1.04761	0.189697	0.236572	0.326023	-0.591254	-0.504672	-0.537991	9.37303	1.6772	-1.97949	-0.00249286	0.00862804	-0.00355558	-0.977051	0.233643	0.331299	0.396317	-0.541565	-0.521721	-0.526732	9.71918	1.17934	-1.28109	-0.00335202	0.00845774	-0.00972236	-1.05884	0.306152	0.179199	
8	0.576411	-0.615512	0.13613	-0.519966	4.86577	-8.52218	2.01345	-0.0429258	-0.0279425	0.0143515	-0.228516	0.962158	0.210205	0.613199	-0.632181	0.00375505	-0.473624	6.01935	-7.69517	1.93592	-0.0791536	0.0168834	-0.00666793	-0.171631	0.871582	0.12085	0.24313	0.0658111	0.639009	-0.726791	-4.01187	-8.96019	1.93966	0.00399931	-0.0016232	5.2811e-05	-0.0268555	0.923096	-0.067627	-0.0833563	0.125908	0.378926	-0.913025	-1.60775	-6.90144	6.91076	0.0340918	0.016736	0.011213	-0.175537	0.667969	-0.755859	0.188133	0.130677	0.662697	-0.712996	-4.10422	-8.58339	0.812763	0.0152171	0.0124884	-0.00843796	0.0822754	0.987549	-0.0405273	0.652896	0.0748304	0.750024	-0.074772	-8.30741	-0.0634817	-1.21008	0.0177232	0.00145884	-0.0308117	0.635498	0.147217	0.735352	0.495642	-0.629168	-0.2457	-0.546002	9.30367	-3.50186	0.945243	0.0432752	0.0268136	-0.00703299	-0.714111	0.680908	0.106201	0.362735	-0.543904	-0.53861	-0.5315	9.2806	1.62491	-1.73097	0.0338188	0.0050643	-0.0208506	-1.02612	0.231201	0.25	0.35993	-0.540741	-0.530703	-0.54443	9.50651	1.90219	-1.42727	0.011936	0.00730356	-0.022596	-1.04297	0.189697	0.240967	0.325052	-0.591915	-0.50418	-0.538312	9.35022	1.47524	-1.98202	-0.0340475	-0.0152317	0.00122115	-0.979248	0.23584	0.329102	0.395968	-0.541512	-0.5216	-0.527169	9.72373	1.16299	-1.29513	-0.017622	0.00830371	-0.0151499	-1.06323	0.301758	0.186035	
9	0.576258	-0.615898	0.136237	-0.519649	5.03124	-8.58755	1.96512	-0.00898689	-0.00524659	0.002478	-0.22168	0.957764	0.203857	0.613165	-0.632368	0.00447494	-0.473412	5.91344	-7.77111	1.95135	-0.0289445	0.0274518	0.000317617	-0.169434	0.869385	0.116211	0.243622	0.0661209	0.639236	-0.726398	-4.00031	-8.7983	1.67115	-0.0228369	0.0102959	0.0255491	-0.0249023	0.934082	-0.0634766	-0.0830173	0.125533	0.37979	-0.912748	-1.58408	-6.74768	6.67661	-0.0337396	-0.0170268	-0.00898233	-0.169189	0.672363	-0.751709	0.188132	0.130998	0.662023	-0.713562	-4.29644	-8.58556	0.726041	0.0260347	0.00168538	-0.0110161	0.0825195	0.98291	-0.0336914	0.652876	0.074734	0.750007	-0.075216	-8.36302	-0.195855	-1.06972	0.00362666	0.0189278	-0.0178083	0.633301	0.149414	0.733154	0.496435	-0.628471	-0.245563	-0.546146	9.21534	-3.51481	0.669891	0.054296	0.0405771	-0.00500789	-0.716553	0.685303	0.095459	0.362567	-0.543802	-0.538815	-0.53151	9.34771	1.77883	-1.65358	-8.8077e-05	0.0184454	-0.0345487	-1.01953	0.229004	0.252197	0.359626	-0.540788	-0.530805	-0.544485	9.44934	1.91157	-1.32948	-0.0046365	-0.00497202	-0.0316222	-1.04785	0.192139	0.240967	0.325068	-0.59179	-0.504619	-0.538029	9.32072	1.54113	-1.85842	0.037119	0.00258263	-0.0082105	-0.974854	0.233643	0.331299	0.395945	-0.541304	-0.521931	-0.527073	9.66039	1.1104	-1.2128	0.031274	-7.76737e-06	-0.0140806	-1.06104	0.303955	0.183838	
