Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.546028	0.418939	0.340279	0.640745	8.80162	0.913238	4.78075	0.3786	0.333106	0.291661	-0.815918	0.384766	-0.324463	1529753370008	-50	85
Throax	00b411e8	-0.781016	0.128334	0.604513	0.0900465	9.67006	-0.791312	2.44852	-0.00613992	0.00381646	-0.0207146	-0.740479	0.391113	-0.0869141	1529753370011	-50	84
LUpArm	00b411d9	-0.735883	0.0176877	-0.0570224	0.674471	-0.105661	-0.665357	10.7837	0.0118788	0.0175013	-0.0186974	-0.0310059	0.401855	-0.911865	1529753370012	-60	84
LFoArm	00b41148	-0.667303	-0.000155417	-0.0245542	0.744381	-0.229972	-0.541506	9.75416	-0.0305756	0.0230739	-0.0148856	0.142822	0.522461	-0.883301	1529753370005	-59	84
RUpArm	00b411db	0.621172	-0.027364	0.048418	-0.781698	-0.128424	-1.06372	9.72568	0.0349541	0.0615864	0.00631811	-0.0439453	0.484131	-0.853271	1529753370011	-59	84
RFoArm	00b41204	0.73126	-0.153334	0.0771015	-0.660154	0.0790359	-1.49079	13.2985	0.00412104	0.0701704	0.00643389	-0.0773926	0.569824	-0.893799	1529753370008	-59	85
Waist	00b411f7	0.514049	-0.486227	-0.526052	-0.471812	9.87588	0.221162	0.32232	-0.00376997	0.00689514	-0.0185992	-0.918457	0.383545	0.0236816	1529753370005	-49	84
Lthigh	00b411f4	0.376868	-0.541565	-0.497599	-0.563092	9.64387	1.78972	-0.455363	0.00744808	0.00253802	-0.0167042	-1.04248	0.255371	0.195801	1529753370010	-51	85
Lshank	00b4111b	-0.446833	0.538199	0.531249	0.477971	9.76199	0.633872	-0.904664	0.00412512	0.000226351	-0.0169585	-1.0271	0.366211	0.178223	1529753370008	-49	82
Rthigh	00b411c8	0.430159	-0.476563	-0.596958	-0.481136	9.54234	1.69384	-1.09145	-0.00943736	0.00801693	0.00458779	-1.03345	0.239502	0.166992	1529753370008	-50	84
Rshank	00b411ee	-0.376878	0.611029	0.425516	0.550947	9.81522	0.102798	-1.05304	-0.00818406	0.0112165	-0.0057525	-1.02979	0.421387	0.270752	1529753370008	-51	87
