Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.683269	0.31493	0.387154	0.532986	8.85512	-0.12338	5.43765	0.014754	-0.0122357	-0.0163962	-0.77124	0.427002	-0.382812	1529753953081	-50	83
Throax	00b411e8	-0.745282	0.213775	0.616258	0.138132	9.64602	-1.24345	1.5256	0.00806708	-0.0060154	-0.0313852	-0.73291	0.426514	-0.0314941	1529753953084	-49	82
LUpArm	00b411d9	-0.816691	-0.0559894	-0.0153559	0.574147	-0.378805	1.33167	10.8016	0.0543449	-0.00653763	-0.0048186	-0.0236816	0.226318	-0.978027	1529753953086	-68	83
LFoArm	00b41148	-0.745956	-0.0407041	-0.00272717	0.664744	-0.56635	0.611462	9.84546	0.0333438	-0.0113928	-0.00537446	0.140381	0.434814	-0.921387	1529753953079	-57	83
RUpArm	00b411db	0.755631	-0.0760489	0.0808235	-0.645527	-0.242719	-2.00435	9.50148	0.0274156	0.00342062	-0.00847997	-0.00415039	0.580566	-0.787109	1529753953084	-56	82
RFoArm	00b41204	0.789598	0.0831966	0.0933104	-0.600756	-0.343009	-2.12394	13.2907	0.00125637	0.00969469	-0.00680799	0.017334	0.630615	-0.85498	1529753953082	-57	83
Waist	00b411f7	0.481125	-0.526508	-0.448184	-0.538924	9.94824	0.230811	0.400041	0.0212443	-0.0265095	-0.0251289	-0.920654	0.383545	0.0131836	1529753953078	-50	82
Lthigh	00b411f4	0.388784	-0.557547	-0.436125	-0.589732	9.80227	1.28713	0.211556	0.0552789	0.0128354	-0.035928	-1.03809	0.303711	0.148193	1529753953084	-50	83
Lshank	00b4111b	-0.438777	0.555684	0.495329	0.503329	9.7251	0.446709	-1.10192	0.0151149	0.00305705	-0.0172975	-1.02051	0.377686	0.175781	1529753953082	-50	80
Rthigh	00b411c8	0.407908	-0.485425	-0.524238	-0.568462	9.60863	2.17654	-0.146306	0.0116562	0.00333987	0.00285507	-1.05566	0.184326	0.108887	1529753953083	-49	82
Rshank	00b411ee	-0.354494	0.619756	0.403916	0.571916	9.82068	0.245974	-1.05345	0.003069	0.00970166	-0.00841087	-1.04248	0.39917	0.273438	1529753953082	-56	86
