40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.0270676	-0.0351348	0.998755	0.0228404	-1.22771	0.21582	-8.47134	0.0082987	0.0046527	-0.00798338	-0.110596	-0.227295	1.09009	-0.0107402	-0.039422	0.999089	0.0123078	0.135552	0.164298	-9.57606	-0.0121759	0.0109222	-0.000207874	-0.268799	-0.176514	1.10986	-0.972555	0.0611959	0.22206	-0.0328753	5.00945	-1.62115	9.15318	0.11031	-0.00529587	-0.0141886	-0.341064	0.0378418	-1.15015	-0.858877	-0.471693	0.187397	0.0686904	2.54318	8.36646	4.68123	0.0834872	0.0176291	-0.000337644	0.202881	-1.19141	-0.5271	0.932903	0.204835	-0.195638	0.222396	4.43039	3.18687	8.22766	0.0940784	0.0270358	-0.0188975	-0.12207	-0.586426	-0.943604	0.764241	-0.623239	-0.0871917	0.141092	2.71289	-8.98725	5.39396	0.0921853	0.00959567	-0.0025754	0.017334	1.021	-0.634766	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877062	-0.203884	-0.352743	-0.254491	7.8929	-1.72959	7.02179	0.00364893	0.0231283	-0.00684073	-0.593018	0.335205	-0.830322	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.913957	0.174047	-0.36654	-0.00622396	6.97102	3.25354	6.85943	-0.0141547	0.0257604	0.00483966	-0.412842	-0.384766	-0.980469	0.0307117	0.151577	0.98445	0.0833019	-0.321502	1.61562	-9.64844	0.00624938	0.0088252	-0.00802219	-0.432129	-0.0322266	1.13281	
1	0.0270205	-0.0352639	0.998753	0.0227897	-1.24671	0.208438	-8.40682	0.00350549	0.0134102	-0.00862235	-0.110596	-0.225098	1.09009	-0.011334	-0.0397165	0.999073	0.0121202	0.0740426	0.223002	-9.57509	-0.0289507	0.0150178	-0.00870904	-0.262207	-0.178711	1.10522	-0.972669	0.0592696	0.222066	-0.0330094	5.04686	-1.27007	9.40632	0.0294136	0.010873	-0.015487	-0.349609	0.0358887	-1.14331	-0.858888	-0.471653	0.187482	0.0685946	2.50979	8.34522	4.73252	0.00270205	0.00289629	0.0106977	0.198242	-1.18945	-0.524902	0.932933	0.204781	-0.195376	0.222552	4.58389	2.76913	8.25061	0.0441838	0.0262657	-0.0149132	-0.122314	-0.579834	-0.948242	0.765128	-0.62216	-0.0870638	0.141123	2.75002	-9.40641	5.31851	0.110066	0.0158687	-0.0201963	0.0065918	1.0166	-0.634766	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.87732	-0.203938	-0.352111	-0.254433	7.90718	-1.75126	7.01869	0.00437134	0.0261073	-0.00418665	-0.592773	0.328857	-0.832764	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.914043	0.173999	-0.366349	-0.00623997	6.95571	3.21235	6.87119	-0.00150114	0.0256569	0.000851076	-0.419678	-0.382568	-0.982666	0.0306907	0.151549	0.984461	0.0832359	-0.312471	1.62499	-9.65256	0.00702791	0.00774565	-0.00932608	-0.429932	-0.0300293	1.13062	
2	0.0271705	-0.0354907	0.998745	0.0225757	-1.21319	0.211163	-8.49396	0.00857695	0.000327165	-0.00626704	-0.11084	-0.218506	1.08765	-0.0113648	-0.0397233	0.999073	0.0121072	0.111545	0.345656	-9.60653	-0.00682885	0.0175987	-0.0143476	-0.266602	-0.180908	1.11011	-0.972698	0.0573642	0.222374	-0.0334422	4.91485	-1.36817	9.40894	0.140173	-0.0234695	-0.0106821	-0.349365	0.0273438	-1.1499	-0.858757	-0.471986	0.187334	0.0683532	2.52017	7.85691	4.80852	0.0172908	0.0121823	0.00275478	0.19873	-1.19824	-0.524658	0.933043	0.204547	-0.195395	0.222288	4.58535	2.62866	8.68919	-0.0512605	0.0105699	-0.0205451	-0.120117	-0.579834	-0.941406	0.768658	-0.617634	-0.0867493	0.142013	2.67351	-8.87206	6.09275	0.176199	-0.00509998	-0.0159151	0.00683594	1.01001	-0.649414	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877433	-0.203882	-0.351888	-0.254398	7.86928	-1.70562	7.05624	0.00480453	0.0214414	-0.0167741	-0.597168	0.328857	-0.837402	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.914134	0.174066	-0.366088	-0.00631472	6.94213	3.31031	6.84986	0.00544085	0.0217626	-0.00316976	-0.41748	-0.382568	-0.980469	0.030655	0.151528	0.984465	0.083232	-0.313098	1.62514	-9.62939	0.00150442	0.00865586	-0.00783374	-0.432129	-0.027832	1.12598	
3	0.0273788	-0.0358081	0.998723	0.0228332	-1.22945	0.243902	-8.49655	-0.00951631	-0.00294891	-0.00861399	-0.106445	-0.220703	1.0813	-0.011205	-0.0399141	0.999072	0.0116984	0.196012	0.32159	-9.58946	0.00157016	0.0137369	-0.0321664	-0.260254	-0.172119	1.10742	-0.972769	0.0559784	0.222402	-0.0335318	5.06416	-0.954469	9.75768	-0.0219482	0.0130182	0.00338835	-0.347168	0.0273438	-1.14771	-0.858351	-0.472796	0.187268	0.0680362	2.47388	8.52047	4.76116	-0.00290962	0.00827151	-0.00340759	0.200439	-1.18945	-0.524902	0.933191	0.204136	-0.195126	0.222281	4.4643	3.0656	8.19998	-0.0724577	0.00235142	-0.015807	-0.118164	-0.577637	-0.952881	0.769702	-0.616426	-0.08635	0.141849	2.67241	-9.03076	5.16886	0.0449964	0.00322974	-0.00126095	0.0153809	1.01221	-0.645264	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877465	-0.20379	-0.351794	-0.254492	7.86179	-1.71805	7.04607	0.00834541	0.018509	-0.0214493	-0.604004	0.337402	-0.835205	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.914242	0.173975	-0.365858	-0.00651101	6.92875	3.24878	6.87719	-0.0024793	0.0177651	-0.00303535	-0.417969	-0.373779	-0.980713	0.0305863	0.151529	0.984466	0.0832463	-0.309332	1.61002	-9.62042	-0.000633014	0.00999173	-0.00789075	-0.434082	-0.0344238	1.13062	
4	0.0276524	-0.0360403	0.998702	0.0230506	-1.25448	0.208236	-8.45052	-0.00858176	-0.00670383	-0.00890381	-0.110596	-0.2229	1.0835	-0.0111512	-0.0397926	0.999076	0.0117724	0.0476713	0.237688	-9.60014	-0.0153449	0.00927763	-0.0125751	-0.258301	-0.169922	1.10498	-0.972662	0.055852	0.222863	-0.0337789	4.89005	-1.46187	9.16664	0.0504658	-0.0334813	0.00123664	-0.349365	0.0229492	-1.14526	-0.858786	-0.472029	0.1872	0.0680552	2.45284	8.14724	4.64586	-0.0113475	0.00814073	-0.001134	0.202881	-1.19141	-0.5271	0.933463	0.20247	-0.195824	0.222049	4.3797	2.87756	8.27913	-0.00839796	-0.00294867	-0.00726368	-0.124756	-0.573242	-0.948242	0.770437	-0.61564	-0.0859246	0.141535	2.6822	-9.21903	5.94106	-0.00405645	0.0447659	-0.0222642	0.0112305	1.01001	-0.657959	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.87751	-0.203652	-0.351714	-0.254556	7.88545	-1.64126	7.02694	0.00751808	0.0220908	-0.0152306	-0.597168	0.32666	-0.837402	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.914299	0.173853	-0.365769	-0.00665391	6.91302	3.29562	6.85501	-0.00514267	0.010409	-0.000295656	-0.412842	-0.384766	-0.978027	0.0304725	0.151449	0.984479	0.0832863	-0.309734	1.62318	-9.62612	-7.5707e-05	0.00823904	-0.00612227	-0.432129	-0.0322266	1.13062	
5	0.0281816	-0.0362197	0.998677	0.0231979	-1.23561	0.229515	-8.48203	-0.00440379	-0.0113828	-0.00422254	-0.108154	-0.227295	1.08569	-0.0111043	-0.0398275	0.999077	0.0116259	0.109572	0.345249	-9.71478	-0.0152775	0.0185089	-0.0182808	-0.26001	-0.178711	1.10986	-0.972553	0.0562733	0.223227	-0.0338194	4.91925	-1.27444	9.52285	-0.0265529	-0.00930467	-0.00301716	-0.355713	0.0251465	-1.1499	-0.859167	-0.471232	0.187436	0.0681247	2.42667	8.14834	4.9497	-0.0367877	0.00110726	0.0155565	0.198242	-1.18945	-0.5271	0.933609	0.201245	-0.19645	0.221996	4.60884	2.5219	8.6065	-0.0307512	0.0092267	0.00558437	-0.122803	-0.571045	-0.950684	0.770864	-0.615011	-0.0862244	0.14176	2.53691	-9.23691	5.64404	0.0394072	-0.0117794	-0.0282539	0.017334	1.0166	-0.649658	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877514	-0.203591	-0.351713	-0.254593	7.87851	-1.7605	7.07949	0.00873543	0.0130195	-0.0210276	-0.593262	0.335205	-0.835205	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.914298	0.173769	-0.36581	-0.00675409	6.9328	3.23798	6.93313	-0.0012004	0.00574743	0.000963772	-0.410645	-0.384766	-0.980469	0.0305359	0.151425	0.984488	0.0831931	-0.31269	1.61613	-9.63919	0.00308753	0.00314144	-0.0077236	-0.431885	-0.0344238	1.12598	
6	0.0283321	-0.036472	0.998658	0.0234477	-1.20643	0.252133	-8.52038	-0.00892509	0.00656752	-0.00712027	-0.110352	-0.227295	1.0813	-0.01119	-0.040124	0.99906	0.0119768	-0.0109987	0.280505	-9.67817	-0.0186002	0.00997634	-0.0227909	-0.260254	-0.176514	1.1145	-0.972501	0.0578657	0.223134	-0.033247	5.13493	-1.28153	9.39413	-0.0732581	0.0207374	-0.00680253	-0.35376	0.0317383	-1.14551	-0.859156	-0.471233	0.187583	0.0678492	2.63588	8.23137	4.52566	0.0086971	-0.00348389	0.0119346	0.198486	-1.1958	-0.529053	0.933392	0.201927	-0.196099	0.222598	4.71791	2.72214	8.52301	0.0250251	0.0180973	-0.00605898	-0.125	-0.571045	-0.952881	0.771348	-0.61451	-0.0862765	0.141264	2.8179	-9.47588	5.45794	0.029221	0.036809	-0.0301621	0.0112305	1.01001	-0.656006	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877537	-0.203162	-0.351721	-0.254846	7.8996	-1.66978	7.07371	0.0153857	0.0139047	-0.0230329	-0.593018	0.333008	-0.830322	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.914214	0.173961	-0.36593	-0.00675202	6.95696	3.2867	6.86558	0.00947964	-0.000793226	-0.000328715	-0.415283	-0.382568	-0.97583	0.0305852	0.151409	0.984488	0.0832014	-0.316164	1.62238	-9.62858	0.00204215	0.00432886	-0.00696011	-0.436279	-0.0366211	1.13525	
7	0.0283914	-0.0367327	0.998642	0.0236244	-1.23549	0.26859	-8.4473	-0.00391678	0.00396557	-0.00778581	-0.104004	-0.2229	1.0835	-0.0109843	-0.0404563	0.999046	0.0122693	0.100293	0.31109	-9.57682	-0.0260705	0.00771059	-0.0347532	-0.262451	-0.176514	1.10986	-0.972563	0.0572719	0.223012	-0.0332703	4.96193	-1.35143	9.29292	0.045236	0.00713824	-0.00460991	-0.351562	0.029541	-1.1499	-0.858759	-0.471882	0.187811	0.0677311	2.5608	7.92869	4.9666	0.0660883	0.00985688	0.00266799	0.19873	-1.19824	-0.526855	0.933033	0.203579	-0.19551	0.223116	4.45536	3.14223	8.10686	0.0476253	0.00058914	-0.00606253	-0.122559	-0.577637	-0.955078	0.772754	-0.61268	-0.0863296	0.1415	2.80557	-9.00312	5.76415	0.0469296	-0.0123393	-0.00695955	0.015625	1.00781	-0.657959	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877442	-0.203141	-0.351947	-0.254878	7.89715	-1.67949	7.01879	0.00913866	0.00936659	-0.0176607	-0.597168	0.328857	-0.842041	0.0467887	-0.0921965	0.988689	0.108648	-0.872965	2.38099	-8.89756	0.00903856	0.00668716	-0.0264225	-0.299316	-0.282959	1.02124	0.914134	0.174001	-0.366111	-0.00675268	6.96401	3.27868	6.85832	0.00652323	0.00410623	0.00310148	-0.410889	-0.382568	-0.980469	0.0306501	0.151412	0.984499	0.0830432	-0.302881	1.62341	-9.64368	0.00809389	0.00319989	-0.00736898	-0.429688	-0.0322266	1.13062	
8	0.0285029	-0.0368572	0.998633	0.0236958	-1.20541	0.242201	-8.44766	-0.00567682	-0.000171495	-0.00914034	-0.108398	-0.225098	1.08569	-0.0109714	-0.040673	0.999031	0.0127417	0.126553	0.260389	-9.48748	-0.0308296	0.0104036	-0.0291141	-0.257812	-0.178711	1.10986	-0.972668	0.0553901	0.222975	-0.0336275	5.06608	-1.17117	9.53258	0.0808694	0.013522	-0.011576	-0.349365	0.0273438	-1.14307	-0.858148	-0.472978	0.187841	0.0677508	2.49648	8.40191	4.54531	0.023822	-0.00683181	-0.0154451	0.200928	-1.19824	-0.524658	0.93293	0.204256	-0.195168	0.223227	4.53013	2.84195	8.29854	0.0656877	0.0336407	-0.0172474	-0.122314	-0.582031	-0.946045	0.773419	-0.6119	-0.0860589	0.141408	2.73777	-9.27043	5.4375	0.0454537	0.0353373	-0.0188218	0.00927734	1.00342	-0.657959	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877478	-0.203111	-0.351936	-0.254793	7.84687	-1.71407	7.04427	0.00925794	0.0125913	-0.0141627	-0.597168	0.328857	-0.8396	0.0464607	-0.0964808	0.988437	0.107355	-0.859826	2.38298	-8.89595	-0.00189048	0.00431729	-0.0265329	-0.297119	-0.280762	1.02124	0.914112	0.174074	-0.366132	-0.00676212	6.89995	3.2794	6.86817	0.00922091	0.00939562	0.00134155	-0.419678	-0.382568	-0.978271	0.0307947	0.151436	0.984498	0.0829673	-0.309943	1.6101	-9.64028	0.00524447	-0.00192387	-0.00640824	-0.432129	-0.0322266	1.12817	
9	0.0292422	-0.037149	0.998592	0.0240554	-1.24687	0.228396	-8.45749	-0.00184819	-0.0122629	-0.000490479	-0.110352	-0.227295	1.08569	-0.0110307	-0.0407434	0.999025	0.0129089	0.0834704	0.206434	-9.5551	-0.0227636	0.0183479	-0.0275163	-0.264404	-0.178711	1.10986	-0.972723	0.054978	0.222813	-0.0337813	5.00631	-1.19219	9.42344	0.0382961	0.0189329	0.00340867	-0.349365	0.020752	-1.1521	-0.858231	-0.472803	0.187882	0.0678021	2.45501	8.07571	4.86648	-0.00326069	0.016406	0.0130882	0.198486	-1.19604	-0.518066	0.933089	0.203462	-0.195353	0.223127	4.46505	3.21566	8.11643	-0.0683043	0.00846989	-0.0103194	-0.122314	-0.579834	-0.948242	0.773527	-0.611706	-0.0860731	0.141648	2.69255	-9.03253	5.48799	0.0174262	-0.000406666	0.00141995	0.0112305	1.00562	-0.664307	-0.265733	-0.0698612	-0.961507	0.00297214	-5.60731	0.539167	-7.43028	-0.00089255	0.0502465	-0.0226363	0.272949	-0.0446777	1.08691	0.877484	-0.203111	-0.351909	-0.254809	7.90694	-1.66479	7.06559	0.00514866	0.0174288	-0.0167825	-0.595215	0.331055	-0.834961	0.0464607	-0.0964808	0.988437	0.107355	-0.859826	2.38298	-8.89595	-0.00189048	0.00431729	-0.0265329	-0.297119	-0.280762	1.02124	0.914131	0.174003	-0.366116	-0.0067897	6.94757	3.28664	6.83588	-0.00231121	0.0119792	0.00249957	-0.413086	-0.380371	-0.973633	0.0308161	0.151428	0.984501	0.0829372	-0.307566	1.62705	-9.63348	0.00373338	0.0045394	-0.00773414	-0.431885	-0.0344238	1.13281	
