Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.539847	-0.389996	-0.350488	-0.658503	8.83326	0.251373	5.58208	-0.0280085	-0.0169195	-0.0755639	-0.778809	0.398926	-0.38916	1529751155485	-54	91
Throax	00b411e8	0.46621	-0.564206	-0.446608	-0.514646	9.82	-0.970827	-0.0010896	-0.0107239	0.0339082	-0.0331465	-0.759277	0.381836	0.184326	1529751155490	-51	91
LUpArm	00b411d9	0.703908	0.0639293	-0.0778556	-0.703111	-0.0358517	2.32788	10.6013	0.0184546	-0.0216306	-0.044144	-0.107666	0.108887	-1.01123	1529751155490	-60	91
LFoArm	00b41148	0.707548	0.0370964	-0.00589787	-0.705667	-0.457732	0.563091	9.78763	0.0228889	-0.0222337	-0.0226927	0.0844727	0.441162	-0.925781	1529751155485	-60	91
RUpArm	00b411db	0.620369	-0.108475	0.12668	-0.766373	0.0707102	-2.82213	9.48087	-0.106386	-0.0181378	-0.033574	-0.0744629	0.650391	-0.723389	1529751155466	-59	91
RFoArm	00b41204	0.596024	0.0111615	0.158596	-0.78707	-0.0951108	-3.45736	13.1004	0.0969828	0.0173769	0.00300175	-0.0183105	0.715332	-0.775879	1529751155487	-60	91
Waist	00b411f7	0.484707	-0.493955	-0.535736	-0.483791	9.84408	-0.199732	-0.155571	0.138665	0.0256784	0.000331525	-0.918945	0.392334	0.0192871	1529751155484	-50	91
Lthigh	00b411f4	0.408231	-0.606687	-0.40773	-0.54684	9.79497	0.286373	-0.0543661	0.205884	0.0293307	-0.0630216	-1.00439	0.375488	0.172607	1529751155490	-53	91
Lshank	00b4111b	0.39382	-0.556041	-0.495701	-0.538521	9.58666	1.12626	-0.724495	0.342966	0.0690671	-0.0755688	-1.04541	0.304688	0.158936	1529751155487	-50	90
Rthigh	00b411c8	0.399841	-0.559018	-0.536195	-0.490021	9.58288	1.2243	-1.21356	0.190839	0.0693567	-0.0480259	-0.997314	0.285889	0.245605	1529751155489	-57	91
Rshank	00b411ee	-0.356158	0.640116	0.382724	0.562961	9.8053	-0.288795	-1.10667	0.198355	-0.0230467	-0.0588446	-1.00415	0.452393	0.270264	1529751155487	-50	93
