Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.570171	0.393742	0.406354	0.595608	9.55987	0.0134269	3.68517	0.244488	-0.0827592	0.101683	-0.817871	0.378174	-0.298584	1529903566224	-58	96
Throax	00b411e8	-0.633272	0.334196	0.365612	0.594649	8.65682	-0.0939022	5.09065	0.180885	-0.108533	0.14114	-0.636719	0.286865	-0.441406	1529903566226	-50	96
LUpArm	00b411d9	0.780837	0.00962477	-0.0135624	-0.624513	0.157061	0.287049	10.9548	-0.0106176	-0.0956549	0.279849	0.0166016	0.257812	-0.944824	1529903566226	-56	96
LFoArm	00b41148	0.814311	-0.0780459	0.0331401	-0.574203	0.380154	-1.87267	9.5964	-0.0280715	-0.142332	0.199381	0.162842	0.616455	-0.821045	1529903566228	-69	96
RUpArm	00b411db	-0.745568	0.0610692	-0.0383048	0.662519	0.294807	-1.3941	9.58256	-0.0179274	-0.129636	0.159467	0.0444336	0.512939	-0.825928	1529903566223	-59	96
RFoArm	00b41204	-0.750027	-0.0968187	0.0986533	0.646802	0.522898	-0.307872	13.3428	-0.0680767	-0.0887073	0.158553	0.0820312	0.459473	-0.952881	1529903566227	-71	97
Waist	00b411f7	0.48927	-0.51044	-0.524543	-0.474258	9.84247	-0.376009	-0.661189	0.250088	-0.0397093	0.0959506	-0.897461	0.398682	0.0639648	1529903566223	-49	96
Lthigh	00b411f4	-0.585421	0.503902	0.488447	0.405937	9.66623	-2.90368	0.783469	-0.271787	0.176408	0.204674	-0.888672	0.582275	-0.0463867	1529903566228	-49	96
Lshank	00b4111b	-0.625623	0.499288	0.506298	0.320888	9.44016	-3.84229	0.011715	0.0850864	0.0659768	0.180987	-0.847656	0.631104	-0.081543	1529903566227	-50	96
Rthigh	00b411c8	0.594039	-0.420884	-0.57437	-0.374264	9.78304	-1.17177	0.0379239	0.19373	0.0403266	0.151784	-0.96167	0.48584	-0.139648	1529903566205	-50	97
Rshank	00b411ee	0.604561	-0.347787	-0.614293	-0.369047	9.85965	0.157517	0.0188621	0.214281	0.132059	0.159378	-1.03687	0.372314	-0.211426	1529903566229	-49	97
