40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.482266	0.479111	0.402792	0.612888	9.67428	0.663562	2.04048	0.0820824	-0.00238065	0.00921185	-0.85083	0.400146	-0.0964355	-0.527112	0.436275	0.477183	0.551465	9.839	0.750046	1.56882	0.0890099	-0.095493	0.00712922	-0.793945	0.26001	-0.11499	0.836077	-0.137211	-0.214994	-0.485723	5.46888	0.126129	9.68571	-0.0643815	-0.061417	0.077946	-0.342529	0.281982	-0.905762	0.0362322	0.0812574	-0.0344946	-0.995437	-1.57377	0.681857	9.91478	0.127004	-0.011638	0.0696318	-0.252441	-0.0134277	-0.961914	-0.519608	0.249622	0.254979	0.776326	6.57474	1.38939	7.46552	0.0287399	-0.0798527	0.0217257	-0.725586	0.25415	-0.620605	-0.985921	-0.0788942	-0.0600522	0.134648	-1.5872	-0.784998	13.5631	-0.133846	0.0384636	0.0112541	0.587891	0.00146484	-0.88208	0.215097	-0.612777	-0.511967	-0.562252	8.6173	2.76856	-2.73959	0.0849372	-0.00169884	0.00891882	-0.871582	0.0751953	0.471924	-0.491677	0.485636	0.497658	0.524164	9.86681	0.824151	0.234687	0.106403	-0.0261994	-0.0220846	-1.00269	0.368408	-0.0305176	-0.520333	0.435424	0.55791	0.477908	9.81775	0.771874	-0.249608	-0.119902	0.0365315	-0.0195991	-1.01953	0.295654	-0.0615234	0.448666	-0.0778689	-0.147506	-0.877996	2.9128	1.94226	9.89783	-0.0307723	0.0130787	0.0260733	-0.512695	0.179932	-0.927734	0.329405	-0.853892	-0.377469	-0.14099	4.9792	-4.25223	-7.33198	0.00660123	-0.00944144	-0.0134658	-0.188721	0.782227	0.705566	
1	-0.48298	0.479547	0.403206	0.61171	9.61856	0.617004	1.95999	0.0204179	-0.0411627	0.046783	-0.842285	0.406738	-0.0986328	-0.527939	0.436648	0.476052	0.551355	9.58145	0.663395	1.54916	-0.0576657	0.0777031	0.0372669	-0.791992	0.262207	-0.108154	0.836572	-0.138045	-0.213784	-0.485167	5.23393	0.0518899	9.53009	-0.0231524	0.0621723	0.0202531	-0.338135	0.28418	-0.9104	0.0368484	0.0800335	-0.0348534	-0.995501	-1.56571	0.591969	9.85133	-0.0416029	-0.0497512	0.00971107	-0.252441	-0.015625	-0.961914	-0.520371	0.249954	0.254649	0.775816	6.39704	1.38353	7.25762	-0.0268411	0.0350251	0.0345311	-0.720703	0.245361	-0.618408	-0.985984	-0.0787685	-0.0609342	0.133856	-1.61149	-0.790904	13.3569	0.0536976	0.0518096	0.00760918	0.585938	-0.000732422	-0.879883	0.215507	-0.613212	-0.51234	-0.561281	8.45854	3.05194	-2.67196	0.00293031	-0.0125295	-0.000817877	-0.871582	0.0751953	0.469971	-0.490366	0.486617	0.497113	0.524998	9.78818	0.684426	0.468164	-0.11299	-0.00485717	-0.0335886	-1.00488	0.368408	-0.0305176	-0.519374	0.43661	0.555894	0.480212	9.65243	0.782996	0.0537374	-0.150483	0.0406615	-0.0270648	-1.02173	0.295654	-0.0637207	0.448869	-0.07728	-0.148133	-0.877839	2.89776	2.18273	9.84648	0.0333419	0.0335007	0.00357956	-0.510254	0.175537	-0.925293	0.328849	-0.853752	-0.378201	-0.141173	4.96994	-4.31654	-7.27858	-0.0155526	0.00140121	-0.042943	-0.186523	0.782227	0.700928	
2	-0.483538	0.480823	0.402104	0.610993	10.0727	0.382177	2.10336	-0.0434634	-0.00291971	0.0740537	-0.848877	0.406738	-0.0944824	-0.529339	0.437004	0.472715	0.552602	9.91366	0.617742	1.72034	-0.0950199	0.121029	0.0511921	-0.790039	0.266602	-0.110596	0.836879	-0.137331	-0.211925	-0.485656	5.26401	-0.0427304	9.41122	-0.0217892	0.0785082	-0.00642463	-0.335938	0.279785	-0.907959	0.0366922	0.0791423	-0.033764	-0.995615	-1.5267	0.61678	9.708	-0.086043	-0.0630935	-0.0209747	-0.252441	-0.015625	-0.966309	-0.52096	0.250713	0.252532	0.775868	6.51436	1.39707	7.15282	-0.0864367	0.0156935	0.0270134	-0.723389	0.25415	-0.620605	-0.985715	-0.0811811	-0.0623698	0.133733	-1.61311	-0.887953	13.195	0.0861082	0.094596	-0.0250607	0.583984	-0.00732422	-0.875488	0.214414	-0.613971	-0.51113	-0.561972	8.87813	3.18138	-2.76181	-0.0486306	0.00303675	0.00465451	-0.871582	0.0751953	0.469971	-0.488947	0.48879	0.49455	0.526722	10.0573	-0.122538	0.255031	-0.134291	0.0274309	0.0112472	-1.00488	0.370605	-0.0258789	-0.518637	0.437293	0.554759	0.481697	10.0342	0.551046	-0.151489	-0.0626224	0.0230185	-0.0287551	-1.01733	0.30249	-0.0661621	0.448869	-0.07728	-0.148133	-0.877839	2.89776	2.18273	9.84648	0.0333419	0.0335007	0.00357956	-0.510254	0.175537	-0.925293	0.328406	-0.853733	-0.378506	-0.141504	4.79791	-4.29118	-7.22733	-0.0345503	0.00798123	-0.0386006	-0.190918	0.782227	0.705566	
3	-0.483729	0.482041	0.400366	0.611023	9.85329	0.0527164	2.10007	-0.0599657	0.00207359	0.0386404	-0.844727	0.411133	-0.10083	-0.529618	0.438102	0.471992	0.552083	9.80809	0.614906	1.75312	-0.0023936	-0.0510864	0.022573	-0.783203	0.262207	-0.110352	0.836907	-0.138186	-0.2101	-0.486158	5.37207	-0.057103	9.30254	-0.076582	0.0454175	0.00645913	-0.333984	0.286133	-0.905762	0.0353011	0.0763329	-0.0336798	-0.995888	-1.46025	0.783728	9.55251	0.0551897	-0.0791939	-0.0395481	-0.254395	-0.0180664	-0.95752	-0.520088	0.253347	0.251755	0.77585	6.51567	1.36242	7.47371	-0.0887437	-0.0821559	-0.0142843	-0.725586	0.258545	-0.618408	-0.985489	-0.0808839	-0.0646613	0.13449	-1.62528	-0.819733	13.2723	-0.0534612	0.0950355	-0.0623321	0.590332	-0.00512695	-0.877686	0.214808	-0.614307	-0.51126	-0.561336	8.78003	3.09279	-2.88861	0.0606455	-0.00382713	-0.00572211	-0.871826	0.081543	0.469727	-0.489825	0.487937	0.496273	0.525074	9.93511	0.484756	0.268015	0.162755	-0.0221166	-0.0172374	-1.00024	0.364014	-0.032959	-0.518684	0.437116	0.554355	0.482272	9.87707	1.01996	0.0244418	-0.0350807	0.0276115	-0.0265074	-1.02173	0.295654	-0.0637207	0.447948	-0.0772086	-0.147812	-0.87837	2.90562	2.11924	9.92913	-0.0233842	-0.0152022	-0.0371319	-0.510498	0.177734	-0.923096	0.328603	-0.854176	-0.377319	-0.141541	4.86404	-4.28688	-7.34761	-0.0113998	0.0228705	0.0489452	-0.188721	0.780029	0.709961	
4	-0.483525	0.482435	0.400048	0.611082	9.70914	0.0977208	2.05534	-0.0401411	-0.0138209	0.0117188	-0.846924	0.411133	-0.0986328	-0.529445	0.438765	0.47274	0.551081	9.69427	0.641186	1.65212	0.0288471	-0.089182	0.0162163	-0.789795	0.264404	-0.108154	0.836907	-0.138186	-0.2101	-0.486158	5.37207	-0.057103	9.30254	-0.076582	0.0454175	0.00645913	-0.333984	0.286133	-0.905762	0.0347418	0.0753765	-0.0343438	-0.995958	-1.41696	0.710887	9.59206	0.0553759	-0.0745355	-0.0404875	-0.26123	-0.0136719	-0.961914	-0.519526	0.254742	0.25186	0.775736	6.57312	1.29656	7.46855	-0.017179	-0.0227664	-0.0162802	-0.734375	0.258545	-0.609131	-0.985415	-0.0804248	-0.0655241	0.134889	-1.64903	-0.783953	13.3392	-0.0363266	0.0750161	-0.0591568	0.590332	0.00146484	-0.869141	0.214658	-0.614605	-0.511238	-0.561087	8.49147	3.14727	-2.68745	0.013245	-0.0204715	-0.00520608	-0.873535	0.072998	0.474121	-0.489911	0.487936	0.49646	0.524817	9.92102	0.824792	0.427549	0.0258167	0.000872925	-0.00970685	-1.00708	0.372803	-0.032959	-0.518271	0.43757	0.553646	0.483119	9.82293	0.895808	0.063122	-0.09273	0.027912	-0.0250006	-1.01953	0.298096	-0.0683594	0.44743	-0.0773643	-0.147844	-0.878615	3.05099	2.06388	10.0106	-0.00694651	-0.00448679	-0.0410283	-0.512207	0.168945	-0.925049	0.328587	-0.854414	-0.376719	-0.141739	5.08445	-4.42082	-7.45304	-0.0167048	0.0316758	0.0379978	-0.188965	0.786621	0.703125	
5	-0.483319	0.483068	0.399662	0.610998	9.71571	0.241755	2.00633	-0.0209036	-0.0145072	0.016295	-0.844727	0.411133	-0.0966797	-0.52909	0.440209	0.471708	0.551155	9.75007	0.562392	1.53811	-0.103422	0.0399764	0.0179363	-0.783691	0.273193	-0.106201	0.836461	-0.140074	-0.207866	-0.487345	5.15078	-0.107322	9.20502	-0.0572687	0.0343712	-0.0301274	-0.331787	0.286133	-0.905762	0.0335066	0.0739791	-0.0345641	-0.996097	-1.42441	0.668074	9.65398	0.00269624	-0.0442388	-0.0538085	-0.259033	-0.0180664	-0.959717	-0.519237	0.254952	0.25155	0.77596	6.58703	1.3299	7.30292	-0.0389366	0.00721798	-0.0278487	-0.727783	0.258545	-0.611572	-0.98519	-0.080819	-0.0664147	0.135859	-1.68972	-0.811619	13.3909	0.0331058	0.0409458	-0.0587181	0.592529	-0.000732422	-0.871338	0.213739	-0.615843	-0.509761	-0.561424	8.61642	3.04992	-2.77763	-0.0749598	-0.0222728	0.0299294	-0.865234	0.0773926	0.474121	-0.488132	0.489587	0.493399	0.527815	9.94214	0.613339	0.40799	-0.249463	0.0912364	-0.0238345	-1.00269	0.370605	-0.0258789	-0.516701	0.43924	0.552065	0.485091	9.7219	0.813828	0.0464279	-0.160893	-0.00885015	-0.0252757	-1.01733	0.30249	-0.0595703	0.44618	-0.0766554	-0.148	-0.879285	2.88535	2.18827	9.94483	0.00880848	0.0364893	-0.0625301	-0.51001	0.168945	-0.922852	0.328574	-0.854723	-0.375701	-0.142606	5.01354	-4.34997	-7.31355	-0.0222039	0.052792	0.0215331	-0.186279	0.775635	0.705566	
6	-0.483035	0.484496	0.398626	0.610769	9.8997	0.320239	2.0541	-0.0700884	-0.0326212	0.0463921	-0.840576	0.419922	-0.0922852	-0.528468	0.44155	0.468996	0.55299	9.87702	0.48482	1.64409	-0.127946	0.0378074	-0.00671455	-0.790283	0.275391	-0.10376	0.835613	-0.140391	-0.207402	-0.488903	5.19783	-0.229343	9.34566	-0.0288433	0.00637589	-0.0758444	-0.336182	0.294922	-0.906006	0.0317361	0.0735138	-0.0341082	-0.996205	-1.36149	0.786525	9.65676	-0.0145422	-0.007706	-0.081322	-0.26123	-0.0158691	-0.95752	-0.517882	0.255602	0.250129	0.777111	6.74411	1.41801	7.2081	-0.101738	0.00711865	-0.0682898	-0.727783	0.256348	-0.611572	-0.984829	-0.0818442	-0.0671213	0.137506	-1.73712	-0.995854	13.2755	0.0542155	0.0441732	-0.0975699	0.596436	0.00366211	-0.87793	0.212888	-0.616596	-0.508058	-0.562464	8.88437	3.09864	-2.73218	-0.0614154	0.0244538	0.00922019	-0.871338	0.0686035	0.478516	-0.486998	0.491015	0.490533	0.530203	9.78148	-0.0309587	0.0886044	-0.0889628	0.0334404	0.00204192	-1.00513	0.375	-0.0283203	-0.516044	0.439883	0.552203	0.48505	10.0198	0.695237	-0.27508	0.034826	-0.0165894	-0.0198812	-1.01733	0.30249	-0.0639648	0.444456	-0.0765025	-0.148346	-0.880113	2.654	2.17818	9.46599	-0.00605544	-0.0170107	-0.0828483	-0.514404	0.168945	-0.92749	0.328328	-0.855325	-0.374139	-0.143666	4.6526	-4.10214	-7.0506	-0.0475653	0.0512136	0.0623036	-0.190674	0.775635	0.705566	
7	-0.481936	0.486823	0.396567	0.611126	10.0022	0.10494	2.02446	-0.132359	-0.022676	0.0313489	-0.844971	0.41748	-0.0922852	-0.526876	0.443044	0.469725	0.552695	9.90619	0.563349	1.66863	-0.0279988	-0.0906357	-0.0392507	-0.785645	0.268799	-0.098877	0.83429	-0.141382	-0.207058	-0.491017	5.34197	-0.13381	9.46319	-0.0808379	-0.00260739	-0.0823586	-0.333984	0.297119	-0.896973	0.029189	0.0732443	-0.0347896	-0.99628	-1.3431	0.777945	9.66138	0.0354871	-0.0125743	-0.100542	-0.263184	-0.0202637	-0.964111	-0.515422	0.256951	0.249474	0.778511	6.69005	1.2266	7.32039	-0.0883176	-0.0348097	-0.0911811	-0.723633	0.260742	-0.604736	-0.98441	-0.0816421	-0.0679297	0.140201	-1.73744	-0.809233	13.3589	-0.0186391	0.0325442	-0.134948	0.598877	0.00146484	-0.871338	0.212997	-0.616712	-0.506614	-0.563596	8.81906	3.04231	-2.67262	-0.03051	0.0418993	0.0180386	-0.869385	0.0751953	0.476318	-0.487213	0.491775	0.49083	0.529025	10.0064	0.219781	0.193182	0.0437521	-0.0331347	0.0220946	-0.998535	0.375	-0.0307617	-0.516591	0.439469	0.552763	0.484205	9.87927	0.427406	-0.0917137	0.0837523	-0.0106105	-0.00411471	-1.01733	0.300293	-0.0661621	0.441978	-0.0777913	-0.148072	-0.881294	2.71549	2.15989	9.87327	-0.0549515	-0.0599523	-0.096166	-0.521484	0.173096	-0.918457	0.327626	-0.856706	-0.371502	-0.143882	4.7468	-4.37519	-7.22299	-0.0643557	0.0192499	0.109974	-0.179443	0.775635	0.705566	
8	-0.480367	0.488298	0.394494	0.612525	9.89384	0.051243	1.98885	-0.123405	0.0108234	-0.0128849	-0.840332	0.411133	-0.0878906	-0.525041	0.444598	0.470494	0.552539	9.80681	0.587578	1.60007	-0.0742986	-0.0553708	-0.0361868	-0.790283	0.273193	-0.101318	0.83296	-0.142658	-0.206313	-0.493215	5.30027	-0.239362	9.29477	-0.0665532	0.00368921	-0.0841905	-0.336426	0.301514	-0.901611	0.0266729	0.0728854	-0.0357509	-0.996342	-1.36875	0.702457	9.78394	0.0357359	-0.00733823	-0.0939384	-0.260742	-0.0246582	-0.963867	-0.513145	0.257999	0.249599	0.779628	6.44504	1.22203	7.55462	-0.0577378	-0.0337584	-0.0919651	-0.731934	0.249512	-0.606934	-0.984027	-0.0811044	-0.0686271	0.142842	-1.75823	-0.685497	13.4193	0.00316059	0.0298294	-0.12416	0.596436	0.00561523	-0.869385	0.212083	-0.617631	-0.505296	-0.564118	8.67303	3.11138	-2.72741	-0.059656	-0.0102181	0.00724055	-0.875732	0.072998	0.472168	-0.488629	0.492004	0.490224	0.528066	10.1452	0.473657	0.48298	0.0096615	0.0596157	0.0529532	-0.998535	0.372803	-0.026123	-0.518167	0.438412	0.555729	0.480066	9.91343	0.707303	0.195669	0.260872	-0.0779926	0.0214797	-1.02197	0.30249	-0.0617676	0.43993	-0.0796955	-0.148101	-0.882143	2.94927	1.89063	10.1249	-0.0259529	-0.0538793	-0.065385	-0.523438	0.166504	-0.92041	0.327024	-0.858029	-0.369032	-0.143723	5.02162	-4.79359	-7.31497	-0.0428591	0.0183633	0.0907917	-0.181885	0.777832	0.710205	
9	-0.479235	0.488767	0.393081	0.613944	9.55792	0.121823	1.99399	-0.0756143	0.0218095	-0.0209069	-0.840576	0.41748	-0.0837402	-0.523948	0.445274	0.468522	0.554703	9.7195	0.600333	1.52492	-0.122255	0.0508161	-0.0308575	-0.785889	0.275391	-0.0966797	0.831992	-0.1428	-0.206143	-0.494876	5.37008	-0.176792	9.21691	-0.0221137	0.0213756	-0.0687366	-0.342773	0.297119	-0.901611	0.0244818	0.0729508	-0.0359271	-0.996388	-1.36451	0.857675	9.63827	0.00922117	0.00680877	-0.0892705	-0.262939	-0.0246582	-0.96167	-0.51134	0.258606	0.249189	0.780743	6.41336	1.17428	7.43032	-0.0443097	0.00445314	-0.0806327	-0.734375	0.256104	-0.606934	-0.983717	-0.0810574	-0.0690179	0.144797	-1.71707	-0.802026	13.2985	0.015575	0.0197659	-0.08594	0.593994	0.0144043	-0.871826	0.2116	-0.618362	-0.504576	-0.564143	8.55486	2.95538	-2.67671	0.0101438	-0.011551	0.00636861	-0.865234	0.0773926	0.474121	-0.488734	0.491981	0.489449	0.52871	9.54299	0.794871	0.129373	-0.0143348	0.0176985	-0.0349137	-1.00293	0.375	-0.0307617	-0.517806	0.43908	0.554984	0.480706	9.7107	1.47913	-0.298502	-0.194647	0.0358704	-0.0180595	-1.01758	0.307129	-0.0595703	0.438872	-0.080002	-0.147631	-0.882721	2.8813	1.90638	10.2166	-0.0238104	0.029301	-0.0365096	-0.523438	0.166504	-0.922852	0.327527	-0.858471	-0.367491	-0.143887	5.2694	-4.65385	-7.28562	0.014974	0.0477343	0.0394771	-0.183838	0.773438	0.710205	
