40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.0370333	-0.0685298	0.040314	0.996146	-1.50073	0.893837	10.8998	0.0188989	-0.00377789	-0.00119388	-0.201904	0.0917969	-1.12769	-0.315259	-0.184456	-0.0600123	0.928971	-3.99213	-0.117011	9.25871	-0.0157144	0.0123198	-0.013529	0.299561	0.132812	-1.04346	0.136416	0.239803	-0.136984	-0.951378	-4.51183	3.36872	9.02929	0.000979229	0.00538874	0.00681389	0.0637207	-0.349609	-1.06348	-0.387466	0.0932021	-0.460243	-0.793322	-4.91886	6.42531	5.52193	0.00669183	0.00370825	-0.00542418	0.282227	-0.89502	-0.481689	0.0783208	-0.0706887	-0.428552	0.897336	-0.622887	-7.57054	6.10521	-0.013247	0.00415883	-0.0115599	-0.129639	0.77124	-0.737061	-0.783766	0.0910181	-0.496664	0.361595	-7.84563	-5.42609	5.35548	0.00570083	0.00994647	-0.015227	0.746826	0.735352	0.0419922	0.177719	-0.35706	0.0142971	-0.916907	6.38578	-0.889755	8.2216	0.028428	0.0764717	-0.024134	-0.891602	0.203125	-0.538086	-0.119389	0.069887	0.168932	0.975871	1.61333	3.49511	10.4069	0.0103125	0.0148597	-0.00723871	-0.608398	-0.275146	-0.955078	-0.0789958	0.0653597	0.31689	0.942904	1.87145	6.11971	8.29124	0.0351026	0.0065445	-0.0163042	-0.621582	-0.572021	-0.854248	-0.231921	0.934536	-0.147269	-0.2262	-4.3879	-3.15844	-7.44904	0.00480128	0.0059976	0.00243799	0.770752	0.302734	0.706787	0.0341531	0.0139783	-0.0189428	-0.999139	-0.242665	0.368038	9.82047	-0.000141166	0.0106687	-0.0034344	-0.33374	0.0993652	-1.05591	
1	-0.0369745	-0.0683826	0.0405981	0.996147	-1.38868	0.946998	10.9208	0.010383	-0.00649319	0.000490423	-0.204102	0.0917969	-1.12769	-0.315259	-0.184585	-0.0600134	0.928945	-3.95445	-0.207577	9.25275	0.000437458	0.0197941	-0.0193338	0.297119	0.13501	-1.04346	0.136331	0.239941	-0.137408	-0.951295	-4.44977	3.47699	9.03204	0.017958	0.00724428	-0.00406093	0.065918	-0.356201	-1.06543	-0.387657	0.0932116	-0.460371	-0.793153	-4.89083	6.41291	5.50505	0.0037356	0.00493373	-0.0058642	0.277832	-0.892822	-0.481689	0.078409	-0.0708726	-0.428343	0.897414	-0.634031	-7.56489	6.10822	0.0233016	0.012051	-0.00397257	-0.129639	0.769043	-0.734863	-0.783794	0.0908692	-0.496547	0.361734	-7.82768	-5.38854	5.37567	0.0143168	0.0138699	-0.0154395	0.751221	0.733154	0.0375977	0.177657	-0.356333	0.0142648	-0.917203	6.40571	-0.898555	8.14008	0.0290436	0.0769225	-0.0234998	-0.889404	0.19873	-0.538086	-0.119434	0.0695585	0.169211	0.975841	1.63017	3.52071	10.3669	0.0230159	0.0342319	-0.016601	-0.610352	-0.277344	-0.955078	-0.0790118	0.0654205	0.317096	0.94283	1.88708	6.16743	8.25568	0.00529124	0.00390172	-0.0181475	-0.61499	-0.562988	-0.849854	-0.231772	0.93458	-0.147103	-0.226279	-4.39549	-3.13659	-7.44889	-0.0042989	0.0127074	0.00472534	0.766113	0.309082	0.706787	0.0341256	0.0140444	-0.0190114	-0.999138	-0.299786	0.385732	9.80313	0.00617121	0.00630407	-0.00386797	-0.331055	0.0927734	-1.05347	
2	-0.036939	-0.0685989	0.0406658	0.996131	-1.48754	0.915588	10.8998	0.0031546	0.00735026	-0.00311527	-0.204346	0.0961914	-1.12769	-0.315081	-0.184505	-0.0592973	0.929067	-4.05423	-0.103781	9.18135	0.0136197	0.00151134	-0.0164286	0.295166	0.132812	-1.04346	0.136435	0.23983	-0.137251	-0.95133	-4.47383	3.30813	9.07744	0.00739657	-0.00145854	0.00822466	0.0617676	-0.358154	-1.07007	-0.38771	0.0932444	-0.460527	-0.793033	-4.89642	6.39423	5.47754	0.0139456	0.0084412	-0.00571534	0.282227	-0.892822	-0.479492	0.0783954	-0.0707822	-0.42837	0.897409	-0.612442	-7.58078	6.0236	-0.00503078	0.00198975	-0.0148514	-0.129883	0.775635	-0.737061	-0.783776	0.0910315	-0.49656	0.361714	-7.80922	-5.4405	5.36207	-0.00888677	0.0107996	-0.0163014	0.750977	0.735352	0.0397949	0.177262	-0.353482	0.0137511	-0.91839	6.33156	-0.872679	8.22041	0.035861	0.0802035	-0.0328738	-0.889648	0.20752	-0.548828	-0.119405	0.0695857	0.168855	0.975904	1.59156	3.46199	10.4043	-0.0096367	0.0130023	-0.016477	-0.608643	-0.268799	-0.952881	-0.0789554	0.0654842	0.316716	0.942958	1.85929	6.04875	8.24172	-0.0135118	0.00622265	-0.0199544	-0.619141	-0.572021	-0.856445	-0.23168	0.934523	-0.14689	-0.226748	-4.40176	-3.12122	-7.43044	0.00653254	-0.00688592	0.00555447	0.766357	0.300537	0.707031	0.0341259	0.013895	-0.0191313	-0.999138	-0.201646	0.383739	9.77164	0.00537133	0.00216086	-0.00337347	-0.333496	0.097168	-1.05127	
3	-0.0367935	-0.0685803	0.0407207	0.996135	-1.42595	0.965647	10.878	0.00392302	-0.00696028	-0.00300031	-0.210449	0.0852051	-1.12988	-0.315311	-0.184301	-0.0595083	0.929016	-3.94518	-0.104509	9.25188	-0.0327336	0.00470193	-0.00384232	0.294922	0.13501	-1.04102	0.136597	0.239814	-0.137571	-0.951265	-4.45758	3.5969	9.08993	0.00139531	0.00281819	0.00574353	0.0637207	-0.356201	-1.06104	-0.387823	0.0930702	-0.460705	-0.792894	-4.96714	6.50624	5.48545	0.0130761	5.61421e-07	0.000456636	0.279785	-0.890625	-0.475098	0.0784297	-0.0707039	-0.428373	0.897411	-0.677516	-7.50277	6.08655	0.000659434	0.00400855	-0.0177922	-0.125732	0.777832	-0.739502	-0.783813	0.0911272	-0.496592	0.361565	-7.80891	-5.41231	5.37661	-0.0106872	0.0102939	-0.00764863	0.753418	0.730957	0.0378418	0.177048	-0.351273	0.0138028	-0.919277	6.3407	-0.887726	8.24117	0.0309528	0.117049	-0.0267032	-0.88501	0.196777	-0.552979	-0.119406	0.0697817	0.169289	0.975814	1.65541	3.43121	10.4083	0.0308375	0.00214208	-0.0124515	-0.610352	-0.277344	-0.955078	-0.0789726	0.0654976	0.316763	0.942939	1.89961	6.06358	8.28867	0.0129336	0.00526042	-0.0159668	-0.617188	-0.562988	-0.849854	-0.231983	0.934371	-0.147008	-0.226988	-4.40528	-3.13337	-7.41009	0.0152078	-0.00356693	0.00814076	0.763916	0.304688	0.706787	0.0339555	0.013883	-0.0191711	-0.999143	-0.224307	0.419401	9.8193	-0.000148265	0.00694307	-0.0105755	-0.335938	0.097168	-1.05371	
4	-0.0368234	-0.0685441	0.0405768	0.996142	-1.45332	0.942131	10.9392	-0.0113918	-0.00559656	0.00340166	-0.213135	0.0917969	-1.12549	-0.315248	-0.184185	-0.0597431	0.929045	-3.95394	-0.147043	9.23116	-0.0136635	0.00603935	-0.0138853	0.301514	0.137207	-1.0459	0.136712	0.239783	-0.137188	-0.951312	-4.43768	3.53335	9.08206	-0.0288003	0.00677528	0.000362331	0.0637207	-0.349609	-1.06348	-0.38787	0.0930486	-0.460641	-0.792911	-4.92264	6.50342	5.48665	-0.00199457	0.000394366	-0.000949706	0.275635	-0.897217	-0.477051	0.0782942	-0.0705617	-0.428766	0.897246	-0.624629	-7.6093	6.12093	-0.00695949	0.000788533	-0.0110866	-0.129883	0.773438	-0.737061	-0.783814	0.0913121	-0.496698	0.361371	-7.82948	-5.46735	5.34101	-0.0101221	0.00697563	-0.00471535	0.753418	0.733154	0.0441895	0.176755	-0.347466	0.012906	-0.920792	6.22372	-0.78716	8.35905	0.0656895	0.185718	-0.0464339	-0.887207	0.198975	-0.567871	-0.1194	0.0697504	0.169808	0.975727	1.62551	3.5433	10.4199	0.0482916	0.0128271	-0.0181972	-0.605957	-0.279541	-0.947998	-0.0789727	0.0654818	0.317006	0.942859	1.85269	6.12548	8.31899	0.0258432	0.00546966	-0.0198274	-0.626221	-0.567627	-0.852051	-0.232214	0.934262	-0.146991	-0.22721	-4.4106	-3.1426	-7.49993	0.0216686	-0.00721088	0.00650223	0.766113	0.306885	0.70459	0.0338766	0.0139153	-0.0191046	-0.999147	-0.219552	0.418861	9.82612	-0.00412791	0.0101425	-0.00979672	-0.335938	0.0993652	-1.05591	
5	-0.0368957	-0.0684971	0.0402898	0.996154	-1.417	0.873698	10.9155	-0.010161	-0.00207711	0.00359451	-0.20874	0.0939941	-1.12354	-0.315301	-0.184415	-0.0598387	0.928976	-4.02329	-0.16374	9.25982	-0.0115879	0.02222	-0.0139906	0.297363	0.130615	-1.0481	0.137045	0.239762	-0.136294	-0.951397	-4.48188	3.36673	8.99418	-0.0246474	0.00864931	0.000674305	0.0656738	-0.347412	-1.06567	-0.387961	0.0930969	-0.460419	-0.79299	-4.95739	6.418	5.47726	-0.00457843	0.00312079	-0.00333835	0.282227	-0.890625	-0.481689	0.07828	-0.0705905	-0.428897	0.897183	-0.621951	-7.60388	6.10318	-0.00357242	0.0152887	-0.00738297	-0.127686	0.775635	-0.732666	-0.784036	0.0909811	-0.496439	0.361328	-7.86423	-5.47993	5.4097	0.0169636	0.00558259	-0.00637275	0.753418	0.733154	0.0419922	0.176422	-0.344396	0.0131154	-0.922006	6.17018	-0.836254	8.38514	0.028265	0.136206	-0.0270482	-0.880615	0.19458	-0.569824	-0.11945	0.0697929	0.169615	0.975752	1.67894	3.49911	10.396	-0.000568985	0.0220976	-0.013294	-0.60376	-0.277344	-0.955078	-0.0790267	0.0654904	0.317225	0.94278	1.90988	6.12705	8.26967	0.0134103	0.00907482	-0.0178486	-0.61499	-0.562988	-0.854248	-0.232507	0.93416	-0.146956	-0.227354	-4.36943	-3.13554	-7.42483	0.0163427	0.00725678	0.00608755	0.770752	0.304932	0.702148	0.0338067	0.0141084	-0.0190341	-0.999148	-0.269045	0.41034	9.84139	-0.000307407	0.0157502	-0.00755613	-0.335693	0.0927734	-1.04907	
6	-0.0368678	-0.068514	0.040286	0.996154	-1.48441	0.857122	10.9135	0.000496427	-0.00100144	-0.000766599	-0.204346	0.0939941	-1.12549	-0.315285	-0.184337	-0.0600144	0.928985	-4.03328	-0.0955403	9.24753	-0.0154252	0.0161417	-0.0220229	0.295166	0.132812	-1.03857	0.136886	0.239784	-0.136362	-0.951405	-4.52807	3.44749	9.02299	0.00626869	0.00172227	-0.0060827	0.065918	-0.356201	-1.06787	-0.388148	0.0932803	-0.460482	-0.792841	-4.94131	6.44101	5.52469	0.0107854	0.00912588	-0.0113977	0.278076	-0.897217	-0.481445	0.0782324	-0.0706771	-0.428864	0.897196	-0.627377	-7.54701	6.06954	0.00241435	0.0137416	-0.00675342	-0.129639	0.77124	-0.739502	-0.784026	0.0907902	-0.496306	0.361581	-7.83697	-5.42043	5.37699	0.0139499	0.00648956	-0.0121273	0.746826	0.733154	0.0356445	0.176283	-0.343163	0.0130684	-0.922492	6.18433	-0.815737	8.35759	0.0351809	0.119212	-0.0317292	-0.87207	0.201172	-0.570068	-0.11943	0.0697558	0.169547	0.975769	1.61528	3.51754	10.3358	-0.00613036	0.0137084	-0.0187683	-0.606201	-0.272949	-0.955078	-0.0788466	0.0653936	0.317054	0.942859	1.84137	6.14738	8.26696	-0.00475544	0.00508175	-0.0171088	-0.614746	-0.565186	-0.847656	-0.232973	0.934001	-0.146888	-0.227574	-4.39084	-3.14044	-7.46001	0.0234392	-0.00261741	0.00145936	0.775391	0.29834	0.702393	0.0336899	0.0144635	-0.0189491	-0.999148	-0.271307	0.416985	9.79148	-0.00612773	0.0218972	-0.00749032	-0.331299	0.0993652	-1.05371	
7	-0.0368253	-0.0682985	0.0403942	0.996166	-1.39141	0.902398	10.9375	0.00624931	-0.0130869	-0.00104969	-0.199951	0.0939941	-1.12769	-0.315297	-0.184236	-0.0601814	0.92899	-3.97163	-0.179866	9.26259	-0.0155697	0.014517	-0.0169018	0.299561	0.132812	-1.0481	0.136935	0.239781	-0.135895	-0.951465	-4.43894	3.4466	9.07379	-0.0156744	0.00792759	-0.00406842	0.0637207	-0.349609	-1.06812	-0.388237	0.0933939	-0.460251	-0.792918	-4.9195	6.38192	5.4885	-0.0113087	0.00455354	-0.0016645	0.284424	-0.89502	-0.483887	0.0782848	-0.0705521	-0.4289	0.897184	-0.606401	-7.55095	6.06036	-0.00118162	-3.28217e-05	-0.0099166	-0.129883	0.775635	-0.741699	-0.784112	0.0906028	-0.496276	0.361484	-7.83196	-5.36676	5.38567	0.0118841	0.0137505	-0.00711045	0.750977	0.735352	0.0419922	0.175981	-0.3403	0.0132471	-0.923608	6.12624	-0.806718	8.39964	0.0245471	0.14074	-0.0269947	-0.869629	0.19458	-0.574219	-0.119462	0.0698693	0.169311	0.975798	1.61591	3.54961	10.377	-0.00179051	0.0123601	-0.0135148	-0.610352	-0.275146	-0.957275	-0.0788555	0.0655713	0.316417	0.94306	1.84207	6.09367	8.28187	-0.0160681	0.0147027	-0.0125619	-0.617188	-0.565186	-0.856445	-0.233211	0.933927	-0.146901	-0.227624	-4.40162	-3.17159	-7.41749	0.0125062	0.00417298	0.00273953	0.768555	0.302734	0.706787	0.0335772	0.0147458	-0.0186499	-0.999153	-0.277689	0.385408	9.78806	-0.0123557	0.0183493	-0.0103998	-0.33374	0.0993652	-1.04907	
8	-0.0367794	-0.0683981	0.040492	0.996157	-1.47989	0.890555	10.9189	0.00723485	-0.000341035	-0.00227907	-0.201904	0.0917969	-1.12769	-0.31536	-0.184204	-0.0603271	0.928966	-3.989	-0.151892	9.26748	-0.015286	0.0153171	-0.0188055	0.290771	0.130615	-1.04102	0.137015	0.239601	-0.135542	-0.951549	-4.46356	3.34512	9.02169	-0.00498915	-0.000781493	0.00215856	0.0615234	-0.347412	-1.06128	-0.388341	0.0933234	-0.460497	-0.792732	-4.88999	6.37524	5.47716	0.0138235	0.00300975	-0.00342602	0.277832	-0.892822	-0.481689	0.0782509	-0.0705214	-0.429058	0.897113	-0.618766	-7.62994	6.15805	-0.00253597	0.00946851	-0.0108326	-0.127441	0.77124	-0.732666	-0.784194	0.0905358	-0.496262	0.36134	-7.86703	-5.49138	5.33957	0.00158031	0.00892211	-0.00928506	0.749023	0.730957	0.0419922	0.175747	-0.337856	0.0135186	-0.924545	6.10883	-0.814306	8.44178	0.0217987	0.107336	-0.026312	-0.869629	0.190186	-0.576172	-0.119341	0.0695148	0.169036	0.975885	1.66413	3.47348	10.4255	-0.00710393	0.0223491	-0.0141171	-0.614746	-0.275391	-0.952637	-0.0786654	0.0655282	0.316496	0.943052	1.89814	6.08787	8.30361	0.0055254	0.00198624	-0.0171132	-0.61499	-0.560791	-0.845459	-0.233433	0.933791	-0.14676	-0.228045	-4.43423	-3.11353	-7.41339	0.0106787	-0.00540146	0.00306079	0.768555	0.304932	0.708984	0.0334727	0.0149673	-0.018602	-0.999154	-0.254282	0.367349	9.80753	-0.000979026	0.0126336	-0.00610665	-0.333496	0.0949707	-1.05127	
9	-0.0366444	-0.0683462	0.0405798	0.996162	-1.41001	0.918251	10.9227	0.00367928	-0.00478001	-0.00324794	-0.206299	0.0895996	-1.12769	-0.315375	-0.184205	-0.060328	0.92896	-3.94889	-0.177585	9.30368	-0.0148888	0.0189324	-0.0143439	0.297363	0.132812	-1.04346	0.137046	0.239733	-0.135974	-0.95145	-4.40446	3.45483	9.03879	0.0232102	0.014047	0.00372724	0.0615234	-0.347412	-1.07251	-0.388464	0.0933052	-0.460553	-0.792642	-4.91633	6.44466	5.51945	-0.000283751	0.00582161	-0.00470927	0.277832	-0.892822	-0.486084	0.0782739	-0.0705069	-0.429041	0.897121	-0.583527	-7.55655	6.06192	-0.00216558	0.00898425	-0.0114739	-0.127686	0.775635	-0.737061	-0.784227	0.0905587	-0.496232	0.361304	-7.83877	-5.37621	5.36212	0.00392493	0.0123672	-0.0141444	0.753418	0.733154	0.0375977	0.1755	-0.335115	0.0140259	-0.925582	6.05267	-0.768952	8.4694	0.010437	0.152569	-0.0189579	-0.869873	0.19458	-0.58252	-0.119239	0.0695841	0.169407	0.975828	1.64156	3.50459	10.33	0.0261229	0.00717713	-0.0176721	-0.616699	-0.279541	-0.952637	-0.0786694	0.065517	0.316321	0.943112	1.88546	6.06166	8.27312	-0.00160104	0.00564109	-0.0182283	-0.623779	-0.569824	-0.856445	-0.233453	0.933786	-0.14657	-0.228169	-4.39201	-3.15878	-7.47057	0.00584918	0.0135457	0.000426486	0.768555	0.304932	0.702148	0.0333896	0.0149948	-0.018683	-0.999155	-0.249821	0.409116	9.80326	0.0032278	0.00989531	-0.00766635	-0.32666	0.0949707	-1.05127	
