Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.52773	0.456191	0.351879	0.624157	9.56423	-0.245631	3.41142	-0.0104127	0.00132059	-0.0124242	-0.8125	0.438232	-0.193604	1529905599847	-65	90
Throax	00b411e8	-0.636163	0.331752	0.326532	0.615317	8.26648	-0.182392	5.69223	-0.00635424	0.0140111	-0.0252547	-0.614502	0.330566	-0.440674	1529905599847	-51	90
LUpArm	00b411d9	0.725477	0.0567036	-0.0384527	-0.684828	-0.0675439	1.75405	10.7333	-0.00565263	0.0104743	0.00278082	-0.0205078	0.16333	-0.974121	1529905599847	-60	90
LFoArm	00b41148	0.776998	0.00546522	-0.019842	-0.629167	0.380781	0.107166	9.78008	0.0353332	0.00994843	-0.00892976	0.121094	0.463135	-0.906494	1529905599850	-59	91
RUpArm	00b411db	-0.738828	0.0399762	-0.0310032	0.671992	0.00439426	-0.99827	9.8153	0.0387231	0.00604567	0.00185981	0.0390625	0.482178	-0.843994	1529905599844	-68	90
RFoArm	00b41204	-0.64075	-0.104954	-0.0163121	0.760367	0.208483	-1.70873	13.3618	-0.00293985	0.0128727	0.00814072	0.0324707	0.574463	-0.883301	1529905599848	-59	91
Waist	00b411f7	0.486292	-0.580598	-0.442946	-0.479817	9.77137	-1.08757	-0.542039	0.0100609	0.0460568	-0.00979059	-0.837646	0.50293	0.0849609	1529905599847	-49	90
Lthigh	00b411f4	-0.495043	0.558605	0.472085	0.469072	9.75421	-0.978971	-0.471673	0.0151397	0.0271869	-0.0156904	-0.928711	0.516113	0.0437012	1529905599850	-50	90
Lshank	00b4111b	-0.618488	0.442548	0.566784	0.316826	9.68824	-1.76364	-0.28303	-0.00567005	0.00338864	-0.0194494	-0.924316	0.520996	-0.118164	1529905599850	-50	89
Rthigh	00b411c8	0.558455	-0.405313	-0.624566	-0.36574	9.7337	-0.0339808	-0.863185	0.00330322	0.0178204	0.00313333	-1.01147	0.399658	-0.0671387	1529905599852	-51	91
Rshank	00b411ee	0.480417	-0.557883	-0.455313	-0.500656	9.88148	0.194302	-0.539985	-0.0052723	0.012313	-0.00320766	-1.03125	0.452148	0.0537109	1529905599852	-49	92
