40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.665217	-0.232265	0.64891	-0.287149	9.60996	-1.91726	1.35566	-0.0483811	0.0284653	-0.0375825	-1.03198	-0.067627	-0.342773	-0.47476	-0.283966	0.825247	-0.113731	7.59106	-0.237631	-6.15053	-0.0108474	0.0643101	-0.0344963	-1.10254	-0.4021	0.533447	0.292392	-0.220246	-0.425203	0.827768	-1.40615	-8.41147	5.98715	0.00218844	0.0458995	-0.0812282	-0.0324707	0.746094	-0.781738	0.59212	0.0533953	0.257079	0.761875	-2.16139	4.23312	8.51736	-0.18268	-0.113164	-0.0104241	0.177246	-0.63916	-0.75708	-0.673313	-0.478849	0.225431	0.516269	-1.60313	8.82559	4.52851	0.183083	-0.0168163	0.0110789	0.34668	-0.685059	-0.799316	-0.838984	0.140919	-0.203878	0.484439	-2.41574	-4.03285	12.8419	-0.162541	0.0157992	-0.0607431	0.39502	0.789795	-0.63916	0.00328908	-0.836088	0.548506	0.00933544	-0.344558	0.229828	-9.06306	0.0204603	0.00925463	-0.0178533	-0.14502	-0.237305	1.1084	0.108289	0.0930829	0.971676	-0.188293	-2.3612	-2.87909	-7.33881	-0.128299	0.0502819	-0.00636215	-0.129395	0.440186	0.960205	0.13773	0.179381	0.939078	-0.258816	-3.33334	-3.81402	-7.69184	-0.000925611	0.043617	0.0050892	-0.00854492	0.599854	0.91333	-0.0731772	0.249794	-0.953535	-0.151717	-1.90456	2.48079	-8.05553	0.0415112	0.0280819	-0.00379775	-0.231934	-0.40332	1.09546	-0.148479	0.129296	-0.953808	-0.226906	-3.20007	3.4407	-8.12768	0.000846105	-0.0188034	-0.0190486	-0.0480957	-0.596436	1.00806	
1	-0.666025	-0.232293	0.648292	-0.286648	9.70513	-1.75171	1.39411	-0.0133183	0.0296472	-0.0315054	-1.02759	-0.0695801	-0.347168	-0.475768	-0.283657	0.824856	-0.113116	7.61435	-0.119512	-6.12078	-0.0416356	0.0418897	-0.0221046	-1.10669	-0.404541	0.526367	0.294567	-0.220905	-0.427051	0.825868	-1.44013	-8.3318	5.88724	-0.0801045	0.0566648	-0.100507	-0.0412598	0.752686	-0.781982	0.59275	0.054443	0.257189	0.761274	-1.97404	4.23032	8.64441	0.065248	-0.0703383	-0.0357975	0.175049	-0.641357	-0.752686	-0.674788	-0.475898	0.224711	0.517384	-1.95592	8.99968	4.41203	-0.132715	-0.0457616	0.00722988	0.34668	-0.685059	-0.806152	-0.838061	0.143641	-0.205127	0.48471	-2.9024	-4.88197	11.6271	-0.117865	0.0103249	-0.0441685	0.39917	0.798584	-0.637451	0.00338914	-0.836129	0.548444	0.00925421	-0.338822	0.227666	-9.07859	0.0179279	0.00768607	-0.0166998	-0.145264	-0.23291	1.11255	0.108558	0.093144	0.971464	-0.189199	-2.47008	-3.21652	-8.07305	0.0381751	-0.0064377	-0.00951552	-0.127197	0.440186	0.969482	0.137947	0.179427	0.938987	-0.259	-3.32003	-3.76536	-7.96739	0.00696037	-0.00542117	-0.00543814	-0.00830078	0.597412	0.920166	-0.0729239	0.249976	-0.953376	-0.152541	-2.20088	2.64612	-9.28863	-0.120765	-0.0101332	-0.00395469	-0.231934	-0.405518	1.0979	-0.148754	0.129724	-0.953425	-0.228091	-3.38457	3.77106	-8.68027	-0.108041	0.0393939	-0.00913649	-0.0437012	-0.594238	1.00562	
2	-0.666007	-0.232849	0.648369	-0.286065	9.67152	-1.81877	1.28798	0.00965353	-0.0229138	-0.0492634	-1.03198	-0.0698242	-0.344971	-0.476256	-0.283237	0.824803	-0.112505	7.55986	-0.169811	-6.04446	-0.0783777	0.0376455	-0.0244831	-1.10229	-0.406738	0.526611	0.296707	-0.220855	-0.426619	0.825339	-1.32783	-8.70595	5.80622	-0.013496	0.0411504	-0.0600504	-0.043457	0.752686	-0.779785	0.593664	0.0545925	0.256854	0.760663	-2.01782	4.97671	8.79592	-0.00533498	-0.0424478	-0.0703607	0.174805	-0.634766	-0.759277	-0.673552	-0.477175	0.225842	0.517326	-1.91213	8.91874	4.33383	0.0991017	0.00306237	-0.0479541	0.340088	-0.687256	-0.801758	-0.837692	0.142241	-0.204285	0.486114	-2.69688	-4.10396	12.7136	-0.0272388	0.0658816	-0.0459203	0.399414	0.789795	-0.632812	0.00325436	-0.835982	0.548666	0.00949398	-0.333842	0.229395	-9.04603	0.0163884	0.00772324	-0.0155528	-0.153809	-0.237305	1.11255	0.109198	0.0928965	0.971416	-0.189202	-2.33415	-2.43209	-7.21922	-0.0974462	0.0110215	-0.0205835	-0.124756	0.435791	0.960205	0.13796	0.179037	0.939164	-0.25862	-3.32714	-3.42031	-7.55921	-0.0142925	0.00054038	-0.0254208	-0.0129395	0.597412	0.91333	-0.0731266	0.249547	-0.953709	-0.151058	-1.97871	2.42933	-8.17597	0.170644	0.0384848	0.0229865	-0.22998	-0.398926	1.09326	-0.147277	0.129882	-0.954094	-0.226153	-3.2761	3.85457	-8.22801	0.105582	0.0598047	-0.00499279	-0.0393066	-0.587646	1.00562	
3	-0.666269	-0.233108	0.648358	-0.285269	9.68764	-1.69983	1.39043	-0.0167896	-0.00622575	-0.0337056	-1.03418	-0.0698242	-0.349365	-0.477586	-0.283113	0.824199	-0.111598	7.60241	-0.179259	-6.15994	-0.0335975	0.0349681	-0.0250909	-1.10449	-0.402344	0.526367	0.298313	-0.221838	-0.427224	0.824183	-1.57569	-8.63511	5.53999	0.0351417	0.0543838	-0.0653349	-0.0410156	0.746094	-0.779541	0.596117	0.0536311	0.252698	0.760205	-1.84389	4.21828	9.36107	-0.0532387	-0.0305167	-0.0270097	0.176758	-0.628174	-0.766113	-0.673275	-0.47652	0.224992	0.518659	-1.78911	9.05697	4.50601	-0.0420735	-0.0147718	-0.058003	0.344482	-0.685059	-0.806152	-0.836723	0.144952	-0.207561	0.485594	-2.55834	-4.785	12.2068	-0.10798	0.0764896	-0.0180622	0.39917	0.798584	-0.626709	0.00324488	-0.836031	0.548591	0.00940237	-0.33738	0.236462	-9.08307	0.0144046	0.0101482	-0.0161625	-0.14502	-0.237305	1.11475	0.109709	0.0927554	0.971509	-0.188495	-2.49827	-3.63951	-8.13507	0.110786	-0.0157953	-0.0189081	-0.118164	0.433594	0.967285	0.138851	0.178985	0.939193	-0.258073	-3.40167	-3.97854	-7.90153	0.0641593	-0.00324231	-0.0187867	-0.00366211	0.597656	0.917969	-0.0732622	0.24942	-0.953747	-0.15096	-2.18562	3.05245	-8.44567	0.00887833	0.00107911	0.00439299	-0.234375	-0.401123	1.1001	-0.147353	0.129968	-0.95392	-0.226785	-3.42778	3.88165	-8.4434	-0.0242678	-0.00392188	-0.00301672	-0.0437012	-0.592041	1.00781	
4	-0.66677	-0.233837	0.647677	-0.285047	9.73853	-1.70242	1.36862	0.0256609	0.0369963	-0.0500251	-1.02954	-0.0739746	-0.342773	-0.477497	-0.282913	0.824383	-0.111132	7.53646	-0.166781	-6.10321	-0.0497561	-0.00813306	-0.0229706	-1.0979	-0.406494	0.526367	0.298324	-0.22229	-0.427911	0.8237	-1.19213	-9.42533	5.36663	-0.0361173	0.017461	0.0420954	-0.0412598	0.754883	-0.766113	0.595544	0.0552689	0.257658	0.758871	-2.21254	3.68097	8.42797	0.382526	0.0707656	0.00257007	0.181641	-0.63916	-0.754883	-0.67257	-0.476324	0.224137	0.520123	-1.86891	8.84572	4.49855	0.00456414	-0.00733168	-0.0868409	0.346436	-0.678467	-0.801758	-0.835872	0.144879	-0.209563	0.486221	-2.60855	-4.51282	11.9226	-0.0515851	0.0807808	-0.0456073	0.407715	0.800781	-0.626709	0.00298307	-0.835926	0.548748	0.00970361	-0.333424	0.233141	-9.05933	0.0138187	0.0103306	-0.0174555	-0.142822	-0.241699	1.11279	0.110266	0.0925284	0.971114	-0.190306	-2.10985	-2.35052	-7.24165	0.00759694	0.000450251	-0.0259694	-0.120361	0.435791	0.962646	0.138458	0.178743	0.938985	-0.259206	-3.24563	-3.57582	-7.41362	0.050125	0.00439402	-0.0297882	-0.00854492	0.599854	0.917969	-0.0737371	0.249506	-0.9534	-0.152765	-1.91373	2.22772	-8.33923	0.0107197	-0.0124896	0.00263542	-0.227539	-0.40332	1.08862	-0.146822	0.130122	-0.953933	-0.22699	-3.29864	3.90009	-8.16155	-0.00531048	0.0195159	-0.00208571	-0.0461426	-0.589844	1.00562	
5	-0.667729	-0.234263	0.646714	-0.28464	9.69514	-1.73825	1.45599	-0.00462059	0.0274659	-0.0386091	-1.02954	-0.0739746	-0.349365	-0.478023	-0.282544	0.824411	-0.109584	7.66141	-0.213606	-6.12337	-0.0301958	0.0225562	-0.0284547	-1.10449	-0.406738	0.52417	0.297827	-0.220691	-0.424116	0.826269	-1.49425	-8.54061	5.75761	0.185611	-0.0360327	0.0521363	-0.0368652	0.743896	-0.786377	0.594654	0.0552147	0.258952	0.759132	-2.0565	4.09405	8.54709	-0.075101	0.060511	0.0698709	0.179199	-0.636963	-0.759277	-0.671945	-0.475565	0.2231	0.522068	-1.76579	8.42838	4.36343	-0.0379995	-0.0196477	-0.0924249	0.348389	-0.676025	-0.810791	-0.8351	0.143418	-0.211369	0.487199	-2.641	-4.45977	11.8532	0.0185416	0.106042	-0.0354997	0.407715	0.798584	-0.624512	0.0028249	-0.83581	0.548922	0.0099356	-0.341325	0.229336	-9.05504	0.0145337	0.00753583	-0.016563	-0.140625	-0.239502	1.11255	0.110798	0.0925476	0.971455	-0.188239	-2.4212	-3.44513	-7.957	-0.0197014	-0.00490648	-0.0137813	-0.126709	0.433594	0.969727	0.139014	0.178657	0.939335	-0.257695	-3.27521	-4.03574	-7.7249	-0.0608302	-0.00770545	-0.00337972	-0.00854492	0.602051	0.920166	-0.0739427	0.249583	-0.953604	-0.151262	-2.13872	3.02015	-8.34297	0.0637005	0.0141722	-0.0063724	-0.227539	-0.40332	1.09546	-0.148143	0.130449	-0.953681	-0.227001	-3.31748	4.01602	-8.43105	-0.000572279	-0.0404269	-0.0363972	-0.0437012	-0.594238	1.00342	
6	-0.668076	-0.234721	0.646355	-0.284265	9.75731	-1.62628	1.31797	0.000550495	-0.000578844	-0.0363859	-1.0271	-0.0805664	-0.346924	-0.47812	-0.28246	0.824464	-0.108981	7.64652	-0.10261	-6.06506	-0.0430405	-0.000488094	-0.029531	-1.10205	-0.413086	0.524414	0.296631	-0.219933	-0.424913	0.826492	-1.38533	-9.04965	5.74623	-0.062571	-0.047511	0.00303551	-0.0390625	0.750488	-0.786377	0.593251	0.0555979	0.260953	0.759517	-2.32568	4.80384	7.96478	0.0597463	0.0164515	0.0555747	0.175049	-0.643555	-0.750244	-0.671493	-0.475125	0.223046	0.523072	-1.64282	8.27988	4.69813	-0.00298896	-0.0368595	-0.0358241	0.342041	-0.678467	-0.808594	-0.834763	0.142705	-0.211371	0.487984	-2.50083	-4.76467	11.845	0.109962	0.0225803	-0.0441241	0.405518	0.798584	-0.622314	0.00258648	-0.835666	0.549136	0.0102121	-0.334806	0.239878	-9.08133	0.0107386	0.010406	-0.015178	-0.14917	-0.241699	1.11475	0.110702	0.0930345	0.971149	-0.18963	-2.29069	-2.78823	-7.23372	0.0594392	0.00700107	-0.00521253	-0.122803	0.437988	0.967285	0.138167	0.179358	0.939044	-0.25872	-3.38321	-3.70578	-7.3113	0.0491786	0.0178939	-0.00993422	-0.0131836	0.599854	0.915527	-0.0748188	0.250155	-0.953022	-0.153535	-1.95611	2.39114	-8.74958	-0.0158563	-0.0181012	-0.0221577	-0.225342	-0.40332	1.09326	-0.148315	0.13109	-0.953383	-0.227769	-3.30367	3.86331	-8.34956	-0.0293693	0.0078416	-0.0199989	-0.0412598	-0.596436	1.00562	
7	-0.668899	-0.234913	0.645752	-0.283538	9.77591	-1.56005	1.35962	-0.0229188	0.0269446	-0.048018	-1.03125	-0.0827637	-0.351318	-0.478281	-0.282312	0.824443	-0.108817	7.65395	-0.155929	-6.17305	-0.0314302	0.0226607	-0.0215713	-1.10645	-0.41333	0.519775	0.296234	-0.218848	-0.424683	0.82704	-1.37481	-8.29979	6.01834	0.028209	-0.0419949	0.00187042	-0.0454102	0.744141	-0.786377	0.592948	0.0557327	0.260491	0.759902	-2.12361	4.74771	8.39926	-0.0290104	-0.018175	0.0518889	0.172607	-0.63916	-0.750488	-0.671697	-0.47471	0.222986	0.523211	-1.92025	8.99797	4.37658	-0.0297137	0.0102138	0.0176685	0.344238	-0.678223	-0.808594	-0.834285	0.143563	-0.211911	0.488315	-2.81162	-4.49431	11.2982	-0.153852	-0.00410476	-0.027545	0.40332	0.802734	-0.622559	0.00258648	-0.835666	0.549136	0.0102121	-0.334806	0.239878	-9.08133	0.0107386	0.010406	-0.015178	-0.14917	-0.241699	1.11475	0.110527	0.0934878	0.971292	-0.188776	-2.42938	-3.00265	-7.77092	-0.0287626	0.0222491	0.00885412	-0.118408	0.437988	0.969482	0.138416	0.180086	0.939007	-0.258215	-3.30168	-3.78498	-7.87021	-0.00465597	0.0173983	0.0130687	-0.00854492	0.602051	0.920166	-0.0748188	0.250155	-0.953022	-0.153535	-1.95611	2.39114	-8.74958	-0.0158563	-0.0181012	-0.0221577	-0.225342	-0.40332	1.09326	-0.148315	0.13109	-0.953383	-0.227769	-3.30367	3.86331	-8.34956	-0.0293693	0.0078416	-0.0199989	-0.0412598	-0.596436	1.00562	
8	-0.669935	-0.234903	0.645037	-0.282727	9.79367	-1.54125	1.30377	-0.0236005	0.0350126	-0.0430644	-1.0293	-0.0783691	-0.353516	-0.478281	-0.282312	0.824443	-0.108817	7.65395	-0.155929	-6.17305	-0.0314302	0.0226607	-0.0215713	-1.10645	-0.41333	0.519775	0.29629	-0.218069	-0.424711	0.827212	-1.48778	-8.54429	5.93162	0.0271938	-0.0478899	-0.0292233	-0.0432129	0.746338	-0.78418	0.591816	0.0562366	0.261109	0.760535	-2.2419	4.43957	7.92824	0.115782	0.0129348	0.0673348	0.179688	-0.645752	-0.750244	-0.672413	-0.473929	0.223225	0.522899	-1.7772	7.94228	4.45838	0.00826833	0.00525807	0.0229025	0.337402	-0.674072	-0.803955	-0.83451	0.144065	-0.211224	0.48808	-2.65841	-5.11146	11.6273	-0.00325892	-0.0570859	-0.00379632	0.39917	0.798584	-0.624512	0.00251365	-0.835754	0.549005	0.0101677	-0.345641	0.243595	-9.08138	0.0120495	0.00716783	-0.0137565	-0.143066	-0.235107	1.11255	0.110745	0.0936013	0.971225	-0.188935	-2.36655	-2.86578	-7.61996	0.0183692	0.000229598	-0.0106127	-0.118408	0.435791	0.960205	0.137997	0.180511	0.939173	-0.25754	-3.43817	-3.6413	-7.60926	-0.0355739	0.0544064	0.00473268	-0.010498	0.595215	0.917969	-0.0748011	0.251336	-0.952683	-0.15372	-2.1271	2.69549	-8.40588	-0.107512	-0.0213067	-0.036415	-0.225098	-0.409912	1.08887	-0.15057	0.132188	-0.952826	-0.227986	-3.36931	3.92171	-8.38368	-0.0107022	-0.0771933	-0.0581896	-0.0322266	-0.596436	0.998779	
9	-0.670598	-0.234415	0.644545	-0.282683	9.66525	-1.62732	1.36944	-0.031249	0.0638642	-0.00816411	-1.02466	-0.0825195	-0.355713	-0.479226	-0.28213	0.824186	-0.107057	7.5813	-0.0910409	-6.06886	-0.0384258	0.0118825	-0.0231822	-1.10425	-0.410889	0.524414	0.297018	-0.216966	-0.423198	0.828016	-1.37809	-8.30326	5.76926	0.0917928	-0.0114005	-0.0242961	-0.0368652	0.741699	-0.790771	0.592145	0.057825	0.260834	0.760254	-2.10256	5.06411	8.35991	-0.0685193	-0.0693667	-0.00578235	0.170654	-0.641357	-0.754883	-0.672686	-0.474608	0.223822	0.521675	-1.8018	8.71318	4.64345	0.0364796	0.0276628	0.0377582	0.346191	-0.67627	-0.806152	-0.835116	0.143769	-0.209393	0.48792	-2.71208	-4.0201	11.7292	-0.0609525	-0.0382049	0.000488382	0.40332	0.802734	-0.624512	0.00239326	-0.835694	0.549094	0.0102783	-0.330903	0.237388	-9.08616	0.0124044	0.0125544	-0.0167362	-0.143066	-0.237305	1.11035	0.110501	0.0940596	0.971306	-0.188434	-2.35913	-3.07094	-7.68399	0.0497291	0.0111507	-0.00341926	-0.122559	0.435791	0.969727	0.137787	0.180956	0.938879	-0.258409	-3.22265	-3.59742	-7.79268	0.0921572	-0.000621325	-0.0167101	-0.00634766	0.606689	0.917725	-0.075208	0.252218	-0.952281	-0.154566	-2.12071	2.37853	-8.6384	0.00802347	-0.0113273	-0.0264853	-0.2229	-0.407471	1.0979	-0.151231	0.13315	-0.952409	-0.228731	-3.44525	3.59572	-8.3801	-0.0221225	0.00661338	-0.0328421	-0.0366211	-0.598633	0.998779	
