40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.203349	-0.493857	-0.154582	0.831179	-9.29036	-0.694543	4.81987	0.0103993	-0.0205283	-0.00962849	0.809814	0.212158	-0.70166	-0.127624	0.0782783	-0.0167504	0.988587	1.70159	-0.317584	10.0304	-0.0152131	0.034344	-0.0184433	-0.403809	0.045166	-0.802979	0.749487	-0.122922	-0.579608	-0.295319	9.50353	1.55829	2.98284	0.00233021	0.00830088	-0.00162473	-0.947266	-0.060791	-0.589355	0.708766	0.287812	-0.624314	0.158263	9.64397	2.06837	0.449506	0.00774671	0.00512028	-0.00342875	-0.845215	-0.437744	-0.373047	0.631876	0.362479	-0.513974	0.452959	9.71376	-0.213527	2.01135	-0.0134097	0.00591076	-0.00355072	-0.9375	-0.362305	-0.286865	0.716037	-0.0449129	-0.680353	0.149649	9.55095	-2.02433	4.98922	-0.0113733	0.000309971	-0.013918	-0.932861	0.183594	-0.537598	0.0832921	-0.511849	0.00532521	-0.855011	8.88074	-1.01774	4.90497	0.0434985	0.0550509	-0.0148923	-1.00903	0.142822	-0.0471191	-0.29026	0.720482	-0.0464633	0.628089	8.50998	-4.75092	-0.389448	0.0312496	0.0193885	-0.0140103	-0.769043	0.662354	0.608154	-0.123662	0.968972	0.203288	-0.0668998	-1.02312	-1.82729	-8.92908	0.00612501	0.00302826	-0.0206793	0.724121	0.340576	1.07471	-0.0961637	-0.728564	-0.192594	-0.650273	8.88137	3.72597	-1.19746	-0.00609933	0.0152362	0.00124156	-0.852783	-0.312988	0.597412	-0.0986703	-0.97561	-0.196074	0.00187574	-0.489953	2.13949	-9.52155	-0.00271448	0.00864927	-0.00514373	0.415283	-0.250244	0.907227	
1	-0.203275	-0.493448	-0.154203	0.83151	-9.14289	-0.526123	4.81183	0.0119655	-0.024947	0.000464321	0.80957	0.216553	-0.703857	-0.127625	0.0779431	-0.016938	0.98861	1.76284	-0.423928	10.0223	-0.00968497	0.0310417	-0.0160033	-0.409912	0.0366211	-0.802734	0.749408	-0.123071	-0.579528	-0.295617	9.41736	1.52363	2.94887	-0.0120892	0.00350583	-0.0113025	-0.953613	-0.060791	-0.58252	0.708749	0.287584	-0.624539	0.157867	9.55565	2.04266	0.446189	-0.0222564	-0.0071859	-0.00102692	-0.849365	-0.444336	-0.368652	0.631572	0.362574	-0.514072	0.453196	9.72371	-0.166183	1.9912	0.00986758	-0.00321592	0.00538151	-0.944092	-0.362305	-0.286865	0.715862	-0.04495	-0.680587	0.14941	9.52404	-2.15619	5.16599	0.00103142	0.00508573	-0.0230912	-0.935059	0.183594	-0.535645	0.0835461	-0.511324	0.0051022	-0.855302	8.95449	-1.04169	4.91097	0.0401288	0.0416794	-0.013418	-1.01562	0.147217	-0.0493164	-0.290671	0.720185	-0.046124	0.628264	8.55735	-4.66786	-0.376464	0.0227261	0.0254811	-0.0188546	-0.766846	0.662354	0.601074	-0.123542	0.968983	0.203286	-0.0669723	-1.00424	-1.81956	-8.92838	0.00989659	0.00356505	-0.0203406	0.724121	0.340332	1.0791	-0.0962374	-0.728625	-0.19261	-0.650189	8.91039	3.77556	-1.23694	0.0133478	0.0105516	0.000665745	-0.857422	-0.308594	0.588135	-0.0985861	-0.975543	-0.196455	0.00163821	-0.473108	2.12672	-9.52264	-0.0021908	0.0042277	-0.00540979	0.419678	-0.250244	0.907227	
2	-0.203412	-0.49257	-0.154603	0.831924	-9.09729	-0.487947	4.85998	-0.0285354	-0.0393811	-0.0175465	0.80542	0.214355	-0.703857	-0.127625	0.0779431	-0.016938	0.98861	1.76284	-0.423928	10.0223	-0.00968497	0.0310417	-0.0160033	-0.409912	0.0366211	-0.802734	0.749148	-0.123339	-0.579654	-0.295916	9.46805	1.46061	3.09368	-0.0178775	-0.0122624	-0.00589326	-0.947266	-0.0585938	-0.584717	0.708608	0.287635	-0.624661	0.157922	9.60324	2.01806	0.650707	0.0172603	0.00104043	0.00715349	-0.844971	-0.442139	-0.368652	0.631592	0.362305	-0.514314	0.453108	9.70938	-0.131837	2.09095	-0.0197737	0.0128248	-0.00776523	-0.941895	-0.360107	-0.277588	0.715742	-0.0450114	-0.680714	0.149385	9.5216	-2.14935	5.28518	-0.0104027	0.0103698	-0.00944608	-0.939209	0.181396	-0.529053	0.0838325	-0.510918	0.00453967	-0.85552	8.87162	-1.0863	4.90489	0.0475626	0.017716	-0.018894	-1.01978	0.14502	-0.0493164	-0.290587	0.720041	-0.0462658	0.628458	8.50461	-4.70323	-0.288155	-0.00132928	0.0257805	-0.014865	-0.769287	0.666748	0.598633	-0.123438	0.969001	0.203236	-0.0670463	-1.02065	-1.81619	-8.91706	0.0098729	0.00204928	-0.020632	0.726562	0.340576	1.07471	-0.0963594	-0.72848	-0.192498	-0.650366	8.89708	3.74095	-1.17949	-0.006768	0.0193412	0.0022779	-0.850586	-0.315186	0.590576	-0.0984923	-0.975548	-0.196477	0.00172499	-0.478308	2.13713	-9.53185	0.0137947	0.00334268	-0.0076332	0.41748	-0.250244	0.909424	
3	-0.203686	-0.492014	-0.155066	0.832099	-9.01202	-0.717244	4.78518	-0.0105343	-0.0187229	-0.00226414	0.812012	0.214355	-0.705811	-0.127339	0.0776388	-0.0171999	0.988666	1.72692	-0.422697	9.96628	-0.00169375	0.0225875	-0.0128117	-0.403564	0.0410156	-0.802979	0.749194	-0.123405	-0.57964	-0.295798	9.44599	1.46961	3.04675	0.00394491	0.00772306	0.000494944	-0.949463	-0.060791	-0.591553	0.708574	0.287624	-0.624691	0.157978	9.56054	2.14766	0.645967	-0.00048481	0.00706996	-0.000144597	-0.846924	-0.444336	-0.368652	0.631578	0.362241	-0.514146	0.45337	9.71734	-0.0403125	2.07012	0.0050018	0.0155709	-0.0115489	-0.939941	-0.35791	-0.286865	0.715725	-0.0450743	-0.680717	0.149434	9.53514	-2.05688	5.21226	0.00915954	0.0138382	-0.0136071	-0.937256	0.185791	-0.53125	0.0840073	-0.510325	0.0041793	-0.855858	8.86296	-0.979268	4.9624	0.0295674	0.0286504	-0.0179507	-1.01758	0.142822	-0.0512695	-0.290915	0.719892	-0.0459289	0.628502	8.52689	-4.71652	-0.26261	0.0398129	0.0129448	-0.0184197	-0.766846	0.664551	0.598877	-0.123326	0.969024	0.203191	-0.0670587	-1.0167	-1.82116	-8.9165	0.00419643	0.00535784	-0.0193324	0.726562	0.338135	1.0791	-0.0965366	-0.728438	-0.192344	-0.650432	8.8975	3.69471	-1.21407	0.00441239	0.014906	0.00487638	-0.85498	-0.315186	0.595215	-0.0985066	-0.975544	-0.196488	0.00177507	-0.482958	2.13731	-9.54459	0.00139184	0.00482192	-0.0055582	0.424316	-0.250244	0.905029	
4	-0.203998	-0.491817	-0.154755	0.832197	-8.98527	-0.645525	4.7662	0.00827456	-0.0138031	0.0168223	0.807861	0.209961	-0.70166	-0.127419	0.077588	-0.0171013	0.988662	1.72427	-0.360879	10.0039	-0.000761115	0.0191841	-0.01172	-0.409912	0.0388184	-0.805176	0.749305	-0.12333	-0.579556	-0.295715	9.44544	1.49349	3.06635	0.0100174	0.0141827	0.0022195	-0.953857	-0.0541992	-0.58252	0.708617	0.287666	-0.624634	0.157932	9.5618	2.08873	0.569254	0.00231897	0.00874006	-0.00547833	-0.842773	-0.442139	-0.368652	0.631652	0.362327	-0.514016	0.453345	9.6424	-0.112656	1.97766	0.00219718	0.0102835	-0.0172168	-0.939697	-0.362305	-0.284424	0.715751	-0.0448801	-0.680656	0.149646	9.48192	-2.09495	5.17689	0.0263325	0.0157159	-0.014285	-0.937256	0.183594	-0.529053	0.0841396	-0.510208	0.00391926	-0.855917	8.90237	-1.00248	4.9068	0.0317062	0.0198919	-0.0134112	-1.01562	0.14502	-0.0578613	-0.291116	0.719795	-0.045783	0.62853	8.50967	-4.66684	-0.468297	0.0264648	0.0166984	-0.0155102	-0.766846	0.664551	0.601074	-0.123326	0.969024	0.203191	-0.0670587	-1.0167	-1.82116	-8.9165	0.00419643	0.00535784	-0.0193324	0.726562	0.338135	1.0791	-0.0965453	-0.728491	-0.192376	-0.650363	8.84751	3.74348	-1.14363	0.00740169	0.00666489	0.00118052	-0.850342	-0.317383	0.597656	-0.0986032	-0.975541	-0.196454	0.00179483	-0.479365	2.13024	-9.52416	-0.00257584	0.00497316	-0.00578974	0.41748	-0.248047	0.904785	
5	-0.20411	-0.4921	-0.154734	0.832006	-9.121	-0.61608	4.81179	-0.00410904	0.0144014	-0.00126488	0.80542	0.214355	-0.703857	-0.127564	0.0772595	-0.0171603	0.988668	1.70115	-0.440062	10.008	-0.0131926	0.0253196	-0.0136555	-0.405518	0.0388184	-0.802734	0.749417	-0.123314	-0.579478	-0.295589	9.45886	1.57079	2.95975	0.0042295	0.00171865	0.00142882	-0.955811	-0.0585938	-0.589355	0.708646	0.287775	-0.624518	0.158063	9.61414	1.93402	0.398351	0.00905589	0.0105385	0.00333027	-0.844971	-0.442139	-0.368652	0.6315	0.362262	-0.51415	0.453456	9.71088	-0.138109	1.98399	0.00519651	-0.000807309	0.00209723	-0.942139	-0.355713	-0.286865	0.715733	-0.0451273	-0.680691	0.1495	9.50455	-2.00367	4.98466	-0.0195261	0.0120776	-0.0156056	-0.932861	0.183594	-0.533447	0.0845016	-0.509449	0.00341656	-0.856335	8.88361	-1.01449	4.95379	0.0512805	0.045463	-0.0179227	-1.01562	0.147217	-0.0556641	-0.291036	0.719837	-0.0458463	0.628515	8.56473	-4.63751	-0.320241	0.00290333	0.00938449	-0.0177033	-0.771484	0.668945	0.605713	-0.123155	0.96901	0.203377	-0.0670152	-1.01308	-1.82239	-8.92996	0.00518813	0.00537588	-0.0195209	0.72168	0.342773	1.0769	-0.09706	-0.728488	-0.192126	-0.650363	8.9281	3.71618	-1.26409	0.0029024	0.0143206	-0.000962708	-0.85498	-0.317383	0.593018	-0.0986523	-0.975513	-0.196568	0.0016952	-0.483501	2.13437	-9.53605	-0.000635311	0.00732355	-0.00680033	0.413086	-0.252441	0.909424	
6	-0.204076	-0.492179	-0.15486	0.831944	-9.19095	-0.752462	4.81507	-0.00479421	0.00726528	-0.00599185	0.80542	0.212158	-0.703857	-0.127619	0.0770707	-0.0172038	0.988675	1.69463	-0.373545	10.0232	-0.0110025	0.0320068	-0.0126143	-0.401367	0.0410156	-0.802979	0.749266	-0.123293	-0.579632	-0.29568	9.4364	1.63894	3.01166	0.00456014	-3.57354e-05	-0.01486	-0.951416	-0.060791	-0.584717	0.708525	0.287672	-0.624704	0.158058	9.6007	2.09073	0.491504	0.00317095	-0.00585813	0.00938178	-0.843018	-0.437744	-0.368652	0.631406	0.362258	-0.514278	0.453447	9.74691	-0.0936542	2.09238	-0.0022815	-0.0026539	-0.0050895	-0.939697	-0.362305	-0.284424	0.715553	-0.0449492	-0.680876	0.149571	9.53473	-2.04626	5.12516	-0.00021304	0.000758497	-0.0170377	-0.94165	0.185791	-0.529053	0.0847378	-0.508956	0.00291541	-0.856607	8.86326	-0.985414	4.92321	0.0658987	0.0548774	-0.0214661	-1.01953	0.136475	-0.0554199	-0.290481	0.720081	-0.0462685	0.628461	8.47295	-4.73373	-0.355328	-0.0177347	0.0143949	-0.0171434	-0.764648	0.662354	0.601074	-0.123165	0.969008	0.203377	-0.0670134	-1.02802	-1.82009	-8.91864	0.0115282	0.00655646	-0.0222081	0.72168	0.342773	1.07471	-0.0968371	-0.728485	-0.192227	-0.65037	8.89857	3.71593	-1.19314	0.0231364	0.0179183	0.00901212	-0.85498	-0.315186	0.593018	-0.0986291	-0.975509	-0.1966	0.00163517	-0.48098	2.13369	-9.53633	0.00592568	0.0109547	-0.00631202	0.419678	-0.250244	0.907227	
7	-0.203958	-0.492257	-0.154379	0.832017	-9.11127	-0.635052	4.77584	0.0222245	-0.000321006	0.00756248	0.807617	0.212158	-0.708008	-0.127513	0.0764596	-0.0172725	0.988735	1.61008	-0.398123	10.037	-0.00836204	0.0390998	-0.0231616	-0.405518	0.0344238	-0.795654	0.749154	-0.123449	-0.579624	-0.295914	9.51219	1.5672	2.99443	-0.00498252	-0.00210735	0.000243999	-0.953613	-0.060791	-0.591553	0.708388	0.287807	-0.624723	0.158349	9.67665	2.01507	0.544786	0.0193977	0.00465954	0.00710761	-0.849365	-0.444336	-0.366455	0.631396	0.362221	-0.514333	0.453428	9.70102	-0.042191	2.01601	0.00527166	0.00961543	-0.0149783	-0.9375	-0.362305	-0.286865	0.715501	-0.0451211	-0.680959	0.149388	9.50332	-2.22958	5.29936	0.0106614	0.0148223	-0.0130158	-0.935059	0.181396	-0.533447	0.084936	-0.507981	0.00271872	-0.857166	8.83033	-0.946517	4.89518	0.017043	0.0549156	-0.0113808	-1.01343	0.147217	-0.0620117	-0.290988	0.719781	-0.0456308	0.628617	8.5269	-4.71149	-0.324047	0.0371543	0.0109359	-0.015365	-0.773193	0.662354	0.601074	-0.123029	0.969023	0.203362	-0.0670906	-1.02967	-1.81889	-8.92347	0.00445663	0.00193538	-0.02175	0.72876	0.340576	1.07471	-0.0966319	-0.72855	-0.192365	-0.650286	8.87586	3.72748	-1.16736	0.0170518	0.00208824	0.00377616	-0.85498	-0.312988	0.592773	-0.0987133	-0.975487	-0.19667	0.0016003	-0.478878	2.15071	-9.53021	-0.000502976	0.0051779	-0.00493996	0.421875	-0.24585	0.914062	
8	-0.203367	-0.492746	-0.154079	0.831927	-9.26286	-0.678194	4.84531	0.0299457	0.0135538	-0.0164345	0.80542	0.212158	-0.705811	-0.127376	0.0769348	-0.0173951	0.988713	1.66074	-0.365435	10.0377	-0.0186902	-0.0154877	-0.0232849	-0.396729	0.0344238	-0.800293	0.749096	-0.123798	-0.579554	-0.296051	9.51371	1.45603	3.01827	-0.00564874	0.00197239	0.0041651	-0.949219	-0.0629883	-0.584717	0.708471	0.287556	-0.62475	0.158327	9.63447	2.0673	0.660411	0.00187549	0.0098528	0.00482201	-0.844971	-0.439941	-0.368652	0.631776	0.362266	-0.514134	0.453088	9.70174	-0.0771789	2.0289	-0.0129166	0.0137091	-0.0320303	-0.93335	-0.359863	-0.289062	0.715699	-0.0450569	-0.680711	0.14959	9.53958	-1.98994	5.16458	0.00959374	0.026141	-0.0147984	-0.937012	0.177002	-0.528809	0.0848987	-0.507642	0.00282309	-0.85737	8.84867	-0.968553	4.97042	0.0192673	0.0186117	-0.0173258	-1.01123	0.14502	-0.0578613	-0.291042	0.719723	-0.0457224	0.628652	8.52138	-4.68517	-0.247512	-0.00978057	0.01693	-0.01369	-0.76709	0.668945	0.598633	-0.12285	0.969045	0.203334	-0.067188	-1.02183	-1.82849	-8.91763	0.00581137	0.00206933	-0.0198578	0.72876	0.342773	1.07471	-0.0968661	-0.728552	-0.192234	-0.650288	8.87797	3.78005	-1.28138	-0.0126523	0.0123428	0.000107471	-0.852783	-0.312988	0.592773	-0.0986663	-0.975492	-0.196668	0.00169914	-0.480885	2.14494	-9.52223	0.00956203	0.00246626	-0.00631165	0.419922	-0.254639	0.905029	
9	-0.203029	-0.492558	-0.153376	0.832251	-9.08102	-0.590949	4.83662	0.0354336	-0.0187894	0.00253823	0.807617	0.212158	-0.703857	-0.12684	0.0777483	-0.0174086	0.988718	1.72919	-0.422485	10.0266	-0.0115047	-0.0237681	-0.0304984	-0.407959	0.0410156	-0.805176	0.749311	-0.124236	-0.579297	-0.295826	9.41697	1.54382	3.10333	-0.0181275	0.0103736	0.0209734	-0.955811	-0.0627441	-0.589111	0.708878	0.287218	-0.624462	0.158257	9.5829	2.20817	0.597577	-0.0193561	0.0302284	-0.000481496	-0.847412	-0.437744	-0.37085	0.632079	0.362232	-0.514068	0.452767	9.71188	0.0310227	2.02892	-0.0164108	0.0106446	-0.0259029	-0.942139	-0.355713	-0.277588	0.715906	-0.0451403	-0.680503	0.149523	9.50808	-2.09973	5.17622	0.000751108	0.0254316	-0.0134369	-0.935059	0.185791	-0.53125	0.0848449	-0.507774	0.00295827	-0.857297	8.88373	-0.933274	5.06559	0.00625829	0.00259356	-0.0130823	-1.01318	0.140625	-0.0556641	-0.291166	0.719741	-0.0458419	0.628565	8.54037	-4.64747	-0.298771	-0.00277487	0.00962141	-0.00817852	-0.769287	0.668945	0.601074	-0.122712	0.96907	0.203289	-0.067228	-1.03934	-1.80743	-8.93908	0.00966611	0.00425952	-0.0199624	0.726318	0.344971	1.07471	-0.0967184	-0.728639	-0.192349	-0.650179	8.91646	3.67033	-1.17463	0.0172305	0.00946178	0.00392603	-0.857422	-0.310791	0.599609	-0.0985603	-0.975505	-0.196654	0.00180961	-0.478447	2.12143	-9.53002	0.00879178	0.00396138	-0.00706877	0.41748	-0.248047	0.914062	
