Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.590601	-0.441191	-0.427569	-0.523187	9.62259	-0.338936	3.30294	0.0371803	-0.00309493	-0.049317	-0.797119	0.44751	-0.232422	1529825208304	-51	96
Throax	00b411e8	0.569681	-0.364053	-0.294635	-0.675366	8.25098	0.0412251	5.54758	-0.175514	0.0730543	-0.058661	-0.596436	0.310791	-0.47998	1529825208304	-56	96
LUpArm	00b411d9	0.76144	0.160949	-0.0917209	-0.621202	-0.0721824	2.98765	9.48529	0.194081	-0.341636	0.135717	0.072998	-0.0249023	-1.00122	1529825208305	-55	96
LFoArm	00b41148	0.848122	-0.0365918	-0.071453	-0.523684	1.2791	0.118465	7.90593	-0.163172	-0.40586	-0.00752702	0.0983887	0.427979	-0.927734	1529825208300	-54	96
RUpArm	00b411db	0.751782	-0.200271	0.100957	-0.620099	0.95102	-4.25584	8.28213	-0.120399	-0.159551	-0.0896884	0.0183105	0.727051	-0.643311	1529825208301	-58	96
RFoArm	00b41204	0.621467	0.110701	-0.142074	-0.762456	1.31457	0.655966	11.9984	0.230311	-0.162318	0.0471383	-0.109619	0.35083	-0.992188	1529825208303	-55	96
Waist	00b411f7	0.418788	-0.544386	-0.591619	-0.422194	9.5118	0.435272	-2.60074	-0.0559444	0.0650026	-0.00692402	-0.898682	0.331299	0.2146	1529825208297	-49	96
Lthigh	00b411f4	0.483745	-0.478193	-0.554837	-0.479039	9.87516	0.0461521	0.0437542	-0.0423506	-0.0533448	-0.031199	-0.982666	0.411377	0.0339355	1529825208301	-49	96
Lshank	00b4111b	0.521684	-0.448433	-0.567764	-0.452104	9.79644	0.193148	-0.348677	-0.0385289	-0.0238579	-0.042841	-1.02148	0.342529	0.0358887	1529825208301	-50	96
Rthigh	00b411c8	0.468044	-0.514687	-0.589658	-0.410286	9.63587	-0.111487	-1.64133	-0.0463128	0.00621967	0.000239738	-0.940186	0.411621	0.188232	1529825208301	-50	96
Rshank	00b411ee	0.575642	-0.451452	-0.583148	-0.353222	9.74404	-0.893709	-0.748698	-0.0561268	-0.0439916	-0.0191227	-0.992676	0.503174	-0.0449219	1529825208306	-53	97
