Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.592022	0.33147	0.415912	0.60552	9.18072	0.830118	4.54742	-0.0275157	-0.0127166	0.0226185	-0.781006	0.314209	-0.424805	1529825363104	-51	96
Throax	00b411e8	0.600356	-0.348545	-0.346377	-0.630961	8.62862	0.212291	5.04702	-0.0226678	0.0311936	-0.00443411	-0.668457	0.267334	-0.414795	1529825363104	-56	96
LUpArm	00b411d9	0.784071	0.0881898	-0.102575	-0.605751	0.550372	3.01318	10.2542	-0.14401	0.0444929	-0.0362425	-0.0412598	-0.000976562	-1.00171	1529825363104	-56	96
LFoArm	00b41148	0.789184	-0.0799695	-0.0593043	-0.606033	1.93024	-0.600049	9.505	0.0077968	0.0878616	-0.0446306	0.000976562	0.510254	-0.894043	1529825363101	-60	96
RUpArm	00b411db	0.72412	-0.191679	0.125267	-0.650552	0.74647	-4.27419	8.77211	0.0226365	0.0111323	-0.00756139	0.0227051	0.729248	-0.631836	1529825363077	-72	96
RFoArm	00b41204	0.603101	0.0900164	-0.0275328	-0.792091	0.66502	0.472887	13.0956	0.00108264	0.00489513	-0.0417447	-0.0358887	0.387939	-0.982666	1529825363104	-84	96
Waist	00b411f7	0.472091	-0.515291	-0.517107	-0.494172	9.79622	0.372464	-0.658067	-0.0182559	0.00620498	-0.00867609	-0.922852	0.340088	0.0610352	1529825363098	-50	96
Lthigh	00b411f4	0.470954	-0.546897	-0.462197	-0.515248	9.78199	-0.288039	-0.229327	0.00189936	0.012063	-0.0162594	-0.980469	0.415527	0.0712891	1529825363101	-54	96
Lshank	00b4111b	0.545982	-0.440543	-0.571559	-0.425612	9.80892	0.0947562	-0.379442	0.00713933	-0.00162887	-0.0207318	-1.03027	0.333252	0.0471191	1529825363101	-50	96
Rthigh	00b411c8	0.428524	-0.555935	-0.530277	-0.47551	9.52799	0.408923	-1.7783	0.00610522	0.0111728	0.00374287	-0.955566	0.354492	0.223633	1529825363104	-51	96
Rshank	00b411ee	0.525241	-0.471447	-0.556366	-0.438538	9.86191	-0.0103036	-0.69603	-0.0110003	0.00346217	-0.00427327	-1.03418	0.414307	-0.0229492	1529825363107	-56	96
