Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	-0.493135	0.451489	0.502834	0.547845	9.95092	0.0828532	1.83316	0.00797459	-0.0506325	0.046414	-0.85498	0.395752	-0.103027	1529826292952	-50	93
Throax	00b411e8	0.563963	-0.37607	-0.358273	-0.641995	8.59062	0.0880555	4.91446	-0.0602471	0.0892324	0.0109149	-0.697266	0.278564	-0.36084	1529826292951	-50	93
LUpArm	00b411d9	0.715986	0.0940926	-0.0661343	-0.688576	-0.202884	2.22114	10.9405	0.0341016	-0.0376719	-0.0790304	-0.0202637	0.145996	-0.982666	1529826292952	-64	93
LFoArm	00b41148	0.806249	-0.0452159	-0.0397729	-0.588504	1.14067	-0.292773	10.6269	-0.0398234	0.0260205	-0.083953	0.0441895	0.493164	-0.904785	1529826292972	-60	93
RUpArm	00b411db	0.731487	-0.199543	0.0790537	-0.647194	1.20164	-3.6876	8.963	-0.212783	0.0137863	-0.0943516	-0.0678711	0.698486	-0.679932	1529826292949	-56	93
RFoArm	00b41204	0.80458	-0.00599396	-0.198553	-0.559635	1.19221	1.43354	13.3775	0.0849014	-0.0210684	-0.0692976	-0.0949707	0.30542	-1.0188	1529826292949	-54	93
Waist	00b411f7	0.556885	-0.392628	-0.523406	-0.511633	9.5866	0.511881	2.29821	0.0415983	0.0765815	-0.0149883	-0.912598	0.34082	-0.171143	1529826292971	-51	93
Lthigh	00b411f4	0.46967	-0.568424	-0.524132	-0.426133	9.77026	-0.0365209	-0.310069	-0.00470496	0.0188366	-0.0365043	-0.968018	0.432129	0.176025	1529826292948	-49	93
Lshank	00b4111b	0.489844	-0.481995	-0.559397	-0.463475	9.7496	0.16197	-0.333985	0.00416015	0.0296615	-0.0411959	-1.01538	0.365234	0.0666504	1529826292949	-57	93
Rthigh	00b411c8	0.381566	-0.607199	-0.504463	-0.480868	9.52133	0.228734	-1.91517	0.0221379	0.00331311	-0.0102478	-0.951416	0.365479	0.307861	1529826292949	-54	93
Rshank	00b411ee	0.401299	-0.583398	-0.430553	-0.559669	9.84275	0.26971	-0.678178	0.0461284	0.0485843	-0.0341397	-1.04761	0.416748	0.138672	1529826292954	-54	94
