40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	-0.768201	-0.0376561	0.637633	-0.0432931	9.9063	0.0440626	1.86994	-0.0305729	-0.00439274	-0.00794021	-0.890625	-0.0583496	-0.473389	0.830774	-0.00383359	-0.55223	0.0695832	9.11901	-0.818047	3.97625	-0.0174272	0.044648	-0.0310395	-0.64917	-0.0678711	-0.671387	0.878183	0.186514	-0.428038	0.103882	8.11966	2.48693	5.85202	0.0427427	0.0193216	0.00389971	-0.668213	-0.447021	-0.805664	0.879976	0.189183	-0.433178	-0.0469952	7.29451	3.67525	5.42634	0.0454522	0.0216009	0.00447747	-0.461426	-0.349609	-0.848145	0.809246	-0.190389	-0.555758	0.00237251	8.7904	-3.13885	3.14442	-0.00700273	0.0183149	-0.0146848	-0.715088	0.371094	-0.68457	0.93848	0.0292343	-0.319106	0.128734	7.45788	-0.923676	10.0564	0.000842554	0.027695	-0.0205652	-0.533203	-0.0419922	-1.01636	0.721617	0.113756	-0.678587	0.0764708	9.85101	0.479527	0.479443	-0.00136306	0.0165475	-0.0160652	-0.976807	-0.150635	-0.384766	0.970574	-0.185363	-0.0389184	-0.148701	1.71338	-4.06742	10.0704	0.0028395	0.00875776	-0.0126419	0.220459	0.455078	-0.952393	0.0184184	-0.0510691	0.992955	0.105325	-0.38602	2.43264	-8.86773	0.0145947	0.00550808	-0.0208192	-0.333252	-0.251465	1.02075	0.961555	0.214812	-0.0834334	0.149354	2.3437	3.95402	9.29191	0.00258771	0.017511	-0.000794977	0.172119	-0.548096	-0.964111	-0.006595	0.0605523	-0.995659	-0.0703789	-0.179495	1.44095	-9.65363	0.0146581	0.00725508	-0.00707806	-0.449219	-0.215576	1.04932	
1	-0.768571	-0.0375901	0.637211	-0.0429786	9.80748	-0.0247947	1.90644	0.0021352	0.0207412	-0.00727288	-0.888184	-0.0627441	-0.475586	0.830939	-0.00370379	-0.552002	0.069423	9.17163	-0.840383	3.9179	-0.00274121	0.0275198	-0.0241584	-0.64917	-0.0722656	-0.675781	0.877973	0.187789	-0.427712	0.104692	8.21898	2.64872	5.88878	0.0507295	0.0134481	0.00592194	-0.672363	-0.448975	-0.805664	0.880009	0.189567	-0.432977	-0.0466907	7.33561	3.66048	5.42873	0.0218513	0.0143888	0.00452766	-0.461426	-0.354004	-0.850342	0.809534	-0.1894	-0.555675	0.00295928	8.87887	-2.99858	3.15773	0.0567691	0.014321	-0.0149133	-0.714844	0.366699	-0.675537	0.938604	0.0286603	-0.318841	0.128613	7.51844	-1.07402	10.067	-0.0312052	0.0274595	-0.0151437	-0.533203	-0.0439453	-1.02075	0.721818	0.113765	-0.678338	0.0767645	9.91394	0.499729	0.411997	0.024633	0.0408849	-0.00911537	-0.983154	-0.152832	-0.382568	0.970575	-0.185392	-0.0389356	-0.148651	1.73983	-4.14432	10.0521	0.0148349	0.0199602	-0.0129473	0.218018	0.459473	-0.957031	0.0184184	-0.0510691	0.992955	0.105325	-0.38602	2.43264	-8.86773	0.0145947	0.00550808	-0.0208192	-0.333252	-0.251465	1.02075	0.96152	0.214938	-0.0833565	0.149441	2.41927	3.9925	9.37397	0.00695054	0.00932256	0.00387799	0.176514	-0.545898	-0.964111	-0.00647776	0.0606448	-0.99567	-0.0701507	-0.181125	1.42318	-9.6673	-0.00383424	0.00513807	-0.00514367	-0.444824	-0.213379	1.05151	
2	-0.768692	-0.0379286	0.637038	-0.0431008	9.8093	-0.0062577	1.93698	0.0275629	0.0121442	-0.0104521	-0.892578	-0.0627441	-0.473389	0.83102	-0.00365375	-0.551876	0.0694698	9.20156	-0.842668	3.96505	-0.00165446	0.0257113	-0.0168806	-0.642578	-0.0722656	-0.668701	0.877963	0.187856	-0.427706	0.104686	8.17062	2.6541	5.87587	0.00664505	0.00520959	-0.00338976	-0.668213	-0.453369	-0.810059	0.879994	0.189852	-0.432906	-0.0464626	7.35021	3.73361	5.51579	0.0307106	0.0144963	0.00667577	-0.461426	-0.351807	-0.848145	0.809609	-0.189619	-0.55549	0.00283956	8.88911	-2.90982	3.17653	-0.0187951	0.0251506	-0.00944614	-0.712646	0.366699	-0.687012	0.938642	0.0284685	-0.318674	0.128796	7.45719	-1.10861	10.0309	-0.00800041	0.0284179	-0.00490649	-0.533447	-0.0397949	-1.01855	0.722184	0.113574	-0.677979	0.0767839	9.86363	0.500849	0.506476	0.00565308	0.0539245	-0.0114646	-0.976562	-0.152832	-0.391113	0.970581	-0.185371	-0.0389672	-0.148632	1.76424	-4.07659	10.0086	0.00705146	0.0143974	-0.0133854	0.218018	0.461426	-0.949951	0.0183766	-0.0516007	0.992961	0.105013	-0.385864	2.43734	-8.88041	0.010683	0.00413749	-0.0219651	-0.328613	-0.249268	1.02295	0.96155	0.214784	-0.0834169	0.149439	2.39576	4.00795	9.2702	-0.0107172	0.0101654	0.00504187	0.169922	-0.545898	-0.959717	-0.00650097	0.060617	-0.995667	-0.0702139	-0.186544	1.43898	-9.62921	-0.00141231	0.00422155	-0.0051098	-0.442627	-0.208984	1.04468	
3	-0.768822	-0.0391593	0.636775	-0.0435448	9.78831	0.0909311	1.94625	0.0536984	0.00648021	-0.0216045	-0.896973	-0.0649414	-0.477783	0.830959	-0.00359359	-0.551947	0.0696377	9.16674	-0.869254	3.90104	0.00368524	0.0104017	-0.0123292	-0.644775	-0.0678711	-0.673584	0.878153	0.187581	-0.427487	0.104474	8.18887	2.5502	5.84092	-0.00201116	0.018291	-0.00793106	-0.67041	-0.448975	-0.810303	0.880071	0.19025	-0.432621	-0.0460304	7.38518	3.56882	5.39687	0.0288252	0.0241466	0.0107323	-0.468018	-0.352051	-0.848145	0.809635	-0.190354	-0.555201	0.00291848	8.82936	-3.20058	3.03604	0.00742476	0.00862956	0.00699658	-0.721436	0.366699	-0.68457	0.938702	0.0285023	-0.318426	0.128962	7.48503	-0.994328	10.0679	-0.000603544	0.0206235	-0.0211101	-0.529053	-0.0439453	-1.02075	0.722847	0.113443	-0.677247	0.0771985	9.9102	0.498153	0.409131	0.0222883	0.0604311	-0.00646215	-0.974365	-0.152832	-0.38916	0.970608	-0.185251	-0.0388223	-0.148645	1.75142	-4.10752	9.9848	0.0254341	0.0226373	-0.0135483	0.220459	0.457031	-0.949951	0.0183632	-0.0515832	0.992946	0.105165	-0.391011	2.42646	-8.87179	-0.00121203	0.00367272	-0.0227794	-0.328369	-0.253662	1.01636	0.961604	0.214635	-0.0834053	0.149306	2.43826	4.02289	9.39007	-0.0046137	0.00989703	-0.00145919	0.174561	-0.55249	-0.966309	-0.00650575	0.0605925	-0.995673	-0.0701576	-0.170687	1.42121	-9.66273	0.00781426	0.00627904	-0.00552048	-0.449463	-0.208984	1.05371	
4	-0.768903	-0.0403167	0.636584	-0.0438444	9.84501	0.191712	1.97007	0.0377392	0.00479332	-0.020933	-0.890381	-0.0649414	-0.475586	0.831027	-0.0036084	-0.551845	0.0696228	9.15325	-0.845122	3.8691	-0.00832371	0.0162715	-0.0187781	-0.651367	-0.0700684	-0.673584	0.878063	0.188471	-0.427141	0.105048	8.1278	2.50205	5.91639	0.0516061	0.0257432	0.0108396	-0.667969	-0.455566	-0.80542	0.880091	0.19037	-0.432558	-0.0457442	7.28914	3.74327	5.45783	0.0103792	0.00806531	0.00811279	-0.467773	-0.358643	-0.8479	0.80984	-0.190109	-0.554984	0.0032297	8.83683	-3.1001	3.10614	-3.8223e-05	0.024838	-0.0025332	-0.717285	0.371094	-0.677734	0.93878	0.0281666	-0.318139	0.129176	7.41998	-1.01294	9.95056	-0.001834	0.0241457	-0.0108732	-0.531006	-0.0461426	-1.01636	0.723663	0.113189	-0.676417	0.077203	9.90341	0.445283	0.650295	0.0196966	0.0430066	-0.0196149	-0.976562	-0.152832	-0.393311	0.970976	-0.183629	-0.0377702	-0.148525	1.71145	-4.06106	10.2156	0.0719355	0.0788848	0.00235589	0.224854	0.455078	-0.95459	0.0183264	-0.0516112	0.992894	0.105652	-0.386445	2.44043	-8.86535	-0.0171324	0.00448775	-0.0235988	-0.333008	-0.258301	1.01855	0.961587	0.214529	-0.0837773	0.14936	2.3298	4.00645	9.28854	-0.000397791	-0.0104354	0.0123376	0.174072	-0.541504	-0.959717	-0.00639024	0.0605947	-0.995659	-0.0703592	-0.164545	1.41191	-9.64878	-0.0113999	0.00670113	-0.00459897	-0.444824	-0.211182	1.04907	
5	-0.768971	-0.0406938	0.636473	-0.0439197	9.776	0.160387	1.96555	0.00879756	-0.00411103	-0.00191969	-0.890381	-0.0627441	-0.475586	0.830952	-0.00318288	-0.551932	0.0698603	9.11611	-0.93956	3.99907	0.0116627	0.00383409	-0.0168854	-0.64502	-0.0656738	-0.673828	0.878162	0.188381	-0.427014	0.104896	8.19751	2.55843	5.85236	-0.00535365	0.00809327	-0.00544598	-0.668213	-0.451416	-0.807861	0.880176	0.190367	-0.432394	-0.0456811	7.2995	3.57439	5.42363	0.0202852	0.018226	0.00100193	-0.468018	-0.352051	-0.848145	0.809839	-0.189995	-0.555023	0.00356668	8.86421	-3.06921	3.08896	0.00754605	0.00344636	-0.0147562	-0.717529	0.375488	-0.687012	0.938784	0.0282537	-0.318066	0.129304	7.48014	-1.03777	10.0319	0.00925854	0.0153298	-0.0193427	-0.529297	-0.0375977	-1.02075	0.724736	0.113583	-0.675163	0.0775392	9.81403	0.558169	0.450479	0.0218686	0.0969336	-0.0240246	-0.976562	-0.152832	-0.38916	0.971092	-0.183272	-0.0375927	-0.148252	1.66301	-4.02578	10.0931	0.00766651	0.0180254	-0.00544801	0.2229	0.450684	-0.95459	0.0182875	-0.0516641	0.992833	0.1062	-0.378589	2.44381	-8.86519	-0.00576606	0.00374406	-0.0244469	-0.328369	-0.256104	1.02515	0.961502	0.214553	-0.084201	0.149636	2.45922	4.03858	9.32345	-0.00823767	0.00488018	0.0169705	0.174316	-0.548096	-0.959473	-0.00646013	0.060569	-0.995636	-0.0707022	-0.177108	1.45126	-9.65119	-0.0046129	0.00376412	-0.00777112	-0.442383	-0.215576	1.05371	
6	-0.769022	-0.040853	0.636398	-0.0439865	9.79653	0.076777	1.95955	0.00825947	0.0030763	-0.00374694	-0.887939	-0.0668945	-0.475586	0.830373	-0.00272382	-0.552747	0.0703073	9.20602	-0.8857	3.7001	0.0183571	-0.0327287	-0.0147054	-0.651123	-0.0744629	-0.671143	0.878161	0.188364	-0.42702	0.104914	8.12967	2.54339	5.78862	0.019227	-0.00643656	-0.003231	-0.668213	-0.449219	-0.805664	0.880135	0.190768	-0.432321	-0.0454735	7.27616	3.69525	5.25716	0.0234186	0.00364242	0.00167816	-0.46582	-0.354004	-0.850342	0.809891	-0.189874	-0.554988	0.00357915	8.81146	-3.1019	3.12428	0.0155332	-0.0027574	-0.0119947	-0.715088	0.371094	-0.680176	0.938768	0.0286043	-0.318035	0.129426	7.48253	-0.904198	10.0571	0.00957487	0.0110304	-0.0219532	-0.526611	-0.0461426	-1.02271	0.725744	0.113461	-0.674083	0.0776862	9.90588	0.425449	0.637654	0.0273079	0.0625981	-0.0132863	-0.971924	-0.161621	-0.397461	0.971011	-0.183659	-0.037905	-0.148221	1.71464	-4.02175	9.9977	-0.0149116	-0.00425369	-0.0172119	0.224854	0.455078	-0.952393	0.0182948	-0.0516674	0.992841	0.106124	-0.382637	2.45745	-8.85803	0.014158	0.00371428	-0.0229064	-0.326172	-0.256104	1.02295	0.961531	0.214418	-0.0842651	0.14961	2.40771	4.05305	9.29133	-0.00997912	0.00899785	0.00261265	0.172119	-0.545898	-0.959717	-0.00647072	0.0605465	-0.995644	-0.070609	-0.175222	1.42687	-9.68011	0.011267	0.00643575	-0.00657368	-0.447266	-0.208984	1.05151	
7	-0.769095	-0.0415671	0.636269	-0.0438928	9.79801	0.104158	1.99565	0.0243141	0.00181682	-0.0285119	-0.903809	-0.0605469	-0.477783	0.830472	-0.00259366	-0.55263	0.0700666	9.02655	-0.761566	3.90241	-0.0356368	-0.00560679	-0.0256988	-0.646973	-0.0722656	-0.671143	0.877855	0.188841	-0.427348	0.105283	8.04986	2.58889	5.96192	0.0292837	-0.0135364	0.00721905	-0.674561	-0.451172	-0.805664	0.88003	0.190759	-0.432514	-0.0457058	7.25804	3.66068	5.49413	-0.0101082	-0.00523695	-0.00524104	-0.463379	-0.356201	-0.8479	0.810137	-0.189344	-0.554809	0.00369045	8.85456	-3.03049	3.03129	0.0206377	0.0330359	-0.0286674	-0.712646	0.366699	-0.68457	0.938801	0.0284932	-0.317863	0.129629	7.43803	-0.961186	9.96364	0.00503683	0.0224588	-0.00981977	-0.531006	-0.0439453	-1.01855	0.725603	0.113304	-0.674308	0.0772681	9.81459	0.514774	0.609668	-0.00974392	-0.0319018	-0.0231359	-0.972412	-0.152832	-0.399658	0.970947	-0.183908	-0.0380855	-0.14829	1.68126	-4.02601	10.0998	-0.00336149	-0.00476064	-0.0191669	0.2229	0.450684	-0.956787	0.0182785	-0.05217	0.992847	0.105822	-0.384142	2.44577	-8.8858	0.0104565	0.00364259	-0.0207936	-0.335449	-0.256104	1.02734	0.961393	0.214966	-0.0842464	0.149718	2.36064	3.98367	9.27804	0.0254997	0.000970934	0.00245672	0.16748	-0.546143	-0.964111	-0.00648813	0.060529	-0.995648	-0.0705662	-0.174537	1.42866	-9.63697	0.00661457	0.00509335	-0.00635721	-0.451416	-0.215576	1.04932	
8	-0.768826	-0.0421152	0.636576	-0.0436395	9.78228	0.100535	1.97202	0.00693125	-0.0317391	-0.0209062	-0.894531	-0.0693359	-0.475586	0.829977	-0.00207789	-0.553344	0.0703214	9.3541	-0.966636	3.8207	-0.0229369	-0.0154003	-0.0211007	-0.64917	-0.0700684	-0.671143	0.877738	0.189193	-0.427434	0.105273	8.22876	2.62693	5.95749	0.0273526	-0.00727274	-0.0110834	-0.672363	-0.448975	-0.810059	0.879982	0.190917	-0.432538	-0.0457517	7.38019	3.71454	5.57094	0.00165421	0.00946344	-0.00245739	-0.468018	-0.354004	-0.850342	0.810132	-0.189126	-0.554892	0.00363933	8.93588	-2.95058	3.07924	-0.0072947	-0.00372926	-0.0181402	-0.717285	0.371094	-0.687012	0.938597	0.0294088	-0.318151	0.130195	7.51477	-1.10072	9.89797	0.0542875	-0.0106185	-0.0092188	-0.526855	-0.0439453	-1.01855	0.727001	0.112644	-0.672936	0.0770545	10.0155	0.51193	0.514375	-0.0315764	0.124705	-0.0186741	-0.972412	-0.152832	-0.404053	0.970875	-0.18422	-0.0382798	-0.148323	1.68126	-4.14399	10.1054	-0.00146002	0.0155554	-0.0177949	0.222412	0.457275	-0.95459	0.018245	-0.0520882	0.992849	0.10585	-0.388294	2.45441	-8.84138	0.0097138	0.00495904	-0.0198689	-0.333008	-0.256104	1.02075	0.961404	0.214891	-0.084252	0.149755	2.41758	4.07032	9.29257	0.0172375	0.00960263	0.00814141	0.169678	-0.543701	-0.957275	-0.00642894	0.0605984	-0.99563	-0.0707621	-0.174868	1.43496	-9.63965	-0.00248677	0.00517945	-0.00671755	-0.447021	-0.213379	1.04907	
9	-0.768519	-0.0425966	0.636931	-0.0433972	9.81836	0.0887319	1.92059	0.0174435	-0.0435205	-0.03714	-0.892578	-0.0649414	-0.473389	0.830004	-0.00175127	-0.553282	0.0705004	9.1985	-0.850794	3.88618	0.0228624	0.0174537	-0.0202555	-0.651123	-0.0744629	-0.67334	0.877898	0.18896	-0.427298	0.10491	8.2423	2.62041	5.87636	-0.0138071	0.00854413	-0.0107827	-0.670166	-0.451172	-0.801025	0.880109	0.190729	-0.432357	-0.0458043	7.36035	3.70552	5.45506	-0.0139971	0.0122439	0.00458988	-0.463379	-0.356201	-0.852295	0.809932	-0.189572	-0.555034	0.00303308	8.79737	-3.28594	3.01616	0.00316787	-0.012513	-0.0271292	-0.710693	0.371094	-0.689209	0.938294	0.0307585	-0.318613	0.130935	7.44644	-0.849669	10.0265	0.0433206	-0.0148234	-0.0131803	-0.530762	-0.0505371	-1.02051	0.727951	0.112378	-0.671971	0.0769037	9.91403	0.441727	0.649835	0.0171963	0.0536947	-0.0232247	-0.974609	-0.152832	-0.399658	0.970911	-0.184046	-0.0384296	-0.148265	1.69372	-4.11696	10.0847	0.0156743	0.013855	-0.00888582	0.224609	0.457275	-0.95459	0.0182756	-0.0520971	0.992817	0.106142	-0.386434	2.44436	-8.86148	-0.0125622	0.00119881	-0.024979	-0.335449	-0.256104	1.02734	0.961481	0.21443	-0.0847011	0.149668	2.46926	3.97118	9.4045	-0.0317867	0.00111753	0.00363822	0.172119	-0.545898	-0.96875	-0.00643219	0.06059	-0.995628	-0.0708001	-0.180844	1.44493	-9.61205	0.000429842	0.00579448	-0.00667394	-0.447021	-0.215576	1.04468	
