40	Head	00b4120a												Throax	00b411e8												LUpArm	00b411d9												LFoArm	00b41148												RUpArm	00b411db												RFoArm	00b41204												Waist	00b411f7												Lthigh	00b411f4												Lshank	00b4111b												Rthigh	00b411c8												Rshank	00b411ee												
PacketCount	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	
0	0.211924	0.223029	0.165144	-0.937056	-4.32007	-2.07586	10.0449	0.00837672	0.0769814	0.0905643	0.126221	0.400635	-0.889404	0.281751	-0.62784	-0.207817	-0.695158	9.85608	-0.576993	1.09929	0.0188299	0.0384029	-0.0382695	-0.778564	0.31665	0.226807	0.402299	0.278439	0.201081	-0.848642	-6.17414	-1.20379	8.4745	0.0171871	0.0596376	0.0962749	0.305664	0.332031	-0.817383	-0.295087	0.415266	0.617609	-0.599197	-0.875039	-9.67508	-1.02644	-0.0531021	-0.0437565	0.0297441	-0.0556641	0.992432	-0.274902	0.0427607	0.346148	0.294061	-0.889877	-6.39543	-5.4973	5.69246	-0.0278166	-0.0260836	0.0846182	0.290527	0.523926	-0.741211	0.558893	0.714495	-0.217996	-0.360018	-3.54277	9.26453	4.47976	-0.0286464	0.13492	0.0543432	0.622559	-0.744873	-0.338623	0.398685	-0.592643	-0.285311	-0.639079	9.9387	-0.906609	1.34654	0.041698	0.0664204	-0.0516507	-0.856934	0.452881	0.11377	0.375251	-0.637958	-0.39052	-0.547439	9.47679	-0.0303038	-1.26935	0.267892	0.0326219	-0.0744093	-0.932129	0.461914	0.275879	0.470859	-0.492433	-0.577144	-0.45023	9.46974	0.940704	-1.73633	0.2393	0.085558	-0.0601951	-1.03394	0.362305	0.111328	0.301923	-0.674227	-0.29451	-0.606238	9.64634	-0.13642	-1.1359	0.126753	0.0297034	-0.0337774	-0.902344	0.421143	0.372803	0.423921	-0.6098	-0.481067	-0.465844	9.82827	-0.52761	-2.07085	0.124187	0.0133734	-0.034111	-0.980957	0.54541	0.273438	
1	0.213338	0.224946	0.164141	-0.936453	-4.5815	-1.98021	9.9225	0.0376661	0.0595157	0.073033	0.126465	0.394043	-0.887207	0.281528	-0.626867	-0.209514	-0.695617	9.72954	-0.656288	1.2198	0.0461784	0.0250885	-0.0705067	-0.776123	0.314453	0.226807	0.405729	0.280229	0.199773	-0.846727	-6.12279	-0.821305	8.42022	0.0186042	0.0261446	0.115454	0.312012	0.329834	-0.817383	-0.292988	0.415903	0.618423	-0.598945	-0.916155	-9.77965	-1.18209	-0.086766	-0.0425061	0.0668755	-0.0534668	0.994385	-0.268311	0.045806	0.34684	0.292993	-0.889808	-5.96677	-5.01864	5.68734	-0.038868	0.0126644	0.139031	0.294922	0.519775	-0.741211	0.56117	0.714359	-0.218007	-0.356725	-3.48169	9.32445	4.51224	-0.0045609	0.113314	0.0944135	0.618408	-0.74707	-0.334229	0.398941	-0.591618	-0.287181	-0.639032	9.74701	-0.822989	1.08923	0.0892454	-0.0102847	-0.0667036	-0.861084	0.450684	0.115967	0.377263	-0.635192	-0.394222	-0.54662	9.63368	0.013919	-0.929176	0.175468	0.0408028	-0.0990013	-0.934082	0.453369	0.269043	0.472989	-0.489062	-0.578899	-0.449417	9.54513	0.814749	-1.20513	0.156903	0.0642732	-0.0796737	-1.03345	0.35083	0.104736	0.303302	-0.672795	-0.297167	-0.605843	9.66006	-0.359776	-0.682566	0.127365	0.0234572	-0.0464709	-0.9021	0.418945	0.363525	0.425401	-0.607382	-0.483495	-0.465138	9.55329	-0.592348	-1.89797	0.0498478	0.0104355	-0.0461653	-0.980957	0.54541	0.273438	
2	0.215608	0.226381	0.162003	-0.935959	-4.79297	-1.85244	10.1948	0.0721043	0.00757541	0.131522	0.124268	0.391846	-0.88501	0.280902	-0.627739	-0.212816	-0.69408	9.8436	-0.461884	1.0689	0.0855241	-0.126726	-0.0971407	-0.773926	0.312256	0.224609	0.408314	0.281089	0.197205	-0.845801	-6.24364	-0.752477	8.47569	0.0829884	-0.033652	0.143726	0.312256	0.31665	-0.816895	-0.289768	0.417476	0.618408	-0.599434	-1.00583	-9.56062	-1.41888	-0.0552626	-0.0530549	0.139298	-0.0424805	0.996826	-0.261719	0.0494824	0.348218	0.292981	-0.889077	-6.46228	-5.06968	5.50401	-0.036442	0.0137485	0.133624	0.30127	0.52417	-0.73877	0.561949	0.714451	-0.218274	-0.355147	-3.22501	9.29545	4.47075	0.0122694	0.102106	0.0905003	0.620605	-0.749023	-0.336426	0.398013	-0.591586	-0.288731	-0.638941	9.89995	-0.649387	1.30021	0.0188013	-0.0144678	-0.0729064	-0.86084	0.446289	0.111816	0.379304	-0.632161	-0.396547	-0.54704	9.79798	0.173301	-0.8448	0.117306	0.0970565	-0.080625	-0.936035	0.453369	0.266602	0.473747	-0.486954	-0.580178	-0.449259	9.70118	1.03581	-1.23749	0.0373409	0.0254505	-0.0736598	-1.03589	0.355469	0.102539	0.304893	-0.671135	-0.298928	-0.60602	9.89978	-0.146071	-0.798616	0.0856831	0.0639431	-0.0196739	-0.899902	0.416748	0.36377	0.425521	-0.606921	-0.484124	-0.464976	9.72022	-0.725545	-1.9121	0.0529413	0.00102671	-0.0417965	-0.980957	0.547607	0.273193	
3	0.218583	0.225815	0.158334	-0.936034	-4.69438	-1.71535	10.0475	0.115666	-0.0969486	0.121784	0.131592	0.381104	-0.891357	0.280104	-0.627736	-0.216297	-0.693329	9.91877	-0.303982	1.11954	0.0724494	-0.0243899	-0.121544	-0.775879	0.305664	0.229492	0.411862	0.280205	0.194055	-0.845102	-6.10848	-0.569752	8.63156	0.0370728	-0.110857	0.157189	0.314453	0.312256	-0.819092	-0.285947	0.418145	0.617505	-0.601728	-1.18869	-9.41092	-1.28852	0.0262696	-0.12398	0.145846	-0.046875	0.994629	-0.266113	0.0533444	0.348211	0.290907	-0.889537	-6.26211	-4.95156	5.52799	0.0323835	-0.0728856	0.170813	0.301514	0.519775	-0.73877	0.565815	0.713226	-0.218641	-0.351224	-3.19502	9.19446	4.32625	-0.107858	0.0679751	0.107022	0.614258	-0.74707	-0.332275	0.397907	-0.590081	-0.290532	-0.639582	10.0755	-0.593323	1.62527	0.0829529	0.0554317	-0.0910286	-0.862793	0.439941	0.109863	0.380099	-0.630469	-0.397737	-0.547576	9.60488	0.0817998	-1.12337	0.0665772	0.053036	-0.0552993	-0.942383	0.448975	0.262207	0.473889	-0.485621	-0.581103	-0.449355	9.59034	0.967869	-1.41525	0.0526647	0.0195167	-0.0648798	-1.04053	0.353027	0.102539	0.305558	-0.6701	-0.299505	-0.606546	9.67267	-0.354216	-0.804372	0.0334216	0.0527579	-0.0141936	-0.9021	0.418945	0.365967	0.426068	-0.605667	-0.485453	-0.464724	9.65371	-0.592485	-2.08673	0.0434112	0.00631478	-0.029215	-0.976807	0.552002	0.270996	
4	0.221076	0.224431	0.154421	-0.936435	-4.08425	-1.32842	9.91965	0.100833	-0.0863124	0.115273	0.131592	0.381104	-0.895508	0.279535	-0.627584	-0.21957	-0.692667	9.82205	-0.381068	1.48886	0.0693788	-0.0497818	-0.101541	-0.782227	0.30127	0.227295	0.416235	0.279287	0.190956	-0.843969	-6.20267	-0.602146	8.71487	0.0450275	-0.0816852	0.198982	0.312256	0.314697	-0.82373	-0.283972	0.417946	0.617121	-0.603194	-1.17791	-9.49236	-1.09877	0.027875	-0.144572	0.135514	-0.0402832	0.994629	-0.268311	0.0576114	0.348042	0.288491	-0.890124	-6.33353	-4.57391	5.65074	0.0283551	-0.0518477	0.170547	0.305908	0.517578	-0.745605	0.567741	0.712059	-0.218959	-0.350284	-2.98343	9.09836	4.57262	-0.120306	0.0474013	0.121159	0.614502	-0.753418	-0.338379	0.397934	-0.588233	-0.291676	-0.640746	9.59288	-0.726969	1.68686	0.0488637	0.0557588	-0.07423	-0.866943	0.439941	0.105469	0.381011	-0.628725	-0.399046	-0.547995	9.58061	0.0834424	-0.97109	0.055718	0.0618464	-0.071939	-0.944824	0.451172	0.257324	0.473368	-0.484801	-0.581637	-0.450099	9.59802	0.833131	-1.50341	0.0062537	0.0164027	-0.0747431	-1.0354	0.343994	0.100342	0.306033	-0.669584	-0.300103	-0.60658	9.74133	-0.229806	-0.768298	0.0667636	0.0395278	-0.0180585	-0.902344	0.421143	0.356689	0.426068	-0.605667	-0.485453	-0.464724	9.65371	-0.592485	-2.08673	0.0434112	0.00631478	-0.029215	-0.976807	0.552002	0.270996	
5	0.224608	0.224856	0.152031	-0.935883	-4.30366	-1.30284	10.0585	0.0366541	-0.00496315	0.161664	0.131592	0.378906	-0.893311	0.279266	-0.627699	-0.22293	-0.691597	9.8343	-0.257796	1.58614	0.106058	-0.12229	-0.102153	-0.777832	0.301514	0.234375	0.418433	0.279089	0.189669	-0.843237	-6.42674	-0.233278	8.82273	0.0243494	-0.0622702	0.19308	0.308105	0.310303	-0.825928	-0.280256	0.417356	0.616575	-0.605892	-1.54141	-9.70527	-1.19044	0.0181337	-0.140421	0.107064	-0.0356445	0.994629	-0.268311	0.0591456	0.348231	0.287108	-0.890397	-6.36494	-4.67102	5.57245	0.0604819	-0.0302902	0.142688	0.306152	0.513184	-0.741211	0.571956	0.709327	-0.219762	-0.348464	-2.77697	9.29912	4.76452	-0.133379	0.0406865	0.133228	0.605957	-0.757812	-0.340332	0.39705	-0.587971	-0.293335	-0.640778	10.0748	-0.5179	1.48454	0.028911	-0.0290529	-0.0838241	-0.871338	0.437744	0.107666	0.381284	-0.627174	-0.400251	-0.548702	9.77206	0.0104969	-0.961158	0.0468232	0.0473363	-0.0668966	-0.937988	0.446777	0.25293	0.473469	-0.483993	-0.582157	-0.450191	9.76412	0.826636	-1.35495	0.0539912	0.0265344	-0.0757765	-1.03564	0.348633	0.100342	0.306967	-0.668297	-0.301308	-0.60693	9.77286	-0.344526	-0.752131	0.0708544	0.0532097	-0.0264627	-0.906738	0.418945	0.352295	0.426918	-0.604092	-0.486958	-0.464421	9.71456	-0.785475	-2.03367	0.044502	0.01888	-0.0370908	-0.980957	0.547607	0.266357	
6	0.22633	0.225133	0.151253	-0.935528	-4.56758	-1.49569	10.0836	0.025669	-0.00567607	0.145624	0.129639	0.376953	-0.897705	0.27863	-0.628121	-0.224505	-0.690961	10.1826	-0.327292	1.13067	0.0524615	-0.0867412	-0.109206	-0.777832	0.301514	0.231934	0.422129	0.278218	0.188367	-0.841974	-6.2603	-0.094783	9.0021	-0.0318138	-0.044003	0.13369	0.31665	0.312256	-0.816895	-0.277629	0.416502	0.61644	-0.607824	-1.94589	-9.77013	-1.09303	0.00494356	-0.108294	0.0561239	-0.0378418	0.992432	-0.266113	0.0618916	0.347965	0.284838	-0.891043	-6.36367	-4.61593	5.62474	0.0319766	-0.052663	0.108775	0.306152	0.513184	-0.743408	0.575644	0.707219	-0.220058	-0.346481	-2.83487	9.41937	4.82368	-0.113854	0.0678353	0.0990856	0.60791	-0.753418	-0.336182	0.396754	-0.587275	-0.293925	-0.641328	10.1475	-0.574951	1.49148	0.0381052	0.0503805	-0.0902269	-0.858398	0.437744	0.103516	0.381554	-0.626518	-0.400685	-0.548947	9.64755	0.0198403	-0.819998	0.0469706	0.0558132	-0.052818	-0.94458	0.448975	0.257568	0.473423	-0.482829	-0.582852	-0.450589	9.61623	0.859269	-1.36332	0.0343742	0.0219589	-0.0658178	-1.04028	0.346436	0.09375	0.307837	-0.667349	-0.302357	-0.607011	9.76376	-0.25228	-0.708433	0.0462938	0.0371031	-0.0117117	-0.9021	0.418945	0.354492	0.427281	-0.603534	-0.487422	-0.464325	9.71864	-0.724421	-2.04377	0.0588117	0.022912	-0.0309666	-0.985596	0.54541	0.266602	
7	0.227614	0.225146	0.150324	-0.935363	-4.59631	-1.4598	10.0827	0.0414305	-0.0246412	0.109727	0.131836	0.374756	-0.897705	0.278244	-0.629026	-0.227929	-0.68917	9.88827	-0.237127	1.2554	0.0984551	-0.140225	-0.0779253	-0.777588	0.297119	0.234619	0.42433	0.278958	0.187112	-0.840902	-6.2775	-0.309849	8.80892	0.0518841	0.0157129	0.104173	0.316895	0.305908	-0.823486	-0.275128	0.416359	0.616916	-0.608576	-1.57602	-9.86158	-1.20499	-0.0434631	-0.0716661	0.0704442	-0.0380859	0.996826	-0.263916	0.0649727	0.347817	0.284403	-0.89102	-6.39572	-4.34389	5.58143	-0.0548156	-0.0363321	0.105485	0.303955	0.510986	-0.73877	0.578164	0.706524	-0.219538	-0.344025	-2.66345	9.57673	4.83471	-0.0394337	0.111697	0.0524797	0.608154	-0.757812	-0.340332	0.396907	-0.586201	-0.295687	-0.641406	9.82753	-0.651856	1.7751	0.0849178	0.00166119	-0.0582748	-0.862305	0.43335	0.101318	0.381634	-0.625412	-0.401604	-0.549481	9.80473	0.198345	-0.928867	0.0278226	0.044338	-0.0643514	-0.946777	0.448975	0.24585	0.473049	-0.481965	-0.583407	-0.451188	9.81821	0.979147	-1.4363	-0.00741711	0.0177956	-0.0680233	-1.04224	0.341797	0.0959473	0.308037	-0.666632	-0.303153	-0.6073	9.9687	-0.185752	-0.694036	0.0203894	0.0331775	-0.0311567	-0.904297	0.414551	0.347656	0.428006	-0.601903	-0.488339	-0.46481	9.85514	-0.368384	-2.03553	0.0258665	0.0395493	-0.0393588	-0.983154	0.54541	0.26416	
8	0.230696	0.224203	0.147699	-0.935253	-4.41686	-1.14706	10.0339	0.037182	-0.0748258	0.083165	0.125488	0.372559	-0.899902	0.278178	-0.6287	-0.229173	-0.689082	9.95534	-0.225448	1.09418	0.0247295	0.0437922	-0.0436962	-0.783936	0.292725	0.232422	0.42679	0.27885	0.186351	-0.839861	-6.11218	-0.0790893	8.87489	-0.0374561	-0.0103592	0.093866	0.318848	0.307861	-0.821289	-0.272874	0.415948	0.617352	-0.609429	-1.73041	-9.4484	-1.22789	-0.0207745	-0.0904892	0.0355002	-0.0380859	0.996826	-0.268311	0.0676208	0.346823	0.284373	-0.89122	-6.25708	-4.45579	5.82733	-0.0263861	-0.0656011	0.074184	0.302002	0.510986	-0.743408	0.579867	0.706418	-0.218371	-0.342114	-2.78722	9.17709	4.6548	-0.0329665	0.0886873	0.0197062	0.60791	-0.755615	-0.340576	0.396718	-0.585059	-0.296487	-0.642196	9.99167	-0.509285	1.52389	0.0309636	0.039995	-0.0565901	-0.868896	0.431152	0.103516	0.381367	-0.624731	-0.402316	-0.549921	9.6112	0.197175	-0.847787	0.00224781	0.0242294	-0.0498494	-0.94458	0.44458	0.250488	0.472515	-0.481465	-0.583564	-0.452078	9.50443	0.99002	-1.36809	-0.0306481	0.0153213	-0.0577687	-1.0376	0.3396	0.0959473	0.307887	-0.666045	-0.303848	-0.607673	9.68993	-0.21041	-0.703692	0.0165352	0.0189112	-0.0271946	-0.90625	0.407959	0.352539	0.427849	-0.601143	-0.48866	-0.4656	9.61645	-0.600469	-1.98156	-0.00146231	0.0318481	-0.0434805	-0.989746	0.540771	0.259766	
9	0.232541	0.223102	0.146984	-0.935172	-4.11865	-1.22895	9.92679	-0.013918	-0.0399395	0.0589342	0.125488	0.372559	-0.9021	0.278414	-0.628366	-0.230571	-0.688824	9.67168	-0.122536	1.07768	0.0528934	-0.0187498	-0.0456884	-0.781738	0.292725	0.22998	0.428931	0.279019	0.18673	-0.838629	-6.06249	-0.324718	8.71512	-0.0167576	0.0412712	0.0865846	0.321045	0.303711	-0.825684	-0.271063	0.41454	0.618478	-0.610054	-1.59865	-9.50053	-1.00546	-0.041441	-0.0979857	-0.00289133	-0.0380859	0.999023	-0.259521	0.0693408	0.34636	0.283812	-0.891447	-6.22629	-4.32831	5.74338	0.00407182	-0.0188264	0.0438715	0.306152	0.510986	-0.743408	0.581396	0.705859	-0.217842	-0.341008	-2.59867	9.21915	5.0192	-0.0334423	0.0504965	0.0222213	0.608154	-0.755615	-0.333984	0.396713	-0.58456	-0.297748	-0.642071	9.6739	-0.536084	1.66253	0.0704939	0.00292594	-0.0504991	-0.872803	0.427002	0.0993652	0.380958	-0.62415	-0.402784	-0.55052	9.61622	0.0585559	-0.842286	0.0152418	0.0280295	-0.0547645	-0.94873	0.442383	0.250488	0.472201	-0.480785	-0.584156	-0.452364	9.60983	1.00929	-1.3645	0.0260077	0.0074895	-0.0578521	-1.04443	0.334961	0.09375	0.307515	-0.665521	-0.304313	-0.608202	9.7037	-0.36733	-0.587845	-0.00118143	0.035884	-0.0314387	-0.90625	0.410156	0.345703	0.427427	-0.600657	-0.488718	-0.466554	9.6062	-0.641378	-1.89147	-0.0106516	0.0258543	-0.0370352	-0.983154	0.54541	0.266602	
