Body	DeviceId	q0	q1	q2	q3	accX	accY	accZ	gyrX	gyrY	gyrZ	magX	magY	magZ	timestamp	rssi	battertLevel
Head	00b4120a	0.669931	-0.240575	-0.251471	-0.655804	7.41522	-0.132589	7.97682	0.0372669	0.00414732	-0.00524128	-0.547119	0.425293	-0.655029	1540887352339	-66	97
Throax	00b411e8	0.548643	-0.43442	-0.415248	-0.581239	9.56448	-0.216726	2.83446	0.0121884	0.0197054	-0.000550133	-0.723389	0.344727	-0.212402	1540887352364	-54	93
LUpArm	00b411d9	0.686406	0.0588575	0.0395459	-0.723753	-0.537838	0.959257	10.9313	0.0109206	0.0102342	0.00194121	0.0358887	0.255371	-0.930908	1540887352315	-64	93
LFoArm	00b41148	0.726863	-0.105169	0.213383	-0.644265	-1.6086	-4.25799	8.61432	-0.0123097	0.00265404	0.016847	0.225586	0.836914	-0.582764	1540887352367	-61	93
RUpArm	00b411db	0.77743	-0.105288	0.104122	-0.61129	-0.222057	-2.99411	9.1956	-0.0026239	-0.00438395	0.00798005	0.174316	0.644287	-0.700195	1540887352339	-72	93
RFoArm	00b41204	0.677662	0.255996	0.0214001	-0.689045	-2.12454	1.3503	13.4722	0.0280416	0.00798033	0.0124089	0.397949	0.27832	-0.881348	1540887352342	-68	94
Waist	00b411f7	0.560584	-0.422663	-0.455562	-0.547325	9.76177	-0.129991	2.08487	0.03262	-0.036535	-0.00908825	-0.849121	0.418945	-0.194092	1540887352336	-54	92
Lthigh	00b411f4	0.406886	-0.382377	-0.446565	-0.69915	9.70923	-1.2925	-0.124897	0.0351864	0.0139015	-0.00843445	-0.922852	0.52124	-0.0568848	1540887352339	-66	94
Lshank	00b4111b	0.619382	-0.301355	-0.643299	-0.334243	9.88292	-0.0805496	-0.330514	0.0218578	0.031631	-0.019207	-0.987061	0.297607	-0.213135	1540887352364	-66	93
Rthigh	00b411c8	0.354092	-0.600421	-0.384537	-0.605181	9.80554	0.385741	-0.772517	0.019803	0.0136322	0.00569166	-0.941162	0.387695	0.261719	1540887352342	-54	70
Rshank	00b411ee	0.478131	-0.49034	-0.534466	-0.495282	9.87752	0.169124	-0.778627	0.0138748	0.00781295	0.00471222	-1.03638	0.471924	0.0603027	1540887352342	-62	95
